# completed local quartic closure restart checkpoint; cutoff=8; restart=0; seed=12916328572993039690; objective=projective-height-power-ratio; selection=double-triple-remainder; optimized_objective=2.12531013004269158e-07; refined_objective=0; accepted_steps=0; candidate_lemma_proved=false
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-8	-8	-8	-5.2487632068619205906e-06	2.4704381003263425522e-06	-1.4849071370540535307e-06	3.205266660646659907e-07	6.7336703439159739095e-06	-2.7909647663910085429e-06
-8	-8	-7	3.2253443183349349274e-06	-4.9954435569456814598e-06	1.3973823619685237545e-06	-8.263905338363925241e-07	-5.2831162060610956365e-06	6.6535246751795131245e-06
-8	-8	-6	-1.4449437666041240908e-07	6.3790007268904041297e-06	-1.10200560387914131e-06	1.8071859303599824689e-06	1.6619999740527382215e-06	-1.0914915543000515465e-05
-8	-8	-5	-6.8629839173080815299e-07	-4.4838599223003397303e-06	8.9943861446488578857e-07	-1.2365871430744616042e-06	-3.4102435637452423811e-07	9.152715304599682474e-06
-8	-8	-4	2.7872391743115198556e-06	3.381181610568003264e-06	-1.5199011836309685019e-08	1.1605715480564711301e-06	-5.5440803249504202883e-06	-9.0835063172489483648e-06
-8	-8	-3	-2.6605434826085412434e-06	-1.9716780888188642677e-06	-4.8977581852329643137e-07	-7.283063394148948387e-07	8.4008514696849010306e-06	7.1999584752900240014e-06
-8	-8	-2	2.92594349649387149e-06	1.1865904393656699903e-06	-1.340929011580697416e-08	1.6630132257617651175e-07	-1.1650136825512258129e-05	-5.4115670477673860083e-06
-8	-8	-1	-1.2207931212042183272e-06	-1.8186676270891737629e-07	3.3657716384539966183e-08	-1.6170390471328414113e-07	9.4970832385574269408e-06	2.7485653393776119276e-06
-8	-8	0	5.3636106448814547288e-07	-9.9448281138563544103e-08	-5.3636106448814547288e-07	9.9448281138563544103e-08	-8.1379630187476812206e-06	-1.1703899672282631763e-07
-8	-8	1	2.5212656739726740831e-07	-3.1773533054794247554e-07	5.5083763376547459755e-07	8.5714581293075119309e-08	6.4237136093019356234e-06	-1.856165994038938744e-06
-8	-8	2	-8.9672770340942675798e-07	-4.0209173257726677624e-07	-4.0586132047559590383e-07	1.0046483822688411041e-06	-5.210356095540090859e-06	2.4102265987662970996e-06
-8	-8	3	8.645589044241377213e-07	-3.090636856850810049e-07	1.6698582873591992818e-07	-3.3951796876714127574e-07	2.7507859550934869947e-06	-1.729551078539259415e-06
-8	-8	4	-7.8857687299813242169e-07	6.82037741450649476e-07	3.7728538627393035305e-07	-2.7117483605756132032e-07	-8.225829734484040314e-07	8.2172581078617631135e-07
-8	-8	5	-7.3421256320668730313e-07	-4.5716619923885734817e-07	-2.0169060148495819003e-07	1.3634253782069703195e-07	-1.4974450635066327891e-06	-5.1331785826905652712e-07
-8	-8	6	8.4628777307072191538e-07	7.9085433778415501858e-07	1.9097705011149716979e-07	9.0376944599916059141e-08	1.3830197642429587449e-06	1.1749750431787614017e-06
-8	-8	7	-1.4782433419215755295e-06	-9.6968999945910926724e-07	-1.8877447135842205258e-07	9.9375640161848322888e-08	-1.9051632151771400635e-06	-9.9464498205401241708e-07
-8	-8	8	2.0204381842750821903e-06	1.0899393336790531784e-06	8.5568384027230886649e-07	1.4958261516946723485e-07	2.876122024547390951e-06	1.2395219488485202809e-06
-8	-7	-8	-5.755077671814014084e-06	1.3088203836275097503e-06	-1.3671633999361623228e-06	6.4911552032297030746e-07	6.9513456467581559312e-06	-1.8767964639101089016e-06
-8	-7	-7	5.1973030826619115094e-06	-4.1116293540322957958e-06	4.6955398676811083694e-07	-1.2510777176018223422e-06	-6.4093289383817242174e-06	5.9500826936387320954e-06
-8	-7	-6	-2.2231350737866657643e-06	5.3489184617562417006e-06	2.293148375842622339e-07	1.2495774013052877656e-06	2.6966461212005816976e-06	-8.5897315838644911509e-06
-8	-7	-5	7.1392762650061569421e-08	-5.2208518913685240622e-06	-4.681371368740823575e-07	-2.5393880944437384303e-07	5.4116357138361676825e-07	8.7088773594117625045e-06
-8	-7	-4	9.6293724352795205933e-07	3.833778482613117296e-06	8.9723437809096090343e-07	1.6634473829014311654e-07	-3.4960346487150855144e-06	-7.9586602572339850857e-06
-8	-7	-3	-4.9659776489381486988e-07	-1.38101876216955172e-06	-3.2432030647877619503e-07	4.3477834866074559566e-08	2.0810080881673175649e-06	3.581268417764630632e-06
-8	-7	-2	3.4809060734164165393e-07	3.9091113365640959029e-07	9.1599020502966302868e-08	5.5246740406785928309e-09	-1.7129590011269486228e-06	-1.5829808937680134166e-06
-8	-7	-1	-9.9151138705289937601e-09	-1.6213442523487476615e-07	-8.9033922844785156732e-08	1.2362746546062939941e-07	7.0255837087772807367e-07	4.3168314365459238627e-07
-8	-7	0	1.6026814499655410396e-08	-2.5092977258803622339e-08	-1.8316359428177611881e-08	2.8677688295775567442e-08	-2.3757655856792666604e-07	-9.4632293399524137061e-09
-8	-7	1	-2.8420529611798757803e-08	-5.1621647864110223935e-08	1.3322844485086021551e-07	7.5475906807282389333e-08	7.052348770616314197e-07	1.1535816473809493386e-07
-8	-7	2	-1.8930139618930375338e-07	-7.9546397253017847496e-08	-1.6744086778679989597e-07	-2.5523663175267371775e-08	-1.3432486220110147023e-06	-4.0751841012550718954e-07
-8	-7	3	4.4561694055431922543e-07	3.7033256511218755031e-08	7.9689063824033431838e-08	1.4426451207263404638e-08	1.3742529904009293416e-06	1.3241707018019795095e-07
-8	-7	4	-3.8861097463675921159e-07	-6.58733487840794622e-07	-6.7522324407679237327e-07	7.7423054606632785501e-07	-1.9588626264079049705e-06	3.7436479934484641223e-08
-8	-7	5	-6.8088410519888215271e-08	9.868703234084456952e-07	9.9414417002918755699e-07	-1.1096021259787037049e-06	1.2828603812090413718e-06	2.554954108332792473e-08
-8	-7	6	5.7475802787916523079e-07	-1.0822920774648385019e-06	-1.5465532050101139117e-06	1.5092119984134272468e-06	-1.0379680353395793618e-06	3.176912281958805403e-07
-8	-7	7	5.0160871528663633355e-08	-3.0091728512003962535e-07	1.5318216275387579403e-06	-1.442766893117683211e-06	1.5891483378572306566e-06	-1.7866723618262998954e-06
-8	-7	8	9.9882888095142299978e-07	-2.6831914538299582558e-07	-1.4717055034098671533e-06	1.3141817529491361337e-06	-2.8891343453221073292e-07	8.8158988844749831787e-07
-8	-6	-8	-6.4104322311120702835e-06	7.3478668813365259452e-08	-4.7534547343849521338e-07	1.2171416322334526525e-06	6.7669413361909411112e-06	-9.8633489298845476204e-07
-8	-6	-7	4.7934344509689675272e-06	-1.8232797315543089839e-06	-1.8449365548115701613e-07	-1.2007664346843475706e-06	-5.3200733821235426189e-06	3.112976637220079432e-06
-8	-6	-6	-2.8301336600855926133e-06	3.5751748567484856839e-06	7.8403650316122869001e-07	1.0833760962613498753e-06	2.9894750436195615317e-06	-5.8502759052593308577e-06
-8	-6	-5	9.0306863631678505607e-07	-2.172048471877827131e-06	-6.1463122590945513496e-07	-4.2368302660692463465e-07	-7.0735234701550994894e-07	3.9836971869328333947e-06
-8	-6	-4	-8.4779080619594681389e-08	5.7293259072837973245e-07	3.0967058064244508834e-07	7.1286602570055695282e-08	-2.9494770972447826974e-07	-1.2527950853118429681e-06
-8	-6	-3	3.7727241139347744309e-08	3.3862214008938858266e-07	1.7171339579957692115e-07	-5.621669012233922034e-09	-4.4403276797074784477e-07	-8.9174903554723502703e-07
-8	-6	-2	-4.6331395170425513779e-08	-4.2051069039799559563e-07	-2.7585835791035586538e-07	8.1956187783096663221e-08	1.0129006544127696513e-06	1.4361741982426924193e-06
-8	-6	-1	-5.2628153565467647116e-08	1.3856501274596104608e-07	1.8842101475634302356e-07	-1.8864699621461985866e-08	-7.0950086001431696444e-07	-9.9533190423891636741e-07
-8	-6	0	2.214630996017535447e-08	-1.8637862047848299145e-08	-2.9528413280233807063e-08	2.4850482730464401065e-08	7.0642011074665882567e-07	6.495148540566084587e-07
-8	-6	1	-1.8823164887380438435e-07	6.858033310742717826e-09	1.957202498688344486e-07	-1.2834233862008003184e-07	-3.3153169177742833028e-07	-7.1518976523453842856e-07
-8	-6	2	-8.2023804517730675353e-08	1.8581767209411465598e-07	2.1841075053899994227e-07	4.5749230898599355639e-08	3.2713703354607709893e-07	8.8051838107225673052e-07
-8	-6	3	3.9022850355545762143e-08	-1.3813842725727109354e-07	-6.0103654895232413094e-08	-3.9215310886894645629e-09	-1.6146375509009452752e-08	-3.7621220153010185405e-07
-8	-6	4	1.7528944627536014623e-07	-1.7087151320209028546e-07	-4.1657467918408022745e-07	-7.7652080752090041757e-08	-2.7428312622540002224e-07	-4.5822114753231564679e-07
-8	-6	5	-3.7356913046976198102e-07	5.0008780096437950227e-07	7.0916630398889378658e-07	-3.5305007934645772761e-07	2.5328895603505333191e-07	3.7648038632725791992e-07
-8	-6	6	1.1197236375898018874e-06	-6.1245748859748710127e-07	-2.0289274454386907446e-06	1.855529174626643353e-07	-5.3596259531895478888e-07	-6.3105706733398508012e-07
