# exact-gradient local quartic closure adversary; cutoff=8; objective=projective-height-stretching-ratio; selection=double-triple-remainder; backend=direct; objective_value=0.742717; constant_ratio=2.05017e-05; candidate_lemma_proved=false
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-8	-8	-8	1.4617922979463319265e-06	-2.9217688071297884799e-06	1.855669223639649351e-06	1.4010250243371330309e-06	-3.3174615215859812775e-06	1.5207437827926556607e-06
-8	-8	-7	4.7255752940668246221e-07	-7.319015375014117405e-07	2.0473583327352119672e-07	-1.210776371300404428e-07	-7.7404955734880415139e-07	9.7483334243594541284e-07
-8	-8	-6	-1.3700989849990403684e-08	6.0485830820675617088e-07	-1.0449242345856125024e-07	1.7135778333504679252e-07	1.5759121774473552533e-07	-1.0349547887224040571e-06
-8	-8	-5	-2.6644004655856242746e-08	-1.7407586275218500908e-07	3.4918698513953585394e-08	-4.8007738316792126862e-08	-1.3239510172955745921e-08	3.553337617103634175e-07
-8	-8	-4	5.7303813020842608395e-05	6.3932442225182729395e-06	-2.1797953153259727539e-05	-2.8349904691626133958e-05	-7.1011719735165754934e-05	4.3913320938215718648e-05
-8	-8	-3	4.5527774303575678413e-08	3.3739766184553809546e-08	8.381145833863656818e-09	1.246292979667246543e-08	-1.4375712036650490277e-07	-1.2320718928327007543e-07
-8	-8	-2	1.4280043106381637422e-05	-1.0504430103865183379e-05	1.0677881421267803995e-05	-1.771026093614916106e-05	-9.9831698110597758889e-05	0.00011285876416005737098
-8	-8	-1	3.3274393142785078696e-08	4.9570283915204045541e-09	-9.1738728521242460949e-10	4.4074620053934502536e-09	-2.588560468605812724e-07	-7.4915923175310838461e-08
-8	-8	0	-6.4413086578882892291e-05	3.456390378310696186e-05	6.4413086578882892291e-05	-3.456390378310696186e-05	0.00056917969102346507252	-1.5298443847374284648e-05
-8	-8	1	-6.8720558623742214714e-09	8.6603128084274433764e-09	-1.5013836222859717279e-08	-2.3362686326423736e-09	-1.7508713668187150338e-07	5.0592353406280554903e-08
-8	-8	2	2.9592399469290715553e-05	-5.7000800982233457723e-05	3.0590375735529451472e-05	6.0777545593802041214e-05	0.00024073110081928065455	1.5106978446274328884e-05
-8	-8	3	-1.4794512072464493584e-08	5.28876217181974709e-09	-2.8574962868603846201e-09	5.8099022079817666635e-09	-4.7072022291533010751e-08	2.9596438346137370009e-08
-8	-8	4	2.3434084094327323097e-05	1.5327084448145027803e-05	-2.8676662026134678576e-05	7.9551607170651468634e-05	-1.0485155863614709264e-05	0.00018975738323759300643
-8	-8	5	-2.8504165517759524559e-08	-1.7748458233015876853e-08	-7.8301878450496126818e-09	5.2931949954369002755e-09	-5.8134965380494620908e-08	-1.9928421180126363847e-08
-8	-8	6	8.024520024238189159e-08	7.4988989227358794162e-08	1.810848758016479688e-08	8.5695625619169349836e-09	1.3113825043006223806e-07	1.1141140238570098543e-07
-8	-8	7	-2.1658308464907167429e-07	-1.4207298979828754202e-07	-2.76580696495191352e-08	1.4559905040567488766e-08	-2.7913274776981805664e-07	-1.4572923972310865309e-07
-8	-8	8	9.8874843745044005541e-07	-3.4484924040053046197e-06	8.3557419302371033184e-07	-7.373406820089555271e-06	1.8243226304741501755e-06	-1.0821899224094859467e-05
-8	-7	-8	-8.4319843641995191841e-07	1.9176027917646194788e-07	-2.003083375924960006e-07	9.5104397021931324098e-08	1.0184682318133859686e-06	-2.749766265706518482e-07
-8	-7	-7	-2.7962050624308233541e-05	1.2910379853018780162e-05	2.869902406977788961e-05	-8.2792222900482948927e-06	3.2576052151458068935e-06	-6.4754975419731675447e-06
-8	-7	-6	-4.6299418291604972948e-08	1.113975557259843718e-07	4.7757528145606707313e-09	2.602392786337824314e-08	5.6160846105152515985e-08	-1.7889132347525376616e-07
-8	-7	-5	-1.0701929298019725748e-09	7.8261697324596116978e-08	7.017476778648641004e-09	3.8065975931170265319e-09	-8.1121588024249406242e-09	-1.3054795234971763953e-07
-8	-7	-4	-2.624617706018258334e-08	-1.0449489781445050864e-07	-2.4455355227076735301e-08	-4.5339542982025048565e-09	9.5289225767749455112e-08	2.1692421565075540533e-07
-8	-7	-3	1.3530247272794748116e-08	3.7627083046816358052e-08	8.8363948701716626283e-09	-1.1845922358299633203e-09	-5.6698914091186540558e-08	-9.7574839574573705817e-08
-8	-7	-2	-1.9148363871353973626e-05	-1.4710236749991127228e-05	6.4323762501068706301e-06	1.0339237876771373219e-05	5.4080138610041844334e-05	2.2653614431264701797e-05
-8	-7	-1	1.9947573110039609037e-10	3.261877113322920653e-09	1.7912156213342854173e-09	-2.4871806192914978422e-09	-1.4134315198143165404e-08	-8.6847525715428795011e-09
-8	-7	0	-3.0296550573429125244e-10	4.7434919433028723011e-10	3.4624629226776143875e-10	-5.4211336494889967678e-10	4.4910672809429434674e-09	1.7888970156358334557e-10
-8	-7	1	5.7177416181016090435e-10	1.0385423791155318229e-09	-2.6803364829713517762e-09	-1.5184507094364585191e-09	-1.4188162086318176026e-08	-2.320815933130955257e-09
-8	-7	2	-1.5486681226578460582e-05	-5.0231216824205559976e-06	1.169384574907671535e-05	1.1131131016464027831e-07	-2.101826478454533098e-05	-1.9702897144105982117e-05
-8	-7	3	-1.2141229423244454819e-08	-1.0090039733077879782e-09	-2.1711993381751201086e-09	-3.9306147933412365134e-10	-3.7442743584393825749e-08	-3.6078207139337228698e-09
-8	-7	4	1.0592125827928302724e-08	1.7954685908707669199e-08	1.8404136861776641855e-08	-2.1102716853083091078e-08	5.3391491163965725385e-08	-1.0203826754800716092e-09
-8	-7	5	1.0206599777768337994e-09	-1.4793399268212706785e-08	-1.4902435799886626611e-08	1.663317549337925512e-08	-1.9230354155398343177e-08	-3.8299313840937316099e-10
-8	-7	6	1.1970015975641541791e-08	-2.2540013064920608145e-08	-3.2208800352837579376e-08	3.1431125543907306729e-08	-2.1616912444121790193e-08	6.6162957146643830801e-09
-8	-7	7	-2.0527256919109944096e-05	-2.3684824691040479389e-05	2.7241502295927682708e-05	2.9745232147967926652e-05	3.7817801026591758353e-06	2.6768610724930917339e-06
-8	-7	8	1.4634223874929272114e-07	-3.9312464010093274954e-08	-2.1562520092881578924e-07	1.925457938970026759e-07	-4.2329812063421091138e-08	1.2916510564978405653e-07
-8	-6	-8	-6.0783865062743779799e-07	6.967264186126216867e-09	-4.5072366533167766314e-08	1.1540964800604645809e-07	6.4164292552731357475e-07	-9.3524500190661066221e-08
-8	-6	-7	9.9828943961008713109e-08	-3.7971957686786463599e-08	-3.8422986655146655795e-09	-2.5007381731095255568e-08	-1.1079682281356881851e-07	6.4831421697266178403e-08
-8	-6	-6	5.3885353493672572191e-08	-6.8070834842392564501e-08	-1.4927946591578298078e-08	-2.0627331046927421559e-08	-5.6919191399985130407e-08	1.1138844417011750205e-07
-8	-6	-5	-2.540746075886740687e-08	6.1109681032301049053e-08	1.7292394094385397595e-08	1.1920145866894536548e-08	1.9901064300925373216e-08	-1.1207966469195511837e-07
-8	-6	-4	1.898133752253073204e-09	-1.2827488577128813296e-08	-6.9332691142840365843e-09	-1.5960482872988283894e-09	6.6036361669199088821e-09	2.8049049585205869279e-08
-8	-6	-3	-5.1863729850451798916e-10	-4.6550467684904043285e-09	-2.3605482146333618002e-09	7.72812201884205606e-11	6.1041292252787721229e-09	1.2258895608930902574e-08
-8	-6	-2	-2.9619828445954712322e-05	-7.3820194162230098065e-05	4.4860009689589619463e-05	7.4821911870537921216e-05	-1.6100715284949998935e-05	7.081504103730662861e-05
-8	-6	-1	2.0998952064342088613e-10	-5.5288279434462624741e-10	-7.5181126236192349804e-10	7.5271294206913258557e-11	2.830951409024174106e-09	3.971434589515530428e-09
-8	-6	0	3.2040826737870720044e-06	-4.5293983508872326447e-06	-4.2721102317160957235e-06	6.0391978011829774243e-06	-2.3214952924025147124e-06	4.4736842819852891452e-06
-8	-6	1	7.5105568101987541521e-10	-2.7363968330905260586e-11	-7.8093565260732690526e-10	5.1209370535032411985e-10	1.3228315325150416834e-09	2.8536504854547027895e-09
-8	-6	2	4.2271898516492283917e-05	2.3824917461513933929e-05	-1.4715552328264973136e-05	-6.7590975949846154121e-06	0.00012494093708117421965	7.5022377061101892868e-05
-8	-6	3	-5.3644806980699966387e-10	1.8989923081773633828e-09	8.2624640084271248536e-10	5.3909382939697069994e-11	2.2196461553342603939e-10	5.1717982543523639536e-09
-8	-6	4	-3.9245862535587791842e-09	3.825672372678234732e-09	9.3267637855292251574e-09	1.738566098275859806e-09	6.1409731711762793676e-09	1.0259193892770259483e-08
-8	-6	5	1.0510212226886836746e-08	-1.4069762438891382072e-08	-1.9952099226473774003e-08	9.9329172514452694201e-09	-7.1261795087495895145e-09	-1.0592119200491889335e-08
-8	-6	6	-2.1319383207124788104e-08	1.1661105882866473973e-08	3.8630497969898509475e-08	-3.5329018873813641568e-09	1.0204653693732124785e-08	1.2015239289773933922e-08
-8	-6	7	-4.7827871504142037692e-08	9.5882804455331953688e-10	8.0226877344112876945e-08	2.4254736758734752577e-09	1.4105470290220136689e-08	3.1747809159524865982e-09
-8	-6	8	1.5692692758273011953e-07	-1.4947679668679602898e-07	-4.5448360712001550166e-07	9.6910999389743215026e-08	-1.8393577775728151995e-07	-7.679354714448863094e-08
-8	-5	-8	-1.2990269248335873231e-07	-5.2533013358774243661e-08	-3.3471862891406095063e-09	3.9932904803399368607e-08	1.3199468391407160803e-07	2.7574947856649636628e-08
-8	-5	-7	-4.8271051610358808448e-08	5.3098580677861495139e-09	1.0217046150921114008e-08	1.8338510223617924563e-08	4.7869026018323557737e-08	-1.9167345094339829385e-08
-8	-5	-6	4.0772610733100734541e-08	-3.3364249924033863822e-08	-2.0824559144518324163e-08	-1.2494215869588537931e-08	-3.7009681690369041483e-08	5.4897513123368932545e-08
-8	-5	-5	-2.1184872440155155075e-09	1.134985972831855168e-09	1.6343825766703552683e-09	1.9279644658906311202e-09	1.7551970137544698332e-09	-3.7439420224215990581e-09
-8	-5	-4	1.5556958633164319369e-06	8.4090048103842344303e-07	-1.6339140567131997234e-06	-8.5325997718701378518e-07	-1.0689991557413639547e-06	-6.1522599059307965458e-07
-8	-5	-3	9.2726776862955259345e-09	4.8723535762733282666e-09	-4.6307611311916347679e-08	1.9415502826249048389e-08	5.2452211689739170355e-08	-4.5352114247143956026e-08
-8	-5	-2	-9.1671378832551792687e-11	-1.5958916864265706425e-10	8.4822559467051404306e-12	6.8066772995058537574e-10	3.4547987546344431806e-10	-1.0633126503058350789e-09
-8	-5	-1	0.00068992420633511150271	-0.0017046532777967979191	-0.00068353275312933085926	0.0016065908877531140473	-0.0021017298850342378339	0.0056042717836088133329
-8	-5	0	7.835112278850182003e-10	-1.8045968548562184872e-10	-1.2536179646160291618e-09	2.8873549677699495796e-10	1.7765298538446517553e-09	-1.9711288022489337131e-09
-8	-5	1	0.00015390599032654396689	0.00048948290565398167289	-0.0016277779358127944	-0.0036040674708708309026	-0.0069076417564516209152	-0.014104474109122300263
-8	-5	2	3.6411067553191415543e-10	5.6415752629418912434e-11	-2.9816333040846884734e-10	-4.3397730815858536788e-10	7.1103437610648458094e-10	-8.5928025987878782166e-10
-8	-5	3	1.1768988006198610781e-08	-5.4951568220524331837e-10	-7.1449300019614910463e-08	5.4820444428756093498e-08	-8.7698198682828568591e-08	8.9902032228712848862e-08
-8	-5	4	-1.6143343823207033937e-07	-5.0487953898378228419e-08	8.9828711148188411883e-07	-9.7917362988508191334e-07	7.9999201288821452274e-07	-1.3249429451531086632e-06
-8	-5	5	2.1739623081160274572e-09	3.5755787627538646157e-10	-2.7296487631876759789e-09	-2.4887635157550252753e-09	7.4869092979796809742e-10	-1.916670913714406854e-09
-8	-5	6	-2.2138486538307988846e-08	-5.395495271793809041e-09	2.4797281303621703407e-08	1.8055991548714799031e-08	-8.8535809647259017126e-09	7.8526659282039210226e-09
-8	-5	7	2.2735102884096019524e-08	1.1563288739243594057e-08	-2.9121601201990910815e-08	-3.1764252503855808293e-08	5.1818310089733723219e-09	-9.4735646579043265291e-09
-8	-5	8	5.5852540719950102242e-08	-3.1364785371527934794e-09	-9.8901115431400656557e-08	-6.0011694399956275397e-08	-5.9606564246753114146e-09	-4.0643787537125467257e-08
-8	-4	-8	6.7019362097999426832e-06	-2.3254830242662269553e-06	1.0598483943396596208e-05	-6.2565300488136665097e-06	-1.200117818149823994e-05	5.4537480486730606337e-06
-8	-4	-7	-4.8090905513435350357e-08	1.0007944584921915113e-08	2.753130099431674326e-08	3.0742534004271749032e-08	3.9228862875745116654e-08	-2.9004813242351760521e-08
-8	-4	-6	6.5811007609874195851e-09	-2.3425044177442602398e-09	-5.7364261848334658723e-09	-6.4029994026233579527e-09	-4.9505168914275821986e-09	7.3920054920745858973e-09
-8	-4	-5	1.6082050056247619314e-06	9.6660971695916303646e-07	-7.9046448969700936056e-07	-9.7642417389480475959e-07	-1.9407564172420116018e-06	-7.6543620801881711418e-07
-8	-4	-4	1.4833802695708958423e-05	8.098640339118348035e-05	0.00013933438552901102319	9.6760972585112952553e-05	-0.00016900199092042894004	-0.0002587337793674799268
-8	-4	-3	2.0795342274082688027e-11	-2.0273369123974297067e-10	-2.2095241297516706917e-10	-2.3572227869289101756e-10	2.3914897123600228334e-10	8.5491954822983601414e-10
-8	-4	-2	-1.7258695861464668457e-05	7.724892256294448522e-05	4.5487706327768238194e-06	-0.00010736176687401385323	5.9937242180305024496e-05	-9.4272156503750234417e-05
-8	-4	-1	-5.4209964411851312965e-06	1.1483187771912959447e-05	1.3888952174425995602e-05	8.148255648116278595e-06	-1.2187837168222935422e-05	-0.00012445852476776879674
-8	-4	0	0.00017483255599887585524	6.2671186725213833251e-05	-0.00034966511199775171049	-0.0001253423734504276665	-0.00026736693072075003695	0.00013978799667569878152
-8	-4	1	1.8146026656131690453e-05	-3.2634408408204334474e-06	-5.2761969217600930364e-05	2.9245361599888966699e-05	-6.5879663621350184285e-05	9.0873919672992392441e-05
-8	-4	2	5.7101833460347786671e-06	1.4905795790728688734e-05	3.1616741058431128443e-05	6.6155722978444641636e-05	8.6074215501001364779e-05	0.00019193462911980404498
-8	-4	3	-7.125274464110393391e-10	-1.1489167557795541569e-09	1.553563013009566096e-10	1.6916525621416403729e-09	-1.6929314553614959536e-09	-8.0824126588995704771e-10
-8	-4	4	-7.9069220146212445345e-06	-7.5055929524331819135e-05	-0.00015376128885783647469	-0.00018686755045503871276	-0.00016957513288707896037	-0.00033697940950370232393
-8	-4	5	4.5939197851798670815e-07	-8.8946099776100525239e-08	4.1200928874083455644e-07	-1.4354151002768662033e-07	1.0646345966214463358e-06	-2.5714696766391014723e-07
-8	-4	6	-3.3401377329361975532e-09	-5.3621688860800784692e-09	-1.739892363452805364e-09	1.0145132501115501102e-08	-5.6134452195501333713e-09	-3.8613684736310418372e-10
-8	-4	7	1.4223176907024625732e-08	2.2981122496726449389e-08	7.7606813611392121487e-09	-5.6969328445719772219e-08	2.0689734385821978734e-08	-6.2897619727239250811e-09
-8	-4	8	-1.3064121635146366251e-05	-1.6002026742149388742e-05	-3.7534865592608545833e-06	1.1331831828073155185e-05	-1.4940864914776793543e-05	-1.033611082811281115e-05
-8	-3	-8	1.9699695220395560585e-08	1.8389332504414605227e-08	-6.2202000645060121492e-09	-3.4429931989622730786e-08	-1.7367120196205806443e-08	-5.4781080083060811822e-09
-8	-3	-7	-1.7202330076297554914e-08	3.2306726364061278633e-09	1.5287742403889566944e-08	1.3933082419746410471e-08	1.310791619981596264e-08	-9.6635183357840368041e-09
-8	-3	-6	-2.3292033014972647359e-09	1.8933200492175924491e-09	3.8736623728939236864e-09	2.0089655798099028305e-09	1.1687732155493908623e-09	-3.5289095221950750253e-09
-8	-3	-5	-6.035604932987747796e-09	3.7547838065054505448e-09	2.4615205584903856294e-08	3.7486835522395004139e-08	-5.1121554581619181299e-09	-2.8499755403845723355e-08
-8	-3	-4	-1.4692312040908385185e-11	2.5648874280385662207e-10	7.1188420328890136364e-10	1.6609497869036799877e-10	-5.0452852838485921359e-10	-6.3754871962548924321e-10
-8	-3	-3	4.3578001476238751786e-12	1.3892392758037536207e-12	9.64571826131987421e-13	-2.5067344648743540068e-12	-1.2585372219795654429e-11	-1.1979036039356553118e-12
-8	-3	-2	-8.4357692337615049297e-06	-5.1795584145510445404e-06	-3.7226583152032473735e-05	1.5912215779519482391e-05	8.9582951663094733709e-05	-3.150090011075045848e-06
-8	-3	-1	1.9293169948306749562e-09	-7.4942897153958984122e-10	-4.3210722063467179172e-09	-3.3701360850131226409e-10	-2.4713193396052454843e-09	7.0064725978206554703e-09
-8	-3	0	-9.3769263273938460819e-10	1.9743683713569724288e-10	2.500513687305025484e-09	-5.2649823236185931435e-10	-1.9951555656416265863e-09	-7.0511653019403484919e-09
-8	-3	1	6.6526731770832007316e-10	1.5953456772066649054e-09	-2.6453266931111650886e-10	-1.3953926937085621879e-09	4.5285405337332106968e-09	8.5765873365276328866e-09
-8	-3	2	3.2894784153935888537e-06	1.6995987901469456616e-05	-1.0742725300631479529e-05	-2.0693844931372917703e-05	-2.9561742893728634546e-06	3.6943184208818454991e-05
-8	-3	3	-1.8082301448428632529e-12	1.182849069423177456e-11	1.2920735244811454898e-11	-1.1420096210862816922e-11	8.0987881918971534286e-12	2.0122545640421915777e-11
-8	-3	4	-3.3948280173824784798e-10	1.0349287986044370078e-09	1.4205845617478703904e-09	-7.2850442121394168753e-10	3.8647281783440704514e-10	1.5234792812984174397e-09
-8	-3	5	-3.6941111155459444561e-09	-2.2507149119240892407e-09	7.6754909564343908913e-09	1.4436950472160605783e-08	-1.3052832110128773809e-09	5.0610264242178208502e-09
-8	-3	6	-8.1139712468456834645e-10	1.4173670147833840179e-09	2.9244361299122508318e-09	-1.8460318331649032122e-09	3.8035523204336768957e-10	9.6680676979539354431e-10
-8	-3	7	-9.6925382718673561567e-10	1.224225071149640121e-08	1.8937553313982924568e-08	-1.0193158730567041733e-08	7.0083756177792691166e-09	9.6226470714671553987e-09
-8	-3	8	1.3077017012818489424e-08	-1.9183531482634014186e-08	-3.9091397010007184666e-08	2.805496503911904953e-08	-1.5822568659342056523e-09	-8.6629195929643693713e-09
-8	-2	-8	4.0461953349456399926e-06	2.7778636753095115142e-06	1.8261314479167397933e-05	-1.8596882232250825631e-05	-8.611523954737489476e-06	1.8713568827531953171e-06
-8	-2	-7	1.5842784373366051347e-05	-1.2030146945050457498e-05	-1.8012771248041393264e-05	2.7205500300115739064e-06	-1.2959533212977947773e-05	1.2971439357197216751e-05
-8	-2	-6	-9.1063515319594276622e-06	0.00022318459240373630524	3.3401924723025990687e-05	-0.00013060403723151088216	1.0078271349372409754e-06	-0.00025404477746114481574
-8	-2	-5	3.1951012904045717802e-11	-2.8343765100207714119e-11	-3.8938784595131452363e-10	-4.864508179134936372e-11	1.0463351773405266355e-10	6.4808056876872088078e-11
-8	-2	-4	8.4271024617310312933e-05	-7.7103596214150759889e-05	0.00019783024908804792562	0.00015691051174039456696	-0.00026745717377864460223	7.5751936558104236295e-05
-8	-2	-3	-1.5883153499757774958e-06	-4.9803291447278056885e-06	-1.3687639450134835991e-06	1.1041158784468581003e-06	5.148016896611062247e-06	1.2544800466976242255e-05
-8	-2	-2	-7.9994603430423000365e-06	-0.00011047307708443869674	3.1890074608355966485e-05	0.00024650960333760622845	1.0776676381323674492e-07	0.00019538270500014858562
-8	-2	-1	-7.4520656746713613075e-09	-3.9851945264858994439e-09	8.8723569609605124691e-09	2.4749922286309641379e-08	4.1871811475449872139e-08	-1.7618288360732090515e-08
-8	-2	0	7.5307240309191223452e-09	9.4902097933802538689e-09	-3.0122896123676489381e-08	-3.7960839173521015476e-08	-6.5032416154199618207e-08	5.111505146486862657e-08
-8	-2	1	1.3156636003090893678e-09	-8.5601690676569877697e-09	3.7656364773026606686e-09	1.7595417267277392151e-08	1.8056581757078037934e-08	-3.3290518006701111238e-08
-8	-2	2	0.00025933938918774505173	3.3666929545735650904e-05	-0.00041150240357915062643	-0.00018161444581124108581	0.00062585515317182963471	-4.6946727628298475421e-05
-8	-2	3	1.292941499204999993e-06	3.1478588409567924816e-06	-5.5884998269003459935e-06	-1.2429143556420051432e-05	-2.7782255338689741831e-07	1.0819453827141310168e-07
-8	-2	4	8.2765754179717278033e-05	-0.00022839435946355027057	-0.00016332680780269516561	0.00024001525693907976551	8.3868104458086986815e-05	-0.00033678109045756068549
-8	-2	5	2.0629888211662645828e-10	-4.363920094872819348e-11	-8.1950153344867893323e-10	-4.2614645684170181283e-10	2.2775980071307544602e-12	-2.4028130425464584504e-10
-8	-2	6	6.6910021696033270271e-05	-3.2886243947941474347e-05	-7.2295653769289747116e-05	-7.932331952974995193e-06	6.5114811004947768954e-05	-4.6492435914913630296e-05
-8	-2	7	-5.2542998423855540339e-06	2.0350084425473749685e-05	2.1858972148686488474e-05	3.4295559385740102949e-06	2.4050650832693572514e-07	2.4237112468705432241e-05
