# completed local quartic closure restart checkpoint; cutoff=8; restart=0; seed=12916328572993039690; objective=projective-height-stretching-ratio; selection=double-triple-remainder; optimized_objective=0.434768617949668201; refined_objective=0; accepted_steps=20; candidate_lemma_proved=false
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-8	-8	-8	2.958131603892734687e-06	2.9680661794571909409e-06	5.1753595278620854309e-06	2.7301412550193099827e-06	-8.1334911317548209649e-06	-5.6982074344765013471e-06
-8	-8	-7	2.0685365386958735194e-06	-3.2037688087421030001e-06	8.9619469705276520112e-07	-5.2999582238569930409e-07	-3.3882642694270156806e-06	4.2671595784317734569e-06
-8	-8	-6	-3.8973947332477625673e-08	1.7205848705652564816e-06	-2.9723999894210326296e-07	4.8744574631700082437e-07	4.4828526169944117603e-07	-2.944040822509676408e-06
-8	-8	-5	-6.1248225914174498621e-08	-4.0015898157063388139e-07	8.0269777866950611199e-08	-1.1035836541971066377e-07	-3.0434483124441777477e-08	8.1682775518455127225e-07
-8	-8	-4	-9.9649479783864277152e-06	4.3915046211649756973e-06	3.9185778258952967787e-05	-6.9899698227017439262e-05	-5.8441660561133073368e-05	0.00013101638721170491358
-8	-8	-3	9.3768510057746980793e-08	6.9490056415384467833e-08	1.7261717038435726471e-08	2.5668515007914497858e-08	-2.960806055898205527e-07	-2.5375619046213060165e-07
-8	-8	-2	-4.9468031529739212466e-06	-0.00010872655998946585177	-2.4374954764504149141e-05	4.7128103850167323387e-05	0.00011728703166991228833	0.00024639382455719408644
-8	-8	-1	7.1549813247742511266e-08	1.0659081118477041782e-08	-1.9726547273495520017e-09	9.4773504066384572279e-09	-5.5661726816314368735e-07	-1.6109145220092399208e-07
-8	-8	0	0.00023699472524935051229	0.00032670987516030826868	-0.00023699472524935051229	-0.00032670987516030826868	-0.00088351332358270440962	3.2610295119698489536e-05
-8	-8	1	-1.4776958109228333416e-08	1.8622240876070613113e-08	-3.2284200444110349938e-08	-5.0236704136065040064e-09	-3.7648926842670946683e-07	1.0878856369971285962e-07
-8	-8	2	-0.00013298102056288725538	-6.7713426734500119751e-05	8.1310639503260519613e-05	0.00022783347291872968845	-0.00020668152423850699728	0.0006404801847369182748
-8	-8	3	-3.0470616569485865274e-08	1.0892677195124008519e-08	-5.8852683535069883134e-09	1.1966011560131944035e-08	-9.6949026461314278438e-08	6.0956503347349211221e-08
-8	-8	4	0.00010640563900718846694	-5.9805114563338688453e-05	0.00014040148790726541118	-6.7407949349891925538e-05	0.00049361425382890772914	-0.00025442612782646125509
-8	-8	5	-6.5524293051158582162e-08	-4.0799481666698896316e-08	-1.7999738413144702334e-08	1.2167795610148251641e-08	-1.336384503428852499e-07	-4.5810697690481034127e-08
-8	-8	6	2.2826615026890940481e-07	2.1331428959965696475e-07	5.1511551278221131077e-08	2.4377047469366356078e-08	3.7303693539617404785e-07	3.1692178275869774787e-07
-8	-8	7	-9.4805393286731276079e-07	-6.2189924458194036846e-07	-1.2106828079039954932e-07	6.373339477665335574e-08	-1.2218539584659568048e-06	-6.3790382834889941286e-07
-8	-8	8	-1.7342111906464744255e-05	-8.3825823164676001125e-06	-2.8927948111047844843e-05	-2.0121192024188768512e-05	-4.6270060017512589098e-05	-2.8503774340656368625e-05
-8	-7	-8	-3.6909511891510985793e-06	8.3939651674804902124e-07	-8.7681412215722265398e-07	4.1630258325902366953e-07	4.4581635460386683751e-06	-1.2036612770996947652e-06
-8	-7	-7	-8.6028682097035534646e-05	3.8383629544623261258e-05	7.2388308246764307397e-05	-1.8093608120875634383e-05	2.5930185578419168998e-05	-2.5773397072979516501e-05
-8	-7	-6	-1.0128538513341649404e-07	2.4369516402052463937e-07	1.0447517074150422461e-08	5.6930381710744862893e-08	1.2285841025804650194e-07	-3.9134566402323518702e-07
-8	-7	-5	-2.2034534358567820721e-09	1.6113543741853546027e-07	1.4448500722033112542e-08	7.8375219195569801714e-09	-1.6702375513475505251e-08	-2.6878923055703652653e-07
-8	-7	-4	-5.6437064353506809927e-08	-2.2469501973733299963e-07	-5.2586266318847941266e-08	-9.7493463492520423203e-09	2.04900094764997527e-07	4.6645139558585703735e-07
-8	-7	-3	3.2468396606971485477e-08	9.0293328044635167398e-08	2.120460679217729407e-08	-2.8426539260521475912e-09	-1.3605980680033766177e-07	-2.3414934895823877089e-07
-8	-7	-2	2.6484333541563782872e-05	3.8838534460871037158e-05	-4.7649937993328934417e-06	-2.6566633752303300825e-05	-8.9259855868590009522e-05	-6.2370919710422594051e-05
-8	-7	-1	6.1413552216569957784e-10	1.0042497867686412464e-08	5.5147016373928436083e-09	-7.6574025317406567868e-09	-4.3515995639075498572e-08	-2.6738165219306700553e-08
-8	-7	0	-9.7542141104798593365e-10	1.5272047533652748489e-09	1.1147673269119839833e-09	-1.7453768609888856302e-09	1.4459346365756840434e-08	5.7594954481101352969e-10
-8	-7	1	1.7603485972306381807e-09	3.1974103454636159261e-09	-8.2520807742818026489e-09	-4.6749271912846964836e-09	-4.3681776642127513097e-08	-7.1452075752839479764e-09
-8	-7	2	-2.6821360535612577682e-05	-1.5343074562919972598e-06	2.9693308806485345564e-05	-1.4092782646570003972e-06	-3.3588613197516050661e-06	-1.10697037514674917e-05
-8	-7	3	-2.9135184617265841953e-08	-2.4212965604286709285e-09	-5.2102049432909299422e-09	-9.4322562955696623247e-10	-8.985097051372107402e-08	-8.6576506301093775699e-09
-8	-7	4	2.2776211774404321622e-08	3.8607899419150205645e-08	3.9574352259269930053e-08	-4.537709954254945626e-08	1.1480754000253103076e-07	-2.194125361161136753e-09
-8	-7	5	2.1014685037117745997e-09	-3.045858885610105302e-08	-3.0683087555036823329e-08	3.4246561222262151338e-08	-3.9593972971112713963e-08	-7.8855645859467810708e-10
-8	-7	6	2.6185808005407103012e-08	-4.9308911179272263203e-08	-7.0460512654302473176e-08	6.8759258179894945143e-08	-4.7289520756143408072e-08	1.447391963751440792e-08
-8	-7	7	-5.1571462957476125013e-05	-0.00011250679667546872843	7.7900283208856712269e-05	0.0001576148828632109632	1.8961468400312562137e-05	2.9035686662675276473e-05
-8	-7	8	6.4058712256164598428e-07	-1.7208331932229395745e-07	-9.4386096724541482281e-07	8.4283496773022265924e-07	-1.8529122377809203862e-07	5.6539727744165090909e-07
-8	-6	-8	-1.7290627768923292624e-06	1.9819136457628353883e-08	-1.282132209896526379e-07	3.2829522481914590403e-07	1.8252226926345687673e-06	-2.6604055507198776205e-07
-8	-6	-7	2.1838747460864728435e-07	-8.3068092440230950927e-08	-8.4054770987226227384e-09	-5.4706568317114467273e-08	-2.423809906109774861e-07	1.4182630706064776166e-07
-8	-6	-6	1.1113407097491878588e-07	-1.4039044935623814481e-07	-3.0787651345983400874e-08	-4.2542158934923946697e-08	-1.1739110995390831583e-07	2.2972942474324148194e-07
-8	-6	-5	-5.7605005736894619888e-08	1.3855078080626046414e-07	3.9206139899834607296e-08	2.702592272261723895e-08	4.5120641299229865713e-08	-2.5411235655715742804e-07
-8	-6	-4	5.4010150806400277223e-09	-3.6499777304720361836e-08	-1.9728162464807773111e-08	-4.541450705935997468e-09	1.8790213535931602567e-08	7.9811730668344716565e-08
-8	-6	-3	-2.0909332706719641244e-09	-1.8767242912988848141e-08	-9.5167640530951975343e-09	3.1156624283682660334e-10	2.4609350161315632734e-08	4.9422848615629941595e-08
-8	-6	-2	-0.00013393467440652812245	-0.00019865113817551228429	-3.0284339201611965313e-05	0.00019895610200509124699	0.00062659171523094837897	0.00019773624668677539616
-8	-6	-1	2.1315423698864651946e-09	-5.6121519688973998718e-09	-7.6314168200968140445e-09	7.6405695077837706593e-10	2.8736161961489166019e-08	4.0312874046508935959e-08
-8	-6	0	6.8377011272300441383e-06	2.9025948945036127001e-05	-9.1169348363067255177e-06	-3.8701265260048173852e-05	-2.4557769446381801873e-05	-1.9259754440881030871e-05
-8	-6	1	7.6237471342975598991e-09	-2.7776366042856335971e-10	-7.927050009862517292e-09	5.198113824736568547e-09	1.3427677015205370478e-08	2.896657366499090275e-08
-8	-6	2	5.9890439878970749821e-05	0.00035635684300957002962	6.1121833444052840051e-05	-0.0003044949428102013177	0.00042292725984804154654	0.00051194254360767616537
-8	-6	3	-2.1627390092875098961e-09	7.6559595874950503288e-09	3.3310872439690946797e-09	2.1734056288476936355e-10	8.9487046317149609636e-10	2.0850573359089674057e-08
-8	-6	4	-1.1167152744417038648e-08	1.0885699784800090637e-08	2.6538694546375884849e-08	4.9469757883666072599e-09	1.7473736330729748324e-08	2.9191863252150091751e-08
-8	-6	5	2.3829253988495978418e-08	-3.1899635847168062796e-08	-4.5236350114325507232e-08	2.2520383311185748934e-08	-1.6156813755597044533e-08	-2.4014957382046001752e-08
-8	-6	6	-4.396945909912814563e-08	2.4050063418155003744e-08	7.967219707832624862e-08	-7.2863170350319534156e-09	2.1046251612822059962e-08	2.4780434189174717415e-08
-8	-6	7	-1.0462905505417431261e-07	2.0975483354379977037e-09	1.7550566442695919485e-07	5.3060069533606299174e-09	3.0857363732622939369e-08	6.9452040576668227828e-09
-8	-6	8	4.4639561649344169615e-07	-4.2520291345976980265e-07	-1.2928277709352760726e-06	2.7567381827936090145e-07	-5.2322521170801535834e-07	-2.1844754975024911332e-07
-8	-5	-8	-2.9861537553558148813e-07	-1.2076089580788098817e-07	-7.694384709133853544e-09	9.1796244836274922668e-08	3.0342436597879014473e-07	6.3388242785209166462e-08
-8	-5	-7	-9.9386766218822332805e-08	1.093263156348847049e-08	2.1036193398997863418e-08	3.7757727822218662459e-08	9.8559023250798468454e-08	-3.9464241659857296602e-08
-8	-5	-6	9.2441605931388546213e-08	-7.5645017285341347694e-08	-4.7214432814566479306e-08	-2.8327481588039306628e-08	-8.391011389637932776e-08	1.2446625770382119926e-07
-8	-5	-5	-6.5222885141352342921e-09	3.494335873495397426e-09	5.0318522037991247772e-09	5.9357168786649714473e-09	5.4038094188172500902e-09	-1.1526654276257607163e-08
-8	-5	-4	-7.7659131348570847349e-06	-4.1120965006409434701e-06	9.4547246943707864312e-06	4.1968366706951603924e-06	3.7134204017506860073e-06	2.9781471629129368732e-06
