# completed local quartic closure restart checkpoint; cutoff=8; restart=0; seed=12916328572993039690; objective=projective-height-stretching-ratio; selection=double-triple-remainder; optimized_objective=0.238029527427544851; refined_objective=0; accepted_steps=6; candidate_lemma_proved=false
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-8	-8	-8	-7.358666123250093665e-06	1.8394739980006202835e-06	7.6106343226881070585e-09	-1.4506954712993105491e-07	7.3510554889274054818e-06	-1.6944044508706893874e-06
-8	-8	-7	3.3513982675132612754e-06	-5.1906770967171828463e-06	1.4519953111153621447e-06	-8.5868779579428472835e-07	-5.4895926612898549742e-06	6.9135598771559627005e-06
-8	-8	-6	-7.8756297612231535768e-08	3.4768583478948796205e-06	-6.0064539060522963261e-07	9.8500215898756279267e-07	9.0586891762328155783e-07	-5.9491473425099234998e-06
-8	-8	-5	-1.4905428001958463498e-07	-9.7383080082940811986e-07	1.9534531439418216829e-07	-2.6856919455631712139e-07	-7.4065654999356058582e-08	1.9878399926171605554e-06
-8	-8	-4	-7.5289626693634466319e-07	-1.6498486390618591401e-07	5.9555510615748546323e-08	3.110204575794262467e-08	1.3866815126411921411e-06	2.6776563629648659191e-07
-8	-8	-3	3.0001828689270240818e-07	2.2233783675331468365e-07	5.522995696005722344e-08	8.2128039519999655868e-08	-9.4732865027402571961e-07	-8.1190900339550494066e-07
-8	-8	-2	-6.3246002887911801908e-06	2.4830126034319849668e-06	2.1985480974187481898e-06	-4.7536131232105325407e-06	1.6504208765489724616e-05	9.0824020791141886016e-06
-8	-8	-1	2.6439603310514163845e-07	3.9388205731762196418e-08	-7.2894960996111697969e-09	3.5021389129085804149e-08	-2.0568522960442438287e-06	-5.9527675888678400454e-07
-8	-8	0	-6.9867426544686968328e-08	8.7103500508113096862e-06	6.9867426544686968328e-08	-8.7103500508113096862e-06	2.9222363436176924717e-05	6.7639869146185904074e-06
-8	-8	1	-5.460488194305799211e-08	6.88142483071657082e-08	-1.1929890718007353529e-07	-1.8563829431478399782e-08	-1.3912303129850520604e-06	4.0200335100549841441e-07
-8	-8	2	8.8806059691273659019e-06	-7.1245793799628496606e-06	-8.1752757133250554452e-06	5.3846249739582635518e-06	2.8213210232092392858e-06	-6.9598176240183427414e-06
-8	-8	3	-9.7492667614230370048e-08	3.4851810589117018784e-08	-1.8830288848949504573e-08	3.8286011871129846488e-08	-3.1019455056847963918e-07	1.9503419322732499171e-07
-8	-8	4	-2.3174075573812557523e-07	6.8135345713359445007e-07	-2.3649951860793892438e-07	-1.7387025424625522861e-06	-9.3648054869212894627e-07	-2.114698170657915672e-06
-8	-8	5	-1.5946055871428010621e-07	-9.9290016555314789805e-08	-4.3804338977453384413e-08	2.9611666085439700674e-08	-3.2522383630677356383e-07	-1.1148536075180015055e-07
-8	-8	6	4.6126702825391603875e-07	4.3105317337596818072e-07	1.0409156219992788907e-07	4.9259726992166223768e-08	7.5381145393845864101e-07	6.4041720049084581971e-07
-8	-8	7	-1.5360165260236616638e-06	-1.0075877374512042682e-06	-1.9615221626568962971e-07	1.0325947105187624132e-07	-1.9796214197592586816e-06	-1.0335180187420892341e-06
-8	-8	8	3.1777561217721618579e-06	1.3727156772539400684e-06	2.6001620398388867625e-06	-5.8470222788331604673e-07	5.7779181616110481968e-06	7.8801344937062402168e-07
-8	-7	-8	-5.9799994775995968702e-06	1.3599721249109057925e-06	-1.4205953218411662608e-06	6.7448446290206703511e-07	7.223020384210617666e-06	-1.9501460299502144482e-06
-8	-7	-7	-1.505903184429794304e-05	-1.4552082717348560267e-06	5.0896441498255880865e-06	-8.48500352968166296e-06	1.2120677957943488221e-05	1.0148098697378640792e-05
-8	-7	-6	-2.6378326649133166426e-07	6.3466912140186360409e-07	2.7209060585722424336e-08	1.4826701829170493786e-07	3.199671179717660628e-07	-1.0192036832094740408e-06
-8	-7	-5	-6.9281960206201813261e-09	5.066491890126563366e-07	4.5429616790333654149e-08	2.4643084029358821727e-08	-5.2516349873474821716e-08	-8.4513902006135255648e-07
-8	-7	-4	-2.0855031282192195892e-07	-8.3030925142081709651e-07	-1.9432056604218448813e-07	-3.6026488164057680128e-08	7.5716161621766673899e-07	1.7236648571287352507e-06
-8	-7	-3	1.3773442944255817346e-07	3.8303400599791998735e-07	8.9952221953800832884e-08	-1.2058843599420973993e-08	-5.7718032973902371282e-07	-9.932867142624709073e-07
-8	-7	-2	1.1227655930685714358e-06	-2.0147052896288503658e-06	-8.3086423923627395234e-07	1.3889918365868117089e-06	-1.5830375349473268569e-06	3.197349730461560588e-06
-8	-7	-1	3.1351385987421068145e-09	5.1266571556943952931e-08	2.8152343155411503839e-08	-3.9090750130698913056e-08	-2.22147510877817388e-07	-1.3649732154065923205e-07
-8	-7	0	-5.1120983332662475136e-09	8.00394658740050527e-09	5.842398095161425848e-09	-9.1473675284577200723e-09	7.5780170108310793375e-08	3.0185012085294388053e-09
-8	-7	1	8.9865129685988673145e-09	1.63226588078317663e-08	-4.2126560053316994433e-08	-2.3865326389231730138e-08	-2.229938166244280159e-07	-3.6476014261967973949e-08
-8	-7	2	-8.4845572608744749234e-07	-2.3364263597872135666e-06	1.8835473499585096501e-06	1.7391706890362963013e-06	3.1985928205049942295e-06	-3.2586080275218167885e-06
-8	-7	3	-1.2359458579180562421e-07	-1.0271400349663851195e-08	-2.2102249576096616218e-08	-4.0012645371817251921e-09	-3.8115747778904042581e-07	-3.6726684852527630564e-08
-8	-7	4	8.416430133037588879e-08	1.4266669596468423047e-07	1.4623800224085979702e-07	-1.6768073274105648464e-07	4.2424510658225646868e-07	-8.1078903674803656707e-09
-8	-7	5	6.6075304737326335472e-09	-9.5769245981135154646e-08	-9.647512474729859806e-08	1.0767955669902512268e-07	-1.2449312588824581699e-07	-2.4794141911810684076e-09
-8	-7	6	6.8197183258794135769e-08	-1.284179908173948366e-07	-1.8350430481281394535e-07	1.7907363140617105616e-07	-1.2315877793655743071e-07	3.769524888400645225e-08
-8	-7	7	-1.1417670977816118822e-05	-9.9483889244584315572e-06	8.651447614044397241e-06	5.5283758457818196936e-06	-4.3973192177454533249e-06	-5.8412114964563875583e-06
