# projective normalization alternating checkpoint; cycle=1; phase=component; objective=0.000434757559831383696; candidate_lemma_proved=false
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-12	-12	-12	4.0466867987717206928e-08	8.5524070643597015478e-08	-9.9964967945450097341e-08	-1.7517414305441209294e-08	5.9498099957732883796e-08	-6.8006656338155806184e-08
-12	-12	-11	-1.0503014375919090319e-07	-4.1687912532266657401e-08	1.2586185080393784733e-07	-1.3000631754310290261e-08	-2.2725498594269395411e-08	5.9660230130811209014e-08
-12	-12	-10	1.983071959340493528e-07	-4.2301180008407389835e-09	-2.1627901224167469055e-07	6.326650181489916066e-08	2.156617956915040529e-08	-7.0843660576870114283e-08
-12	-12	-9	-2.4282143914749202594e-07	1.1903797748904552938e-07	2.4790950019388413483e-07	-1.4140122049926513526e-07	-6.7840813951894600499e-09	2.9817657346959461268e-08
-12	-12	-8	2.6048800016027956753e-07	-2.6074221250575439411e-07	-2.9584699828966875891e-07	2.4131056365161637053e-07	5.3038497194083840013e-08	2.9147473281207045304e-08
-12	-12	-7	-1.587603114158967936e-07	3.7609264243389493327e-07	2.1138730575221238014e-07	-3.3818830678603311069e-07	-9.0217704576541014956e-08	-6.4978861110620306987e-08
-12	-12	-6	-1.4780233304289685124e-07	-4.0106175814196684188e-07	-1.0785083192289729498e-09	2.3688729006735782223e-07	2.977616827242516579e-07	3.2834893614921803929e-07
-12	-12	-5	3.5807601435919314319e-07	1.9512184039241807629e-07	-1.8237913100780667273e-07	-6.9552048368546260581e-08	-4.2167252004332750793e-07	-3.0136750085729235771e-07
-12	-12	-4	-4.8262052378602937735e-07	7.1936645212839368701e-08	2.9176760003664883989e-07	-1.5356874963676530938e-07	5.7255877124814155943e-07	2.4489631327177782203e-07
-12	-12	-3	2.8308781745793464966e-07	-2.8267381284952824032e-07	-1.2242900430145678122e-07	3.0843461877414654241e-07	-6.4263525262591157964e-07	-1.0304322369847315541e-07
-12	-12	-2	-9.5323681783262068072e-08	2.8135498080954954304e-07	-2.024545995034713512e-08	-2.674791925034090356e-07	6.9341485040165527209e-07	-8.3254729836842938756e-08
-12	-12	-1	-5.0631226479790303043e-08	-1.138148948875758117e-07	9.0782867710761751e-08	9.541808246111712064e-08	-4.8181969477165745489e-07	2.2076174911750426627e-07
-12	-12	0	2.9062432445082393539e-08	-4.0003970566849048813e-08	-2.9062432445082393539e-08	4.0003970566849048813e-08	2.7038805311552360026e-07	-2.6496044175896594889e-07
-12	-12	1	8.5918973679554255691e-08	5.4408215850069929886e-08	-9.0315206257211366014e-08	-3.5051198832413149569e-08	-5.2754790931885257707e-08	2.322842042118813638e-07
-12	-12	2	-1.4994230266144833677e-07	1.8294951572874577686e-08	1.4014494516547161941e-07	-4.0814359907263894456e-08	-5.8784144975860264498e-08	-1.3511645000633590724e-07
-12	-12	3	5.7873871946333234735e-08	-1.7461138480975983578e-07	-3.9714124502175196271e-08	1.6930400044139285765e-07	7.2638989776632153856e-08	-2.1229537473467866189e-08
-12	-12	4	8.4459758535391684207e-08	2.0609927321814693892e-07	-8.8517430036265632134e-08	-1.8333872538716836399e-07	-1.2173014502621848746e-08	6.8281643492935724795e-08
-12	-12	5	-1.7328871312695512649e-07	-1.0049811566850134922e-07	1.5515517788265642217e-07	7.4008716643560796982e-08	-4.3520484586316904922e-08	-6.3574557659857320074e-08
-12	-12	6	2.1033304405148648308e-07	-4.4921921283039746706e-09	-1.8401464254615903122e-07	1.4326032561526682416e-08	5.263680301065487725e-08	1.9667680866445412182e-08
-12	-12	7	-1.5080164430921433552e-07	9.2242201740022736392e-08	1.296419094633621256e-07	-7.808548692947477335e-08	-3.6273831164318072264e-08	2.426865396093936616e-08
-12	-12	8	4.7882527811766946346e-08	-9.2947964339353977672e-08	-4.3407296521970767143e-08	7.2180268185693836468e-08	6.7128469346942663226e-09	-3.1151544230490205188e-08
-12	-12	9	-1.135102044968564086e-09	3.9725274157680584312e-08	6.6201187057447516583e-09	-3.0453765016387292115e-08	7.3133555477015834297e-09	1.2362012188391060123e-08
-12	-12	10	-8.4861867347655696406e-09	-7.0257473317024240971e-09	7.2611660780090639177e-11	8.8870568184072240434e-09	-1.0096290088782575298e-08	2.2335713840457591084e-09
-12	-12	11	1.9633600428691647764e-09	-1.3530041431071646094e-09	-2.1364773177289318936e-09	-2.8984981936454299082e-09	-1.8885520893792810958e-10	-4.6380025491846487902e-09
-12	-12	12	4.8086084579199569167e-09	1.7363132883231579171e-10	1.0414159909547765635e-09	1.6709102867813068764e-09	5.8500244488747330666e-09	1.8445416156136226164e-09
-12	-11	-12	1.0457681760705159437e-07	8.693921396358368509e-09	-3.0525511216862633846e-08	1.0015367141436785179e-07	-7.6595098991594184424e-08	-1.0050145352619556433e-07
-12	-11	-11	-1.0959487506946556196e-07	8.5464188910340742837e-08	8.7555145031172002348e-09	-1.9659466915015534195e-07	1.108025310272088645e-07	1.0336100852069270979e-07
-12	-11	-10	6.0414595766436268712e-08	-2.1942297467837802392e-07	3.4669946331036855372e-08	2.7171971192051100177e-07	-1.1063445588386406336e-07	-3.5584113498508465297e-08
-12	-11	-9	5.8171911039163257648e-08	3.5610281880841483324e-07	-1.0405988334484408574e-07	-4.1105232704047074659e-07	4.962175381370287899e-08	2.7593530193800037709e-08
-12	-11	-8	-2.8395241400140148891e-07	-3.8517403045050125739e-07	2.2119399268781098869e-07	4.4045307899083976431e-07	1.2178688105636212391e-07	-2.7861937936652796461e-08
-12	-11	-7	5.281877594400681762e-07	1.4042737593118969513e-07	-3.1938477060617635963e-07	-2.0771680587954065611e-07	-4.0357437665898263187e-07	8.5679479071524414592e-08
-12	-11	-6	-6.8586844974450413386e-07	2.9757028650187608938e-07	4.281033441773853048e-07	-1.8770644456291932573e-07	5.868807684971352354e-07	-2.5101209130506673502e-07
-12	-11	-5	7.1416061998141351263e-07	-7.4517324785521107119e-07	-3.3688248083516075425e-07	5.3506617782545646559e-07	-9.7284403011803878154e-07	6.1127020363650247362e-07
-12	-11	-4	-1.8097005174376301947e-07	9.0659712226887617738e-07	-8.4678259536529686132e-08	-6.862897377527189374e-07	7.7577536895674569195e-07	-8.3249458798665174545e-07
-12	-11	-3	-2.2755666154327183653e-07	-8.3205765689650885108e-07	4.3007682270070997417e-07	6.1772801852794464784e-07	-6.6672170372951587485e-07	1.0632278929835714838e-06
-12	-11	-2	4.588409245065476869e-07	4.6686965791074514843e-07	-5.48695167600479101e-07	-3.2081571696903566309e-07	2.6477787476334903999e-07	-1.0367315041347749024e-06
-12	-11	-1	-2.880245554799325873e-07	-2.0401430324264458212e-08	2.9791655659484610336e-07	-5.0932614922241591173e-08	1.7921254321588383122e-07	8.0507592803583103454e-07
-12	-11	0	-7.1026538902767896805e-08	-2.055016523856075581e-07	7.7483496984837709215e-08	2.2418362078429913504e-07	-3.3101380931903887443e-07	-3.9928112602664222447e-07
-12	-11	1	2.7689141956714049078e-07	-1.7769444980060514943e-08	-2.7233523368263955663e-07	2.7844203136905574192e-08	3.2700946429665119001e-07	9.3052894745235116944e-08
-12	-11	2	-1.4688890919368676249e-07	2.0634614243815645794e-07	1.2926502154547199599e-07	-2.1528010461307819828e-07	-1.7037583666202464994e-07	5.4036279257008690188e-08
-12	-11	3	-3.3844454841230176963e-08	-2.3050039041196584724e-07	3.1663614581416154453e-08	2.1604497064948122345e-07	-1.927789923306147927e-08	-1.2983666926643219217e-07
-12	-11	4	1.9438651744521192595e-07	9.2690799935062981836e-08	-1.6132390853519406821e-07	-6.5766727237919654948e-08	1.3951880386385205057e-07	9.721389990090989771e-08
-12	-11	5	-2.7152392052854111209e-07	1.1006793147586983756e-07	2.1369603300180126569e-07	-1.065107280271743912e-07	-1.8152613666453588451e-07	2.983943388230393099e-08
-12	-11	6	9.1395244549592659722e-08	-2.743491148240792349e-07	-6.0514871513473203821e-08	2.4114771958908594716e-07	7.184655799115110582e-08	-1.0659407706816764609e-07
-12	-11	7	7.0385065305266891152e-08	2.3453578719389497188e-07	-7.0005001471706958159e-08	-1.8420176228722535941e-07	1.065225249634659084e-08	1.1260143730960866137e-07
-12	-11	8	-1.2295904039193513699e-07	-1.1467280358743852204e-07	9.6045208586815066369e-08	9.3870520553610688848e-08	-5.2376398781032014044e-08	-4.2937239619943079277e-08
-12	-11	9	7.4817037834220809029e-08	5.2850400732020019679e-09	-5.0444450531691616557e-08	-1.7250593342004447711e-08	3.8101722018004654793e-08	-1.4037338431513877912e-08
-12	-11	10	-1.4575283669979022449e-08	1.1897221092662529047e-08	8.7070290400525575399e-09	2.0360417337812199952e-09	-7.9126084599170149682e-09	1.6516311218354377182e-08
-12	-11	11	-1.0111396042110804646e-08	-4.02447368656400667e-09	-6.4029327501463980774e-11	-5.5586586348169508578e-09	-1.1094643191622341066e-08	-9.9489935656140488928e-09
-12	-11	12	4.4786047589125556207e-09	-7.6407694222532062539e-09	3.4594942537544528834e-10	2.6197790753006556882e-09	4.7957250655067136595e-09	-5.239305269894271425e-09
-12	-10	-12	1.233134599582098179e-07	-1.5976287571120946301e-07	1.8088131820475462992e-07	7.5154651752380633388e-08	-2.7404789179550536048e-07	9.7133999250892268523e-08
-12	-10	-11	3.7970533952637358681e-08	1.8992263133350787824e-07	-2.5862334023837319156e-07	-5.4004280799463644726e-08	1.9368972681382575638e-07	-1.5809352436431438279e-07
-12	-10	-10	-2.5968532245658960533e-07	-1.779052288832491483e-07	4.9855652212820724632e-07	3.4485144770467905715e-08	-1.8693413518029968286e-07	1.790011298894310696e-07
-12	-10	-9	4.5948096826288837469e-07	1.2136295751022247428e-08	-5.5695114294517434792e-07	2.2029624483441197879e-08	6.1933122552313969563e-09	-4.0659088205186546828e-08
-12	-10	-8	-6.5810317754091956168e-07	4.706999607256350868e-07	6.5207142600086902899e-07	-3.6112278341717942717e-07	1.7206548381029302981e-07	-2.5464646181697835947e-07
-12	-10	-7	5.6031772883951393609e-07	-1.0627040870736021959e-06	-5.1704661607109496359e-07	7.2496694143381235131e-07	-2.2190665505188822818e-07	7.8611137579215744243e-07
-12	-10	-6	2.3995409145438206147e-08	1.4992700578923173397e-06	-6.8986293716070149733e-08	-9.6163857964697128983e-07	6.6986337902573830643e-08	-1.3958091497063491257e-06
-12	-10	-5	-8.7553771851363182992e-07	-1.5781152630895688317e-06	9.2020294363815004615e-07	9.1966890969286780452e-07	2.6088463715641625714e-07	1.948138812029229206e-06
-12	-10	-4	1.6377664228265023225e-06	1.5675423184206276783e-06	-1.6724924033463119067e-06	-7.8484775220433091089e-07	-7.3206826011372720087e-07	-2.7405075747510556519e-06
-12	-10	-3	-1.6912967808300950179e-06	-4.2866941398362450216e-07	1.677194563695490793e-06	-1.6315118193675369232e-07	1.1745385776687441658e-06	2.2585149290570102987e-06
-12	-10	-2	1.5175102694141010248e-06	-1.0526126575040239678e-07	-1.4526454226568256549e-06	5.2217686766219860408e-07	-1.8418345032004778743e-06	-1.9793167438085781898e-06
-12	-10	-1	-6.5213598038652235334e-07	3.9335333686629806621e-07	6.1833979861528581671e-07	-5.669455140055303415e-07	1.6422337784854094377e-06	9.4921509765972630278e-07
