# projective normalization alternating exact-gradient winner; component=dominant; core_maximum_height=8; cycles=1; initial_open=0.000573210984707585433; final_open=0.000575812137111921842; candidate_lemma_proved=false
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-12	-12	-12	7.2372422974168784293e-07	-2.36730568434724174e-07	-2.836311066264083876e-07	1.1572891875568716179e-06	-4.4009312311527950827e-07	-9.2055861912214749684e-07
-12	-12	-11	-3.3598925586915191937e-07	2.4576616383926302227e-07	-2.1593912836859615432e-07	-9.8294286401557651132e-07	6.0210369189572513279e-07	8.0419276382870566293e-07
-12	-12	-10	-1.8374836687024637772e-07	-3.0754985360334667093e-07	9.0589191798817901008e-07	6.3985769899308215415e-07	-8.6657226134151908471e-07	-3.9876941446768252692e-07
-12	-12	-9	7.94998726354419704e-07	-5.6389074419337345402e-08	-1.2730394048817938342e-06	1.0792481040638296339e-07	6.3738757136983210302e-07	-6.8714314649394157324e-08
-12	-12	-8	-1.2412118219493694263e-06	5.8640352398452363106e-07	1.5332260287290016223e-06	-8.843365276699025731e-07	-4.3802131016944850578e-07	4.4689950552806846599e-07
-12	-12	-7	1.0391326829095008887e-06	-1.1544857102156733942e-06	-1.0435914754712509558e-06	1.5707968426214202585e-06	7.6436443915714030721e-09	-7.1367622698128045986e-07
-12	-12	-6	-1.1616877310775423422e-07	1.3181743353868720345e-06	1.0115046876480221394e-07	-1.2905162482144768284e-06	3.003660868590402071e-08	-5.5316174344790326142e-08
-12	-12	-5	-5.9835028280813457214e-07	-7.7006523734946233512e-07	6.6136137343950992982e-07	7.0306465352134432017e-07	-1.5122661751530085311e-07	1.6080140118748318295e-07
-12	-12	-4	9.6170002102458387297e-07	1.9343333876532226386e-08	-9.7520576112963461811e-07	8.3457024954237445754e-08	4.0517220315152427327e-08	-3.0840107649230901642e-07
-12	-12	-3	-4.0713105891435596617e-07	5.4619364993552787684e-07	3.3976261983169375372e-07	-6.3157100675819515883e-07	2.694737563306488498e-07	3.4150942729066912794e-07
-12	-12	-2	-1.3619609235608831029e-07	-4.9344721544681503837e-07	2.2033291978405608968e-07	5.1219662930060934073e-07	-5.0482096456780667629e-07	-1.1249648312276584062e-07
-12	-12	-1	4.5496802330169469176e-07	-1.9751353224160783738e-08	-4.9166586990907425077e-07	2.3061973527942331293e-08	4.40374159288554867e-07	-3.9727443645378577277e-08
-12	-12	0	-3.3711250697780050477e-07	4.7811931721767646245e-07	3.3711250697780050477e-07	-4.7811931721767646245e-07	-3.6611191579251393534e-07	1.3885653382138006204e-07
-12	-12	1	-1.302612278988755794e-07	-5.3042584950009248324e-07	1.4528765461473952088e-07	5.0880444770380215217e-07	1.8031712059036735073e-07	-2.5945682155548497876e-07
-12	-12	2	4.8990600447050873085e-07	3.4873594615584669982e-07	-5.0030819082954188571e-07	-3.1060124630551499895e-07	-6.241311815419877032e-08	2.288081991019899935e-07
-12	-12	3	-4.1824378814015176035e-07	2.5701691495622490107e-07	4.0259353910192001394e-07	-2.6079694267591681104e-07	-6.2600996152926813617e-08	-1.5120110878767646478e-08
-12	-12	4	1.1972686857641126248e-07	-5.793610969205752327e-07	-1.2677907625186234607e-07	5.450199984312600343e-07	-2.1156623026353254062e-08	-1.0302329546794570108e-07
