# projective normalization alternating checkpoint; cycle=1; phase=component; objective=0.000541687364550556198; candidate_lemma_proved=false
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-12	-12	-12	2.9485517806067239371e-08	3.3698116283612801721e-08	-4.8029893265998960637e-08	6.6656323898599314019e-09	1.8544375459931717957e-08	-4.0363748673472735604e-08
-12	-12	-11	-6.3450206629765246055e-08	-1.0751505405367029477e-08	6.6607372589222304926e-08	-2.6416318297664019107e-08	-3.4441810466804273338e-09	4.0546716766942965701e-08
-12	-12	-10	1.2234195941631799862e-07	-3.1198284546288152455e-08	-1.1738759027748733214e-07	7.4465821946499231243e-08	-5.9452429665968017695e-09	-5.1921044880253301163e-08
-12	-12	-9	-1.2486157781867068179e-07	1.072966547579512599e-07	1.1769178620794110658e-07	-1.2882648836479809997e-07	9.5597221476394391292e-09	2.8706444809129121196e-08
-12	-12	-8	7.704928016989117222e-08	-2.1494066939245763744e-07	-8.1282867010171669211e-08	2.1033039188921092008e-07	6.3503802604207645113e-09	6.9154162548700735579e-09
-12	-12	-7	3.4561250684399135176e-08	2.8453452291914691004e-07	-1.6759714701833322649e-08	-2.7235875320959572317e-07	-3.0516918827255682399e-08	-2.0872748073516315626e-08
-12	-12	-6	-2.2244466089601049844e-07	-2.351399458992821338e-07	1.4806043105387814325e-07	1.6598282147658946427e-07	1.4876845968426471037e-07	1.3831424884538528611e-07
-12	-12	-5	3.1285005782228888533e-07	5.8613167187088316645e-08	-2.1998841463313123125e-07	-1.1166365518993365114e-08	-2.2286794365397840157e-07	-1.1387232400342788897e-07
-12	-12	-4	-3.3611820267476943222e-07	1.4485373112722780122e-07	2.3622944386117533642e-07	-1.6526894311639127453e-07	2.9966627644078231389e-07	6.1245635967490433183e-08
-12	-12	-3	1.8900743587687718304e-07	-2.6376689986801364859e-07	-1.0301341226075756716e-07	2.5979354274560843772e-07	-3.439760944644784106e-07	1.5893428489621012192e-08
-12	-12	-2	-5.0082934088438820541e-08	2.5364908560259227605e-07	-7.7497741042553387125e-09	-2.3189324076415905285e-07	3.469962491561649456e-07	-1.3053506903059923336e-07
-12	-12	-1	-3.4546509540662411274e-08	-1.2765301503043644791e-07	5.2726907835135111919e-08	1.1168936846683806629e-07	-2.1816477953367240774e-07	1.9156375876318068532e-07
-12	-12	0	5.3856365357684361448e-08	-1.3746720683113651336e-08	-5.3856365357684361448e-08	1.3746720683113651336e-08	9.7256992266310036604e-08	-2.0672890070993585287e-07
-12	-12	1	3.3899792208201127593e-08	6.4955829503014715678e-08	-3.2336439047039792899e-08	-5.1312572094517170835e-08	1.8760237933936049422e-08	1.6371908890197048518e-07
-12	-12	2	-1.1789791372156656586e-07	-1.5071785237720724929e-08	1.0173725749892049695e-07	1.2670677150137672889e-09	-9.696393733587640022e-08	-8.2828305136241742531e-08
-12	-12	3	9.2634172059824794988e-08	-8.9843880104382221089e-08	-7.2369328383215734283e-08	8.335501433031484981e-08	8.1059374706436256055e-08	-2.5955463096269452028e-08
-12	-12	4	2.1455189367356581096e-08	1.2743786836973179091e-07	-2.8585003713410179685e-08	-1.0536091701070668467e-07	-2.1389443038160799077e-08	6.6230854077075279024e-08
-12	-12	5	-8.5707125824860368863e-08	-6.0539971836994824802e-08	7.3913908518332831973e-08	3.6891520910247389587e-08	-2.8303721535666087872e-08	-5.6756282224193857752e-08
-12	-12	6	1.0818022204461848408e-07	-1.633831099707753648e-09	-8.4806199688621684963e-08	1.1055460324939318336e-08	4.6748044711993584992e-08	1.8843258450463127721e-08
