# projective normalization alternating exact-gradient winner; component=dominant; core_maximum_height=8; cycles=1; initial_open=0.000590223320347610706; final_open=0.000592976912511716087; candidate_lemma_proved=false
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-12	-12	-12	8.3181928664089342139e-08	-2.6258782807187670788e-07	1.6663468892448679406e-07	4.1805672277552472514e-07	-2.4981661758857614944e-07	-1.5546889470364801726e-07
-12	-12	-11	1.9542361247572992595e-07	1.8168987618838264992e-07	-4.4160941625867252732e-07	-2.6885690965379143044e-07	2.6856633139957377102e-07	9.5091309234991381289e-08
-12	-12	-10	-6.1531128759536117337e-07	-1.7097619684145162693e-08	8.702696146266091923e-07	-5.800409274162299643e-08	-3.059499924374976333e-07	9.0122054910921798889e-08
-12	-12	-9	7.5129994512864092844e-07	-3.8708992977368160248e-07	-9.1214087638206973718e-07	5.1216748929022796125e-07	2.1445457500457177146e-07	-1.6677007935539514502e-07
-12	-12	-8	-6.0778233876271348186e-07	9.4332761988567835816e-07	6.9405270840083835833e-07	-1.0661683835056251291e-06	-1.294055544571873147e-07	1.8426114542992015646e-07
-12	-12	-7	1.1438415278909284555e-07	-1.3262551852303600028e-06	-1.1696079511185434863e-07	1.4701152982228212561e-06	4.4171011247340046934e-09	-2.466173365585051418e-07
-12	-12	-6	6.1403710707406021878e-07	1.1089313055252167949e-06	-5.3050323073168570413e-07	-9.8951426631344230653e-07	-1.6706775268474913517e-07	-2.3883407842354918841e-07
-12	-12	-5	-9.9647497363234150378e-07	-4.3341589459066758041e-07	9.008017159762281235e-07	3.2624209424074123018e-07	2.2961581837467187973e-07	2.5721712083982332525e-07
-12	-12	-4	1.0544163551948115965e-06	-2.9745558479896646115e-07	-9.4325827501620477914e-07	3.7266304170506220137e-07	-3.3347424053582029317e-07	-2.2562237071828727358e-07
-12	-12	-3	-5.7135056527602440229e-07	6.9099680925176127238e-07	4.3605071720338954855e-07	-7.3579158785074473755e-07	5.411993922905396267e-07	1.7917911439593356951e-07
-12	-12	-2	1.2501923016628334392e-07	-6.4508262425808971413e-07	-3.1030253610296428645e-08	6.4095512639893456328e-07	-5.6393385933592153138e-07	2.4764987154930749629e-08
-12	-12	-1	7.3168350911197647988e-08	2.5249612322007555384e-07	-1.0714150280827433511e-07	-2.4182243366809587609e-07	4.0767782276492024549e-07	-1.2808427462375600069e-07
-12	-12	0	-1.7859237189978426447e-07	1.9825247717076226955e-07	1.7859237189978426447e-07	-1.9825247717076226955e-07	-2.9197928048806645249e-07	2.0569773386601940677e-07
-12	-12	1	-1.4187818778488728971e-07	-3.6481812699908715217e-07	1.520131761520671923e-07	3.4378663481890266781e-07	1.2161986040615877819e-07	-2.5237790616221349461e-07
