# projective normalization alternating checkpoint; cycle=1; phase=component; objective=0.000397168549445226881; candidate_lemma_proved=false
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-8	-8	-8	0.00013936482920775806983	-1.5240754920040672614e-05	-0.00037225642593224277186	0.00014337649476156626117	0.00023289159672448472914	-0.00012813573984152558686
-8	-8	-7	3.1197805806625919869e-05	2.3307768028215680337e-05	-0.00011137677753059857977	3.472515042151278744e-05	9.1633110541683047631e-05	-6.6323335371118254697e-05
-8	-8	-6	-1.2876623454169902361e-05	-5.2812295252075374232e-05	3.1561369990439583518e-05	1.2626542117150377505e-05	-2.4912995381692903691e-05	5.3581004179899997895e-05
-8	-8	-5	-8.805294343717117277e-06	2.488700976770979442e-05	9.042400738221029809e-06	-3.1605542158122025976e-05	-3.7937023120626166053e-07	1.074965182465957049e-05
-8	-8	-4	2.0982095614121316088e-05	-2.6158087338021874548e-06	-1.8249243744270397463e-05	1.898943509626483425e-05	-5.4657037397018397911e-06	-3.2747252724925293591e-05
-8	-8	-3	-1.3350250318231260627e-05	1.8737906461603671303e-05	6.2858546084558628768e-06	-1.5223011399729416637e-05	1.8838388559401062926e-05	-9.3730534983313514225e-06
-8	-8	-2	4.3110986396040818126e-06	-1.7573490976107100382e-05	-1.3951380027398985684e-07	1.5133605830517375785e-05	-1.6686339357320367505e-05	9.7595405823588983886e-06
-8	-8	-1	5.097149211936839379e-06	1.3386459965171597871e-05	-5.9954249193441889703e-06	-1.1283464230421988951e-05	7.1862056592588009657e-06	-1.6823965877996871357e-05
-8	-8	0	-6.8427762470427318242e-06	-1.2076322735295176469e-05	6.8427762470427318242e-06	1.2076322735295176469e-05	-7.9938514062286386916e-06	1.1758606381749871195e-05
-8	-8	1	5.1139087027489557244e-06	1.0132343534061727643e-05	-4.0952892860041079873e-06	-1.1382749898435694943e-05	8.1489553339587835905e-06	-1.0003250914991738399e-05
-8	-8	2	-9.6681317820622621195e-07	-2.6749743996616845623e-06	-3.0246496372038783711e-07	3.901371589138197443e-06	-5.077112567706455561e-06	4.9055887579060498288e-06
-8	-8	3	-1.2075434518870290459e-06	1.1567450185284309392e-06	-1.15376275721923878e-06	1.5469065215709110116e-06	-6.2968165576167139201e-06	7.2097374402649121511e-06
-8	-8	4	-2.5896040162426858556e-06	6.6119738967203974826e-08	-1.7701529878104678464e-06	9.7126906584849805515e-06	-8.7195140081063069804e-06	1.9557620794904366485e-05
-8	-8	5	6.1786726026894612675e-06	-1.086691928959634261e-05	-5.2041991962757051175e-06	-3.9268920948540588267e-07	1.5591574502620102211e-06	-1.801537359853079708e-05
-8	-8	6	-0.00016281621686665314263	0.00010087190997764547201	-1.4082090832957051534e-05	-0.00010851210765298963871	-0.00023586441026614691878	-1.0186930233792217755e-05
-8	-8	7	4.267299509875089827e-05	-6.7689190649006302034e-05	-5.0694484608118388746e-06	3.2891666249568120638e-06	4.2975481871930352627e-05	-7.3600027456056552706e-05
-8	-8	8	3.4834987626680279267e-05	-0.00010467374398524983677	1.3348470186976713086e-05	0.00018852549732465331681	4.8183457813656988965e-05	8.38517533394034936e-05
-8	-7	-8	-2.8423508713061454363e-05	7.0529455260321955844e-05	-1.8776948703175447541e-05	-0.00012349614972770125054	4.4853338828339970538e-05	3.7529675751416655322e-05
-8	-7	-7	-1.5373145812627135558e-06	1.1445520353217003459e-05	-8.783988867104446411e-06	-8.8356330878726828078e-06	1.0540919817118977157e-05	-4.244961601518178288e-06
-8	-7	-6	2.3828974751681300401e-05	-2.942262909413616989e-05	7.2164201987199227953e-06	3.5958690152436126243e-05	-4.0191123234081646196e-05	-2.7216330523272515559e-06
-8	-7	-5	3.0592013266575603754e-05	-3.5198185800505702087e-06	-1.6300157407797767384e-05	1.5470309609184396056e-05	-2.6127000855604096412e-05	-1.6026723724777242823e-05
-8	-7	-4	-9.9179532422447605017e-06	-1.8898025306745855974e-05	1.2380848295855568996e-05	1.1465218917514844254e-05	-1.830578033257724739e-06	1.7731917507840733232e-05
-8	-7	-3	1.51676126314193059e-05	1.3835831375259096095e-05	-1.7194950633726954672e-05	-6.4037553108415283819e-06	-3.2541553842192296514e-07	-2.1953454608727356132e-05
-8	-7	-2	-1.7568611232739459659e-05	-1.514480281211070876e-05	2.0066208413617822619e-05	8.6190401117542128574e-06	4.2715483295468141338e-08	3.0412570857303095122e-05
-8	-7	-1	2.805215191623011616e-05	1.5734931527305713269e-05	-3.1669914144470472876e-05	-1.3260153700508228112e-05	-2.7278163185476318555e-06	-3.3058376314888112757e-05
-8	-7	0	-2.4798867323598577017e-05	-7.4585945521429145504e-06	2.8341562655541229908e-05	8.5241080595919023434e-06	4.224925343502299976e-06	2.5571929345489107264e-05
-8	-7	1	1.5756875494422451867e-05	3.0516691411205502745e-06	-1.7869313354206444914e-05	-6.3891418619742857475e-06	9.6981047593451303033e-07	-2.0310639904855598884e-05
-8	-7	2	-7.7006355449179683458e-06	2.5786241235162438359e-06	8.7575408418574724508e-06	1.0173247839168667831e-06	-1.5114923317072237297e-07	1.387513323777400739e-05
-8	-7	3	3.0668340822834390131e-06	-3.710452648944147557e-07	-4.9406443081721179142e-06	-2.5306432901140191887e-06	-3.3499458329791041491e-06	-6.8942883833178178791e-06
-8	-7	4	-2.5741624030479636093e-06	1.8366826602152309333e-07	3.2495018122338249101e-06	2.3528346621081012063e-06	5.3830336531326573879e-07	4.4847971907322235625e-06
-8	-7	5	-9.0443546767992709644e-06	3.2015123627357047841e-06	1.855221378895098385e-05	-1.0189564395032539132e-05	1.1502131821652542831e-05	-9.1429703726684250967e-06
-8	-7	6	1.5440830282295866052e-06	-6.6076692859461636827e-07	8.5496837413149538053e-06	1.8161496933828089355e-06	1.2033408402506894631e-05	1.2378187374871220043e-06
-8	-7	7	-4.9521655732812303388e-06	6.1950009230408056455e-07	3.7006097078365504289e-06	-8.6160829383768355554e-07	-1.9590080901991409634e-06	-1.5360818834730585067e-07
-8	-7	8	-1.0839087032287786732e-05	-2.6449714856451573483e-06	-2.1110713149118097047e-05	-4.4337648312054501906e-06	-2.9310961037766120377e-05	-6.5245157129499264768e-06
-8	-6	-8	3.2133178114170235094e-05	0.00011524880979175268849	-4.2330530993594888117e-05	-2.5020692572794406527e-05	-3.8527986897406763061e-07	-9.6483290362156889529e-05
-8	-6	-7	1.9147334549213267975e-05	3.5789124088950783709e-05	-4.2729333255623174197e-05	-8.4768048660631678651e-06	1.4742474734290416177e-05	-3.3636023359318176966e-05
-8	-6	-6	-1.9888140785364418389e-05	-1.3485405263095894102e-05	2.8114391461249706123e-05	-4.8494880946087898075e-06	-1.5968704140971455183e-06	2.2830028445403313583e-05
-8	-6	-5	1.8642975924686758612e-05	1.9613304225857107855e-06	-1.3655953578037066318e-05	1.0180960425189457055e-05	-1.3441617185854332843e-05	-1.5355281186364487078e-05
-8	-6	-4	-4.0174299273324890782e-05	-7.5613112301561473516e-06	3.5737979782940300171e-05	-1.1467781341286483162e-05	2.6741628872239338083e-05	3.2324294472242018599e-05
-8	-6	-3	4.8283586025882495774e-05	-2.4465378363415340878e-06	-4.2790798039141214474e-05	1.5370853318801412537e-05	-4.3174633324070890857e-05	-2.4217605740692067507e-05
