# projective normalization alternating checkpoint; cycle=2; phase=open; objective=0.000573210984707585433; candidate_lemma_proved=false
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-8	-8	-8	-5.0236126938546010257e-06	-4.0853721230051733387e-06	6.2429969170321414313e-06	2.6671177905446453614e-06	-1.2193842231775401939e-06	1.418254332460528189e-06
-8	-8	-7	-9.2941105206443486844e-07	2.3637387488573733932e-06	-5.3763140810250080443e-06	-1.6069778266043398587e-06	7.2065430092450779776e-06	-8.648696254320383705e-07
-8	-8	-6	6.9865641757433225625e-06	-3.1638558003522455008e-06	-2.760391757805631596e-06	6.8492329889518628245e-06	-5.6348965572502543396e-06	-4.9138362514661567139e-06
-8	-8	-5	-5.6943735093311648938e-06	7.6823051221345324042e-06	9.4158092140797516324e-07	-7.8966949423392534234e-06	7.6044681406771027219e-06	3.4302371232755561058e-07
-8	-8	-4	6.3151399654807986915e-06	-1.0391501526322481728e-05	-5.5925796264884170198e-07	9.1956364471711822507e-06	-1.1511764005663914826e-05	2.3917301583025985308e-06
-8	-8	-3	-3.2621828683135474369e-06	1.3352428740798738427e-05	-1.3791735642465544484e-06	-1.0401001158274999616e-05	1.2376950486826938361e-05	-7.8704735533966379581e-06
-8	-8	-2	-8.8887204223769003172e-07	-1.7005846895226460453e-05	3.2359844572806134035e-06	1.3478945029607593248e-05	-9.3884496601716943342e-06	1.4107607462475472206e-05
-8	-8	-1	5.8445900948927148933e-06	1.2937665806737520558e-05	-6.1961081621711197367e-06	-1.1123674058986375403e-05	2.8121445382272366302e-06	-1.4511933982009168019e-05
-8	-8	0	-8.0468496494671892593e-06	-9.28370571594018987e-06	8.0468496494671892593e-06	9.28370571594018987e-06	1.6180823901824395496e-06	1.0744853108025390631e-05
-8	-8	1	6.9762615357838124572e-06	4.5450845484968798693e-06	-7.4088548564893902775e-06	-5.2080468827265666154e-06	-3.4607465656446225626e-06	-5.3036986738374956629e-06
-8	-8	2	-4.477738697136366803e-06	-1.0800130576723339562e-06	4.8994909908387582678e-06	1.2971330928257495654e-06	1.6870091748095669178e-06	8.684801406136626485e-07
-8	-8	3	1.250013126706312682e-06	-1.6972291593697347302e-07	-9.6767366147153278729e-07	3.1879733798494753734e-07	7.5290524062608014274e-07	3.9753179212793080291e-07
-8	-8	4	-6.2754768743753063874e-07	-2.843714531890342764e-07	-3.5224538979230760128e-08	5.5359975636081480251e-07	-1.3255444528335229301e-06	5.384566063435611581e-07
-8	-8	5	1.0950201379483738632e-06	-6.1007258857009920505e-07	-8.4050738766050384932e-07	-1.9214097763892449177e-07	4.0722040046059220226e-07	-1.2835417059344379149e-06
-8	-8	6	4.1206542724955916995e-06	-2.4379788369769297743e-06	1.4360422525095543249e-06	3.3544713132223307352e-06	7.4089287000068608012e-06	1.2219899683272011401e-06
-8	-8	7	2.3440769581688252997e-06	-4.1811654952439367749e-06	-5.8100513533883373961e-07	6.9293500383548491197e-07	2.0149392260914187443e-06	-3.9865491330382300954e-06
-8	-8	8	5.7296963276294609726e-07	9.9955425757079698502e-07	3.9429627816656307508e-07	-1.4314226997272441043e-06	9.6726591092950922528e-07	-4.3186844215644711929e-07
-8	-7	-8	-1.4968888769456007995e-06	5.1489044233865796224e-08	3.4099605990509836263e-06	-3.3988952861198486252e-06	-1.4868266472240098206e-06	2.9225443311210019957e-06
-8	-7	-7	4.6397699020537962373e-06	6.5989679745696668456e-06	-8.9914455411838560523e-06	-7.8069094533509806408e-07	3.6888513674080897105e-06	-6.7609867398873784065e-06
-8	-7	-6	-2.0298699681882303555e-06	-1.0190552788793440903e-05	9.0795064506199370133e-06	6.2401348663751566456e-06	-7.8862642348056196572e-06	6.3072463742869055411e-06
-8	-7	-5	4.7910364305092393504e-06	1.4474329269082537256e-05	-1.0999886248010336774e-05	-7.5881763780259142395e-06	7.734182458399687846e-06	-1.2535479901295780013e-05
-8	-7	-4	-1.1294012705528875111e-05	-1.4144619454002189276e-05	1.2128083941183790117e-05	6.2658889618126269885e-06	1.3638785139861181528e-06	1.7323933224832280687e-05
