# projective normalization alternating exact-gradient winner; component=core-stretching-tail-cross; core_maximum_height=8; cycles=1; initial_open=0.000415523830472466402; final_open=0.000433564512753629972; candidate_lemma_proved=false
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-8	-8	-8	-3.654390810110692405e-05	4.7132725099674370255e-05	6.8168141291041964964e-06	-4.9838145703229029299e-05	2.9727093972002727553e-05	2.705420603554664549e-06
-8	-8	-7	-4.7788540016079227479e-05	-2.1773792373399078703e-05	-1.0915130840510170449e-05	1.2386523494117468016e-05	6.7089909550387881411e-05	1.0728307290607554103e-05
-8	-8	-6	-5.6038900195576315854e-06	-1.8220453909106544744e-05	1.1024336750611665533e-05	3.0133534364297670379e-06	-7.2272623080720463926e-06	2.0276133963569038636e-05
-8	-8	-5	-1.0237340743787585951e-06	-2.1019264390436688121e-06	9.4658447686401551508e-07	1.3933140541553843981e-06	1.2343935602358885387e-07	1.1337798158212547659e-06
-8	-8	-4	-4.0575653150899485282e-06	-3.2997675394488362272e-06	3.8718395757086760648e-06	-2.8167506538577249447e-06	3.7145147876254471505e-07	1.2233036386613121497e-05
-8	-8	-3	-3.3139876649196725747e-07	7.8622073566166000505e-06	-1.9495851009847132716e-07	-4.1506439523479593325e-06	1.4036194042411694178e-06	-9.8975024113830436086e-06
-8	-8	-2	1.6101048800806992826e-07	3.8399164403724363565e-07	-3.1035476930557806564e-08	-1.1942955378293494443e-07	-5.1990004431004851327e-07	-1.058248361017234659e-06
-8	-8	-1	-8.2919166849448586152e-07	5.6523157590949504486e-07	5.7848290478122047425e-07	-7.4194415832217102668e-07	2.0056701097061230981e-06	1.4137006593014074311e-06
-8	-8	0	1.8995352779742967834e-07	-1.9692990943797627031e-07	-1.8995352779742967834e-07	1.9692990943797627031e-07	-1.8030008171873063386e-06	5.1000401102780844124e-07
-8	-8	1	-1.1347435223771420812e-06	2.2578791537710014605e-07	1.3621984352048519496e-06	-1.4794780609945485666e-07	1.8196393026216787361e-06	6.2272087422116231518e-07
-8	-8	2	-2.2017006500479430215e-07	-2.4981097501948255321e-08	2.3541139245398573967e-07	-1.7672229156596256944e-07	6.0965309796765816244e-08	-8.0681355627164335198e-07
-8	-8	3	-1.33584656826034969e-06	2.3250606209799110969e-06	-8.1782834303581322426e-07	5.9278459760991284114e-07	-5.743133096789767489e-06	7.7809205829061971681e-06
-8	-8	4	8.502602560058780584e-07	2.1295464041016660685e-07	4.0649513334445645062e-07	-3.6017166432493390631e-06	2.5135107787006687004e-06	-6.7775240056783442772e-06
-8	-8	5	-2.1124784284958799171e-07	5.1481349932821571394e-07	4.2458075618086641281e-07	-3.0663336450242803544e-07	3.4133266133004545258e-07	3.3308821572126026441e-07
-8	-8	6	-5.6046331207292845664e-05	3.236488608114202343e-05	-4.4582845702878868947e-06	-3.7683810150818770543e-05	-8.0672821036774310078e-05	-7.0918987595689910683e-06
-8	-8	7	4.0792499162000638295e-05	-6.2549831918664233407e-05	7.3951558666850071244e-06	-4.4181328603657464094e-05	5.5071605747069313891e-05	-0.00012197846916836765235
-8	-8	8	-1.7484494309839084024e-05	-1.4996493884127984727e-05	9.7809042517304711447e-05	3.2035760250191604344e-05	8.0324548207465640975e-05	1.7039266366063623005e-05
