# projective normalization alternating exact-gradient winner; component=core-stretching-tail-cross; core_maximum_height=8; cycles=1; initial_open=0.000403571840251828052; final_open=0.000415523830472466402; candidate_lemma_proved=false
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-8	-8	-8	3.3976083595698962849e-06	-7.3037162203669315191e-07	-1.0089967899231259136e-05	-6.6593569931844637518e-06	6.692359539661362004e-06	7.3897286152211567978e-06
-8	-8	-7	1.5811247176203182396e-05	7.5967207755369775085e-06	3.8025770353985798685e-06	-4.3924478385036565573e-06	-2.2415799098973445493e-05	-3.6620262137523672248e-06
-8	-8	-6	1.8895526501269315467e-06	5.2529845852559181149e-06	-3.3524692908357397424e-06	-9.065610700820857013e-07	1.950555520945077453e-06	-5.7952313535651104495e-06
-8	-8	-5	-2.3314590456259699181e-07	-2.5155115102880170652e-07	2.0287365264754514959e-07	4.8246298686447447985e-08	4.8435603064082966088e-08	3.2528776374776683484e-07
-8	-8	-4	3.2303060285583585767e-07	1.9016813641393926029e-07	-2.4022399195755427081e-07	1.58809930956927493e-08	-1.6561322179656317371e-07	-4.1209825901926404565e-07
-8	-8	-3	-4.5220984737757189609e-07	3.8343895190686087369e-08	3.172275223820690339e-07	-3.2552344760949502729e-07	3.5995286665467426388e-07	7.6581213978349057705e-07
-8	-8	-2	3.944013276707567956e-07	-1.8247198473975878797e-08	-2.0680067623383513413e-07	3.8501656233247055504e-07	-7.5040260574768664589e-07	-1.4670774554339787711e-06
-8	-8	-1	-3.2681028636875376007e-07	2.5117760045525393045e-07	2.3314739309115693078e-07	-3.4643237086374451715e-07	7.4930314622077463434e-07	7.620381632679245877e-07
-8	-8	0	3.5331205132526658816e-07	-5.1621003322206578277e-07	-3.5331205132526658816e-07	5.1621003322206578277e-07	-4.1054572408972120433e-07	-6.5148785179653814253e-07
-8	-8	1	2.794274776480086476e-07	5.1237710456503462524e-07	-2.5790300051997550367e-07	-4.564764000416285848e-07	1.7219581702426483382e-07	4.4720563618724811179e-07
-8	-8	2	-3.2987433957054269755e-07	-3.4687262427451805561e-07	1.7757882094261340268e-07	1.8336998704060105461e-07	-6.0918207451171728536e-07	-6.5401054893566800401e-07
-8	-8	3	1.008702077076185892e-07	7.4460934159934742439e-08	9.8872942245473009545e-08	-2.4944985136396327038e-08	5.3264839987491092998e-07	1.3204253072943576558e-07
-8	-8	4	-5.4970866790336340324e-08	2.6187983549080012894e-08	-5.7404470293191190252e-08	9.447713304434112817e-08	-2.2475067416705507439e-07	2.4133023318684228874e-07
-8	-8	5	1.4241222234374179853e-08	-1.8872376043102528103e-08	-4.2480922476330642151e-08	-1.0271734453641160203e-07	-4.5183520387130342324e-08	-1.9454355292722260291e-07
-8	-8	6	1.4773887363523474959e-05	-8.5736161473838369822e-06	1.320852308159779352e-06	1.005267758753760379e-05	2.145965289557767185e-05	1.972081920205023257e-06
-8	-8	7	-1.3748595927686289926e-05	2.0385832949293525404e-05	-2.4900929185419367907e-06	1.5166346804997715781e-05	-1.8558501538546544335e-05	4.0631062576332852877e-05
