# projective normalization alternating exact-gradient winner; component=core-stretching-tail-cross; core_maximum_height=8; cycles=2; initial_open=0.000433564512753629972; final_open=0.000464869786196361998; candidate_lemma_proved=false
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-8	-8	-8	-7.1310504378677944627e-06	1.7691745315285722538e-05	-3.2671663226687883402e-05	-5.9559280706201754844e-07	3.9802713664555677017e-05	-1.7096152508223704777e-05
-8	-8	-7	6.9833758015068701436e-06	2.3561697732183086916e-06	9.8441249965770961979e-07	-2.171238581298631782e-06	-9.1060437727595197296e-06	-2.1134993362248789288e-07
-8	-8	-6	4.5520858033840977463e-07	7.2447647018455608403e-07	-5.1668059783147939747e-07	-1.3224560661382956198e-07	8.19626899907595633e-08	-7.8964115142763539802e-07
-8	-8	-5	6.0232043592068399654e-06	1.2333142076484070307e-05	-5.9985907800041001221e-06	-8.9105536089679377202e-06	-3.9381726724383602403e-08	-5.476141548025812816e-06
-8	-8	-4	9.58671559585847676e-07	-1.3431209796151000567e-07	3.316153321252607759e-07	-1.4136489008024119293e-06	-2.5805737834222169038e-06	3.0959219975278441875e-06
-8	-8	-3	-1.2548190407600317258e-06	-3.6706779618291438821e-06	1.2222553183474093429e-06	1.1086087240768785656e-06	8.68365931003262926e-08	6.8321846340060414087e-06
-8	-8	-2	1.1088615869964847909e-06	-3.9421456970350293459e-07	-8.2266257894753855864e-07	8.5361689235680759163e-07	-1.1447960321957845054e-06	-1.8376092906132184164e-06
-8	-8	-1	-8.0603253411153142786e-07	6.1019248943700564791e-07	6.3691592986235330265e-07	-7.8946367093138371915e-07	1.3529328339934250017e-06	1.4341694519550247817e-06
-8	-8	0	2.2073049477797581736e-07	-8.8598380105506324996e-07	-2.2073049477797581736e-07	8.8598380105506324996e-07	-8.7879895660558999656e-07	-9.3532491507916510414e-07
-8	-8	1	1.968193237741933986e-07	6.0051157566759406422e-07	-1.1618360065192680397e-07	-4.8351247648187519239e-07	6.4508578497813275701e-07	9.3599279348575129225e-07
-8	-8	2	-5.065612407447988789e-07	-9.9374701800028880884e-08	2.0017195705346281734e-07	-5.2160399504774365895e-08	-1.2255571347653443521e-06	-6.0614040521921301359e-07
-8	-8	3	7.0680642220091701429e-07	-9.3213026935512273795e-07	9.8507922891097200606e-07	-6.0039053342037659462e-07	4.5116950696317037719e-06	-4.0867221407346651692e-06
-8	-8	4	6.0509691150528284371e-07	-2.2658822618155231702e-07	-4.977909272021812988e-07	-1.0519110721469578588e-06	2.1461196860620314277e-07	-2.5569985966570199812e-06
-8	-8	5	1.7104782990419011563e-06	-3.679296537958693604e-06	-3.012700230562961137e-06	1.8501600647519355646e-06	-2.083555090433696308e-06	-2.9266183571308124394e-06
-8	-8	6	1.6701429613017874557e-06	-1.0979216527005124313e-06	2.513044796579896215e-07	1.1406384194508183149e-06	2.5619299212797025579e-06	5.6955689000407668417e-08
-8	-8	7	-4.9690662978644797347e-06	8.3839514047609879654e-06	-1.4131061106118756402e-06	5.5740101205595141647e-06	-7.2939113239729768453e-06	1.5951956028937717204e-05
-8	-8	8	-7.777540041772724815e-06	-1.7834373175936453872e-05	6.1906932462645346315e-05	1.7016727264434371907e-05	5.4129392420872614723e-05	-8.1764591150208143599e-07
-8	-7	-8	-1.0265480377257476927e-06	-1.6975843524110306213e-06	6.2164070397017857649e-07	3.4499679108243225751e-06	4.8261242175184137209e-07	-1.3211375695602516848e-06
-8	-7	-7	1.4702145096826398719e-06	-2.173527256915363155e-07	-5.0770696230735668055e-07	2.1886673846005338229e-06	-1.1725381916156603311e-06	-1.9402642695244922892e-06
-8	-7	-6	-4.235558452559397711e-06	3.3413547836014614516e-06	-5.271372332412045161e-06	-7.5606105588781534162e-06	1.1797345657893249212e-05	4.3655726072225642815e-06
-8	-7	-5	-8.3560638153089087374e-06	6.0675786973348230763e-06	2.248592168915695896e-06	-8.0657461781982973259e-06	1.0221673068012278624e-05	1.58391873374189908e-06
-8	-7	-4	1.2639276924113936932e-06	-1.8201540169513249503e-06	-2.5959335988994672588e-07	1.9942420333802748181e-06	-2.0735670050153804177e-06	1.5038447548716931319e-07
-8	-7	-3	-5.3681345553062238706e-08	2.1628118418494507334e-06	-1.0317650063518690502e-06	-2.2583443116633851457e-06	2.5506019362958605791e-06	-4.9802818438396987868e-07
-8	-7	-2	-7.0963292150341692315e-07	-1.7028387814965451053e-06	1.7810020511436238613e-06	1.6738428438846300414e-06	-3.3949754929890161396e-06	9.5290517238997495869e-07
-8	-7	-1	2.1141849490672200604e-06	1.3082477905256940138e-06	-2.9087632905606570682e-06	-1.3891567157048398073e-06	3.4478634413868402644e-06	-7.4188531427167293013e-07
-8	-7	0	-1.8134651854516626398e-06	6.9036510640661582595e-08	2.072531640516185753e-06	-7.8898869303613241033e-08	-3.2749513576384862683e-06	1.5240243939531897321e-08
-8	-7	1	1.2678807269506070059e-06	-6.068574845331220088e-07	-9.7262912752736536439e-07	6.1445457391166480856e-07	3.334641922913297226e-06	-5.5367785888332230461e-07
-8	-7	2	-2.3156543642491824961e-07	1.1210989317145802747e-06	-1.6588735353930163419e-07	-7.4444879079698915927e-07	-1.5068674830872287446e-06	1.8788249590688590414e-06
-8	-7	3	-4.3001638388413991584e-07	-7.4937646201106863746e-07	4.289671575229080801e-07	2.2143132423024081673e-07	-1.4578698947092095729e-07	-1.481664142158954505e-06
-8	-7	4	5.5055026601897340763e-07	2.5596817277467464959e-07	-1.7495379558469158727e-07	1.7715820056961124874e-07	7.9493138976473643828e-07	8.2196319654616899771e-07
-8	-7	5	1.9194942895580523431e-06	-7.5136192248072958865e-07	-4.930188151277125186e-06	1.5373416574111854764e-06	-3.8310725484950911726e-06	9.5009924440649219811e-07
-8	-7	6	-1.5760335974842170086e-06	8.6237352711965239841e-07	-3.0226453653049346129e-06	1.6229137595718408321e-06	-5.6277977228347134128e-06	3.0432307556600176079e-06
-8	-7	7	-8.4210054219184990269e-07	4.9603286259815019058e-07	1.2775706037002769069e-06	-7.638343875269513826e-07	3.1516998405244852233e-07	-1.9693968741477969084e-07
-8	-7	8	3.437291286045252361e-06	1.9928665258212043959e-06	-2.6172821176699375729e-06	5.9240280864196897645e-07	1.1471694330840569847e-06	2.5112189833829272106e-06
-8	-6	-8	-4.4176830946324059652e-07	-1.7464626503613344754e-06	7.7876666092467615493e-07	3.277643546276711435e-07	-1.4230668623026651968e-07	1.5006393843905810913e-06
-8	-6	-7	-1.5334986502632845086e-06	-3.5200595529717557948e-06	1.1436101398291698521e-05	3.8781722196589972517e-06	-8.0498027410919878655e-06	6.9877758654572341521e-07
-8	-6	-6	-2.3458039633986811807e-06	-1.3914958781288648554e-06	4.017812921780816634e-06	1.751897707015921312e-07	-8.9007430391590860478e-07	1.6801380668035609211e-06
-8	-6	-5	1.9489653662471729354e-06	1.9485303689664985833e-06	-2.7720403920256573473e-06	-1.234399213941096796e-06	2.0810388443531201417e-07	-1.636369533617081324e-06
-8	-6	-4	-3.6499696916444824384e-06	-2.7132596646375626887e-06	5.4269248683663236205e-06	1.5761441459631075679e-06	-8.4044791926052118918e-07	3.0623031103304639196e-06
-8	-6	-3	4.8352249831240441487e-06	6.2095537484086313027e-07	-6.5763449840312721966e-06	9.7138071785645212617e-07	2.5875667973176022597e-07	-3.5986424352885396899e-06
-8	-6	-2	-5.3973747216074550537e-06	4.2557710689672274062e-06	6.6317689852428301738e-06	-6.9154526316789400163e-06	1.6941919307013307521e-06	3.7232736191679095773e-06
