# projective normalization alternating checkpoint; cycle=1; phase=component; objective=0.000284860889944583365; candidate_lemma_proved=false
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-8	-8	-8	0.00061574637134528245521	0.00033705248428374896472	-0.00094483569139210696677	0.00035785132765235133602	0.00032908932004682456577	-0.00069490381193610024652
-8	-8	-7	-6.5797531900449527905e-05	-1.9576114680684552082e-05	-1.9606258343939819466e-05	2.4360759016650126757e-05	9.7604331707873539853e-05	-5.4681649553892273537e-06
-8	-8	-6	-3.4441762785238582388e-06	-2.6835306533660796069e-05	1.1177173219666331015e-05	5.7349473382899930756e-06	-1.0310662588189963701e-05	2.813381226049440625e-05
-8	-8	-5	-2.5526309569905089602e-05	-2.38728432618003543e-05	2.2960507701718235339e-05	8.4875997319134096627e-06	4.1052829890989659743e-06	2.4616389647819109386e-05
-8	-8	-4	2.0900032524058543144e-05	3.0604917429082188722e-06	-1.8721334297999407415e-05	1.3600021697256782754e-05	-4.3573964521182748458e-06	-3.3321026880330001558e-05
-8	-8	-3	-1.7472449006127896778e-05	3.7186829315862448956e-05	1.0241292336650886202e-05	-2.6002818641221813844e-05	1.9283084451938699386e-05	-2.9824028465708364815e-05
-8	-8	-2	2.5138860956395025906e-05	-1.0704990176165793083e-05	-1.9496833316405548769e-05	1.6349585725276022537e-05	-2.2568110559957905162e-05	-2.2578382196440914428e-05
-8	-8	-1	-1.6106819083405452198e-05	1.257964207462348969e-05	1.3197536739917781193e-05	-1.4317984631075766897e-05	2.3274258747901374817e-05	1.3906740451618215964e-05
-8	-8	0	1.1596044743272802856e-05	-1.2298448724260175479e-05	-1.1596044743272802856e-05	1.2298448724260175479e-05	-2.2608634851670722347e-05	-8.7819309630976234281e-06
-8	-8	1	-6.6576203299002994121e-06	7.0772608865862075513e-06	9.4190723247382655879e-06	-6.514311837603752476e-06	2.2091615958703736183e-05	4.5035923918596397559e-06
-8	-8	2	1.1596515803527057885e-06	-6.9807655908222547426e-06	-6.5009208599259114616e-06	7.1039932189883771708e-06	-2.1365077118292823539e-05	4.9291051266448928939e-07
-8	-8	3	-7.0022696433910335635e-06	1.062908940390721655e-05	-5.8255025018360920663e-07	-4.6416120823682269263e-08	-2.0226186382865713771e-05	2.8220462088222758612e-05
-8	-8	4	-2.8666327767794720101e-06	-1.6463879997521570068e-06	-8.9656865107044457119e-07	1.0354360155248829383e-05	-7.5264028556998333744e-06	1.7415944310993344753e-05
-8	-8	5	-1.9795873957238571846e-06	6.8784713735205641104e-06	4.4316586393316013875e-06	-8.4288823681469706806e-06	3.9233139897723907246e-06	-2.4806575914022515288e-06
-8	-8	6	-0.00010838276949782355398	6.7126017685143477606e-05	-1.2845109166856398227e-05	-6.9391895210083783256e-05	-0.00016163717155290660294	-3.0211700332537253386e-06
-8	-8	7	5.1842006049116275167e-05	-9.350555048364059805e-05	2.2247419121893372452e-05	-5.6771008089250971551e-05	8.4673628766868168707e-05	-0.00017174463836901892894
-8	-8	8	5.611970126794212885e-05	0.00011469100778274140097	-0.00029935297941178980489	-0.00027026027971198364128	-0.00024323327814384764216	-0.00015556927192924226741
-8	-7	-8	1.3104819660807145358e-05	2.9325532525808719095e-05	-2.1024423277912225984e-05	-5.8241013707987700644e-05	5.2915507073660515309e-06	2.1635354468680521509e-05
-8	-7	-7	-9.9658375569547751733e-05	3.2936806972708237908e-05	2.5744143903106688295e-05	-0.00013813794489640006499	8.8151142462090738869e-05	0.00010049587978473350158
-8	-7	-6	6.2223747228616293581e-06	-7.3137976682056085422e-06	-6.0333537840916021391e-06	6.7606566042023782395e-06	-1.2575868823753036681e-06	1.8642975193713698278e-06
-8	-7	-5	5.0660243596493257008e-05	-2.3927259977443181608e-05	-2.3848777406337098612e-05	3.7843214725093408674e-05	-4.7668101385517282643e-05	-1.4696884651221677167e-05
-8	-7	-4	1.4451860959451517699e-05	-3.8746109155721121693e-05	7.8461642308712534248e-06	4.0554385914005882188e-05	-4.263450932292773101e-05	6.5220429619319487103e-06
