# projective normalization alternating checkpoint; cycle=1; phase=open; objective=0.000499363724450294414; candidate_lemma_proved=false
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-8	-8	-8	-6.0895976029567747113e-05	-0.00012110947781019968587	-5.2351307591931592471e-07	-4.5871943898914087614e-06	6.1419489105487057637e-05	0.00012569667220009109209
-8	-8	-7	8.8454400443942599969e-07	-7.9030687061735352047e-08	3.5941744289497329637e-06	-2.6844348381642045738e-06	-5.11853535244475298e-06	3.1582463145439312833e-06
-8	-8	-6	6.3551252519956302159e-06	4.5099618812573507581e-06	-6.2457316271025890668e-06	1.9028365050874521138e-06	-1.458581665240545214e-07	-8.5503978484597374448e-06
-8	-8	-5	-5.6475754474405277729e-06	3.3510970289455204354e-07	3.8690457986264012365e-06	-3.1026675949358972213e-06	2.8456474381026030511e-06	4.4280926272661526232e-06
-8	-8	-4	8.1196320408093902905e-06	-1.0247558362594010957e-06	-5.2795934612959373482e-06	4.3849593695580259863e-06	-5.6800771590269058845e-06	-6.7204070665972506283e-06
-8	-8	-3	-7.4757885373541494402e-06	3.3254016989346788119e-06	4.4022902971498427033e-06	-4.7947863038419280904e-06	8.1959953072114846316e-06	3.9183589464193308445e-06
-8	-8	-2	9.2630549435479964522e-06	-6.3675418795594885559e-06	-6.6840316816663844515e-06	7.1199446560927149593e-06	-1.0316093047526446309e-05	-3.009611106132906037e-06
-8	-8	-1	-5.8009893637887313306e-06	6.9108892011630261871e-06	4.6837064431725367115e-06	-6.9333022484420646632e-06	8.9382633649295552589e-06	1.7930437823231220276e-07
-8	-8	0	4.2393295155928568141e-06	-7.1140794539446324261e-06	-4.2393295155928568141e-06	7.1140794539446324261e-06	-7.5980432302591372813e-06	8.0504582816108071147e-07
-8	-8	1	-1.5277068452439261689e-06	6.1691556962281156722e-06	2.2659400219610342612e-06	-6.3819316239294559073e-06	5.9058654137368621977e-06	-1.7022074216107199753e-06
-8	-8	2	6.963624540467316329e-07	-3.9485047007142496032e-06	-1.8613552516343858199e-06	4.3808685922215510501e-06	-4.6599711903506167479e-06	1.7294555660292049406e-06
-8	-8	3	-4.2645202308701303781e-08	1.7339026610436466015e-06	6.4379521096600716475e-07	-2.188597677286239155e-06	1.6030666897528156998e-06	-1.2125200433135809191e-06
-8	-8	4	-4.6083451207485255319e-07	-1.2300924672144587641e-06	-2.2883756208153168584e-07	2.7010330715304533871e-06	-1.379344148312768531e-06	2.9418812086319888223e-06
