# projective normalization alternating exact-gradient winner; component=core-stretching-tail-cross; core_maximum_height=8; cycles=1; initial_open=0.000393285330893104366; final_open=0.000403571840251828052; candidate_lemma_proved=false
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-8	-8	-8	-1.4135044473025898507e-06	-8.1772425669070298429e-07	-4.2759274849863293877e-07	2.8727897105200505864e-07	1.8410971958012227895e-06	5.3044528563869787271e-07
-8	-8	-7	-1.5215301807142019608e-05	-6.6432540712281427491e-06	-3.7913896562520020301e-06	2.3497916402674799746e-06	2.1721933101021739982e-05	4.90681420681218627e-06
-8	-8	-6	7.8468754693390529417e-06	2.4921320756435776491e-05	-1.5126452424633908591e-05	-3.9123744010990230317e-06	9.7061026070598064024e-06	-2.8011928473782337945e-05
-8	-8	-5	3.2009815394865827199e-06	1.5841663670275815966e-05	-6.3591816513641382638e-06	-8.2134059276811483279e-06	5.0531201790040890397e-06	-1.2205212388151468221e-05
-8	-8	-4	-2.6523792031542424286e-06	-9.2186786822081116506e-06	6.6568214468601768062e-06	-5.1131893738745813278e-07	-8.0088844874118687552e-06	1.945999523919113999e-05
-8	-8	-3	1.1249383775159053241e-06	1.0671557758817649272e-05	-3.1140356589327396878e-06	-5.3392619373926897213e-06	5.3042594171115583032e-06	-1.42194555237998927e-05
-8	-8	-2	-1.8674087988630347212e-06	-9.9980839225804508771e-07	1.5538771670938170866e-06	-1.1373406670493567451e-06	1.254126527076870115e-06	8.5485962372296073311e-06
-8	-8	-1	-6.8168025604813529656e-08	9.2872900231015769528e-07	1.6030596394966367881e-08	-8.227537195513463679e-07	4.1709943367877732067e-07	-8.4780226207049093667e-07
-8	-8	0	-2.5073360967930606205e-07	3.9733734953978461169e-07	2.5073360967930606205e-07	-3.9733734953978461169e-07	2.0501846761909107712e-07	1.5626526069200828259e-07
-8	-8	1	1.2121139210978852467e-07	-1.2708525474310147293e-06	-3.3821930213936934823e-07	1.1888188516951699336e-06	-1.7360632802366465885e-06	-6.5626956588675953023e-07
-8	-8	2	7.5238884732717629857e-07	1.06171490675645866e-06	6.3335165067658195961e-07	-5.0796947691319317553e-07	5.5429619920150334563e-06	2.2149817193730619379e-06
-8	-8	3	-2.5905115394707535404e-07	1.2899909932951608873e-06	-2.5481525816816508786e-06	1.0448758263558513752e-06	-7.4858766283432703773e-06	6.2263115190693660333e-06
-8	-8	4	5.7296855045416732282e-07	-2.4381677857142759245e-06	3.1981548566945558666e-06	-1.7306488786416937994e-06	7.5422468142974459553e-06	-8.3376333287119398714e-06
-8	-8	5	-5.0535570326507705199e-06	1.2383012901884155822e-05	1.6707871564712630336e-06	-1.9136739473478718061e-06	-5.4124318018872124862e-06	1.6750942327258054425e-05
-8	-8	6	7.5100649903048528216e-05	-4.3558204166845273706e-05	6.3237445704221313761e-06	5.016551363430227082e-05	0.00010856585929796087268	8.8097459566093283556e-06
-8	-8	7	1.7563077033577309327e-05	-2.0262291130719710944e-05	2.1699147835525163281e-06	-1.6387918748440780776e-05	2.2551990648148370725e-05	-4.1885954147611990537e-05
-8	-8	8	-9.1022643955429229083e-07	2.6992707108641781491e-06	9.3635233943900893325e-06	-2.2492999503039601373e-06	8.4532969548357976769e-06	4.4997076056021832949e-07
-8	-7	-8	3.106054912098269931e-06	7.9977889497249250381e-06	-2.7362557491096800234e-06	-9.3433210276306500323e-06	-7.1183113162730028106e-07	1.7761694945189437545e-07
-8	-7	-7	-2.0868930974406156659e-06	-3.5950252810657013344e-08	-4.6817590572625120636e-07	-1.8593633473192948527e-06	2.853196588515526238e-06	1.9004493505314743419e-06
-8	-7	-6	-1.0553781281237969921e-06	2.5261299074498528547e-06	-6.3331714200557803694e-06	-5.8827901773656159198e-06	8.7958708275634726637e-06	3.4950819969934147669e-06
-8	-7	-5	1.0432933399551029891e-05	-3.4748131606001597413e-06	-6.2169893255743968304e-06	5.6881271011717975114e-06	-7.9889083834774931095e-06	-2.4036768846802610145e-06
-8	-7	-4	-7.7974649202864719454e-07	7.8776120244243852838e-07	4.9453911688182091074e-07	-1.4132408155093831807e-06	6.9404952951410774235e-07	8.9764902225654366827e-07
-8	-7	-3	2.6992435506592038499e-07	8.5516856239450419105e-07	-6.9686366725805310914e-07	-9.4478421010178301823e-07	9.0621694342633619272e-07	-7.595300948118422183e-08
-8	-7	-2	-4.4844851948781934698e-07	-2.0186023795859594305e-07	9.3049785276743595521e-07	2.0394622005503172654e-07	-1.4629484067347484024e-06	9.3629181641772742517e-08
-8	-7	-1	4.2778799915211048291e-07	-1.3676418356547937597e-07	-5.9824138744459990871e-07	1.6027044904751278389e-07	7.6538571889531539177e-07	-2.7779674808754313981e-08
-8	-7	0	-1.7280286901989981176e-07	1.3304681381846352859e-07	1.9748899316559978865e-07	-1.5205350150681547637e-07	-9.8982190861783164646e-07	-4.0673413767156209329e-07
-8	-7	1	2.4456731686707737679e-07	1.5277693429976246289e-07	-8.2303331189126643573e-08	-1.6560618869672345786e-07	1.3804152166127324961e-06	6.2972153521035352502e-08
