# projective normalization alternating checkpoint; cycle=1; phase=component; objective=0.000536318683498633597; candidate_lemma_proved=false
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-8	-8	-8	-7.0571847675742423764e-05	-4.4612121630477532673e-05	7.459178260760199197e-05	-4.3789808108812619463e-06	-4.0199349318595622768e-06	4.8991102441358800549e-05
-8	-8	-7	-4.985470384847221593e-05	-3.5971618019792648223e-06	8.5331105120310717311e-05	-5.0203592215211372983e-05	-4.0544458596386854848e-05	6.1486576019646437398e-05
-8	-8	-6	1.2031270193422818611e-05	-4.3558305252404217009e-05	1.5882217635837230104e-05	2.4030221844773398633e-05	-3.7217983772346733878e-05	2.6037444543507763482e-05
-8	-8	-5	-1.2793476796208330817e-05	3.159638406843827328e-06	1.4909545550418410977e-06	-3.5125004007390803005e-06	1.8084035585866384906e-05	5.6457919023240505235e-07
-8	-8	-4	5.0317103690984746323e-06	-1.4250003723736595941e-05	2.1271210613530098637e-06	1.0340351267266194147e-05	-1.4317662860902968992e-05	7.8193049129408018926e-06
-8	-8	-3	-2.6459723527274529956e-07	1.46175417469440045e-05	-3.8802075990769993851e-06	-1.0281632805861730924e-05	1.1052812891599319583e-05	-1.1562423842886064565e-05
-8	-8	-2	-3.2377846406551786305e-06	-2.0039789408358975613e-05	5.4470439565370361475e-06	1.5657040860262286047e-05	-8.837037263527430068e-06	1.7530994192386751488e-05
-8	-8	-1	9.5306306461599971764e-06	1.3963212843832321352e-05	-9.5622611944909499974e-06	-1.1709551092886217241e-05	2.5304438664763119719e-07	-1.8029294007568822728e-05
-8	-8	0	-1.1085300408981371717e-05	-8.3628360688731289449e-06	1.1085300408981371717e-05	8.3628360688731289449e-06	5.754269998413224092e-06	1.2452653763216865314e-05
-8	-8	1	8.8906503540994937277e-06	2.8006894231243558636e-06	-9.8181662199476569001e-06	-3.4784008101943612313e-06	-7.4201269267853019911e-06	-5.4216910965600412475e-06
-8	-8	2	-5.087158760723290415e-06	2.8490746869123643198e-07	6.0157010742511521904e-06	-5.1202036033971493539e-07	3.7141692541114471016e-06	-9.0845156659391411953e-07
-8	-8	3	5.4635009596684267971e-07	-1.8423568780927422649e-06	-8.2140826531833647585e-07	2.8309540876382987015e-06	-7.3348845160398359755e-07	2.6362592254548175879e-06
-8	-8	4	5.7157874384345720421e-08	1.4299151024243793909e-07	-5.323749129402018327e-07	-1.1754309615668907524e-06	-9.5043407711171219809e-07	-2.0648789026489054149e-06
-8	-8	5	-8.8725446922804982282e-07	4.0643527016805755666e-06	1.0015623827600142762e-06	-1.0943046707549717402e-06	1.8289266165114311477e-07	4.7520768494809664611e-06
-8	-8	6	-0.00013050317103662712934	7.9377481516539093783e-05	-5.1616455679989987776e-06	-8.5270478519610439774e-05	-0.00018088642213950149851	-7.857329337428474309e-06
-8	-8	7	-2.4355994541096253258e-05	3.8506473302992617208e-05	-6.292795405313052871e-07	-1.0406001912184601653e-06	-2.8554598950431496327e-05	4.2818140699170470032e-05
-8	-8	8	4.5675037350280770179e-06	9.2469974825159808294e-06	-9.6176470636891535548e-08	-1.2679505201383007993e-05	4.4713272643911857338e-06	-3.4325077188670267399e-06
-8	-7	-8	2.2246087380937416323e-05	-6.0853804854502457455e-05	3.4898055291803508368e-05	0.00010177756654116304784	-5.2781885761265483605e-05	-2.8201565869015212789e-05
-8	-7	-7	-8.6299041119960160674e-05	4.4165605827184244419e-05	2.9650725259587264853e-06	-0.00012988118842075755148	9.5662403039710038554e-05	7.940621033254698449e-05
-8	-7	-6	-8.6061417007853474896e-06	-1.2486746047836637399e-05	1.4947762273941831286e-05	4.5563697261499847474e-06	-5.964200385218340977e-06	1.1333230049940534609e-05
-8	-7	-5	9.028857053791338865e-06	1.1979699297731596902e-05	-1.1664162052962256583e-05	-3.2111268557095495028e-06	1.8836555880810162699e-06	-1.4671941278377184723e-05
-8	-7	-4	-1.5018147655347298768e-05	-1.468830284851179234e-05	1.4534257510595809053e-05	5.1969221508359624863e-06	4.6013446671519304235e-06	2.0281991933060651177e-05
-8	-7	-3	1.7155443972381452766e-05	1.0100060442711502961e-05	-1.4068917510827430361e-05	-3.8487864411015318766e-06	-1.2920376401086538227e-05	-1.7952992817993764874e-05
-8	-7	-2	-1.7899238080052802915e-05	-5.0935466199717960732e-06	1.4325930619482191007e-05	9.1032769401549538145e-07	2.1456195152023551607e-05	1.7188039550832951146e-05
-8	-7	-1	2.1726458908244201154e-05	4.3003327069557164759e-07	-2.102213894600172742e-05	1.0772847882229849437e-06	-2.6656698643941510512e-05	-1.0981259683125467363e-05
-8	-7	0	-1.8070291925865582814e-05	5.7411514671947510882e-06	2.0651762200989236533e-05	-6.561315962508286958e-06	2.3668459839581222317e-05	-1.4408497616265121757e-06
-8	-7	1	9.6324384667411189692e-06	-7.6262504430895771811e-06	-1.2598240523685782087e-05	1.0112522854272251906e-05	-1.112817593187152455e-05	9.7776564351891458898e-06
-8	-7	2	-1.6991466231369427782e-06	5.0818413089197140013e-06	1.3090174247435587448e-06	-8.1736611616146513833e-06	-2.215025505945315506e-06	-8.2804488299724272242e-06
-8	-7	3	-5.6588025082229237463e-07	-2.251566383583861815e-06	2.7208730451205954878e-06	2.9845710436979016481e-06	4.8396897697552773194e-06	9.5982207907147163318e-07
-8	-7	4	5.1048667190038306077e-07	6.0362405542650771112e-07	-2.883806631503744729e-06	1.3856912764349127052e-06	-4.0256882613307866248e-06	3.6322078446141126564e-06
-8	-7	5	-3.9394124425223837011e-07	-8.0240592126998600468e-08	5.945628875629542321e-07	-2.5692305290114561184e-06	2.0208205178455457513e-07	-3.7253076880192361995e-06
-8	-7	6	9.777023715465187846e-07	1.4561148233850427607e-06	-3.5172506953078442838e-08	-2.9918992068986110881e-07	1.2625685706167669444e-06	1.5924315237085524755e-06
-8	-7	7	3.9721410226176434588e-05	-2.7818794741239144324e-05	-5.9571164336161557158e-05	4.4051085051530951622e-05	-1.4175266934817060002e-05	1.2258176775829075783e-05
-8	-7	8	1.1406825521177679065e-05	9.1631233527445336958e-07	9.414642166714562392e-06	1.5454264662268436096e-06	1.9644637417052920522e-05	2.268560493222941528e-06
-8	-6	-8	3.5421344778617128312e-06	7.9168313863584643063e-05	-5.1917249829678405755e-07	-3.3897352401598398802e-05	-3.1527551041391250527e-06	-5.3745299562385850738e-05
-8	-6	-7	1.4518176461795849526e-05	-4.4678191696073609485e-06	-1.4353457399093279536e-05	1.7274586775367689113e-05	-4.2892381856867314055e-06	-9.7007096136210362665e-06
-8	-6	-6	-1.821849111375303557e-05	3.5342532233965105464e-06	1.439456818085044859e-05	-1.5072488234272208852e-05	9.8967533041535999658e-06	1.0360150603076861457e-05
-8	-6	-5	1.9623738889237536605e-05	-6.845901817452606223e-06	-1.0392394289105967792e-05	1.3838052313339731188e-05	-1.8927109075852899928e-05	-5.6522198680835067906e-06
-8	-6	-4	-2.1373185806236800929e-05	7.6442959599657480811e-06	8.3018112842096903465e-06	-9.184901847048548078e-06	3.0293654686159064644e-05	-1.5112391493586729864e-06
-8	-6	-3	1.8840783543546006976e-05	-1.143096215388190079e-05	-6.9237903549227179309e-06	7.6372762609949862959e-06	-3.6394508739610582741e-05	1.5208013221695098439e-05
-8	-6	-2	-1.9073411079311678747e-05	1.8153269814973193729e-05	8.9464733766257098063e-06	-1.2683774815249381981e-05	4.9454224187369587263e-05	-3.456175481414462897e-05
-8	-6	-1	9.0575495901114456011e-06	-2.099596819051201049e-05	-6.0826517073773155448e-06	2.022244891267765103e-05	-3.5964486476627668152e-05	4.6633052048030184517e-05
-8	-6	0	-4.6692673729992143116e-07	2.0088231012234615053e-05	6.2256898306656187293e-07	-2.6784308016312820071e-05	1.3137314091371294313e-05	-4.9224619153463160964e-05
-8	-6	1	-3.6894390278180390084e-06	-1.4990090341211264696e-05	6.7083360039993202083e-06	2.5249957095168850486e-05	1.0734503801451609182e-05	3.1579019841322978571e-05
-8	-6	2	3.1888636158766650376e-06	8.8212917005499087171e-06	-1.1207601870714584382e-05	-1.3920539235447961085e-05	-2.0867351148637089609e-05	-6.4764509041442517738e-06
-8	-6	3	-1.198016682919707697e-06	-1.0875915454684588832e-06	5.6938773413530853582e-06	-4.0747420497962047155e-06	8.1930435282536174222e-06	-1.104972822084163199e-05
-8	-6	4	1.6780873739961196844e-09	1.2262552759805842973e-06	2.1722953490833614948e-06	6.6822297866694935705e-06	3.2617991983730346871e-06	1.2475855231965409374e-05
-8	-6	5	-1.9534680476785236217e-06	2.3675962155199412546e-07	-3.477863251546278629e-06	-2.323656245269920046e-06	-7.2989847781411719801e-06	-2.4095720998407131156e-06
-8	-6	6	1.0729552151480149847e-06	-1.2982922026122210225e-06	3.2983400842299164728e-06	-1.1087536820612870569e-06	4.7289470377606034014e-06	-2.8398099522109150162e-06
-8	-6	7	4.6997389308788322103e-07	2.6185542834350967682e-06	8.5834579087432721539e-08	-3.968475942914294319e-07	6.1068551703252311518e-07	2.6524783859617422355e-06
-8	-6	8	-2.863959016641499987e-05	-3.5093032874134225639e-05	2.7068726681862059557e-05	6.5633822612518060878e-05	-8.3380451550184543554e-06	1.4132334085254323407e-05
-8	-5	-8	-1.0586183392726314942e-05	1.1832051240530383146e-05	3.0185829837598630821e-06	-3.5440878848566389884e-05	8.6995690278764005156e-06	1.0318498039823610532e-05
-8	-5	-7	1.0868247676283320788e-06	-1.7471548391725051966e-05	1.2473717228246890542e-05	2.0375962340832832863e-05	-1.0151883468894444675e-05	5.4132250613766072243e-06
-8	-5	-6	1.5047095124079676573e-06	2.5073949347500217998e-05	-1.551051898760905177e-05	-2.0120780990074400396e-05	1.0919153139796919881e-05	-1.6664614971604959259e-05
-8	-5	-5	-4.4145178439634469026e-06	-2.5874502705561056997e-05	1.4472442951523835006e-05	9.6404379091538603959e-06	-7.4092144011823214865e-06	3.1758766419743834864e-05
-8	-5	-4	6.2753901957144343784e-06	1.7068599398577223391e-05	-4.997453538055180625e-06	9.9868796176538824461e-06	-6.3039634688598919168e-06	-4.662079831922179518e-05
-8	-5	-3	-4.8232610036133375541e-06	-1.684630565279322066e-05	-3.9826912125123116714e-06	-1.853404956904823646e-05	1.949984803048942242e-05	7.5813564355862322636e-05
-8	-5	-2	4.3018237257384242943e-06	9.5109232350159508715e-06	8.4580403326415075355e-06	1.4899111489462753434e-05	-3.8352395734557470251e-05	-7.5291471663720688765e-05
-8	-5	-1	-5.9608671183786393055e-06	-6.890041413184543364e-06	-6.8794671278381289636e-07	-1.6191653458968732801e-06	5.1126670510948180937e-05	6.3216158034960713737e-05
-8	-5	0	7.3656762234682587531e-06	3.6888692362514715402e-06	-1.1785081957549213327e-05	-5.9021907780023541255e-06	-5.6410443255707675087e-05	-3.5087887449320998001e-05
-8	-5	1	-6.0039533374498414706e-06	-2.0034034643172701915e-06	1.8904289150129096529e-05	2.9038998410614662249e-06	4.6489819051046747493e-05	-1.5077285092308282901e-06
-8	-5	2	5.0944804104075244652e-06	1.7355692477730029998e-06	-1.6734379431831985255e-05	7.6391994814287669964e-06	-2.1458026937949863582e-05	2.6040275694663931184e-05
-8	-5	3	-5.1582395434534616176e-06	-2.7090596957380359456e-06	3.3621271414611192863e-06	-1.1916241674071679019e-05	-8.1517602134406977072e-06	-2.7084561978754225859e-05
-8	-5	4	1.159131120750303125e-06	1.9276764702489266448e-06	1.1994099675686814818e-05	2.3335057120310053747e-06	1.7310886836109124772e-05	6.772235080536610114e-06
-8	-5	5	-2.4450968655820802545e-06	8.9783666731098807159e-07	-6.9608490885070691781e-06	6.5486638431715952182e-06	-1.0873004073438398602e-05	7.9852025108691754551e-06
-8	-5	6	-1.3442433424082377712e-06	-3.4919022720768942435e-06	1.0573059718639312336e-06	-4.4607464759166375046e-06	-9.1123614665770752574e-07	-8.3731584260330574766e-06
-8	-5	7	2.2610746843449989621e-06	9.4264977879423878896e-07	1.3489801816673761157e-06	1.9186421203493973264e-06	3.5476426261566955553e-06	2.4477726903001282558e-06
-8	-5	8	-7.0117619442199062232e-06	-3.9093049866579693443e-06	5.5352717946519546251e-06	-1.44259343574778776e-06	-3.5522170725624346884e-06	-4.8109258840003365354e-06
-8	-4	-8	1.7061000909834414291e-05	1.0587885228295185983e-05	-2.6229058940012896787e-05	7.1046792329236625118e-07	-3.9464714398279658977e-06	-1.0943119189941369056e-05
-8	-4	-7	-2.9703505261395060194e-05	-1.1088486504565602832e-05	3.4174556179025261172e-05	-8.0096418148487234101e-06	1.4418545339294202846e-05	1.7249494185131388526e-05
-8	-4	-6	4.0667497039557903979e-05	6.2064387476839245127e-06	-3.1862092811516265435e-05	1.7844360326833888758e-05	-3.2981934178399697273e-05	-2.0171491881467825189e-05
-8	-4	-5	-3.2586232691754464877e-05	1.0794529122687663828e-06	-6.2971051694492288304e-06	-2.2223516175597809422e-05	5.7175656442366529577e-05	1.6051688280848222003e-05
-8	-4	-4	2.8716183689978962607e-05	-9.9799923376626446738e-06	3.5334956435739287093e-05	2.3483188773503968234e-05	-9.2767323815697212306e-05	-3.5232040981786776156e-06
-8	-4	-3	-8.7384717801328621749e-06	5.3079639468793617782e-06	-5.7870028859187690293e-05	-2.0479758637657676803e-06	0.00010046262989260454834	-1.14239360399906084e-05
-8	-4	-2	-6.9905376010733578712e-06	5.0436682092316650663e-07	7.7327382658544960379e-05	-1.2063780193448709832e-05	-0.00012669261491279648927	2.2110093103204751943e-05
