# completed local quartic closure restart checkpoint; cutoff=12; restart=0; seed=10822922891966284999; objective=projective-normalization-cauchy-ratio; selection=double-triple-remainder-without-123; optimized_objective=1.56817793818011907e-05; refined_objective=0; accepted_steps=4; candidate_lemma_proved=false
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-12	-12	-12	-0.00057461896810058054209	9.5649937757081925993e-05	0.00019289087496199191552	-9.2661228034106597859e-05	0.00038172809313858859946	-2.9887097229753306754e-06
-12	-12	-11	0.00035902911660074687426	-0.00012964541207322597457	-0.00013689718641539229209	0.00011866965467156724047	-0.00024232574202038686126	1.1973553529082248912e-05
-12	-12	-10	-0.00015749847169327428576	0.00017408726303320517701	3.4120141539945703481e-05	-9.6703108269204174981e-05	0.00014805399618399430416	-9.2860985716801194303e-05
-12	-12	-9	3.0169122881712189546e-05	-8.3027862136517276994e-05	7.2090598439558557775e-06	3.5804782308362436501e-05	-4.9837576967557393765e-05	6.2964106437539787324e-05
-12	-12	-8	3.5913720227691889055e-06	1.9838245940986887677e-05	-7.5251415336086735936e-06	-5.1198628838145636636e-06	5.9006542662592268204e-06	-2.207757458575848475e-05
-12	-12	-7	-1.6567506247819421671e-07	2.1294697452930898615e-05	-2.5427497285295690164e-06	-1.2890098820531368335e-05	4.6430139274418797979e-06	-1.44078833698277645e-05
-12	-12	-6	-1.8840091384980274113e-05	-3.2132856808670491253e-05	1.5608580581716617521e-05	1.2943914071769289481e-05	6.4630216065273174184e-06	3.8377885473802403544e-05
-12	-12	-5	3.7943667446283618446e-05	3.6611380030351824903e-05	-2.952917276711516695e-05	-1.6325233097612847061e-05	-2.0194787230004291722e-05	-4.8686752638573535979e-05
-12	-12	-4	-5.0095183422602770267e-05	-2.1751450081408143356e-05	3.5910848873163933777e-05	5.0826772719429550698e-06	4.2553003648316516246e-05	5.0006318428395564858e-05
-12	-12	-3	5.1134055789760325748e-05	-4.4425993852964458908e-07	-3.6008872118931100086e-05	9.3353993632526266575e-06	-6.0500734683316916202e-05	-3.5564557698891930391e-05
-12	-12	-2	-6.0138324710783413898e-05	1.4861279478301372425e-05	4.6177124520039009687e-05	-2.0049973689386335168e-05	8.3767201144466398163e-05	3.1132165266509786625e-05
-12	-12	-1	5.4974678652079573573e-05	-2.86807110323056043e-05	-4.7212633230136859057e-05	2.9502723436112216962e-05	-9.3144545063312547076e-05	-9.8641488456793638087e-06
-12	-12	0	-2.612042621650749222e-05	2.9891636313351272332e-05	2.612042621650749222e-05	-2.9891636313351272332e-05	7.5432822475255523588e-05	-1.5627537393326796636e-05
-12	-12	1	2.2770350909000710063e-05	-4.1258281413921608688e-05	-2.9336488616628069462e-05	4.4787676448541078635e-05	-7.8793652491528285678e-05	4.2352740415433666465e-05
-12	-12	2	-5.1611649680248720663e-06	3.2929969116725239786e-05	1.3963970413957376543e-05	-4.3105141760500922466e-05	5.2816832675595030251e-05	-6.1051035862654082524e-05
-12	-12	3	-2.4428145100403793806e-06	-1.6500359846186290341e-05	-1.7893691872006749202e-06	3.0814061762166256768e-05	-1.6928734788964216356e-05	5.7254807663919865708e-05
-12	-12	4	-1.00872918563269154e-06	9.9958218235118562309e-06	2.2014476432539742886e-06	-3.0717717791636828695e-05	3.5781553728638484577e-06	-6.2165687904374927557e-05
-12	-12	5	3.9599602131449381133e-06	-5.7046036340734087807e-06	1.0874289909641156442e-06	2.7370257367750552038e-05	1.2113734089861727324e-05	5.1997568960825146529e-05
-12	-12	6	-7.0522311303785805906e-06	-1.5513627378553956161e-06	-1.650719992124475963e-06	-1.2271372782333203803e-05	-1.7405902245006113954e-05	-2.7645471040377198838e-05
-12	-12	7	5.1253163515946768416e-06	-4.560652545475736299e-07	1.877143298945353711e-06	8.3701617780807095081e-06	1.2004216543782908914e-05	1.3567022611771090349e-05
-12	-12	8	5.2267582411954588984e-06	-3.1926409891492091623e-06	2.8603241322363341958e-07	1.625766595882420305e-06	8.2691859816286384505e-06	-2.3503115899001836036e-06
-12	-12	9	-2.4579963342781528858e-05	1.5709159933446218343e-05	-1.7935931537903540665e-06	-1.0150482793182530729e-05	-3.5164741995429180338e-05	7.4115695203515863089e-06
-12	-12	10	4.9553853995050861885e-05	-5.5570506199756771707e-05	1.1278680161212573544e-05	2.7519358531528239313e-05	7.2999040987516125903e-05	-3.3661377201874242938e-05
-12	-12	11	-5.0094800856935589313e-05	0.00012046203545521158801	-4.1797356397300777103e-05	-4.4466534623367661577e-05	-0.00010024598973189421914	8.2904182725647930833e-05
-12	-12	12	3.1743980161735667594e-05	-0.00017377368387988574995	4.7347626482337719432e-05	4.4367548763161618081e-05	7.9091606644073387026e-05	-0.00012940613511672413864
-12	-11	-12	-0.00011425269420857326577	0.00040595986426981137867	5.5751719270218162662e-05	-0.00017290880565176293252	6.3146951544206623443e-05	-0.00024746012575569531879
-12	-11	-11	-1.7401226021466657335e-05	-0.00024134081367605539695	2.2228802171567375737e-05	9.0945541449468029062e-05	-3.245646511785567312e-06	0.00017233534619713784743
-12	-11	-10	2.8108417954626053705e-05	7.5895287399143997772e-05	-1.7752052057787085762e-05	-2.1871892721616595021e-05	-1.4202844281985471802e-05	-6.7015262885194537383e-05
