# completed local quartic closure restart checkpoint; cutoff=12; restart=0; seed=10822922891966284999; objective=projective-normalization-cauchy-ratio; selection=double-triple-remainder-without-123; optimized_objective=9.01903502099725012e-05; refined_objective=0; accepted_steps=1; candidate_lemma_proved=false
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-12	-12	-12	-8.4371973447950112472e-09	-8.0116816997560415978e-09	8.8605392441858188793e-09	1.4504513106378196295e-08	-4.2334189939080680496e-10	-6.4928314066221546974e-09
-12	-12	-11	1.5361769840913810511e-08	1.3700054742798913338e-08	-2.2363615046711353048e-08	-1.8796676946970515451e-08	7.6383765881427708192e-09	5.5599514954599307809e-09
-12	-12	-10	-5.0550792990627736625e-08	-1.7804759380542854827e-08	6.4622962765883713605e-08	1.9944240913370145888e-08	-1.6886603730307178331e-08	-2.5673778393927486939e-09
-12	-12	-9	7.363856671415063269e-08	7.4649494333728464199e-09	-9.2653887905577578986e-08	-1.3442278930289624491e-09	2.535376158856924739e-08	-8.1609620537918452944e-09
-12	-12	-8	-1.0583110591841780055e-07	2.0667870693613950926e-08	1.2483692088959071056e-07	-3.999268722865303256e-08	-2.8508722456759361713e-08	2.8987224802558620797e-08
-12	-12	-7	1.0249061048947450816e-07	-8.5927111007122863572e-08	-1.1806829890535303629e-07	9.9739004358219079499e-08	2.6704608712934625798e-08	-2.3677531459022087757e-08
-12	-12	-6	-1.0442745518850336623e-07	1.1496965680295511227e-07	1.1822063599272122094e-07	-1.452062856579330915e-07	-2.7586361608435706121e-08	6.0473257709955984919e-08
-12	-12	-5	5.2150072027954466467e-08	-1.3121749255832757828e-07	-6.5636589349890886281e-08	1.5904073164726107844e-07	3.2367641572647394317e-08	-6.6775773813440373921e-08
-12	-12	-4	3.1074837066646408136e-08	1.3898194291092614602e-07	-5.1402368115443264354e-09	-1.8414525926254630457e-07	-7.7803800765306247584e-08	1.354899490548605021e-07
-12	-12	-3	-8.6516572799533406493e-08	-6.8851117965137900812e-08	6.6583253271692500756e-08	1.2508410764343656238e-07	7.9733278111363583242e-08	-2.249319587131946198e-07
-12	-12	-2	1.0307049170076101481e-07	3.0997233886426716905e-08	-1.0442926469247368703e-07	-7.994589475052659843e-08	8.1526379502760779939e-09	2.9369196518459930238e-07
-12	-12	-1	-9.8240246836172969654e-08	4.3695347484870355504e-08	1.0634477656360219547e-07	-1.5489941959564311164e-08	-9.7254356729150775948e-08	-3.3846486630367258502e-07
-12	-12	0	2.9518288134291229763e-08	-7.4649558321011810218e-08	-2.9518288134291229763e-08	7.4649558321011810218e-08	1.5658630094375050408e-07	2.9313282178972263944e-07
-12	-12	1	2.0575147651093672258e-09	8.9211386189087440883e-08	-2.3058466496685419676e-08	-1.1050231911261903722e-07	-2.5201142077891260624e-07	-2.5549119508237926187e-07
-12	-12	2	-3.3882945843504160415e-08	-5.4315461829096493573e-08	8.2605621158676541791e-08	8.1880123732160455352e-08	2.9233605189103424855e-07	1.6538797141838379715e-07
-12	-12	3	3.6781549627818282627e-08	4.0781885229694318852e-08	-9.3389932950664472974e-08	-5.13323658994858793e-08	-2.2643353329138478786e-07	-4.2201922679166255025e-08
-12	-12	4	-4.4422995319540176889e-08	9.2268683034166724994e-10	8.8025390756002006378e-08	-1.2354681372847519922e-08	1.3080718630938548185e-07	-3.4295983627517558947e-08
-12	-12	5	1.4516316990450627532e-08	-3.6102607870821086269e-08	-2.7162857491471211037e-08	5.852630913112825074e-08	-3.035169720244939644e-08	5.3816883024737190762e-08
-12	-12	6	1.1917153913945948676e-08	3.875477683749379456e-08	-1.8200558978949097501e-08	-5.5912074011882881371e-08	-1.2566810130006300958e-08	-3.4314594348778167004e-08
-12	-12	7	-8.6747082390573455311e-09	-7.0377810752366687819e-09	2.244560449319217049e-08	1.2793932821258909376e-08	2.3607250721373986117e-08	9.8676887074666974529e-09
-12	-12	8	2.455986438720689017e-08	2.6704019158017524104e-09	-3.8400183864438245307e-08	2.2600809464694159312e-09	-2.0760479215847036015e-08	7.395724293406752926e-09
-12	-12	9	-1.4110053246231133408e-08	6.5720000086566577486e-09	2.4087291763439771272e-08	-1.4259013769367256879e-08	1.3302984689611518256e-08	-1.0249351680947465508e-08
