# exact-gradient local quartic closure adversary; cutoff=12; objective=projective-normalization-cauchy-ratio; selection=double-triple-remainder-without-123; backend=direct; objective_value=6.13598e-05; constant_ratio=0; candidate_lemma_proved=false
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-12	-12	-12	-1.699297789080893608e-07	5.599870313401794863e-08	4.0671234376160055178e-08	3.8180430202810842354e-08	1.2925854453192932548e-07	-9.4179133336828797601e-08
-12	-12	-11	2.2035670165694072112e-07	-8.2417141155517020644e-08	-1.3062557058883662849e-07	-4.7007614481641385729e-08	-9.7888506619749912019e-08	1.4119064251326372567e-07
-12	-12	-10	-4.2895243921397607962e-07	3.594491936716820296e-07	3.6844727838258881405e-07	-7.181887269804714589e-08	7.260619299766473721e-08	-3.4515638516836184457e-07
-12	-12	-9	3.6950297049523919399e-07	-4.2850917675768552209e-07	-4.4427632833965404371e-07	2.0737699500686051665e-07	9.969781045921984816e-08	2.9484290900109995432e-07
-12	-12	-8	-3.3336559098877635761e-07	5.4400036350213134255e-07	4.5619170136544520527e-07	-4.4227454473775830705e-07	-1.8423916556500324502e-07	-1.5258872814655960619e-07
-12	-12	-7	-9.4611547813251868724e-08	-8.5039148850305835121e-07	-1.586403243948713617e-07	7.2637169473093031586e-07	4.3414606664249696644e-07	2.1260536075221965177e-07
-12	-12	-6	2.2476011435067738297e-07	6.0951988587729296199e-07	-1.5803188574024660523e-07	-7.711096456765195606e-07	-1.3345645722086152901e-07	3.2317951959845319722e-07
-12	-12	-5	-4.6656482580469135482e-07	-4.0616209770472533939e-07	5.4240679875738200354e-07	5.7674297929260294723e-07	-1.8202073508645760986e-07	-4.0939411581090613176e-07
-12	-12	-4	6.9385231269817183521e-07	-2.3088724889004093374e-07	-7.6523151473289987997e-07	-5.3932398446386214912e-08	2.14137606104184399e-07	8.5445894200928143272e-07
-12	-12	-3	-5.5151727779988849647e-07	8.8181434016406001158e-07	6.5678109234021472682e-07	-5.2848688619449493393e-07	-4.2105525816130486843e-07	-1.4133098158782603106e-06
-12	-12	-2	2.6416899729589648479e-07	-1.2259821088636410339e-06	-4.8443719167740738994e-07	9.6988646340118820098e-07	1.3216091662890652192e-06	1.5365738727747169975e-06
-12	-12	-1	3.353112477371408779e-07	1.4688200238272203408e-06	-1.6420630914737006517e-07	-1.3086065061461364182e-06	-2.0532592630772498587e-06	-1.9225622121730070703e-06
-12	-12	0	-1.047585100785821991e-06	-1.0859327875876171249e-06	1.047585100785821991e-06	1.0859327875876171249e-06	2.7346603721364918192e-06	1.7342378117629631244e-06
-12	-12	1	1.3100226400360439203e-06	8.3898814114487111903e-07	-1.6035625820546143449e-06	-9.4500401138997523585e-07	-3.5224793042228459415e-06	-1.2721904429412498253e-06
-12	-12	2	-1.2244762967879571379e-06	-2.0549573817996361614e-07	1.8642576995090615702e-06	2.7200958674193139735e-07	3.838688416326626594e-06	3.9908309137180668726e-07
-12	-12	3	8.4053767997862166549e-07	5.5953463333793737934e-08	-1.6144616091590784311e-06	6.2575489984219412419e-08	-3.0956957167218266388e-06	4.7411581327205260141e-07
-12	-12	4	-5.6013192313754863594e-07	1.9838072256563325513e-07	1.2425704615594217123e-06	-5.5418528494723525768e-07	2.0473156152656196526e-06	-1.06741368714480614e-06
-12	-12	5	9.0917877996182066553e-08	-2.8261069596987728258e-07	-4.8583378163828475546e-07	6.8580529538215014108e-07	-9.4779816874104644278e-07	9.6766703858945502981e-07
-12	-12	6	8.5023261851415906221e-08	1.9579314735015912124e-07	9.488305897529025457e-08	-5.8098226953040279733e-07	3.5981264165341232158e-07	-7.7037824436048740511e-07
-12	-12	7	-5.4239358475492845656e-08	-1.5817455746266395381e-08	-2.2828382741120218358e-09	2.9567819840775238248e-07	-9.6895194427894056431e-08	4.7976127313397601002e-07
-12	-12	8	3.0490110880842945346e-07	-9.839995444903327456e-08	-3.2265081331668029243e-07	-5.3131619906007017215e-09	-2.6624556762376222068e-08	-1.5556967465945098097e-07
-12	-12	9	-1.6146625921989714933e-07	1.8206389409253982608e-07	1.8175724865605047373e-07	-1.5316618225440259524e-07	2.7054652581537780203e-08	3.8530282450849636702e-08
-12	-12	10	6.7782741720587503969e-08	-1.9041654519568824262e-07	-7.6962079405981257028e-08	2.1090207001104693154e-07	-1.1015205222472499369e-08	2.4582629778430408845e-08
-12	-12	11	3.8390419148959676873e-08	1.3198910321504595016e-07	-3.6014727703432683188e-08	-1.4677888184664448877e-07	2.5916633951203573115e-09	-1.6134303961743867819e-08
-12	-12	12	-5.4733635690609611066e-08	-8.243404870952462359e-08	6.8150117625424854499e-08	9.3973409196382211654e-08	1.3416481934815246742e-08	1.1539360486857596336e-08
-12	-11	-12	-1.1486443078709823278e-07	2.773676550986299111e-07	1.5292691874122730614e-07	4.6915785415500477064e-09	-2.5318578059026802258e-08	-2.8166826876171748337e-07
-12	-11	-11	1.220697108936405521e-07	-5.8184929091184468327e-07	-2.8317788760122857517e-07	2.2043912233410520962e-07	1.5001093026271159962e-07	4.1430555866063444245e-07
-12	-11	-10	-1.0191613604080924126e-07	6.1862159898258594902e-07	3.3433588610078730583e-07	-4.083097582073031648e-07	-2.4547011146189492043e-07	-2.9320518475106968931e-07
-12	-11	-9	-2.3562858432293678863e-08	-7.4254190036598222458e-07	-2.482982312594126365e-07	6.9391721456372616945e-07	3.3489276056011812166e-07	1.4193482713231090181e-07
-12	-11	-8	3.1771972327626500026e-07	8.3224800404605552735e-07	-1.436421742213610023e-07	-9.6044572691455312819e-07	-2.7907159536002609905e-07	7.2240868438427167591e-08
-12	-11	-7	-3.013080542165073102e-07	-7.4192819101027453883e-07	5.1209020519032023404e-07	7.982061991708164507e-07	-2.8818508664220497886e-07	1.7552871606330526233e-08
-12	-11	-6	3.4741383295421288589e-07	3.6320942928644412402e-07	-7.2644404360002706255e-07	-2.9951252811199212715e-07	6.3698641402495714094e-07	-1.7731255703423598847e-07
-12	-11	-5	-4.331742181329762929e-07	-3.0770672445866635089e-07	9.5525195557097631225e-07	-6.4223627427237611903e-08	-1.0619361787370049534e-06	8.7978811904072198038e-07
-12	-11	-4	-4.7625548309346074565e-08	-3.3231429308050155913e-08	-4.2753650137500116788e-07	4.6998538364911212763e-07	1.3186020237092914089e-06	-1.1927655171109079494e-06
-12	-11	-3	7.0810760345184050709e-07	4.356496083841061556e-08	-2.3749027621659827544e-07	-4.9706971910692682193e-07	-1.9616327343465016321e-06	1.6483291267050890152e-06
