# completed local quartic closure restart checkpoint; cutoff=12; restart=0; seed=10822922891966284999; objective=projective-normalization-cauchy-ratio; selection=double-triple-remainder-without-123; optimized_objective=0.000109703845496873364; refined_objective=0; accepted_steps=1; candidate_lemma_proved=false
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-12	-12	-12	-2.3626395405574283703e-10	-8.145477200204333481e-10	7.8145860747443376922e-10	1.5736472296439478657e-09	-5.451946534186909322e-10	-7.5909950962351451763e-10
-12	-12	-11	1.0354248139402318871e-09	1.6099954314345838177e-09	-2.2101986821261788339e-09	-2.3082458031507756945e-09	1.2815714925664876723e-09	7.6172767823584587184e-10
-12	-12	-10	-4.7469851901679373515e-09	-2.6872572667948171135e-09	6.9532702657137586e-09	3.1670788114943312033e-09	-2.6475420906549861599e-09	-5.7578585363941701122e-10
-12	-12	-9	7.9627773655703838677e-09	1.4839568047119079304e-09	-1.0939940126628217565e-08	-1.2763347527741668443e-09	3.9695503480771110453e-09	-2.7682940258365472982e-10
-12	-12	-8	-1.2984265558245228921e-08	2.3682269757287767947e-09	1.6242381991215606722e-08	-4.3327307167921767211e-09	-4.8871746494555691829e-09	2.9467556115951003032e-09
-12	-12	-7	1.3103487710164813812e-08	-1.1494344299452580927e-08	-1.5851377033486711575e-08	1.2959839748341970345e-08	4.7106674114089661746e-09	-2.5122779123818114932e-09
-12	-12	-6	-1.2451531923255679272e-08	1.7032360193338875585e-08	1.5052323411639491905e-08	-2.0551934576999283537e-08	-5.2015829767676260935e-09	7.039148767320815904e-09
-12	-12	-5	3.6216678725056932252e-09	-1.9072402805984509132e-08	-6.1425370088826017104e-09	2.2152536950407515861e-08	6.0500859273045806954e-09	-7.3923219466152159852e-09
-12	-12	-4	7.9532610224184232941e-09	2.005254673253667002e-08	-4.1891317369329998715e-09	-2.4366133039012568032e-08	-1.1292387856456268614e-08	1.2940758919427689074e-08
-12	-12	-3	-1.8053222039448399801e-08	-8.9713750549018236776e-09	1.4885086794045378386e-08	1.4187990668703594794e-08	1.2672540981612090622e-08	-2.0866462455207081157e-08
-12	-12	-2	1.7915273272505123306e-08	-2.149785164598361778e-09	-1.6999831592696444461e-08	-2.98944274907826232e-09	-5.4926500788520714149e-09	3.0835367482059743761e-08
-12	-12	-1	-9.7585393156989205092e-09	1.715286795060928294e-08	1.0178313409131459396e-08	-1.4453343910609621251e-08	-5.0372891211904592011e-09	-3.2394288479995933652e-08
-12	-12	0	-2.1166133912262099542e-10	-1.8007207761312041889e-08	2.1166133912262099542e-10	1.8007207761312041889e-08	1.4524416887367964829e-08	3.239660380839175223e-08
-12	-12	1	1.1140104497425682631e-08	1.2485399937187102909e-08	-1.2711475829785288175e-08	-1.4704173562900758875e-08	-1.8856455988315273146e-08	-2.6625283508563874895e-08
-12	-12	2	-1.6182462337163357853e-08	-2.4832749345261843369e-09	2.0505911037637022146e-08	5.3134521465263662239e-09	2.5940692202841982449e-08	1.6981063272001091322e-08
