# completed local quartic closure restart checkpoint; cutoff=8; restart=0; seed=12916328572993039690; objective=projective-normalization-cauchy-ratio; selection=double-triple-remainder-without-123; optimized_objective=0.000108369369224676555; refined_objective=0; accepted_steps=24; candidate_lemma_proved=false
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-8	-8	-8	-0.00011832191431212997533	-8.5959599249053355013e-05	8.0456797296678050435e-05	-0.000104392293482913779	3.7865117015451924898e-05	0.00019035189273196713401
-8	-8	-7	1.551835677872195928e-05	-3.8792830800666190305e-06	-1.2041525171229905674e-05	1.6990460705460615958e-05	-3.9735218371337740985e-06	-1.4984203000450282202e-05
-8	-8	-6	-6.1753265495163907152e-06	-4.8218096935935935433e-06	6.2196690584425883981e-06	-3.7957330533384140934e-06	-5.9123345234930126935e-08	1.1490056995909343516e-05
-8	-8	-5	6.303241460807704681e-07	-1.5976085345788860325e-06	-8.1464606532921494432e-07	1.9152586117524100526e-06	2.9491507079751122548e-07	-5.0824012347763862288e-07
-8	-8	-4	-1.2539079810679765294e-06	-9.7110461895771297238e-07	1.6853720169913236505e-06	2.7603893634366454073e-07	-8.6292807184669413647e-07	1.390131365228097075e-06
-8	-8	-3	1.44807576676665643e-06	4.1891622137275352259e-07	-1.8688113413920957441e-06	2.3313948214382276213e-07	1.1219615323345047669e-06	-1.7388152093775367593e-06
-8	-8	-2	-1.0008187108938180877e-06	6.2504114928903932877e-07	1.5261088415574521584e-06	-1.1708656067048292948e-06	-2.101160522654536283e-06	2.1832978296631602876e-06
-8	-8	-1	-1.3822853787815349475e-07	-8.4130165964182384234e-07	-2.3432225006903874954e-07	1.21426319598312379e-06	2.9804063035775379542e-06	-2.9836922907304004281e-06
-8	-8	0	1.175816328870940423e-06	5.0019487129699338406e-07	-1.175816328870940423e-06	-5.0019487129699338406e-07	-3.0937397180486442521e-06	4.4070668049713129924e-06
-8	-8	1	-1.6315520215025991694e-06	2.8482699448178243222e-07	1.8672294985258102642e-06	-9.5949621579385390623e-07	1.8854198161856887585e-06	-5.3973537704965722156e-06
-8	-8	2	1.5583766226792387751e-06	-1.0057851208519709258e-06	-1.5656849335500413607e-06	2.3216078655011542223e-06	-2.9233243483210778944e-08	5.263290978596733186e-06
-8	-8	3	-4.7595595407707520287e-07	8.913773732309075655e-07	-3.8885698284672174212e-08	-2.0000024456477046979e-06	-1.3729110729646597251e-06	-2.9563335264447929178e-06
-8	-8	4	1.2473321655321376013e-07	-8.105460434927791597e-07	6.0038514654867290982e-07	1.4287961783160119935e-06	1.4502367262037733929e-06	1.2365002696464656677e-06
-8	-8	5	-2.1474030981326543461e-07	1.1030069147429742654e-06	-3.8039866326242887161e-07	-6.5883834011244500251e-07	-9.5222235692111091113e-07	7.1066971940884669357e-07
-8	-8	6	-3.5818836097604042038e-05	2.0600660824992324667e-05	-1.817668304580035654e-06	-2.3116885570083176596e-05	-5.0182005869578770821e-05	-3.354966326787805113e-06
-8	-8	7	3.1231150366983415237e-06	-2.3404596870359373424e-06	1.7951091631610055774e-07	-9.1212852465107435816e-07	3.7744296605879338679e-06	-3.7172436704994419435e-06
-8	-8	8	-4.3042549564094514253e-05	1.666666434420500004e-05	4.9932744323621369438e-05	1.4006913936355770182e-05	6.8901947595268568794e-06	3.0673578280560768528e-05
-8	-7	-8	-3.8585113298867599598e-06	1.5859514363644462535e-05	-1.5556975071728317228e-05	-2.0115798675459057259e-05	1.7470864517649037958e-05	1.741809477382210872e-06
-8	-7	-7	2.2138829570877165316e-05	-1.5082074961869863978e-05	3.1501746035782645413e-06	3.5349553658632270009e-05	-2.8451694113152167759e-05	-1.8112896559352426431e-05
-8	-7	-6	-2.1416639701394560633e-06	-1.5716609160819700454e-07	1.7169875781876659463e-06	-1.2150110983430191587e-06	8.5239978563366444508e-07	1.6270677368777852363e-06
-8	-7	-5	3.0897633304976524074e-06	-3.3402640428962016469e-07	-2.4708692365931832384e-06	2.085766948826920112e-06	-1.4844043975657874027e-06	-2.3856314814942960627e-06
-8	-7	-4	-3.2784841789492101358e-06	2.2817348732629239826e-06	2.1104714743357753198e-06	-4.0106767211312385784e-06	2.8636432778108135678e-06	2.4552145154538203941e-06
-8	-7	-3	1.8899769933103966906e-06	-3.4492188114670252671e-06	-8.7384856525645498975e-07	4.872139273891327649e-06	-3.0009586632293293204e-06	-2.1704081418343636608e-06
-8	-7	-2	-8.4510600045406971691e-07	3.5557283618815579779e-06	-5.2015027225965869411e-08	-5.1116471111599263963e-06	3.562476597107159308e-06	3.6678514415335096285e-06
-8	-7	-1	-1.0054205704767311224e-06	-2.037315221078605091e-06	1.883254579362681422e-06	3.2826561824643053535e-06	-5.1394174917249199164e-06	-6.6800715086212971697e-06
-8	-7	0	1.6980302466031799019e-06	-5.9113733906990760129e-09	-1.9406059961179199484e-06	6.7558553036560866356e-09	7.0331296302971871889e-06	7.6913418107332156453e-06
-8	-7	1	-1.1159728863747088405e-06	2.0697870475816285028e-06	-9.9651751068037174978e-09	-3.2902985327532069396e-06	-8.9975393167452972359e-06	-6.4737933486194188602e-06
-8	-7	2	-2.6314518239733433116e-07	-1.8947570220308078632e-06	2.5924284649440434923e-06	2.8517848664930929307e-06	8.0209188977148153219e-06	2.402218944602594228e-06
-8	-7	3	1.2161277801448734103e-06	2.1531921201994743403e-06	-3.8259621249856936347e-06	-2.2822056578590256844e-06	-5.6842375445802899517e-06	4.1669911886087160859e-07
-8	-7	4	-1.6411746603182913053e-06	-1.093675552034704682e-06	3.7374980118181545112e-06	2.7097630671624137447e-07	3.2582722000451872546e-06	-1.7131425673159872233e-06
-8	-7	5	1.0562686407591957477e-06	4.396780894519337739e-08	-1.8282870691850804351e-06	8.5833111420342491639e-07	-8.6957207164439917985e-07	1.2720120541971043079e-06
-8	-7	6	-5.4032974854714967468e-07	3.6520088893636708327e-07	3.3191331549850146167e-07	-8.5488899129474633614e-07	-3.3320746331461451881e-07	-5.1043597126204791251e-07
-8	-7	7	-9.6325671515398131019e-06	6.2152105766691802193e-06	1.5052720434149282047e-05	-1.0978852507284750262e-05	4.0440722609609230058e-06	-3.8757547053771157253e-06
-8	-7	8	-2.154732487928847536e-06	1.1216336603452420607e-06	-6.093259945316518671e-07	-3.7022361248658523902e-08	-2.6878927331440429595e-06	1.0892390942526659317e-06
-8	-6	-8	9.0985558332871896892e-06	2.4509073139787370245e-05	-1.2805629476339680156e-05	7.8936253943053114481e-07	5.0566627396757021644e-07	-2.5101095044360269715e-05
-8	-6	-7	1.7275389889526526135e-06	-1.7472555048268902255e-06	-3.2950031695207145222e-07	2.7202231300013760717e-06	-1.6919014299869704647e-06	-3.3475639162759079702e-07
-8	-6	-6	-2.5993193636419894352e-06	3.6077812576831690076e-06	-1.1236097766110183559e-07	-4.9614543118467074968e-06	3.5781201291837546452e-06	1.5107930160248233853e-07
