# completed local quartic closure restart checkpoint; cutoff=8; restart=0; seed=12916328572993039690; objective=projective-core-stretching-tail-cross-ratio; selection=double-triple-remainder-without-123; optimized_objective=3.15200478504145398e-08; refined_objective=0; accepted_steps=12; candidate_lemma_proved=false
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-8	-8	-8	8.8043395301266959712e-07	-8.9493156717832619095e-08	-6.334902540598462245e-07	1.3053501778204973431e-06	-2.4694369895282337263e-07	-1.2158570211026647637e-06
-8	-8	-7	-1.5527011313930904045e-05	-6.1102215986727493108e-06	-5.1473959081033270356e-06	2.7779207446249629129e-06	2.3627893968039120751e-05	3.8083438331974705925e-06
-8	-8	-6	2.6600297717466875415e-06	9.2442653003962314942e-06	-5.3933250298173153733e-06	-1.4833519424015743052e-06	3.6443936774275034933e-06	-1.0347884477326209303e-05
-8	-8	-5	-6.8392256708718803286e-08	-1.1081549551993897108e-07	6.1612832950376879437e-08	3.2808816767897749752e-08	1.0847078013347068231e-08	1.2481068600326596471e-07
-8	-8	-4	1.5498582518692543713e-07	1.2215259795630942475e-07	-9.5261684599526586348e-08	4.171810724499060283e-08	-1.1944828117479767509e-07	-3.2774141040260002868e-07
-8	-8	-3	-1.7338711409282404379e-07	-1.69981350579041137e-07	1.276177680433753434e-07	6.488331824048075828e-09	1.2205158946519656083e-07	4.3598138334664813223e-07
-8	-8	-2	1.6735601783439133983e-07	-4.0084756932417606781e-08	-7.3502967586895357467e-08	2.2554381913998556481e-07	-3.7541220098998392947e-07	-7.4183624883027177916e-07
-8	-8	-1	-1.735494247596480428e-07	1.5434533088281842433e-07	1.285317081038345152e-07	-2.0393840682296974693e-07	3.601417332465082208e-07	3.9674460752121063378e-07
-8	-8	0	2.1083283955200032486e-07	-3.0530148601732961054e-07	-2.1083283955200032486e-07	3.0530148601732961054e-07	-1.8746154599038099682e-07	-3.4155174991880186639e-07
-8	-8	1	1.2680700501007185385e-07	1.9212915097709581013e-07	-9.4019069692025800624e-08	-1.5040565001063220031e-07	2.623034825443684258e-07	3.3378800773170882562e-07
-8	-8	2	-1.1575082904483472817e-07	-1.319665573446819666e-07	-1.1826096765594996284e-08	8.4712379914002531404e-08	-5.1030770324171895737e-07	-1.890167097227177408e-07
-8	-8	3	2.7781137101650888499e-08	-1.8939288681648004929e-08	8.5771745763222435312e-08	-3.4940620630215759482e-08	3.0280768763966220565e-07	-1.4367975816497003843e-07
-8	-8	4	-3.3214108184828832825e-08	-1.9365022346673226521e-08	-2.0597282930492549098e-08	1.049202870868628297e-07	-1.0762278223064275723e-07	1.7111052948037921298e-07
-8	-8	5	-3.3559907210878233322e-08	-5.9601162818891087382e-09	8.1139988148677364007e-09	-5.4166773180452172065e-08	-4.0713453433616796397e-08	-9.6203023139746058549e-08
-8	-8	6	2.7960569352901738788e-05	-1.6373737721348179212e-05	1.95267225488724827e-06	1.8748612527964416221e-05	3.9884322143718648845e-05	3.1664997421549852206e-06
-8	-8	7	1.8966554658828392582e-05	-2.1595235167838608062e-05	2.993509027028101205e-06	-1.606379715616366847e-05	2.5097215640978852463e-05	-4.303889408457402645e-05
-8	-8	8	-1.1153563067611082808e-06	-8.0085014460402112113e-07	-1.2534093122227036404e-06	-1.7269844120718293866e-06	-2.3687656189838119212e-06	-2.5278345566758507195e-06
-8	-7	-8	2.6484202686329654475e-06	8.4454856614842998153e-06	-4.2992370424692356783e-06	-9.8218375179022317169e-06	1.1134121435276163004e-06	1.4862216668015378399e-07
-8	-7	-7	-1.1603811991829026039e-07	-8.1743726961426195299e-08	1.3312754115904248154e-07	-6.7502227684943750471e-08	-5.1254696671075930661e-10	1.609236299265736785e-07
-8	-7	-6	1.1077324567720789445e-07	-5.6360101213322096734e-08	-7.2277554173778474433e-08	7.0710507999525534846e-08	-6.3373847700202296937e-08	-7.3487910483503302719e-09
-8	-7	-5	-3.0851712761920355054e-07	1.0844066536228609023e-07	9.8924684381217169522e-08	-1.2557806423677851322e-07	3.5513284605702165413e-07	2.3042253518321671924e-09
-8	-7	-4	2.9097981331994084699e-07	-3.2968258839034310573e-07	5.4245053548240705996e-08	4.3093649519514835476e-07	-6.7688847034930297084e-07	-9.4773689810823356439e-08
-8	-7	-3	1.2424756824106196021e-07	3.2324451207161047846e-07	-5.1251153119273670551e-07	-3.5662157336639009832e-07	8.6453339080688701504e-07	-2.9868361002717697708e-08
-8	-7	-2	-3.0620436700797194457e-07	-2.6613780770532702048e-08	6.7922386165421134286e-07	-2.3174386444893567109e-08	-1.1524660477578521865e-06	1.8756547563925828149e-07
-8	-7	-1	6.4552461475148290036e-07	-3.1498364277937206964e-07	-8.1946515969501052504e-07	3.3154012007101632893e-07	5.7205919985321057827e-07	1.9908830173786206928e-07
-8	-7	0	-1.5345185279480773697e-07	3.3763984388935903552e-07	1.7537354605120884603e-07	-3.858741073021246574e-07	-6.5823670798873273415e-07	-4.1138451620309551708e-07
-8	-7	1	-1.4825477466899185334e-08	-1.4488656797450037776e-07	1.5051009023263632643e-07	2.3794887794626850758e-07	9.349668118932608685e-07	5.0654960182787663689e-07
-8	-7	2	-7.1527330939427177223e-08	1.362302032044564867e-07	-6.8090873656523273013e-08	-1.4836883732113609856e-08	-5.2442738155554013135e-07	4.9299171975542835697e-07
-8	-7	3	-9.8802778396960525049e-08	-2.3476446188858187381e-07	7.720426009496018658e-08	8.2327210687939514045e-08	-8.3330802170320964776e-08	-4.3394174009769280179e-07
-8	-7	4	1.2331853491343519288e-07	1.2331972724475836e-07	8.2374906832175669661e-08	-7.1256349001373220751e-08	3.9079315678317781429e-07	1.2194084373711362008e-07
-8	-7	5	1.5014423137353675377e-08	3.9581744036326656805e-08	-1.2736599756130074846e-07	5.7512588611827253171e-09	-1.5428931956605518312e-07	7.1382552863778458556e-08
-8	-7	6	-4.2946373475471710406e-08	-4.8931435897167973329e-08	3.3090638204524309485e-08	-1.0726090617357131468e-08	-1.8656086728683918373e-08	-7.7755686916473949773e-08
-8	-7	7	6.9647040227639232134e-08	4.3645948637156681166e-08	3.0285066630657001868e-08	-8.1965783863845348074e-08	1.0988168403367326149e-07	-3.2084699707094851531e-08
-8	-7	8	-8.0444781648902780069e-06	-2.6983990908818436227e-06	1.0451442102920696064e-05	-4.1590825005472968521e-07	1.1005336751653318966e-06	-3.0623188096797319053e-06
-8	-6	-8	-4.772618376069077663e-06	-2.1170587206875825053e-05	6.096443005371938755e-06	5.0141883047746541117e-06	2.0028612204012386148e-07	1.7409945978294834892e-05
-8	-6	-7	5.193845856185228523e-08	1.246232939046838305e-07	-1.2778997453160218544e-07	-1.1243221461741444428e-07	5.0176025527827843372e-08	-4.6056151933283431138e-08
-8	-6	-6	-3.8362107789175028406e-07	-2.9399577013579549535e-07	5.9209543431089187108e-07	1.6490769164413472882e-07	-8.0600663788558136945e-08	2.27086668536925914e-07
-8	-6	-5	3.7248714888444178649e-07	4.2398064304471049375e-07	-5.5250948435707181766e-07	-1.4983224378221387929e-07	6.7031943013379248695e-08	-4.9857033633288008191e-07
-8	-6	-4	-7.8332360889256759991e-07	-2.8303879915901144011e-07	1.0669428837229791747e-06	1.4452914384248406196e-08	-3.3767107799333747542e-08	5.4439822674165035033e-07
-8	-6	-3	1.5629248014326651908e-07	-1.2009581205305479124e-06	-2.3139352454265507996e-07	2.106021654321967625e-06	4.6007102036599455607e-08	-1.0094883205624739384e-06
-8	-6	-2	-7.9059238870936660887e-07	1.2841475974478422931e-06	7.9884471227102965015e-07	-1.350343412909614649e-06	7.6583541802437780267e-07	-1.0855601510625254371e-06
-8	-6	-1	-1.0398322789012287813e-07	-4.8575520094721458648e-07	2.9891006853236455137e-07	5.5806217093051036612e-07	-9.6159458807320428312e-07	5.3766858199465470692e-07
-8	-6	0	5.0501077357227890343e-07	3.104014842442877001e-07	-6.7334769809637190653e-07	-4.138686456590502315e-07	3.9542052537807445473e-07	-5.0033155223243452208e-07
-8	-6	1	7.0928789092980277309e-08	7.5268949558529438647e-07	-1.7182348119490338022e-07	-1.0262483115202440715e-06	-4.6351057442557811578e-07	-1.3597390443910954915e-07
-8	-6	2	5.5259603021345294802e-07	-1.3167385189540284496e-06	2.7968851163627228721e-07	2.2715844266144999874e-06	3.0494496557626284419e-06	1.5477992040273865874e-06
-8	-6	3	-7.8921336100441545062e-07	4.8961862041554772966e-07	1.2603936415265628472e-06	-4.8689209525075168018e-07	4.1621832037468438686e-07	3.3186546393995704031e-07
-8	-6	4	-1.7314091695312968835e-07	-3.889093317995908584e-07	6.872704748748727611e-08	1.2817104444765110665e-07	-2.4319126267502847578e-07	-5.8556209692770509654e-07
-8	-6	5	2.8675901128057296091e-07	1.6271510923883116661e-07	-1.9377976084608369632e-07	5.3328490736651025029e-08	2.262787050336162754e-07	3.2433836366611109926e-07
-8	-6	6	-1.2012043326744160242e-07	1.4113796639083496338e-07	6.1049365310402177359e-10	-9.0716023179853570106e-08	-1.5955008403681809655e-07	9.7467932007926376655e-08
-8	-6	7	-4.5356682596476966804e-08	-3.0912403476213554972e-08	4.7071873194580377662e-08	2.2341336872378028479e-08	-1.1488888800619065741e-08	-1.6178743796491466986e-08
-8	-6	8	6.3242445546669859226e-06	6.6416880019542303321e-06	-5.5742992688806767033e-06	-1.45273729713866226e-05	2.1435201030064781834e-06	-4.2538417265857366177e-06
-8	-5	-8	-3.1760636586327308927e-08	6.4082343427577709916e-08	5.3179040587737972839e-08	-1.0051223396068844204e-07	-1.4762637810089243041e-09	-1.2621972021474348835e-09
-8	-5	-7	1.1506080036725897011e-07	-1.2658681618438624946e-07	-1.0648917789418148946e-07	3.5960950289877265333e-07	-5.543435906673776287e-08	-1.1219328357411047295e-07
-8	-5	-6	-3.556505113414375905e-07	6.4758289936883696336e-07	3.2682900215298886932e-07	-9.1912108804507206922e-07	2.0184317999442605408e-07	-9.7509625787555822874e-08
-8	-5	-5	-2.4709607079680261666e-08	-9.5423617786724882044e-07	-3.0373877190580695613e-07	1.1370065998102229992e-06	3.4327414323329539597e-07	3.8977128477737504994e-07
-8	-5	-4	6.3386704030608303862e-07	3.7837946487845023829e-07	1.8750508875045301853e-07	2.9922992906626796069e-07	-1.5021154415502323769e-06	-1.1307963410897355201e-06
-8	-5	-3	-4.9835770378265278146e-07	-1.2642986478473903695e-06	7.5437689700693855259e-07	1.7981157151134330948e-06	7.1659048408843237896e-08	3.7460353573731914314e-07
-8	-5	-2	1.8263694171815743414e-06	6.0299779389569109996e-07	-3.062783212315385318e-06	-2.4775351252143386564e-07	3.514803620621663e-07	-1.7926073942791798681e-06
-8	-5	-1	-6.6545872527302869431e-07	-2.510063126872051007e-08	7.8673691948167228321e-07	-2.1669989044074509685e-07	1.389985204775868562e-06	1.2843045023534896707e-06
-8	-5	0	-9.3788106760020964814e-07	-1.7869106487896744959e-06	1.500609708160335437e-06	2.8590570380634792781e-06	-1.8887116120681344838e-06	-6.3972649350503752725e-07
-8	-5	1	6.9447007973338470326e-07	5.4999163723493228985e-07	-6.5344540706369087543e-07	-8.3076483732656548521e-07	2.2885336025486227196e-06	2.4610891124663036334e-07
-8	-5	2	-2.1204087163044762308e-07	-8.3813976822654861503e-07	2.3476090775482787916e-07	1.1881360667416163819e-06	-2.6126121713472071501e-07	-3.8221890605215324069e-07
-8	-5	3	4.4346135042662450422e-07	3.8740692515339630555e-07	-9.087487041592340861e-07	-7.0597367860392466029e-07	-3.3201757246105820282e-07	-1.435376639308175749e-07
-8	-5	4	-1.520977594849529536e-07	1.7395618594882180525e-07	2.3958876209242818139e-07	1.0878997645228791408e-06	-4.7095663543706267046e-09	1.7077870775512424836e-06
-8	-5	5	7.2082470576475199426e-08	-3.6143009836858401725e-07	-3.9392137327496867982e-07	4.0746078212200011567e-07	-2.7858942035260835015e-07	-1.7082737526773431193e-07
-8	-5	6	3.5403651038361683283e-07	1.0801116701250993264e-07	-3.7535907330196371839e-07	-2.2145866843545777012e-07	1.592494527598526608e-07	-4.0534001012868231587e-08
-8	-5	7	-1.400537562841817835e-07	-4.189928707015417442e-09	1.437874556580562424e-07	-2.008068181013982638e-09	-5.7356110283310454529e-08	-6.2228243658847512758e-09
