# exact-gradient local quartic closure adversary; cutoff=8; objective=projective-core-stretching-tail-cross-ratio; selection=double-triple-remainder-without-123; backend=direct; objective_value=2.92352e-08; constant_ratio=0; candidate_lemma_proved=false
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-8	-8	-8	3.8154673673375670605e-05	2.8716989632572893442e-06	-1.9982798267921748122e-05	3.4997064442690533736e-05	-1.8171875405453922483e-05	-3.7868763405947822233e-05
-8	-8	-7	2.3886945174735666451e-05	1.0345882678068127252e-05	7.2895315009885625857e-06	-3.9751103285440886985e-06	-3.5630259057970546503e-05	-7.2808826851703288075e-06
-8	-8	-6	-5.1155349280632928934e-06	-1.8167285264526851545e-05	1.0499345338896868483e-05	2.9662135821832149273e-06	-7.1784138811114335548e-06	2.0268095576458178769e-05
-8	-8	-5	5.4398203254360927193e-08	2.9772753931643385327e-07	2.1535925059139300055e-07	1.7638944682815071209e-07	-4.316119261532062738e-07	-7.5858717783133530457e-07
-8	-8	-4	1.1144378778829296943e-07	7.2314311292306819804e-08	-4.6939559447240268855e-08	1.7023125805853001006e-08	-1.2900845668210541439e-07	-1.7867487419631962839e-07
-8	-8	-3	-5.6779064706530684426e-08	2.8323897288277325464e-07	-1.9671486847867801451e-08	-4.3082569021359898145e-07	2.0386813747839595352e-07	3.9356457954886858718e-07
-8	-8	-2	6.0677620588070206593e-08	-1.9844644668806321213e-07	7.6584781688931286557e-09	3.473879408672989857e-07	-2.7334439502785334761e-07	-5.9576597671694298839e-07
-8	-8	-1	1.7163702648810072941e-07	8.5814379979457299071e-08	-2.1109383376856093034e-07	-1.2624041517437676117e-07	3.1565445824368155449e-07	3.2340828155935574969e-07
-8	-8	0	1.3600037634644321293e-07	-2.7889994410348974235e-09	-1.3600037634644321293e-07	2.7889994410348974235e-09	-8.6884846287792808428e-08	-4.8528935032772652125e-07
-8	-8	1	-3.9933582288518233123e-08	1.5231987472350811717e-07	6.0968159024617862624e-08	-1.6159440375091828276e-07	1.682766138887969566e-07	-7.419623221928141732e-08
-8	-8	2	-1.9486741251481919344e-07	-8.8432896935887373429e-11	2.3593902747302104751e-07	-1.239897935017491024e-07	1.642864598328073898e-07	-4.9631290559473998002e-07
-8	-8	3	-1.6303750823293307699e-07	-1.0738455811257327582e-07	3.4560432746426341436e-07	9.9815977198298242576e-08	4.8684485128354756633e-07	-2.0182882438066754222e-08
-8	-8	4	-4.8254274127971992065e-08	-3.7556874158387957658e-08	6.956957896504505633e-09	1.3145332177424373242e-07	-8.2594632462934972865e-08	1.8779289523171156277e-07
-8	-8	5	9.5968154603763078649e-07	7.541396169221617374e-07	-1.294729803087402657e-06	9.4911880427417786222e-08	-5.3607721127963507747e-07	1.3584823957593273225e-06
-8	-8	6	-5.4938005387947048063e-05	3.2218683635717793913e-05	-3.7051865390284006891e-06	-3.6901174431577239514e-05	-7.8190922569300598901e-05	-6.2433210611459218217e-06
-8	-8	7	-3.1931073402148457577e-05	3.5597868807194486557e-05	-3.6432038888781252313e-06	2.5974391061768629404e-05	-4.0656316904030379868e-05	7.0368296993100700083e-05
-8	-8	8	4.2535798600293789383e-05	-1.0708197574026879016e-06	-3.7601447356273486544e-05	1.7886066490696145824e-05	4.934351244020307922e-06	1.6815246733293458346e-05
-8	-7	-8	-3.2853105583962556588e-06	-1.2817701398444978063e-05	6.1979135975817630549e-06	1.4122253768794072515e-05	-2.1378638394877869084e-06	4.6072935075016508965e-07
-8	-7	-7	1.2206963745873381456e-07	5.8347354283478522838e-07	-3.576745036824383275e-07	3.8506165910092840052e-08	2.1816634658674250918e-07	-7.0533307200699030158e-07
-8	-7	-6	2.31292678585687458e-08	-1.595168980979881451e-08	2.8724163917992002814e-08	4.6233941371091836009e-09	-6.4350548382415662144e-08	1.5874959919771036411e-08
-8	-7	-5	-2.4778120228670162609e-07	2.3947330119304877095e-08	6.9772683597781194433e-08	-7.7538448415108195685e-09	2.9876816662182894807e-07	-2.7460345412772657941e-08
-8	-7	-4	1.6717484545649012291e-07	-8.0774648319467939634e-08	2.1156537110637780709e-07	1.2349842841476461416e-07	-7.0458909034914149426e-07	-5.457295308690220213e-08
-8	-7	-3	-2.8850837772670209958e-08	1.5433068503535595216e-07	2.1901779777439332174e-07	-1.3422424089398551392e-07	-4.3410596074646384867e-07	-9.8358598008316339946e-08
-8	-7	-2	-4.5698090646737590324e-07	-2.2814197132158135209e-08	-1.9811359529503651409e-07	1.7991917847129841787e-07	2.5213212094021315049e-06	-5.3846033612091196143e-07
-8	-7	-1	-2.1065107709732103317e-06	1.7180319667531882849e-06	2.4883307126256079305e-06	-2.0307700229123002168e-06	-5.6622882059357529472e-07	4.711344263605952917e-07
-8	-7	0	-7.7536179557428074376e-07	-1.1747671864773320105e-06	8.861277663706065643e-07	1.3425910702598079515e-06	-9.5419047436394768588e-07	-1.1289124142449988112e-06
-8	-7	1	2.12185603135978341e-06	-8.215330820969622254e-07	-2.507157888175814844e-06	3.5240499749996265339e-07	-5.7525696635243864001e-07	-4.1054296742759594942e-06
-8	-7	2	-3.6697669811009073246e-07	2.6831432865969210441e-07	1.0468650537318684994e-06	2.1105119155691149013e-07	2.1961208956211772415e-06	1.811936485087958514e-06
-8	-7	3	1.9364565417836362e-08	-5.3874766033140332009e-08	-2.2673703100942695455e-07	4.0525141176382457528e-08	-4.7741423124109927961e-07	-4.9107380010148480047e-08
-8	-7	4	9.7188389922859897255e-08	1.1052869161451079695e-07	1.0770075222761137054e-09	-1.1521182151931691784e-07	1.9626154300970299799e-07	1.9436695570216984375e-08
-8	-7	5	-1.6646756374134354614e-07	1.0274547148911217327e-07	1.7368991221514797063e-07	2.615656335554159676e-08	-2.3182224884942506345e-08	2.0101194308033771865e-07
-8	-7	6	-3.5900441008210629979e-08	4.8986702886090011809e-08	-1.1514911535249771538e-08	-1.8902954956632432048e-08	-6.1301318135405564885e-08	4.3262156398715511689e-08
-8	-7	7	-2.5192734165787148096e-07	-1.755504621776071277e-07	-4.2146547513217862944e-08	4.5525053916774603424e-07	-3.3006350940792815809e-07	2.5462143953619500847e-07
-8	-7	8	1.2446746464240765486e-05	4.9453501005088516032e-06	-1.7150661332670670404e-05	6.3371304382877012479e-07	-2.56008220184607027e-06	5.4998490138590253168e-06
-8	-6	-8	9.2465404349243012367e-06	4.1394643968609594667e-05	-1.1742670327145074581e-05	-9.7113087546081847747e-06	-4.3953768956549620073e-07	-3.4111162402653458204e-05
-8	-6	-7	-3.0920077931689909601e-08	5.1379615827341628748e-08	-5.974307182803090176e-08	1.9759194868770781348e-08	8.6545579203100667734e-08	-7.5656013690193951217e-08
-8	-6	-6	-2.3438862317201069057e-07	-6.7678512606040979634e-08	3.4680237810958484009e-07	1.8579003540993156658e-07	-3.428421388023725707e-08	-9.5552018601876909426e-08
-8	-6	-5	1.2933701122823345336e-07	1.5621743243394496518e-07	-1.7606507076399266716e-07	-7.6738315042334560941e-08	4.3388669516176780292e-09	-1.5786191384351047116e-07
-8	-6	-4	-3.6462227778729281844e-07	-8.3397708863825669546e-08	-4.0587568606365129674e-07	-1.7845826658156631105e-08	1.3380580846700625026e-06	1.9356415771488629071e-07
-8	-6	-3	1.1971262176715142361e-06	1.7403284284455425948e-06	-1.3121770728338066942e-06	-3.0618214140868048076e-06	-5.6798243478975755489e-07	1.4827670189854963821e-06
-8	-6	-2	4.4786562671103981069e-07	8.5487064174553645709e-07	-4.977626468061457617e-07	-1.8785369422800401664e-06	-2.9817456642572201059e-07	2.2161282598579744591e-06
-8	-6	-1	-3.9087677981987726197e-07	-8.3520165782896133045e-07	5.5464578744559589343e-07	1.0994768818662357243e-06	-2.0086048611455718541e-07	8.4751971434276496119e-08
-8	-6	0	5.1877077181614850816e-07	2.6054456583725825821e-07	-6.9169436242153130892e-07	-3.4739275444967764232e-07	-2.4640548994035060895e-07	3.567672296208859413e-07
-8	-6	1	-5.041364417250205183e-07	4.954537365164755397e-08	5.439661483269232942e-07	-3.8749687318887823061e-08	-7.6929464383862406363e-07	1.6386486529985348016e-07
-8	-6	2	2.1640587169875347139e-07	4.0035817791673901831e-07	-6.1038967586347326186e-07	-9.9342754168724308958e-07	-9.6554554079540579414e-07	-1.3788499133947734073e-06
-8	-6	3	1.4723030420096880373e-06	-1.1255590436323156516e-07	-2.9097721043398792734e-06	4.3429464024939620194e-07	-1.8934027633205908709e-06	5.6844020219684152817e-07
-8	-6	4	3.2098977137255762897e-07	3.182218493122498258e-08	-2.5441804439926930483e-08	-5.549759001647802151e-07	6.0381683608522488208e-07	-7.6881948038472034426e-07
-8	-6	5	1.7539127744788022258e-07	2.6640246245653846389e-08	-1.0491179871968969813e-07	-8.7244962631209461017e-08	1.5473188545298071837e-07	-6.2069561164405198999e-08
