# completed local quartic closure restart checkpoint; cutoff=8; restart=0; seed=12916328572993039690; objective=projective-tail-stretching-core-cross-ratio; selection=double-triple-remainder-without-123; optimized_objective=8.70508770194339702e-09; refined_objective=0; accepted_steps=12; candidate_lemma_proved=false
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-8	-8	-8	-6.8802477551855674616e-07	1.6624406702429230117e-06	4.4248178682999836944e-07	-2.6891869957960715935e-06	2.4554298868855837672e-07	1.0267463255531485818e-06
-8	-8	-7	2.0312505840654957985e-05	8.651338306171531278e-06	6.1672377116262217368e-06	-3.2376403913358936826e-06	-3.0262564059749919683e-05	-6.1870833312407278335e-06
-8	-8	-6	-1.9436088812810906782e-06	-7.055262872162252572e-06	4.0426313978039286266e-06	1.1608960930717223969e-06	-2.7986966886971176881e-06	7.8591557054540407982e-06
-8	-8	-5	2.565533075816506259e-07	1.6152011676681151396e-06	1.043415471455221702e-06	8.2753702999960611331e-07	-2.0799500464589955552e-06	-3.9083811162683538353e-06
-8	-8	-4	1.040919620548759537e-07	6.2676297373246434959e-08	-5.1936449207038678596e-08	-7.1265519440502859011e-08	-1.043110256956745502e-07	1.717844413451285472e-08
-8	-8	-3	-7.9928695343144011341e-08	4.1089760057410213262e-07	-6.2266341531214519782e-11	-3.753983552468884534e-07	2.1330923115913394459e-07	-9.4664654205903171063e-08
-8	-8	-2	3.9771388391383007079e-09	6.0921705122603236137e-09	3.7859139859450415223e-09	1.2132211374823233e-08	-3.1052211300333368921e-08	-7.2897527548334229765e-08
-8	-8	-1	-2.7057498500021985573e-07	3.9840853357185610064e-08	2.865610790597508055e-07	-1.0775975673000722773e-08	-1.278887524762476246e-07	-2.3251902147347907186e-07
-8	-8	0	8.4101485782907264719e-08	-4.6637379835901594654e-07	-8.4101485782907264719e-08	4.6637379835901594654e-07	1.5942759674368868764e-07	6.4902708340106971888e-07
-8	-8	1	1.116815959501876441e-07	2.8070951591966831664e-07	-1.2774711199693238579e-07	-1.9797055988849275636e-07	-1.2852412837395801293e-07	6.6191164824940437632e-07
-8	-8	2	-2.4920568701847923248e-08	-8.0532260013791204744e-09	3.0279976823775933298e-08	-7.7787422609901245428e-09	2.1437632487712053436e-08	-6.3327873049476980069e-08
-8	-8	3	-1.9051704061513004096e-07	-2.20860342411287975e-08	3.0328616263780793332e-07	5.5376531321477292608e-08	3.0071765872714102866e-07	8.8774658880929315877e-08
-8	-8	4	2.5763894004250508187e-08	-5.3222728275304659073e-08	-2.1497925809665665352e-09	1.6872780981843597262e-07	4.7228202846567882476e-08	2.3101016308626264033e-07
-8	-8	5	4.7305945259182713962e-06	3.3879189861828691654e-06	-6.2227363325259471322e-06	6.105340577653131155e-07	-2.3874268905722814317e-06	6.3975248703170918188e-06
-8	-8	6	-2.1351188791730620466e-05	1.2535662720062341175e-05	-1.4753604038806088338e-06	-1.4370320597113812793e-05	-3.0435398927481637372e-05	-2.4462105027352954909e-06
-8	-8	7	-2.7255917959079083054e-05	3.0278972511432899095e-05	-2.7505006470632726037e-06	2.1916296163775034591e-05	-3.4293049835591266029e-05	5.9651735628809069974e-05
-8	-8	8	-1.7248423158791567367e-06	3.6063527396147156122e-06	-2.9394266851627387424e-07	-1.5753740192845773134e-06	-2.0187849843954307697e-06	2.0309787203301382988e-06
-8	-7	-8	-2.7637976838765519115e-06	-1.0874984768247661289e-05	5.1917258883037185741e-06	1.2061925481889561708e-05	-1.7789624683892015232e-06	3.2079997159429452984e-07
-8	-7	-7	2.2231434974660207393e-08	7.8421472939910795641e-07	-4.0489347554680648712e-07	-5.7247512715165138272e-08	3.7948612129005195683e-07	-8.3899789231238682137e-07
-8	-7	-6	-1.1047710571368820413e-07	-2.8631619392987758004e-07	1.3349970898542952538e-07	4.0178866485937641184e-07	-8.446852864750157011e-09	-8.6998517096102391405e-08
-8	-7	-5	-7.9320240962614836634e-08	-2.6784938659957380939e-08	1.2297701882151874235e-07	1.7665251661649566399e-08	-4.5255440809942498022e-08	1.812454952962241522e-08
-8	-7	-4	8.9497772432176490716e-08	-6.204092129424185269e-08	-2.961146299623527036e-07	7.5082486726362965657e-08	3.3920505756976427634e-07	-7.3125091826514721132e-09
-8	-7	-3	-4.082615633212740742e-07	5.622249243788109043e-07	1.6425911646871669998e-06	-3.9497232037531812256e-07	-2.744015215413325539e-06	-5.7766438413442007257e-07
-8	-7	-2	-3.3283200549530216225e-07	-6.7664891627560244457e-08	-2.9416410792572210017e-07	2.567903105639380437e-07	2.3609023997212358937e-06	-6.2810652046354217512e-07
-8	-7	-1	-5.0674192864335710131e-07	3.6130828992700427713e-07	5.9854374230486201374e-07	-4.3379414077741383176e-07	-1.3587076698717712689e-07	1.4609266602586257879e-07
-8	-7	0	7.7375989648548482891e-10	-1.5208305863367243974e-08	-8.8429702455483984878e-10	1.7380920986705420739e-08	-4.5237842236988602491e-08	-6.1134504754289667294e-08
-8	-7	1	4.0570706248208004813e-07	-1.1555976273118267019e-07	-4.7611903126539102293e-07	1.2692551805690848066e-09	-8.7176719001096788675e-08	-9.1559331558547771249e-07
-8	-7	2	-4.2154245489626076457e-07	2.1314870720757801765e-07	1.0586926753722764082e-06	2.0583079893224742016e-07	2.0192545442179243704e-06	1.573002625093177975e-06
-8	-7	3	1.6328950142894102297e-07	-1.992908374515732938e-08	-8.7940688336544503981e-07	1.3069933692755970696e-07	-1.6165107240421956277e-06	2.5182089617721973594e-07
-8	-7	4	5.4008791993059826238e-08	-1.7039836989261640589e-08	-8.2833145146155238463e-08	1.6423438716407903119e-07	-3.6940420019652011527e-08	2.5333050355861503002e-07
-8	-7	5	-1.2182347491854967666e-07	1.3008078228086952301e-07	2.0718301258673583177e-07	1.7482448293556758947e-07	9.5138657751750676526e-08	4.5288352775918583562e-07
-8	-7	6	-1.3278196028406103e-08	4.9082584179097065172e-07	-2.4914643953899425279e-07	-4.3949351834490305772e-07	-3.0837510750003478102e-07	1.4169201765224057319e-07
-8	-7	7	-2.765914358206521405e-07	-2.5051765758282343283e-07	-1.4049720119982256842e-07	6.5963745973777855142e-07	-4.5660169928056787941e-07	3.7333156535740892146e-07
-8	-7	8	1.0439295625438457134e-05	4.1819666489854593881e-06	-1.4588315380413672298e-05	4.3061338499196495245e-07	-2.3254803324235057027e-06	4.5587533608534294097e-06
-8	-6	-8	3.6178557126241510317e-06	1.6084957474139050464e-05	-4.5751178222657448304e-06	-3.7760041091370460264e-06	-1.8651734592484248829e-07	-1.3252954392286268062e-05
-8	-6	-7	-1.8564786705497012525e-07	-6.0041207829492388386e-08	-7.4846450668511974758e-07	2.7326744944584645443e-07	8.5370999665006848309e-07	-1.656107191484485322e-07
-8	-6	-6	-5.3958941687730803773e-08	5.2452990670366547638e-08	2.1033376400421655666e-07	6.8077873208121707734e-09	-1.3838850842057549379e-07	-7.6745108214634229328e-08
-8	-6	-5	-1.5352806187832070946e-07	8.5956344910477828637e-08	5.2376429373454150076e-07	-5.114289863579023323e-07	-3.8287225347613670813e-07	4.7618463177271828352e-07
-8	-6	-4	-1.8749415523521703039e-07	-1.1261392771878926555e-07	-2.8581294721344212447e-07	6.70436196613479949e-08	8.0370773129059732689e-07	1.2466242594555655199e-07
-8	-6	-3	-7.9104792448372052431e-07	-1.292921392150198668e-06	7.1171746898703769632e-07	2.3719664187135039802e-06	6.860261939825126016e-07	-1.2961424583598113711e-06
-8	-6	-2	-7.7210038645843922759e-07	-6.4293473001351706386e-07	1.0416962665351807458e-06	2.1239253846166563688e-06	-3.6687253771785313729e-08	-3.800037233795900851e-06
-8	-6	-1	8.5354722203494365385e-07	4.9119347806200218639e-07	-1.3802382665597547746e-06	-6.5431628433053546205e-07	1.4530518230789792051e-06	-3.6501185128051977446e-09
-8	-6	0	2.505738733076165414e-06	-1.0349186492252293974e-07	-3.3409849774348873598e-06	1.3798915323003056868e-07	-8.7661344677321261568e-07	-2.7083974227542544091e-06
-8	-6	1	-4.997895020836492655e-07	1.8304600099638675636e-06	1.0484326734667854911e-06	-2.6130906542114513974e-06	2.2922800241315183993e-06	-1.0348638455577689343e-06
-8	-6	2	9.9761310726121232688e-08	-1.5972908671408875722e-06	8.643748694560812216e-07	2.9757770014842240221e-06	2.9921698512727284367e-06	2.5381675358891213541e-06
-8	-6	3	-9.9513195461575196287e-07	1.9318783424016441564e-07	1.9070768794885438372e-06	-5.0517979822647790562e-07	1.1604685466684161263e-06	-4.9519203847918407148e-07
-8	-6	4	2.0960790169782162653e-07	1.1732530893096497114e-07	-8.2769025120324129994e-08	-4.2336419015946306396e-07	2.950622657151570713e-07	-4.0039566737726468013e-07
-8	-6	5	-2.2259328554391983964e-07	1.0102346357356558364e-07	7.1939693741054125512e-07	-3.5900998094986069918e-07	5.0712706802237778388e-07	-2.6917443542212788401e-07
-8	-6	6	1.9624123713100225083e-07	1.2831682777748244125e-07	-2.9292462952168787182e-07	-8.9806213346892187772e-08	-3.1269646680351521939e-08	8.1282890356417751537e-08
-8	-6	7	6.5655717893096097319e-07	1.2075067376012440102e-07	4.3850966985283629178e-08	-1.0528373247232542264e-07	7.8793760476562708953e-07	4.7757570749577536903e-08
-8	-6	8	-4.8041623905643787286e-06	-5.0823593696200528174e-06	4.2567600431424053553e-06	1.1128346134612079234e-05	-1.6115923582075747122e-06	3.2639002313390066082e-06
-8	-5	-8	-5.5924911504218204042e-06	-1.9119456796904458443e-06	2.7528489579663314618e-07	1.3985266922005865948e-06	5.4204380905489244827e-06	1.0378664970650791961e-06
-8	-5	-7	-5.6297059781591823715e-08	1.1062480958603803016e-07	1.5332028017527672203e-07	1.4175292201230057982e-07	-4.5174988946235575292e-08	-2.2768044096425817048e-07
-8	-5	-6	1.7293464529378952877e-07	-9.3950008359313526994e-08	-1.7740787030109686746e-07	1.0415790171076340858e-06	-8.2739635140805302247e-08	-7.4271583644394368453e-07
-8	-5	-5	1.3134024518157348867e-08	1.0200264297681125109e-08	-9.1603930788727647829e-08	-5.9065756563010163314e-08	7.0589491559675886995e-08	4.2745333686720361817e-08
-8	-5	-4	6.0326231134109729147e-07	-4.6684908817902697984e-07	-5.7811864197364085265e-07	3.5511311873374148601e-07	-4.8387632021514351713e-07	4.8980677794087707569e-07
-8	-5	-3	2.9533113100073213896e-08	9.9427755029333492118e-09	2.6528913984309007708e-07	-5.348326747607777864e-08	-5.2090353467201197924e-07	6.2624711118974039787e-08
-8	-5	-2	-7.8635477741446588803e-07	3.4601286974774593298e-08	1.3277022264159768601e-06	-4.7637964592286417152e-07	-1.7383645638207873057e-07	1.0525439669080620027e-06
-8	-5	-1	1.8884803708825103918e-07	5.087603036288634104e-07	-5.9850401121830591785e-07	-6.2139882612622037178e-07	1.4817357593855212758e-06	-9.6308829839980595367e-07
-8	-5	0	-3.9219935579222644233e-07	-7.25087395655645181e-07	6.2751896926756226538e-07	1.1601398330490322896e-06	-7.0962506681790266805e-07	2.0476476376019697983e-06
-8	-5	1	3.2394681025411920941e-07	-5.6377899511317020976e-07	-3.1124813936280973827e-07	4.9395335499810788066e-07	1.035333785218904984e-06	-2.0404651859148226983e-06
-8	-5	2	3.1498481928717322272e-07	5.6879658000364991084e-07	-4.9954765150120273445e-07	-3.322528208741370879e-07	1.1070148395686102745e-08	1.4445542678292568177e-06
-8	-5	3	-1.1198656734433490707e-07	-8.091309015120208081e-07	1.1663394344685706113e-08	8.2548153481097995271e-07	-2.7919185567708357477e-07	-7.8187984601375563766e-07
-8	-5	4	2.7810711840610520316e-07	9.9512716823099979624e-08	-1.0796670580887421076e-06	1.6631088129844305847e-06	-7.9336958579871722819e-07	2.2779114498767381372e-06
-8	-5	5	-2.5369441493338906936e-08	3.380295093718716265e-08	1.465078408714116467e-07	-1.4846912190374449612e-07	1.0591673448206940884e-07	-9.438440040424503323e-08
-8	-5	6	-4.0883981422143110205e-07	4.5083347110065060802e-07	2.3041832110691437012e-07	4.5570392379383427612e-07	-3.531044847061461345e-07	9.8086456462906277804e-07
-8	-5	7	-2.0054485259629268515e-07	7.4478088531918812392e-08	9.9781890599388860377e-09	2.0236438161214756481e-07	-2.2206683935294957399e-07	2.2966380233086976424e-07
-8	-5	8	-1.719677456304279421e-06	-1.8766879692372283549e-06	-4.0728661669747425231e-06	1.3433218751586073029e-06	-4.2652188106634932862e-06	-1.0371117972630987112e-06
-8	-4	-8	-5.5533241781555580653e-09	5.9379295806707816225e-08	-9.5150809370218882358e-08	2.7136763976955337201e-09	5.3128728863265001726e-08	-6.0736134005555588255e-08
-8	-4	-7	-1.2705111992251898709e-07	1.4521718761008776158e-08	-5.0675163918479714943e-07	2.5860729156592095401e-07	4.3477364515990574711e-07	-1.6437184519310774059e-07
-8	-4	-6	1.0293015829154928302e-07	-5.9471807686627233762e-08	-2.9305934926182246259e-07	-2.9760024954693618321e-07	5.8132688452482593287e-08	2.7769590994679377598e-07
-8	-4	-5	3.7186990820824335891e-07	4.6025454602228367184e-07	-6.4644228113778391083e-07	-2.5779197358168629405e-06	-7.7838028222962227058e-08	1.3259285150178362657e-06
-8	-4	-4	2.8677292424333314222e-08	-5.087003679843277271e-07	-1.3717874963861533205e-06	3.7465372052756110832e-07	1.3144329115374867913e-06	6.427470154410945047e-07
-8	-4	-3	6.0917715258158279889e-08	5.305332206278830318e-07	6.1130322675875205395e-08	-6.9687373043947674194e-07	-2.4395433758958900258e-07	-4.8559028108838583279e-07
-8	-4	-2	-9.5314614102026666532e-09	-3.0086304632450593905e-07	1.6772813845662601461e-07	-1.0942195938572103323e-06	-2.9733043127244137584e-07	3.3918913730124446326e-06
-8	-4	-1	-1.3561871850647848143e-07	3.3915491497316621254e-07	6.3996062249989968222e-07	-6.2587260433370594241e-07	-1.4748927419477708774e-06	-2.0974890245050603654e-07
-8	-4	0	-1.1231184279379317049e-07	5.7687731168443923689e-09	2.2462368558758634098e-07	-1.1537546233688784738e-08	6.167394520775719652e-08	-3.4203602550726414746e-07
-8	-4	1	-8.9324459508980027807e-07	-3.2092597249516572231e-07	1.9455140125515165493e-06	6.4362485038961557441e-07	6.3609928948766407864e-07	7.0916215971363330362e-09
-8	-4	2	-2.6489195959380184657e-06	-7.2311085504222099168e-07	6.5511767591680006523e-06	1.8415436402036065839e-06	2.5066751345839265947e-06	7.9064386023832930703e-07
-8	-4	3	1.3027229868608904991e-07	-6.4521572264734561425e-07	2.6609086188092746919e-07	1.3606848701521016164e-06	7.0218061233747412731e-07	9.3671233143213872645e-08
-8	-4	4	2.6250334628352675204e-08	5.7620664044773481517e-10	1.9462384793544252972e-06	-4.1098732881605282125e-07	1.9987391486111306145e-06	-4.0983491553515737437e-07
-8	-4	5	-8.1407724564218428225e-08	6.8408976941251088426e-08	-1.5465257854891286798e-06	2.310720862437923483e-06	-1.367472987694052429e-06	1.9580310530563408455e-06
-8	-4	6	-1.5924459119846214182e-07	-3.9243067084225321575e-07	1.3584871787334530461e-07	5.1616703371868308328e-07	-1.2176030968238597719e-07	-1.7912953864388226743e-07
-8	-4	7	3.1736960841994770855e-07	-1.8563463292895804946e-08	5.8142435136644514891e-08	-3.8439492873069265319e-07	3.9593237255802281828e-07	-2.4086963160941960915e-07
-8	-4	8	-1.0088415761070530786e-07	-7.0084015941658394775e-08	3.0520047268646924758e-08	-4.9740092234620983109e-08	-8.5624133976381845476e-08	-9.4954062058968889638e-08
-8	-3	-8	1.7143537382949897083e-07	1.4891357150558463376e-07	-1.1311391782739650632e-07	1.6586694167197454034e-07	-1.2901765464422526772e-07	-2.1111367463257508639e-07
