# completed local quartic closure restart checkpoint; cutoff=2; restart=0; seed=5483322645639050671; objective=projective-tail-stretching-tail-cross-ratio; selection=double-triple-remainder-without-123; optimized_objective=6.30739734071760176e-12; refined_objective=0; accepted_steps=2; candidate_lemma_proved=false
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-2	-2	-2	0.0082544298437481032626	0.040540120663724553418	0.0080704546948117353994	-0.029899538904795110172	-0.016324884538559836927	-0.010640581758929441511
-2	-2	-1	-0.00045941616964773578091	0.0067589615199056783668	-0.013995553388496843189	0.0053553562489594627727	0.02890993911628915794	-0.024228635537730282279
-2	-2	0	-0.023778467286299245775	0.0019043990656387940752	0.023778467286299245775	-0.0019043990656387940752	-0.0051714193119454616651	0.044708014721922824386
-2	-2	1	0.0020852094853986437827	0.0012091132660065045251	-0.0017303749179556310138	0.015869936642830814039	0.0007096691348860254293	0.034158099817674640597
-2	-2	2	-0.023888494529793847382	0.041944331019649311321	-0.010646634339060970578	-0.0089966435971238073455	-0.034535128868854819695	0.032947687422525503975
-2	-1	-2	-0.0091563170990178622405	0.0032058104966044770681	-0.0005721931607090036424	0.010237178107304326438	0.0094424136793723641159	-0.0083243995502566402872
-2	-1	-1	0.044568566343273302577	0.014294407853870323699	-0.040925827219484622876	-0.030899412271342348996	-0.048211305467061982277	0.0023105965636016998627
-2	-1	0	-0.021623299054023742416	0.03040945135406875402	0.043246598108047484832	-0.06081890270813750804	-0.018515185859191169576	0.0095447590875558669526
-2	-1	1	0.013578401921137355987	0.025079033680945914814	0.0027598170593910223945	-0.01029055516422157715	0.029916620901665733068	0.039867512197670249008
-2	-1	2	0.039803642375457810865	0.027815794468282774993	-0.028184085297076947457	0.021416274643606680872	0.025711599726919338871	0.038523931790086118898
-2	0	-2	-0.035154592028895599587	-0.0081937330298429544156	-0.06184301800776487168	0.031941889155519723187	0.035154592028895599587	0.0081937330298429544156
-2	0	-1	0.01954428404972442801	0.017713738163822132649	0.017315982217814954169	0.041745909506075623563	-0.039088568099448856019	-0.035427476327644265297
-2	0	0	0	-0	-0.010552007243852813342	-0.032051048341267332487	-0.076426696814381661627	-0.056949403876234351574
-2	0	1	-0.045374478091710350458	-0.0177792594530168796	0.018161598692741171002	-0.034378096487582943119	-0.090748956183420700916	-0.035558518906033759199
-2	0	2	0.00059971576117779355243	-0.020406101239320562774	0.022610807987495897681	-0.038712960032572178715	0.00059971576117779355243	-0.020406101239320562774
-2	1	-2	0.013501438830546864944	0.02546886403282050057	-0.0054172766351150234559	0.019605886007934496262	-0.016210077148104375805	-0.015665921028853252439
-2	1	-1	0.00066056009082187815314	-0.0048068382778124240165	0.033792612730701450385	0.027770435622369433332	0.032471492549057692778	0.037384112177994283099
-2	1	0	0.015313507703575292285	0.012566154850031943657	0.030627015407150584569	0.025132309700063887314	-0.043157723374964110374	-0.030809510976914027125
-2	1	1	0.0043875033355747043717	0.027878333186572044206	-0.016976710839239298606	0.037652858826309559825	0.02575171751038870735	0.018103807546834525116
-2	1	2	0.025986415579519729635	-0.026736068523310108774	-0.0025601932054284183039	-0.007286034080390088076	0.027266512182233939438	-0.02309305148311506517
-2	2	-2	-0.00059063441606721446466	-0.028881859670139883867	-0.0075456088367648072729	-0.045520650520287656016	-0.0069549744206975931335	-0.016638790850147772149
-2	2	-1	9.4735983161527701542e-05	0.0032633334577859677596	-0.01948578520830144406	0.0096012952793981115596	-0.039161042382925947969	0.012675923643224286733
