# completed local quartic closure restart checkpoint; cutoff=8; restart=0; seed=12916328572993039690; objective=projective-tail-stretching-tail-cross-ratio; selection=double-triple-remainder-without-123; optimized_objective=1.93229533347891556e-08; refined_objective=0; accepted_steps=12; candidate_lemma_proved=false
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-8	-8	-8	3.0355322073551425704e-05	2.0239828031536327177e-06	-1.5874697734128416401e-05	2.7617767022493503522e-05	-1.4480624339423007609e-05	-2.9641749825647135816e-05
-8	-8	-7	-2.7854667518356361592e-06	-1.3436666163722847121e-06	-6.003654474474369188e-07	3.9538504207686745575e-07	3.869522513466369353e-06	1.0837503706233339468e-06
-8	-8	-6	9.7136739992253146564e-07	2.0451902422330178005e-06	-1.2856312467669056143e-06	-5.878217270011764858e-08	4.1901846245916553151e-07	-2.6485440927105331565e-06
-8	-8	-5	-4.0972544221220640966e-07	-3.3276594005565315906e-07	4.4225393956897376357e-07	-2.7416052069314452571e-07	-5.204559577082782978e-08	9.7108233719807621092e-07
-8	-8	-4	1.062558727826785784e-06	1.2835700549081213696e-07	-6.7924706818184744143e-07	6.2784713815660532239e-07	-7.6662331928987657923e-07	-1.5124082872948350246e-06
-8	-8	-3	-5.5009812870875589857e-07	-1.6759682797897575809e-06	3.4144188005372026805e-07	1.0915354082289584692e-06	5.5641666308009508529e-07	1.5584876574954640863e-06
-8	-8	-2	-9.3029126039945975079e-07	1.3490014424572989658e-06	1.4775147121289955408e-06	-1.1287279347126983852e-06	-2.1888938069181431602e-06	-8.8109403097840285178e-07
-8	-8	-1	-2.1892863594089120498e-06	1.234094429070540461e-06	2.1089880265108599966e-06	-1.1528405104278725414e-06	6.4238666318441621385e-07	-6.5003134914134367441e-07
-8	-8	0	5.1806195863102591733e-07	-3.7713719118631594734e-06	-5.1806195863102591733e-07	3.7713719118631594734e-06	-4.4947174718098801642e-07	3.3006694609967288433e-06
-8	-8	1	3.1819545561803520462e-06	2.5390057184049930815e-06	-3.1733609236773796544e-06	-1.8654761755087985509e-06	6.8749060023780312674e-08	5.388236343169557939e-06
-8	-8	2	-7.059526807342350246e-07	-2.3791767300468236603e-06	-6.2923751154025123157e-07	2.8305990647532329896e-06	-5.3407607690979450247e-06	1.8056893388256364702e-06
