# projective normalization low/high satellite; base=proof/l4/states/local-projective-normalization-cauchy/H8-K8-twenty-four-step/K8.tsv; base_cutoff=3; cutoff=10; satellite_amplitude=0.0100000000000000002; candidate_lemma_proved=false
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-10	-10	-10	1.0943804425656347622e-05	1.8136556361617231758e-05	-2.7195896430146634019e-06	-1.9124987048601464843e-05	-8.2242147826416854908e-06	9.8843068698423244992e-07
-10	-10	-9	7.1213934242103784045e-06	-7.4256653563616612304e-05	-1.1923770658232932528e-05	3.3298469476982699242e-05	5.3359747044695052403e-06	4.5509093429593225442e-05
-10	-10	-8	1.8353173319424716488e-06	-1.4064970228152279597e-05	-2.5797706795942019766e-06	-9.0821078905491580064e-06	9.305666845646625392e-07	2.8933847648376798275e-05
-10	-10	-7	-1.2922347954170838101e-05	2.4220382978828394087e-05	5.7388424851453710408e-06	-8.1067509268116855268e-06	1.0262150670036381515e-05	-2.3019474360023870824e-05
-10	-10	-6	-2.551219373213149509e-05	-9.9727871282506069182e-06	1.1266407509310542035e-05	-8.6137745751728586762e-07	2.3742977038034923453e-05	1.8056940976279820145e-05
-10	-10	-5	2.2787278284818695379e-05	-1.9227494406612046066e-05	2.54817182977376235e-05	1.694213543927423145e-05	-9.6537993165112637758e-05	4.5707179346756351607e-06
-10	-10	-4	-1.6964535268247164622e-05	2.2714017546711564043e-05	3.2716809816297844657e-05	-5.2859611669926733084e-06	-3.9380686370126708558e-05	-4.3570140949297228106e-05
-10	-10	-3	-2.8627510249522248479e-06	1.4317216844991295806e-05	-1.3770106105232051563e-05	1.2038477524584054008e-05	5.5442857100614259503e-05	-8.7852314565251164919e-05
-10	-10	-2	-2.3044221544765674336e-06	2.3324516383429721701e-05	-8.2939533884896625719e-06	-1.9442022118939974833e-05	5.2991877714831155533e-05	-1.9412471322448737732e-05
-10	-10	-1	-3.6895038065545627582e-05	-7.7915377122919157889e-06	3.8479332157338745266e-05	1.1981982015190609827e-05	-1.5842940917931166669e-05	-4.1904443028986940384e-05
-10	-10	0	1.358276412831038601e-06	2.5015505161361556875e-05	-1.358276412831038601e-06	-2.5015505161361556875e-05	1.2317941409033941473e-05	4.9552558142125381743e-05
-10	-10	1	-4.5246748467879579906e-05	-3.1072130562349868546e-05	4.1535165046597958324e-05	2.7938867441827873293e-05	-3.7115834212816215822e-05	-3.1332631205219972853e-05
-10	-10	2	8.851328808920970625e-07	2.6620829776173183249e-06	5.8416732052719056329e-06	2.6661311943129880464e-06	3.36340304308200175e-05	2.6641070859651531857e-05
-10	-10	3	2.5236140236552009186e-05	1.6647193964992602505e-07	-3.8308988281483979011e-05	-1.6928106850186745608e-06	-4.357616014977322823e-05	-5.0877958178958290173e-06
-10	-10	4	-1.5276136455890866847e-06	-1.9953418468985111082e-06	-1.5843272860201590256e-05	-2.1660805433525355144e-05	-4.3427216264476693622e-05	-5.9140368201059661396e-05
-10	-10	5	-3.8683377392994352953e-05	-3.209912857195429723e-05	2.9762120882664522102e-05	3.6774513316929859682e-05	-1.7842513020659661702e-05	9.3507694899511249048e-06
-10	-10	6	6.3221853846647299959e-05	4.0625587881981537397e-05	-4.1474419253574019799e-05	2.1516985438696350759e-05	3.6245724321788802525e-05	0.00010357095553446314467
-10	-10	7	3.6227380771651131609e-05	6.0475170036089828792e-06	-1.5520472698954252658e-05	-1.0997741606592382774e-05	2.9581297246709824169e-05	-7.0717494328334272116e-06
-10	-10	8	3.5953412349192124186e-05	-5.8462885158595621199e-05	-4.8192417938336101887e-05	6.3513031719123814491e-05	-1.5298756986429968739e-05	6.3126832006602492375e-06
-10	-10	9	-3.8253504266199851261e-06	4.1644860419169743392e-06	-1.8021079721713099834e-05	1.0613394722294360059e-05	-2.427381127592564939e-05	1.64198675157903708e-05
-10	-10	10	-1.1099147977059457514e-05	-3.6672602830739994752e-05	1.8914447321343519018e-05	3.4846354394661191542e-05	7.8152993442840615036e-06	-1.8262484360788095625e-06
