# fixed-row PNT-12 Schur adversary; H=8; row=5; compensated_schur=0.000368688042936449363; candidate_lemma_proved=false
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-12	-12	-12	2.2192972825701501068e-09	-2.0853832345895501332e-08	-3.6073443915738434516e-09	4.4172720838388378441e-08	1.3880471090036933448e-09	-2.3318888492492877109e-08
-12	-12	-11	1.3378182414881090056e-07	1.0825495144699702086e-08	-1.5528903078207603999e-07	-1.3967124665866557767e-07	2.3462407236289259865e-08	1.4055900165159913821e-07
-12	-12	-10	-8.2890080881032937883e-08	-1.8512889829243152431e-07	1.3992880848239921322e-07	1.1894193800220005625e-07	-6.844647312163954099e-08	7.9424352348277756375e-08
-12	-12	-9	3.0216541459132238171e-07	-8.9630766915515059988e-08	-2.6322986925804023274e-07	6.2425897682184562581e-08	-5.1914060444376172161e-08	3.6273158977774005366e-08
-12	-12	-8	-4.2130617777329471334e-07	-5.2862094056017522079e-08	4.5461680043834973065e-07	1.5707153208387272757e-08	-4.9965933997582578906e-08	5.57324112714453806e-08
-12	-12	-7	2.1007224927834562626e-06	-8.6113186687447636632e-07	-1.9382235334127147443e-06	1.1111786537881326175e-06	-2.7856964463555726674e-07	-4.2865163470912482805e-07
-12	-12	-6	-4.4417615841997697158e-07	3.7383447193567454699e-07	3.4135283286887768756e-07	-4.5822926240108795842e-07	2.0564665110219848862e-07	1.6878958093082684933e-07
-12	-12	-5	1.4076186356625625378e-06	-2.7133884206264325987e-06	-1.3237066625083514297e-06	2.5006372251912385156e-06	-2.0138873557010674421e-07	5.1060286904446654059e-07
-12	-12	-4	3.7068484049469399115e-07	1.2111302359203388034e-06	-1.0312325104956551624e-08	-1.2222660344327380802e-06	-1.0811175461692124344e-06	3.3407395537197678174e-08
-12	-12	-3	-1.1384901448583152329e-06	-8.8517751721692999025e-07	1.0480376832420286192e-06	1.1856709727791458845e-06	3.6180984646514576646e-07	-1.2019738222488637887e-06
-12	-12	-2	1.5770682458764480847e-06	8.0364790210580175985e-07	-1.3444762673451136123e-06	-1.2060028696398485866e-06	-1.3955518711880072578e-06	2.4141298052042805367e-06
-12	-12	-1	-3.9762444239856694096e-06	8.1105365914747615034e-07	3.861225951952321885e-06	-2.8535402672719064002e-07	1.3802216644001766476e-06	-6.3083955890434252769e-06
-12	-12	0	1.5211629268346655484e-07	-3.3619342442674840829e-07	-1.5211629268346655484e-07	3.3619342442674840829e-07	2.0665956177735177654e-07	1.3757831902066935947e-07
-12	-12	1	-7.8230304907627696433e-07	2.0209419021620299455e-06	6.4771540985679611513e-07	-2.3906405724733853616e-06	-1.6150516706337704022e-06	-4.4363840437362666869e-06
-12	-12	2	-1.9039324944673362644e-07	-6.2781214231616822562e-07	3.9061702607730922458e-07	8.2606777698074717352e-07	1.2013426597834534829e-06	1.1895338079874734757e-06
-12	-12	3	7.0000497028665182874e-07	-1.1542770173864420952e-07	-7.7509065499952087829e-07	2.391243236311148768e-07	-3.0034273885147635704e-07	4.9478648756988261617e-07
-12	-12	4	-2.9209546661127788886e-07	3.6240125043693299641e-07	3.6316060930192612788e-07	-4.6186448908445480909e-07	2.1319542807194474353e-07	-2.9838971594256543804e-07
-12	-12	5	-9.9526096702249650044e-08	-1.2278820753452131651e-06	2.8072223357515425953e-07	1.7321809908346287665e-06	4.3487072849497103101e-07	1.210317397174597401e-06
-12	-12	6	-6.6885907292738491841e-08	2.3293591186377268425e-07	-7.878396155392373726e-08	-2.3531176610600596942e-07	-2.9133973769332448467e-07	-4.7517084844665240256e-09
-12	-12	7	-3.3379740605532866678e-07	-2.052452539715294003e-07	6.5757014567390044637e-07	2.5989332012457774726e-07	5.5503898220326581712e-07	9.3682399119511461393e-08
-12	-12	8	9.4718773627455219679e-08	-1.1498278378111408877e-08	-1.2943697718345226734e-07	1.2446873563793124989e-08	-5.2077305333995571486e-08	1.4228927785225729271e-09
-12	-12	9	7.1762720157393156424e-08	2.6516319656026792438e-08	7.0225090806155659079e-09	2.3384085771984590777e-08	1.0504697231734496201e-07	6.653387390401517762e-08
-12	-12	10	2.4446023877107977061e-08	-1.3653722869931973536e-08	-5.5863784411991829824e-08	2.7736059520527951126e-08	-3.7701312641860624639e-08	1.6898803980715175755e-08
-12	-12	11	7.7624640795964284961e-08	4.5362229847683345826e-08	-2.3043432402769697286e-08	-9.6796038501707574781e-08	5.9543136428939545378e-08	-5.6109609440753708525e-08
-12	-12	12	-1.4248035692931352292e-08	-8.6237829068051341115e-09	-1.3122637243685093552e-09	1.0159660217498933593e-08	-1.5560299417299861648e-08	1.5358773106937998948e-09
-12	-11	-12	-3.4703147681137243526e-08	-9.1065194912907100718e-08	2.7190928721512372233e-07	1.8608996354945883018e-07	-2.145470322660594865e-07	-7.9517271674096824742e-08
-12	-11	-11	2.4964896185677859578e-07	-3.1121376699699730644e-08	-2.3310057214106041995e-07	1.6363878278816339349e-07	-3.9243749884516213146e-08	-1.2968819002485461086e-07
-12	-11	-10	-5.5791797099659625843e-07	1.2844535074293853598e-07	7.3949794307352206327e-07	-4.6380603411493150022e-07	-1.4394617218495880183e-07	3.5605221663489842294e-07
-12	-11	-9	4.2489223663690339569e-07	-3.7830852933368287408e-07	-3.8817107189117456878e-07	4.3918453079789176237e-07	-9.2091672093324491719e-08	-3.2369720752512760461e-08
-12	-11	-8	-7.4632603336043067342e-07	1.6877835059181478733e-06	4.0853998161163864122e-07	-2.3858401380849711747e-06	5.5774657532464289169e-07	7.488549309896136082e-07
-12	-11	-7	8.5249939002783276272e-07	-1.7780221007476455721e-06	-7.7571338988137612385e-07	1.6161077922951560102e-06	-2.4244934166269379778e-07	5.0843992767500433281e-07
-12	-11	-6	3.0044856601883685456e-07	3.8175165246012490706e-06	-2.9340884368845987278e-07	-4.9179803269174096996e-06	-6.298091860883061343e-08	1.381264216812753116e-06
-12	-11	-5	-1.6903110866133193205e-06	-1.3101707013046753029e-06	1.552890757783450231e-06	1.5782257494434616671e-06	6.4038694074837583985e-07	-3.2768696564439502532e-07
-12	-11	-4	4.7109849715897865946e-06	2.2860296900452575298e-06	-4.9379491546165611956e-06	-4.2512894248244993578e-06	-5.5359473957381586049e-07	4.8329568481316004328e-06
-12	-11	-3	-2.5551229539758243508e-06	1.9918441698320247901e-08	2.9823948697187603358e-06	1.0315315439878049113e-06	-7.1495603973215719644e-07	-3.8619560947485651679e-06
-12	-11	-2	5.9245393097336677111e-06	-4.4496253643708376209e-06	-7.8314166300244628094e-06	3.3471098542245857689e-06	7.5255556067325425732e-06	8.2886479879898014551e-06
-12	-11	-1	-3.6105136404716452275e-06	1.3142593678653720021e-06	4.437044888672742606e-06	-9.463142568783030626e-07	-5.4813300897404259365e-06	-5.3616555887231307601e-06
-12	-11	0	1.9412671910780253329e-06	-2.932959918351996605e-06	-2.1177460266305732059e-06	3.1995926382021778835e-06	8.8693826792366005542e-06	2.5927584947749173832e-06
-12	-11	1	2.8521868516843711063e-07	7.093310261914444039e-08	-3.8198589728502122693e-07	-1.9195392572217250085e-07	-7.7922064811398811571e-07	-1.2602959515141640923e-06
-12	-11	2	-1.3197828336900359559e-06	1.728506355142472977e-06	2.0120524256404478348e-06	-2.4259290605316511315e-06	3.1475913388822465087e-06	-2.9715717020692425142e-06
-12	-11	3	-3.4923475137339476822e-07	-1.9178542086899437016e-06	3.548918424545887474e-07	2.3832178129584136828e-06	-9.5668916493420178009e-08	1.0670484794210754347e-06
