# fixed-row PNT-12 Schur adversary; H=8; row=5; compensated_schur=0.00036393549797212731; candidate_lemma_proved=false
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-8	-8	-8	-0.00010770752075320850333	-6.019451272354427873e-05	7.0234878598869634699e-05	-9.8784359667699711246e-05	3.7472642154338868634e-05	0.0001589788723912440103
-8	-8	-7	-3.6312739172318514729e-05	1.25906850967409545e-05	2.2377540714283676983e-05	-4.3918087106879748888e-05	1.5925941094896955004e-05	3.5802745154444333539e-05
-8	-8	-6	1.5535949462796552584e-06	-6.5403093698802835227e-07	-5.5568303478772550471e-07	2.6627463557698234096e-06	-1.3305492153225729344e-06	-2.6782872250423931274e-06
-8	-8	-5	4.9783761597372016501e-06	1.0666481542951071915e-05	-9.1531259776927232144e-06	-1.0329757722992134272e-05	6.6795997087288343336e-06	-5.3875811193430234638e-07
-8	-8	-4	-3.2852601453101422464e-06	-2.3057443001036929064e-06	3.4336465333571681332e-06	1.3014387936570825809e-06	-2.9677277609405150901e-07	2.0086110128932210743e-06
-8	-8	-3	2.0701083655087828417e-05	6.8004745837848566678e-06	-2.1479471350571240258e-05	-4.2622881300210239651e-06	2.0757005212890995139e-06	-6.7684972100368869248e-06
-8	-8	-2	-1.8118112223571074047e-06	-3.3986136630842525575e-08	2.188008038510122409e-06	-6.8192088335905571245e-07	-1.5047872646120600171e-06	2.8636280799595929257e-06
-8	-8	-1	1.1356351348440749712e-05	-2.1851978248926812476e-06	-1.3038749482377328529e-05	1.993688661270853099e-06	1.3459185071492630529e-05	1.532073308974624977e-06
-8	-8	0	1.4618609508228289219e-06	1.3669637824029508452e-06	-1.4618609508228289219e-06	-1.3669637824029508452e-06	-7.7820021481460127556e-07	6.5174498937005259929e-06
-8	-8	1	1.4380496485691808716e-06	-3.7873949126784963789e-06	7.6504159292331798327e-07	1.6466139600412177521e-06	1.7624729931939990839e-05	-1.7126247621098229015e-05
-8	-8	2	4.0111841064194836119e-07	-1.6186447303333802033e-06	-2.5078257586208408406e-07	3.0958850085121547795e-06	6.0134333911945710853e-07	5.9089611127150991519e-06
-8	-8	3	1.7818556460355972783e-06	-5.051331563984422182e-06	-3.9396727397394877703e-06	-7.9655343442570544619e-06	-5.7541789165437088257e-06	-3.4711642421977268792e-05
