# completed local quartic closure restart checkpoint; cutoff=8; restart=0; seed=12916328572993039690; objective=projective-open-palinstrophy-normalization-ratio; selection=double-triple-remainder-without-123; optimized_objective=6.24983146794281911e-08; refined_objective=0; accepted_steps=24; candidate_lemma_proved=false
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-8	-8	-8	0.00090955117492895986003	0.0012191071515985198517	-0.001159126585574322011	0.00018964638971772545054	0.0002495754106453620968	-0.0014087535413162453023
-8	-8	-7	2.3566438350735735991e-05	-6.6080629577906346145e-05	-0.00023064846911268266426	-8.9911389454310963938e-05	0.00023666517801365362069	0.00017827659317967692581
-8	-8	-6	0.00032202208708772135344	0.00012980899392891909606	-0.00031806360818852926322	0.00024884825291731250008	-5.2779718655894697308e-06	-0.000504876329128308831
-8	-8	-5	-0.00030541325102861151047	2.7859399088194602116e-05	0.00021851588932841135957	-0.00031311871285868362854	0.00013903577872032026855	0.00045641490203278243685
-8	-8	-4	0.00033761717990616431015	-0.00010094994163016586107	-0.00018133148569913844932	0.00038003910836680444667	-0.00031257138841405172165	-0.00055817833347327719829
-8	-8	-3	-0.00029162627137688853368	0.00019133631895948790321	0.00010065837365346253852	-0.00040566441947489429755	0.00050924772726246932044	0.00057154160137441701543
-8	-8	-2	0.00018410204961230068415	-0.00021742161818839373559	-3.3763983299262368754e-05	0.00033318425481829015309	-0.00060135226525215323447	-0.00046305054651958567
-8	-8	-1	-9.5614097477820801153e-05	0.0002426050448531505031	7.8831785188853065242e-06	-0.0002844222866793518021	0.00070184735167148394348	0.00033453793460961050044
-8	-8	0	-1.3740133761983695813e-07	-0.00015819953355728524859	1.3740133761983695813e-07	0.00015819953355728524859	-0.00060723683607256549385	-0.00016570385696948830112
-8	-8	1	5.0287392448932558269e-05	0.00013197735795641694933	2.5818181276628134052e-05	-0.00012829187768833812729	0.00060884458980448551146	2.9483842144630562749e-05
-8	-8	2	-7.5747961293692886247e-05	-7.1214817703324891302e-05	-3.6003323352986334822e-05	8.5414529929439447276e-05	-0.00044700513858671685717	5.6798848904458210346e-05
-8	-8	3	9.240984906373166509e-05	2.7475660636124425896e-05	2.1125679097300567848e-05	-6.5940399457085609397e-05	0.00030276140842941926977	-0.00010257263685589648934
