# exact-gradient local quartic closure adversary; cutoff=8; objective=projective-open-palinstrophy-normalization-ratio; selection=double-triple-remainder-without-123; backend=direct; objective_value=1.40614e-07; constant_ratio=0; candidate_lemma_proved=false
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-8	-8	-8	-3.6116628006264671629e-05	1.1052586211202618667e-05	3.5084862518425488274e-05	-8.5582420684595985889e-05	1.0317654878391835667e-06	7.4529834473393357058e-05
-8	-8	-7	4.6429795264299033447e-05	1.8266821615327199845e-05	1.5446944899054525837e-05	-8.3151773831954251508e-06	-7.0716274472404065817e-05	-1.1373307693864883187e-05
-8	-8	-6	8.4654627911924508704e-06	2.9458006526174933498e-05	-1.7208870605750057508e-05	-4.6681552291482609986e-06	1.1657877086076810544e-05	-3.3053135062702229999e-05
-8	-8	-5	1.0134916280273264286e-07	2.7473935715084278439e-07	1.1328114467252686208e-07	9.4630510817249414072e-09	-3.4340849196041519732e-07	-4.5472385317210834539e-07
-8	-8	-4	3.7899113566793777862e-08	6.9528657698240691227e-08	4.5694111301826258772e-09	6.971077374925607463e-08	-8.4937049393952807479e-08	-2.7847886289499353171e-07
-8	-8	-3	-6.4953138814876000176e-08	-2.3257325567693292834e-07	2.285593967247641409e-08	1.2477864157770855459e-07	1.1225919771306555407e-07	2.8745230426459831235e-07
-8	-8	-2	8.8619777767896611635e-08	-5.9780614927779500078e-08	6.989123709994914636e-09	1.7176912041066295341e-07	-3.8243560591156607861e-07	-4.4795402193153386626e-07
-8	-8	-1	-1.2047549282398251706e-07	3.8158483238592176133e-08	8.0616924796026134045e-08	-5.4134453396491625088e-08	3.1886854422365122291e-07	1.2780776126319559163e-07
-8	-8	0	-1.4048527065276486914e-08	-9.4835907970628828262e-08	1.4048527065276486914e-08	9.4835907970628828262e-08	-1.5843132869230781744e-07	5.9638601044373861503e-10
-8	-8	1	2.2318746689296295972e-07	-6.6262563770945346247e-08	-1.9120067319443034911e-07	6.6803703706216368536e-08	2.5589434958826072611e-07	4.3291194821681518454e-09
-8	-8	2	-1.1003377776642536409e-07	-3.1447612793837835721e-08	6.5493101981835478344e-09	3.841482592719271491e-08	-4.1393787027296723523e-07	2.7868852533419503523e-08
-8	-8	3	3.1946430541747852075e-08	2.4332543141048522094e-08	3.4863766385133736679e-08	-9.1349695697562905573e-08	1.7816052513835089452e-07	-1.7871240681737168928e-07
