# exact-gradient local quartic closure adversary; cutoff=8; objective=projective-open-palinstrophy-normalization-ratio; selection=double-triple-remainder-without-123; backend=direct; objective_value=1.54673e-07; constant_ratio=0; candidate_lemma_proved=false
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-8	-8	-8	-2.3128266664746536204e-06	1.2719964863161301643e-05	3.4176750072820064726e-06	-2.6091315688636490748e-06	-1.1048483408073528522e-06	-1.0110833294297653839e-05
-8	-8	-7	2.0606303755670822705e-05	7.6153144914076878716e-06	6.6821500193636560328e-06	-3.0833767851542704848e-06	-3.1186804314325119525e-05	-5.1793573785753336722e-06
-8	-8	-6	-1.7699395674811126458e-06	-5.6966182795237591598e-06	3.4875983906487066991e-06	9.0460943707515344269e-07	-2.2902117642234591612e-06	6.3893451232648073405e-06
-8	-8	-5	-5.3447952011155312554e-08	-6.2817894077514830218e-08	2.1321750838715815266e-08	-1.0207219278530001549e-08	5.1401921875903195661e-08	1.1684018136967172818e-07
-8	-8	-4	1.950245223312201911e-07	1.1977951003945344524e-07	-7.7998351802645466871e-08	6.2120529193390819962e-08	-2.3405234105714944845e-07	-3.638000784656885304e-07
-8	-8	-3	-1.9479784323021591317e-07	6.6038357072783896837e-08	6.8834651956636322511e-08	-2.6507629543069253226e-07	3.3590184339621225941e-07	5.3076783562108962389e-07
-8	-8	-2	1.8820634342535602879e-07	-9.5094872128414169658e-08	-3.7082948372609778835e-08	2.2731964580590416003e-07	-6.044935802109849998e-07	-5.288990947099599615e-07
-8	-8	-1	-2.7509276145566668806e-07	2.3050578983141698344e-07	1.8925291136407842678e-07	-2.7063208283568685224e-07	6.8671880073270630202e-07	3.2101034403415889753e-07
-8	-8	0	1.6473446601566825095e-07	-3.9722764645640581152e-07	-1.6473446601566825095e-07	3.9722764645640581152e-07	-2.6809550838779125366e-07	-1.8486886651192360807e-07
-8	-8	1	3.2454956176878115852e-07	3.2337371579171120668e-07	-3.0354006999599180642e-07	-3.0770301707787787148e-07	1.6807593418231479039e-07	1.2536558971066652276e-07
-8	-8	2	-2.5818909017291499222e-07	-1.9241750924195116483e-07	1.4438957969263376267e-07	1.5424158424097368573e-07	-4.5519804192112497116e-07	-1.5270370000390988994e-07
-8	-8	3	1.6358898048881699989e-07	9.2036295929436311749e-08	2.1200204596869981933e-08	-1.0587160362608751235e-07	4.9277116022849863584e-07	-3.68941538577365173e-08
-8	-8	4	-1.0187853420387996908e-07	-3.0438439687007190088e-08	1.6225277250283327131e-08	9.5487513396959259124e-08	-1.7130651390719329714e-07	1.3009814741990412484e-07
-8	-8	5	-2.6038156288029101552e-08	5.6737261899031877277e-08	2.3030617293714927847e-08	-6.3721026022165985657e-08	-4.8120623909026746198e-09	-1.117402259701458135e-08
-8	-8	6	-1.768283603338374158e-05	1.0277534629004453281e-05	-1.2963101762728721358e-06	-1.1768973342683944762e-05	-2.5305528279542150209e-05	-1.9885849515726544611e-06
-8	-8	7	-2.5596237515470951658e-05	2.8515447964057481035e-05	-4.4010777191977951673e-06	2.1118004580955254288e-05	-3.4282645982478569737e-05	5.672394576572884037e-05
-8	-8	8	-3.6254509052357872408e-06	3.2742189227210166331e-06	1.7191732643344573864e-05	4.8255353000973227564e-06	1.3566281738108786623e-05	8.099754222818339813e-06
-8	-7	-8	-3.4767170602671302056e-06	-1.1273470086801813087e-05	5.7820851648960618112e-06	1.2825048451496024742e-05	-1.5826074590169238792e-06	5.1552691742791576214e-08
