# exact-gradient local quartic closure adversary; cutoff=8; objective=projective-open-power-ratio; selection=double-triple-remainder; backend=direct; objective_value=7.38032e-07; constant_ratio=0.0305163; candidate_lemma_proved=false
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-8	-8	-8	-7.0036026367932200837e-06	1.9062982741454748937e-06	-3.2596259952257478891e-06	-1.7889410983424003e-06	1.0263228632018968396e-05	-1.1735717580307468633e-07
-8	-8	-7	2.188641171732791551e-06	-1.1182245152475926375e-06	1.0179203900202293543e-06	6.193359565299905603e-07	-3.6646417848605951993e-06	5.701583528201167504e-07
-8	-8	-6	3.5831900123292561426e-07	-5.9260740913450526711e-07	2.5095217233569212523e-07	-1.6170145171810187485e-07	-8.1236156475815702129e-07	1.0057451478034763305e-06
-8	-8	-5	-1.2243973997277040773e-06	1.6289890132453164615e-06	-5.3276850352265743972e-07	2.524682329866465581e-07	2.8114654452005786814e-06	-3.0103315939711410008e-06
-8	-8	-4	1.3457853845401838471e-06	-2.5742787545042550983e-06	2.2287375739610805552e-07	-3.0428744445469345307e-07	-3.1373182838725836464e-06	5.7571323979178974203e-06
-8	-8	-3	-1.261387626273834223e-06	2.903120188140433575e-06	4.4298625669767419422e-07	9.7713288932749315254e-08	2.1824036522030932688e-06	-8.002222605528488378e-06
-8	-8	-2	1.1773257646666833351e-06	-3.961219197470816007e-06	-9.567132998149026033e-07	1.1642345162377082163e-06	-8.8244985940712282132e-07	1.118793872493243201e-05
-8	-8	-1	-1.1205281820521800471e-06	3.7689867182089212406e-06	1.0882033374783230507e-06	-2.226629018205958614e-06	2.5859875659085618359e-07	-1.2338861600023699318e-05
-8	-8	0	9.183391039317688842e-07	-3.1570396339121232974e-06	-9.183391039317688842e-07	3.1570396339121232974e-06	9.3379799198618825995e-07	1.2615224658557645221e-05
-8	-8	1	-9.2630291769275089506e-07	2.3584080340521055183e-06	6.2241199567675090639e-07	-4.0780215754345302114e-06	-2.4311273761279994858e-06	-1.3756908331059399238e-05
-8	-8	2	1.0709967275261706006e-06	-1.2366000420615518616e-06	1.5808537565915533484e-07	4.7221723082448901419e-06	4.9163284127413037417e-06	1.3942289064733354815e-05
