# exact-gradient local quartic closure adversary; cutoff=8; objective=projective-open-power-ratio; selection=double-triple-remainder; backend=direct; objective_value=4.00631e-07; constant_ratio=0.0269034; candidate_lemma_proved=false
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-8	-8	-8	-0.00021202229507272531118	6.6889833857019162229e-05	-0.00010118796537087477029	-4.8590352865446078312e-05	0.00031321026044360008147	-1.8299480991573083917e-05
-8	-8	-7	-5.2988023420669464901e-05	2.9034782320567847984e-05	-2.859456899582719805e-05	-1.1388670943560006579e-05	9.3237248475996182357e-05	-2.0166984430866102042e-05
-8	-8	-6	1.9733715532463119989e-05	-5.9144576787031625785e-06	1.0238802783423569574e-05	2.4769967446008235573e-06	-3.9963357754515583826e-05	4.5832812454697859263e-06
-8	-8	-5	-1.6186679314813778955e-05	-4.1096890463075670693e-06	-2.8237693725690611237e-06	-2.8233983023948523739e-06	3.0416717899812545481e-05	1.1092939757923871787e-05
-8	-8	-4	2.4349476597971103891e-05	1.9815082333227103506e-06	-3.0604724467032660057e-07	5.422889550171466353e-06	-4.8086858706601559664e-05	-1.4808795566988353407e-05
-8	-8	-3	-3.4525710661228051841e-05	8.9465971153659214541e-06	2.81157673086573033e-06	-7.7780545809532882547e-06	8.4571023814299518383e-05	-3.1161134251003526572e-06
-8	-8	-2	3.6698541357368397728e-05	-2.803918683453421635e-05	-8.3267671079136892025e-06	1.7871388789518238046e-05	-0.00011348709699781882733	4.0671192180063919991e-05
-8	-8	-1	-2.646440107171597875e-05	4.0485087677255561479e-05	1.1504670391891005815e-05	-2.9989574457340485188e-05	0.00011967784543859979703	-8.3964105759320610328e-05
-8	-8	0	1.0204002262546665744e-05	-4.0574485634977606715e-05	-1.0204002262546665744e-05	4.0574485634977606715e-05	-9.8889725867086849956e-05	0.00010922084627142816609
-8	-8	1	6.1126074892252414038e-06	3.4699843335154688091e-05	2.7431284919193900539e-06	-5.3877544997684378124e-05	7.0845887849157058438e-05	-0.00015342161330023754737
-8	-8	2	-1.5211617784976570863e-05	-1.7601074616517737198e-05	8.55328208271114846e-06	5.8251700327784603232e-05	-2.6633342809061693002e-05	0.00016260250284506745058
-8	-8	3	1.1873939714017840846e-05	-2.5174033980985125466e-06	-1.6708403146606253838e-05	-4.6433509755023566273e-05	-1.2891902486902428998e-05	-0.00013053576840832553109
-8	-8	4	-5.5331985481634274326e-06	8.761579294029058057e-06	2.1214421376315259894e-05	3.442543243491277843e-05	3.1362445656303664923e-05	8.6374023457883676363e-05
-8	-8	5	-4.757401847683441239e-06	-9.5725918632470493008e-06	-2.6592971102034559537e-05	-2.3728407175582889941e-05	-5.0160596719548801242e-05	-5.3281598462127904142e-05
-8	-8	6	3.0877260230961212897e-05	6.5233276615261804075e-06	5.3677590573545485425e-05	1.7338385345406119662e-05	0.0001127398010726756068	3.1815617342576397834e-05
-8	-8	7	-8.0241000910017740893e-05	5.809119618884706231e-06	-6.2639951033370715508e-05	6.4062334539549719214e-06	-0.00016329251650672966059	1.3960403511816775999e-05
-8	-8	8	-0.00024327723222826105757	8.4308979377505004833e-05	-5.9754777498239121153e-05	8.173663948434063502e-05	-0.00030303200972650015839	0.00016604561886184563985
-8	-7	-8	4.3453681198229014986e-05	7.389058265874950966e-06	1.2885192780333163006e-05	3.1566517094327198279e-05	-5.4728224881020531769e-05	-3.5009760723411248614e-05
-8	-7	-7	-2.6920358947083526816e-06	-6.2732439779952129942e-06	-6.4981877536277562717e-06	-1.2720690967345967196e-05	9.5748002047230168423e-06	1.9890112656483352265e-05
-8	-7	-6	-1.8671802638863742089e-06	1.5580293769781185757e-05	4.8951373002915073791e-06	1.0874477791443358469e-05	-3.2214198318249260482e-06	-3.3460615783058829452e-05
-8	-7	-5	-3.9673198404632678167e-06	-2.5365638834390848871e-05	-6.8316785418958416736e-06	-1.1892845651343840726e-05	1.5912061703395407019e-05	5.7235006046906732838e-05
-8	-7	-4	2.1521958399130218943e-05	3.3230667431132617699e-05	8.1794519788241176018e-06	1.0399583037753303363e-05	-5.7357957761202642418e-05	-8.4660605178333504426e-05
-8	-7	-3	-3.5105151240444183139e-05	-2.7945751790159365847e-05	-1.6743716563510211495e-06	-4.6951293618383036844e-06	9.752060383933687797e-05	8.5477306618047678541e-05
-8	-7	-2	4.7285829384043565808e-05	1.5781657498915179936e-05	-9.5141220952796287565e-06	5.2286581231297284329e-06	-0.00015584389020269556682	-8.1426933426614772648e-05
-8	-7	-1	-5.7339623257887175364e-05	4.4482891194930115672e-06	3.5373905865806535274e-05	-1.2961356440123729137e-05	0.00021109964500245166955	5.5143182124922013115e-05
-8	-7	0	4.5963509653890013745e-05	-2.2427946613508943581e-05	-5.2529725318731445248e-05	2.5631938986867361673e-05	-0.00025431841685306775689	4.3944751564206146493e-06
-8	-7	1	-2.1369829331358824049e-05	3.0309167839353157864e-05	5.8362671922853810757e-05	-4.4437103084188031045e-05	0.00023758006880910607613	-6.8586378874490940851e-05
-8	-7	2	-5.3262260166479347457e-06	-1.6971956715664007856e-05	-4.7677141172878072782e-05	5.546673337108352041e-05	-0.00018817489817166499033	0.00012624573993613629678
-8	-7	3	1.4460306847241321615e-05	3.1623236346719590297e-06	3.5568421121774349578e-05	-6.3789520857976387039e-05	0.0001215538008767836801	-0.00014040935230948632987
-8	-7	4	-1.8147713261055779284e-05	1.3236940594452699228e-05	-1.5087831717062651166e-05	7.2316841825297069487e-05	-6.2699132026971201074e-05	0.00015302835438317527006
-8	-7	5	9.107361730750272266e-06	-2.0609347114335564591e-05	-2.8796118000545285466e-06	-5.258279641142727702e-05	1.054032224912409566e-05	-0.00010659087035893509117
-8	-7	6	3.1365163914625251087e-06	2.0374427540022982191e-05	1.6162791821055042262e-05	4.1349741072886385862e-05	2.3038612313180914423e-05	7.5407267971731425297e-05
-8	-7	7	-1.9579903970500030799e-05	-2.1174256595404460839e-05	-3.8023618309466078056e-05	-3.7061809960571313058e-05	-6.0400651418608973303e-05	-6.1260960355319268303e-05
-8	-7	8	6.9246263326331897875e-05	3.2127833147305207321e-05	7.0856518552764801658e-05	2.4459538117530750284e-05	0.000131245717060001079	5.3529929000144615514e-05
-8	-6	-8	-2.8340044540217066514e-06	-3.9634351772125248555e-06	-9.5618971403013964383e-06	1.8934292573373052136e-05	1.0005427309247754404e-05	-1.0237284252817265093e-05
-8	-6	-7	1.5644303752831292885e-05	1.1998401110833673731e-06	8.1635894006297052045e-06	-1.7244324428352065327e-05	-2.487656663234693967e-05	1.3409603668777922338e-05
-8	-6	-6	-2.6830515173477962801e-05	8.4126071195841764158e-06	-6.6731463261555959513e-06	2.8230220596114704462e-05	4.2447166557459544659e-05	-3.9447030088893606349e-05
-8	-6	-5	3.282402229822318693e-05	-2.6289722493014212586e-05	-4.8731339942375845336e-06	-3.7703900170617673734e-05	-4.6670674884071992904e-05	8.7308236193563945908e-05
-8	-6	-4	-2.8191738350664461132e-05	5.0526730799129277404e-05	9.4238973563956565389e-06	3.5489285549545060634e-05	4.2247630666735439149e-05	-0.00015428738992257612882
-8	-6	-3	1.7832655696713384458e-05	-5.993015155228294087e-05	-2.141885907078957277e-05	-2.5924797374189551951e-05	-4.7160303829898805278e-06	0.00021166333222113361515
-8	-6	-2	-3.3934034938472297274e-06	6.4945732530072918334e-05	2.3173876212419880857e-05	1.0465834641453529823e-05	-5.5948014661870730437e-05	-0.00029118043404465225772
-8	-6	-1	-1.0752065748819213622e-05	-5.1420062958673111377e-05	-1.121630218979583137e-05	1.7107399193959877884e-05	0.0001533143391293286938	0.00030871610850562560338
-8	-6	0	1.3161461453890066392e-05	3.0056039914491889439e-05	-1.7548615271853422985e-05	-4.0074719885989188177e-05	-0.00021817976254379149682	-0.00027058811167954348017
-8	-6	1	-3.7312627924534377913e-06	-1.2593367952282613596e-05	5.537356290112299803e-05	4.9772093332495124477e-05	0.00030239127506711052651	0.00019788561637670983809
-8	-6	2	-9.3116055006011468732e-06	-3.3606640193798175067e-06	-9.1398075180790217496e-05	-2.9431560518314143045e-05	-0.00031144064754477524676	-0.00010173733763246169408
-8	-6	3	2.5723509906606708956e-05	3.5088775692842030926e-06	9.4862217608907267036e-05	-7.1441258226862133595e-06	0.00025832046163543244269	-4.9312447939478854211e-06
-8	-6	4	-3.7475368602589744762e-05	8.0218911171511658178e-06	-9.0483319094385796259e-05	4.0184734478403220633e-05	-0.00021067571584675818391	7.6320883951907169361e-05
-8	-6	5	3.3055438288214546985e-05	-2.2870275735323394617e-05	5.5192894240429477047e-05	-4.7733008581085059792e-05	0.00011912017434965865034	-9.3872051473819495006e-05
-8	-6	6	-1.9146141978705657192e-05	2.4139887099573605419e-05	-2.8457133423388435384e-05	4.9534842267168300114e-05	-5.3985322728329309381e-05	8.1721358399933102822e-05
-8	-6	7	5.3950288185996452721e-06	-2.1800573666547595883e-05	5.2060627343006413582e-06	-4.3307671679020566665e-05	1.0628086707800143848e-05	-6.2035802772357742023e-05
-8	-6	8	1.3970408816033507676e-05	3.8939200340055323728e-05	2.2511831888454154318e-05	5.6840528667182559064e-05	3.0854282732374120027e-05	8.1569596840442239638e-05
-8	-5	-8	-2.5744648440242882807e-06	-1.6265620785924419649e-05	-1.9939003516249466093e-05	4.74983945861288892e-06	1.5036342041680204589e-05	1.3296971124291362168e-05
-8	-5	-7	1.4893310214504884345e-05	2.276006471411665645e-05	3.2133764652573727414e-05	-1.4429372477924282643e-05	-3.9973614996986813071e-05	-1.57048079033302619e-05
-8	-5	-6	-4.2304251519236658462e-05	-2.8026332467004070633e-05	-3.9080992842964247015e-05	4.3247532768221128951e-05	8.8973162728119082666e-05	1.3288326491544886937e-06
-8	-5	-5	7.3195322142033121104e-05	1.6827992198377762653e-05	3.8239399231265882402e-05	-7.2076408672703241539e-05	-0.00015535191465851889785	4.5151621155298815873e-05
-8	-5	-4	-7.5114865287889109858e-05	-5.0605994227858222236e-06	-2.6079458243581994821e-05	9.7659234613744279503e-05	0.00018282905338025572171	-0.00011195284442160870154
-8	-5	-3	0.00010804290878891599449	-2.4360383741010817397e-05	-3.3873633123463878821e-05	-0.00010513674095065582935	-0.00023165836823133616694	0.00024018892489378854843
-8	-5	-2	-8.4761860278932221573e-05	2.7843268362445307339e-05	7.4083621856027367263e-05	7.8478435966432608562e-05	0.0001538383864756604478	-0.00030756916336586271688
-8	-5	-1	6.8166157803567790766e-05	-1.6113993846408632539e-05	-9.4521027372221539699e-05	-3.3084078835458442336e-05	-7.2724125567434681847e-05	0.00029433234494856126522
-8	-5	0	-6.3951158198728556316e-05	9.5481409103216604098e-06	0.00010232185311796567384	-1.5277025456514655978e-05	-1.3956522513574383149e-05	-0.00038118941565876124757
-8	-5	1	5.1988105784590828509e-05	8.7975403783192691477e-07	-7.1654530911749068304e-05	5.3613320263030467749e-05	5.7632191717981340762e-05	0.00027510463361780771764
-8	-5	2	-5.3634606198767142916e-05	-1.1500137934197346797e-05	2.658105651770481447e-05	-9.2014762525348409031e-05	-0.00014808578350080655412	-0.00027603745805016038266
-8	-5	3	6.7133643405223843094e-05	1.6790937317724165934e-05	2.2854830825970038672e-05	0.00011090082323827301421	0.00021711443379054696243	0.0002296105382443861464
-8	-5	4	-4.5106723612781475291e-05	-5.0351843761246355567e-06	-7.9859365755387899774e-05	-7.5902536214807994792e-05	-0.00019003765441979783546	-0.00010494853902075925952
-8	-5	5	6.032765172763607177e-05	-1.9826421295921151173e-06	9.9683258178864017195e-05	2.5605873320193518777e-05	0.00019620750094308172119	2.2433645912846134589e-05
-8	-5	6	-4.5674942552374301903e-05	1.3490033217403208136e-05	-6.9391553573568644426e-05	8.1810495186880579429e-06	-0.00011872621804780627967	2.4804252222110993032e-05
-8	-5	7	2.1474503816593870306e-05	-1.2371949365117671833e-05	4.2730359306799251407e-05	-2.5685418836847659645e-05	5.5063975295249601816e-05	-3.2486098443597099031e-05
-8	-5	8	-1.1765881547267729703e-05	1.8590790383936010692e-05	-1.8378882702192310839e-05	2.6261168976600400175e-05	-2.3252683236137923977e-05	3.5004020994311262072e-05
-8	-4	-8	1.4110539005474466963e-05	-2.1002561491835255433e-05	-2.734604790163913592e-05	-1.4026464696862894622e-05	-4.375150546548990555e-07	2.8015793840266703591e-05
-8	-4	-7	-4.9434821124098272477e-06	5.1858084999463119726e-05	6.2803196653092100408e-05	8.7957687634834593073e-06	-3.0237847101869964737e-05	-6.4292536435662682101e-05
-8	-4	-6	-2.4556287079932034482e-05	-7.7033952551370889531e-05	-9.8620097320020031514e-05	1.8544215372754021648e-05	9.8488447653256066985e-05	9.0349126486658493649e-05
-8	-4	-5	4.5296714905819040727e-05	8.1186387898750532921e-05	0.00012818784161837038405	-5.9863629384833671456e-05	-0.00017502501714400676698	-8.2007317130133910088e-05
-8	-4	-4	-8.8312842991839423865e-05	-7.7878560784054421968e-05	-9.5296230421988622214e-05	0.000145270551457638529	0.00027192191640566749705	1.0486570110470321709e-05
-8	-4	-3	0.00010273597631342655924	7.165458878453070848e-05	5.737303419349754893e-05	-0.00020083306090771713593	-0.00035045998242713423225	7.6698511118207616253e-05
-8	-4	-2	-8.82119370844917629e-05	-7.6901094126574631987e-05	3.9872272078807319772e-05	0.00025152955033442295435	0.00027310320418035238495	-0.00019545472416254732655
-8	-4	-1	0.00010202180891823068936	7.99202876227032361e-05	-0.00014422824570376968308	-0.00023492459781917240957	-0.00023926148853076678255	0.00030033609029506369527
-8	-4	0	-0.00010120136553964256365	-9.3846379951138662358e-05	0.0002024027310792851273	0.00018769275990227732472	0.0001033917363945942693	-0.0003470585006766537515
-8	-4	1	0.00010238080754029872871	8.0960063088328978326e-05	-0.00021737731387441174783	-8.0788396756045972088e-05	-5.0462795175257161608e-05	0.00032452691768244799246
-8	-4	2	-9.2425641047664885497e-05	-6.7646737647403766742e-05	0.00018492180092923886565	1.8959691502973015348e-05	1.4103766781818179253e-07	-0.00023266756758366904305
-8	-4	3	8.3208807808756213883e-05	5.9380104739715548431e-05	-0.00013649766303992273437	7.8512912838861394649e-05	3.9893270103452935823e-05	0.00026303082975772328587
-8	-4	4	-7.4879906485761981512e-05	-3.9355233575645836436e-05	6.8683597170168911609e-05	-0.00011073166175738897944	-8.1076215801355051415e-05	-0.00018944212890868063876
-8	-4	5	5.6015413486053581508e-05	2.8443820475185386864e-05	2.0250685015780848646e-05	0.00011537311959158956921	0.00010582520959031040933	0.00013780860843356826351
-8	-4	6	-6.171875548661458666e-05	-1.7724308701955357427e-05	-6.2743530063117387125e-05	-7.8060656996276875418e-05	-0.0001241206940242310403	-7.5672849600125051146e-05
-8	-4	7	4.5279097312960957472e-05	1.9844489384099625411e-06	6.4084522129170525071e-05	2.5943806717926251083e-05	8.8367266717195681945e-05	1.709297405414067161e-05
-8	-4	8	-1.8055058586648081481e-05	2.769090988112128752e-06	-3.3859989017337979364e-05	8.042334444549398558e-07	-3.4985053095317067775e-05	3.1712077103395988387e-06
-8	-3	-8	3.6220531324045343818e-05	-1.2519567394724198396e-05	-2.1635411159626811073e-05	-3.9789828770154745871e-05	-2.8107252139185287125e-05	2.744075318353222725e-05
-8	-3	-7	-4.6035760656072250406e-05	4.9360792456686305757e-05	6.2094277230046528398e-05	5.068007707031296381e-05	2.6000464794062628246e-05	-7.813236726634704434e-05
-8	-3	-6	3.5481939514308474869e-05	-9.4392417603123929216e-05	-0.00012505895035896035872	-5.1357235290340931685e-05	1.5220222493735551284e-05	0.00015153517444933570593
-8	-3	-5	-1.0985694193103807403e-05	0.0001388389913415230732	0.00020746358222816990778	-1.173989850830044356e-06	-0.00010690103862793585011	-0.00022143799223593892134
-8	-3	-4	-1.4131565970151648915e-05	-0.00014468527920417621909	-0.00025621462751170633087	9.0962454525034838835e-05	0.00022042410257408305953	0.0002211487175145762955
-8	-3	-3	4.2383225250656726777e-05	0.00015570699477402135205	0.00028547394287849924477	-0.00024959671693803350389	-0.0003984958768802504981	-0.00016562193579269004736
-8	-3	-2	-5.7667308664888213357e-05	-0.00015374032419847625348	-0.00019628114798869511015	0.00039936127877128187007	0.00052509095664259551866	1.5919378636982202044e-05
-8	-3	-1	4.6292562405020269809e-05	0.00016576257039190812003	6.9785110923293509921e-05	-0.00050039913121692513372	-0.00057969583201004275599	0.00017509683051551057646
-8	-3	0	-2.8636869367406584015e-05	-0.00019207916848947527628	7.6364984979750895225e-05	0.00051221111597193403394	0.00050761621371064945089	-0.00036491000196065058285
-8	-3	1	2.4375228394393871461e-05	0.00021789621745081107608	-0.0001701068269701665539	-0.00043070261448357679852	-0.00031531865375534866291	0.00045106189615575821312
-8	-3	2	-5.4403609606716486367e-05	-0.00020084624016266535676	0.00024142738203999843669	0.0002747491596543319317	0.00014452663463313170956	-0.0003912612211691635024
