# completed local quartic closure restart checkpoint; cutoff=6; restart=0; seed=1127675556562534488; objective=projective-open-power-ratio; selection=double-triple-remainder; optimized_objective=9.66887167762593653e-07; refined_objective=0; accepted_steps=8; candidate_lemma_proved=false
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-6	-6	-6	0.00036484359079607092246	-2.0658650320367326296e-06	-1.0192653915756084114e-05	-1.4339844758824957423e-06	-0.00035465093688031483835	3.4998495079192281601e-06
-6	-6	-5	-3.8057788057056648144e-05	-3.5665593355112355815e-07	-1.5786966906303776741e-06	2.0675755176554081867e-06	4.7563781697224431745e-05	-2.0531035009251415331e-06
-6	-6	-4	1.5567660850484430542e-06	-4.6700517591230055956e-07	2.0904003822460246242e-07	-5.3364660498454285026e-07	-2.6487091849095681293e-06	1.5009776713452651412e-06
-6	-6	-3	6.1103716223292704551e-07	-1.5029305773751765158e-07	-5.3261918958150403691e-07	-3.7861887465262324548e-07	-1.5683594530284599073e-07	1.0578238647802819e-06
-6	-6	-2	-6.5052024512586350396e-07	-9.2763724227521110404e-08	8.7928315024541272291e-07	1.3014879786532525217e-06	-6.8628871535864765683e-07	-3.6261727632771945912e-06
-6	-6	-1	9.7178013382940935795e-07	9.2224766583470431966e-07	-1.1711321299213068039e-06	-1.6086295413569105158e-06	1.1961119765513842525e-06	4.1182912531332369649e-06
-6	-6	0	-7.5217796776951978427e-07	-1.9451155031060712184e-06	7.5217796776951978427e-07	1.9451155031060712184e-06	-3.4399915476753732845e-06	-3.9036329919879674964e-06
-6	-6	1	7.4863762725164748674e-07	1.7799057988386055636e-06	-4.4715024365108903905e-07	-1.5704043999198055739e-06	1.8089243016033510038e-06	1.2570083935128001501e-06
-6	-6	2	-3.8598525964781507112e-07	-1.4669591278982116949e-06	7.1460380983943628564e-08	1.3724567585035369877e-06	-9.4357463599161432767e-07	-2.8350710818402390997e-07
-6	-6	3	2.9286712204877907606e-08	5.4128664668902419981e-07	3.6342572851458668401e-07	-6.760951265773474777e-07	7.8542488143892916338e-07	-2.6961695977664655578e-07
-6	-6	4	-8.9703595928768769613e-07	-1.7528227239599984222e-07	6.4813835279363864684e-08	6.6686996633114194326e-07	-1.248333186012485767e-06	7.3738154090271316479e-07
-6	-6	5	8.253687179147471437e-06	-2.9876897407662216075e-06	-5.6296676444775864133e-06	1.6649047889398134855e-06	3.1488234416038625367e-06	-1.5873419421916900429e-06
-6	-6	6	-0.00014401779995079378458	4.3750042338177566516e-05	5.5977658295979491367e-05	4.3091555571551177833e-05	-8.8040141654814306764e-05	8.684159790972874435e-05
-6	-5	-6	2.9144204695728501039e-05	1.5712117120350975875e-05	-1.0827186947486393474e-06	-7.2225093246580965664e-06	-2.8241939116771299501e-05	-9.6933593498025612229e-06
-6	-5	-5	-5.6902998601283202912e-07	-1.5674177584724676285e-07	-2.8812498225146892983e-08	3.5908180315148870493e-07	7.1164848144054532197e-07	-1.7099167213479258951e-07
-6	-5	-4	-8.9087894132213474674e-07	4.4141948070709055547e-08	5.7175700467809684862e-07	1.4069820951894448405e-06	6.216221561355810858e-07	-1.8249405410928696307e-06
-6	-5	-3	1.464597280311927935e-06	-5.8867492305807793313e-07	-2.0400823545869014036e-06	-2.5876595604688450879e-06	4.7094269702097962621e-07	5.4901157802308980324e-06
-6	-5	-2	-3.3649098123493096966e-07	-9.1008965677933938587e-07	2.9272759090936954767e-06	5.7609943044384607499e-06	-6.3087168290294456238e-06	-1.16722167907581334e-05
-6	-5	-1	3.8231824030888086731e-08	1.5197358851972247167e-06	-2.2736556434210948756e-06	-3.1490574630850717718e-06	1.1138887272920146903e-05	6.626872004242011406e-06
-6	-5	0	1.2177638837744472766e-06	-8.3057950653050110048e-07	-1.4613166605293369013e-06	9.9669540783660140527e-07	-1.1176186094837679575e-05	-3.2977795453391941559e-06
-6	-5	1	-2.0240094597614056716e-06	-9.8498445562445294829e-08	4.1488684825805394538e-06	7.1063630995250318109e-07	8.6002856543342649331e-06	2.9621908763878442423e-06
-6	-5	2	9.8885044056444366981e-07	-2.7898584958233373748e-07	-3.4678756283420941319e-06	-3.1827914040087556655e-07	-5.7031377491619053791e-06	-1.6326553997491899965e-06
-6	-5	3	-7.574152428395139027e-07	3.9342840831994482375e-07	2.3417875055488100731e-06	-9.7314464900828347311e-07	2.388148690235655438e-06	-8.3505093170724936846e-07
-6	-5	4	2.7637588811904301961e-07	1.2453587616636515661e-07	-8.1038986367442740413e-07	2.6821804806909863381e-07	-5.9842349741446969929e-07	5.2207637433592098748e-07
-6	-5	5	9.4791823464566309982e-08	5.6519086689695104603e-07	3.8421921263404533048e-07	-5.6440106501880772819e-07	4.979694007915248654e-07	1.1382797525753349264e-07
-6	-5	6	-5.0444409574989546662e-06	-9.6452706063682764768e-06	1.8586583337643855568e-08	7.0118475398414638222e-06	-5.0289521380509179726e-06	-3.8020643231670563427e-06
-6	-4	-6	1.4675910775403763853e-06	6.4430137571863411181e-07	3.5214015941523389074e-07	-1.3156346350032205393e-06	-1.7023511838171990145e-06	2.3278838095017951927e-07
-6	-4	-5	1.1389156743248806658e-06	2.5463395668856425454e-07	-5.8325558635112281634e-07	-1.4814268353553018978e-06	-9.0009434010895858829e-07	8.7958072025796447633e-07
-6	-4	-4	-3.0529464499856370385e-06	1.4384970022326411996e-06	4.4215316802495846905e-06	5.3108942282743599767e-06	1.5788799472887047018e-07	-7.4686397316233224113e-06
-6	-4	-3	2.3597706337050523651e-06	-2.0553950208622820642e-06	-9.5684083785803592892e-06	-5.3367051751778556452e-06	8.0383365706970412711e-06	1.1226396941961703859e-05
-6	-4	-2	2.0827260602321925531e-06	5.5178775247522325229e-06	1.1629738738037910157e-05	-4.1234359174534276839e-06	-2.950765565677239882e-05	-8.3067607393498422009e-06
-6	-4	-1	4.0849157053374818123e-07	-7.7022781866861993877e-06	-1.0170666957838716966e-05	1.2816059331534172816e-05	3.8231718408152377928e-05	-5.0505682060194881616e-06
-6	-4	0	-6.3344744938507389175e-07	4.9699674909305540762e-06	9.5017117407761083763e-07	-7.4549512363958306908e-06	-6.3099726653750097646e-05	1.8590938008898751061e-05
-6	-4	1	3.7001445141835116543e-06	-7.3737743065319665437e-07	5.2151877047420507619e-06	-3.2524831981646990171e-07	4.306161790406927382e-05	-5.7252578631850599566e-06
-6	-4	2	-8.5210593371447441871e-06	5.0608262394641358297e-06	-2.8492147174601037366e-06	-6.5502095224407671544e-06	-3.1261607446354438341e-05	2.0820596735108731805e-06
-6	-4	3	3.9735552984167306847e-06	-3.4197844407171571207e-06	1.8791710854821099545e-06	4.3411341101024419602e-06	1.0452672044142941591e-05	-1.0513900679643913455e-06
-6	-4	4	-1.934309092695091121e-06	2.0327611189414284476e-06	-1.1816941043248958453e-06	-1.9795628150218805218e-06	-4.0831577433675325268e-06	1.0695788633902619379e-06
-6	-4	5	4.8629492578662564829e-07	-1.1312946168607082444e-07	4.0216304659021576788e-07	-3.6866729668597825165e-08	9.052843482161234346e-07	-1.6524873775816325476e-07
-6	-4	6	6.6861226415631999326e-07	-9.4845696967430575117e-07	-1.3909146770084733776e-06	8.6633630522518638648e-08	-2.5866418718266224084e-07	-8.9070121599262664991e-07
-6	-3	-6	-5.4885817812382887237e-07	-6.0072576738045469883e-07	1.8912558706960667245e-08	6.6079953105862958956e-07	5.39401898770348595e-07	2.703260018511398511e-07
-6	-3	-5	3.0066385836806265784e-06	-3.3821662484836178604e-07	-2.5273032133411442541e-06	-3.2415009608225823851e-06	-2.091584372412065511e-06	2.3507605263115833626e-06
-6	-3	-4	-2.8308106762987466597e-06	6.4432678180938602938e-06	1.1706075426471744031e-05	5.8725333750673752682e-06	-4.5333405554056890928e-06	-1.4069301758441322739e-05
-6	-3	-3	-3.5336428263813910471e-06	-1.192954084291382532e-05	-1.9894863781888643122e-05	-2.9380130591517989063e-07	2.6962149434651427757e-05	2.4152882991742828677e-05
-6	-3	-2	9.5000039989882883876e-06	1.3528974128956667536e-05	1.7422285387931091304e-05	-1.2368204532690145865e-05	-5.4633440078861505507e-05	-2.2034615587834782116e-05
-6	-3	-1	-1.3432557765386231714e-06	-1.8472514437946308512e-06	-2.1504568036986401627e-05	-1.6575074915364104821e-06	7.2573238770190940522e-05	1.6056031137377015918e-05
-6	-3	0	-3.1416238522153931072e-06	-1.0446087559471051225e-05	6.2832477044307862143e-06	2.0892175118942102449e-05	-6.2782504543390570215e-05	-4.0122491725101364784e-05
-6	-3	1	9.7695278984753459935e-06	1.0132297088713604065e-05	5.8604499474809841226e-06	-8.4540733704875693629e-07	7.619851723329503087e-05	5.8257560521135353792e-05
-6	-3	2	-2.6412092818450906898e-05	-9.323236857058521637e-06	1.2683083470942973961e-05	-6.6292496611751592476e-06	-6.0211653248938263141e-05	-3.7913585062938303359e-05
-6	-3	3	1.5634158421935901958e-05	2.3830184438537558247e-06	-2.7799376407317246701e-06	8.586570805071778374e-06	2.8488379203140078822e-05	1.3352607692779290023e-05
