# exact-gradient local quartic closure adversary; cutoff=6; objective=projective-palinstrophy-normalization-ratio; selection=double-triple-remainder; backend=direct; objective_value=8.56967e-06; constant_ratio=0; candidate_lemma_proved=false
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-6	-6	-6	1.1114808004978239884e-09	-9.8305397772817591298e-08	1.9870718737765229697e-09	1.8547364958595889813e-07	-3.0985526742743469581e-09	-8.7168251813141306834e-08
-6	-6	-5	1.8973292751615253717e-11	-3.1094936103014595998e-10	-1.9009894729943544072e-10	5.0068515006458022337e-10	2.0535078545738422182e-10	-2.2768294684132115226e-10
-6	-6	-4	-4.3303999873918342996e-10	5.6697356727320597433e-10	9.4478733885073525562e-10	-1.1318307876420143502e-09	-7.6762101016732781603e-10	8.4728583055321251206e-10
-6	-6	-3	-4.8313658601358196176e-11	-3.9939205327437254499e-11	1.1327342283510286838e-10	8.1147590333933030147e-12	-1.2991952846748933149e-10	6.3648892588087909431e-11
-6	-6	-2	-1.2123977885856728363e-10	-9.3182844880602374726e-11	1.1625053865607955614e-10	8.9277564659624067669e-11	1.4967720607463214766e-11	1.1715840662934921173e-11
-6	-6	-1	3.5437769029849420463e-11	6.5128792870719018069e-11	-6.1505275246389518905e-11	-5.7885645549206541627e-11	1.5640503729924060357e-10	-4.3458883929074890967e-11
-6	-6	0	-4.9323786856553312715e-10	1.3670602262717690384e-08	4.9323786856553312715e-10	-1.3670602262717690384e-08	-1.5059720813012794729e-09	-1.1420674351647285274e-08
-6	-6	1	-1.0941292217618209454e-09	3.6987479683206055249e-10	1.0067764074897424269e-09	-3.3789085359344992905e-10	-5.2411688563247090443e-10	1.9190365943166358554e-10
-6	-6	2	4.0555142652042677684e-09	-2.8863021696052146104e-09	-3.4153269710665323316e-09	2.4423150946327045804e-09	1.9205618824132075512e-09	-1.3319612249175300901e-09
-6	-6	3	-1.3505641138661357296e-09	4.942486681371946313e-10	1.0389168148664365365e-09	-2.6831726195354547865e-10	-6.2329459799939807608e-10	4.518628123672982536e-10
-6	-6	4	4.0992674070271938304e-09	6.9420270602863682715e-10	-1.1937143202525707266e-09	-8.8489590555977377125e-10	4.3583296301619350693e-09	-2.8603979929670536445e-10
-6	-6	5	-4.0826061100633291842e-08	2.8009159542775652628e-08	1.1431540725550311667e-07	-1.0284750344358110184e-07	8.8187215385843789798e-08	-8.9806012680966546999e-08
-6	-6	6	-4.2551364503976051116e-07	-3.2380620633315262517e-06	9.5454955389333261603e-07	6.6785977410653630504e-06	5.2903590885357221075e-07	3.4405356777338367987e-06
-6	-5	-6	2.4507452892947229051e-10	-8.0809734909764946731e-11	-1.710158944338437615e-10	2.0508668523968995997e-10	-1.0256128356793581397e-10	-9.0095836123310028524e-11
-6	-5	-5	-1.6194191180875235645e-10	3.2870335265922447223e-12	4.5691091007552799807e-10	-1.6533182212416318748e-11	-2.6258061590502511863e-10	1.2588741980505625566e-11
-6	-5	-4	-2.5377146482649800586e-11	1.5105109389914352491e-11	2.9008641798159490525e-11	-1.8079414319524158933e-11	1.8049174762753344909e-12	-5.8396185466332266589e-14
-6	-5	-3	-4.7351077559604545975e-12	-4.4351233355462495735e-12	1.4272947118183059614e-11	3.2954623193645204147e-11	-1.431802968505085629e-11	-4.605412531831617497e-11
-6	-5	-2	-1.2560537588037023116e-10	-5.9758212072882519483e-11	2.1916200646828587014e-10	1.0311104066491456851e-10	-1.7108888852960396894e-10	-7.8502965443638856358e-11
-6	-5	-1	1.1633924864238095238e-11	-4.52322602777109103e-12	-1.3761427942504418755e-11	-1.2357503710938736908e-12	-9.9640947290647886598e-13	3.3318108022095914432e-11
-6	-5	0	-5.443575032780443949e-12	-2.5249618672887729486e-10	6.532290039336533062e-12	3.0299542407465277451e-10	-5.7389729695297475683e-11	1.1473712038302404487e-10
-6	-5	1	-1.1387298327471827473e-10	-4.012976336059693203e-12	1.2889803961238372873e-10	5.6530558869799039249e-13	-3.8747701586391062895e-11	-2.1251330072868210689e-11
-6	-5	2	3.9752897293985964406e-10	-2.5563258319338849265e-10	-1.9900616919921137855e-10	1.1745369542978791084e-10	6.9507149582155051166e-10	-4.7326351100569570085e-10
-6	-5	3	1.8326576846804439824e-10	-7.0116984871241166457e-11	-1.7035521736829970425e-10	1.0214316566397354186e-10	8.2606174655589285103e-11	3.0004639697473557259e-11
-6	-5	4	-4.8307130334921769071e-11	-2.4534472840890554148e-11	4.0741778248767115387e-10	1.4242297919841385391e-10	4.3681153260720629519e-10	1.4122701473668147809e-10
-6	-5	5	9.8250031508783533739e-10	-5.0186753698098143599e-09	8.2326424802580858327e-09	-6.2690024757650528614e-09	9.4116428583634888166e-09	-1.2291412919536829762e-08
-6	-5	6	-1.8836530803340308689e-08	-1.2198613072944844198e-08	3.4895204864717633293e-08	3.3862965053107274017e-08	1.0242806583924384067e-08	1.602052447131121638e-08
-6	-4	-6	3.9139278890069522851e-11	-1.7805396273995844412e-10	-5.2316625957194635097e-11	1.7538982347012957706e-11	-4.2615282519397685432e-12	1.6636130784194981211e-10
-6	-4	-5	-6.0369918387614600851e-12	5.2198204377354315531e-12	-1.5645359436514710728e-11	2.4371410015602472415e-12	1.9760677755725521331e-11	-8.213497326530715657e-12
-6	-4	-4	5.2251945970565830689e-11	-5.0281730621305875618e-11	-8.363139011841792355e-11	8.3850485206477996049e-11	5.2534711625691750935e-12	-8.4278892745191842381e-12
-6	-4	-3	1.7633678335567827958e-11	2.199827120483535739e-11	-7.4068008046743274859e-11	-8.24971041438082913e-11	6.348998739118870841e-11	6.5999596448740342441e-11
-6	-4	-2	-1.6734633726383253387e-10	-6.1640343098466912049e-11	4.8337064839497953704e-10	1.7837204482234834382e-10	-4.6470228499846144661e-10	-1.7182306034929589979e-10
-6	-4	-1	1.4199248060568048793e-11	1.787397778348844835e-11	-1.720491435185301799e-11	-2.8362715328951127416e-11	-1.6375830955996217568e-11	6.2069946148738066388e-12
-6	-4	0	-4.5662321697203279554e-12	-9.624375460277962207e-11	6.8493482545804927408e-12	1.4436563190416942018e-10	5.2296287177603663556e-11	7.4207765664631538293e-12
-6	-4	1	1.6037930280282319411e-13	3.7644887953219307359e-11	-9.9369517423520574732e-12	-2.4883255004810595553e-11	-3.8785531152591288355e-11	1.2633630770007347487e-10
-6	-4	2	5.9926946516453150708e-11	-3.8202109796321389848e-11	-1.8758908950453964763e-10	1.3559182526052413402e-10	-1.9539733945971983022e-10	1.5657732113208411143e-10
-6	-4	3	2.2817084428928989648e-11	-3.0911761600716372804e-11	-8.3600242533594100679e-11	1.0440559633256846475e-10	-6.5832821186934146325e-11	7.7383938575325190154e-11
-6	-4	4	-8.2326485439147959374e-11	-3.262427591501395745e-11	6.0699090874564637262e-10	1.9382275668005387167e-10	4.8350118058692447233e-10	1.448863428075329258e-10
-6	-4	5	1.5003269457874121509e-11	-7.4462502886902630069e-11	-2.9343039783203938555e-11	5.3628503604929636579e-11	-5.4705084771142060031e-12	-4.6452200580339444234e-11
-6	-4	6	-4.853213887736992863e-09	-2.7407835324474032756e-08	1.3402108284340259628e-08	7.4598003234406456859e-08	4.081524968489847165e-09	2.2324166831796934072e-08
-6	-3	-6	-1.8283785252953706539e-11	-4.6726786997401563713e-11	7.3381007141468592575e-11	1.6418905055852996416e-10	-1.8406718317780586517e-11	-3.5367738281863418368e-11
-6	-3	-5	-1.2428798892096504405e-12	-1.4312024584171445472e-12	-2.3530303572976861683e-11	9.4348348068704838532e-12	1.5609638010837697135e-11	-3.9434579340217170977e-12
-6	-3	-4	-1.3506718155365692845e-10	1.1941277149968350482e-10	-8.8225335151444776156e-13	5.8585422792264113802e-13	2.0326246234412123948e-10	-1.7955854792046724343e-10
-6	-3	-3	5.0740528216284911768e-12	-1.0667752655233555552e-12	-3.2359280936117621211e-12	9.4285260156319692749e-12	-6.9121775496452206364e-12	-7.2949754845852577605e-12
-6	-3	-2	2.1749292081806573708e-11	4.3602432902446833059e-12	-3.572402319780982901e-11	-3.9289513332024005958e-12	-1.1661841448704985688e-11	-7.18730287093044862e-12
-6	-3	-1	-7.152883845509874523e-12	-4.0658236313622370319e-11	1.3609612300479122883e-11	7.191932533338664165e-11	2.0884661716218792967e-12	2.819144188157430989e-11
-6	-3	0	-6.084112784777233238e-13	-2.8379877538118133964e-11	1.2168225569554466476e-12	5.6759755076236267929e-11	-4.2795122513105593293e-12	-8.1385572990434418615e-11
-6	-3	1	-1.8655925894594888969e-12	1.1083979705028802954e-11	1.8680561747696169437e-11	-1.2588887538013662884e-11	4.4848129706331571699e-11	2.8737215616131825838e-11
-6	-3	2	-3.717459686778396488e-11	3.4900198248494628285e-11	-2.3453150970285233119e-11	2.5495954706026663572e-11	-1.4670351705877974109e-10	1.4294452680452389152e-10
-6	-3	3	1.2697791238799690237e-11	-8.9875380505658399829e-12	9.2446877453636819238e-12	1.4290193740387379604e-11	3.4640270222963060783e-11	-3.684882360744299554e-12
-6	-3	4	-2.3239027507993118188e-10	-5.9053094283482519883e-11	5.5891493183040100306e-10	8.17009822373248881e-11	7.0600786252903992397e-11	-2.7303904747230120212e-11
-6	-3	5	-1.3779765506402233373e-10	1.0361665863255320517e-10	-1.097147240958546215e-10	1.0043827429816447973e-10	-2.3118602053433958113e-10	1.8460295493796253404e-10
-6	-3	6	2.0284114070892208076e-09	8.3350902630402538789e-09	9.9146353851206522195e-11	4.5778088648270765946e-10	2.0779845840148241139e-09	8.5639807062816065196e-09
-6	-2	-6	3.9408367453335995753e-11	5.9583409382414282063e-11	-1.3950380979324377472e-10	-3.0645422286175369245e-10	7.0929024777452557547e-12	4.256799823817028424e-11
-6	-2	-5	1.2034674702919422437e-11	-7.1910306416300383501e-12	-9.3268998384183539282e-12	6.7929379084784271303e-12	-1.0710849708135966322e-11	5.9120616065646748449e-12
-6	-2	-4	-8.3927492205498229469e-13	-1.1304119474922369222e-11	3.389302680885206807e-11	-2.3561853280955123735e-11	-1.56876010213435613e-11	2.8737105852861114893e-11
-6	-2	-3	9.0359546254526048454e-13	6.0618315310452284768e-12	-1.305720620907084895e-11	-1.7873429093078069423e-11	6.8976132142900454686e-12	-2.0804366670507660586e-13
-6	-2	-2	-7.0953145787168653449e-10	-9.9599455778971853684e-11	2.2890204489097115979e-09	6.6496629975541622705e-11	-1.6042607529465207202e-10	2.3230173736137393835e-10
-6	-2	-1	1.0252073352143799986e-10	1.1377461444357959671e-10	-1.3197835359410057273e-10	-3.334323338524917982e-10	-3.5116769394042682787e-10	-1.578301895649394834e-11
-6	-2	0	1.2416903886683466235e-08	3.5370132943784796757e-08	-3.7250711660050395396e-08	-1.0611039883135438365e-07	6.6628644641104353097e-10	2.5989714188661110411e-09
-6	-2	1	6.8484978961400796794e-11	-3.2594715860909149435e-11	-2.1964546395386568567e-10	3.5200703413912975137e-11	-2.8381054139326613191e-11	-1.2516688833762894634e-10
-6	-2	2	-2.0196026920279042276e-10	2.3049476257757443557e-10	3.2181368190403944031e-10	3.0227561767811575011e-10	-2.8406712570433187966e-10	9.9375990541083908266e-10
-6	-2	3	9.5326673988532983843e-12	-4.757565337738965963e-12	-2.8644192124970167943e-12	2.3187942990109800023e-11	1.7155721989375253855e-11	5.9434979845952691666e-12
-6	-2	4	-1.7946775514237988929e-10	-2.9011801044423590408e-11	7.956526960703276638e-11	6.3126305441022630661e-12	-2.2941899791005346367e-10	-4.0361386294584253676e-11
-6	-2	5	7.8375253615284733171e-13	-5.3901715413213445339e-11	-2.123093587378441492e-11	5.5177751539702221472e-11	-7.5518713061303487662e-12	-4.2610957879975245818e-11
-6	-2	6	-6.6629214718142031423e-11	-1.889748127967164878e-10	3.0044797824102713377e-10	6.0524402549094494037e-10	3.3520111362200337883e-11	1.2773195700265140144e-11
-6	-1	-6	-5.1018922744014510223e-10	-1.5711209192409194224e-10	6.5805351151587207689e-11	5.2212269565537372653e-11	4.9922166891488053961e-10	1.4841004699650238552e-10
-6	-1	-5	-3.5046897267323709871e-11	-6.6014607806932992396e-11	-3.0562809409330314947e-11	7.5867517507068216733e-11	4.8168838602654514835e-11	6.4044025866905957868e-11
-6	-1	-4	-6.9935917440449681308e-12	1.8354455745004241982e-12	-1.2532550914763539024e-11	1.6222174170109112592e-11	1.3623525344758337356e-11	-6.8087119042779138393e-12
-6	-1	-3	-3.8762619971307449453e-12	-1.1660692136486837124e-12	-1.0002731732349905251e-10	-4.1939198096867762848e-11	4.1094963102094507934e-11	1.6311871126253288374e-11
-6	-1	-2	-9.6209756855517750275e-11	-1.1605314710080429104e-10	1.778634012785549495e-09	5.5240680788085468921e-10	-6.006877358262214579e-10	7.1956037361985567281e-11
-6	-1	-1	-2.8733236000744270952e-10	-1.472137727315174924e-10	1.3548763404106304583e-09	7.6286071025889434763e-10	3.6911781963402579886e-10	1.2042192613021055507e-10
-6	-1	0	-9.8111292433702482867e-09	-2.1122128184187109156e-08	5.8866775460221486411e-08	1.2673276910512264832e-07	-1.2438487058172575074e-08	-2.7037337777708634905e-08
