# exact-gradient local quartic closure adversary; cutoff=4; objective=projective-palinstrophy-normalization-ratio; selection=double-triple-remainder-without-123; backend=direct; objective_value=1.47624e-07; constant_ratio=0; candidate_lemma_proved=false
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-4	-4	-4	9.3610077180932651814e-06	-0.00017866637732066891799	-1.3502118824293958088e-05	0.00014023196396720057012	4.1411111062006929066e-06	3.843441335346836819e-05
-4	-4	-3	4.114869127100020561e-05	-8.5650816850269724805e-05	-4.4476043677328524096e-05	-4.4720350871685608603e-06	4.4364698751044229539e-06	0.00012016380258325104642
-4	-4	-2	-2.3311458508401064347e-05	1.0451210460999019696e-05	-6.9742143397609969484e-06	5.5686844367089229719e-05	6.0571345696324119202e-05	-0.00013227610965617649205
-4	-4	-1	-1.1395823178046508275e-05	-8.9225867648731958635e-06	5.5200417941792273788e-06	5.0886335561512784309e-06	2.3503125535469126975e-05	1.533581283488766973e-05
-4	-4	0	1.4581807443023426268e-05	0.00010983429699201738348	-1.4581807443023426268e-05	-0.00010983429699201738348	6.4023459197227124725e-05	0.0001425184088855717293
-4	-4	1	-1.1683319714324393032e-05	7.7927592537022517799e-06	4.7906678087436473275e-06	-1.5115199804022868473e-05	-2.7570607622322979431e-05	-2.9289762201282466771e-05
-4	-4	2	-0.00014686081501990915985	-1.8092797034601380956e-06	0.00018348783137614717927	3.178855754797604399e-05	7.3254032712476025292e-05	5.9958555689031814754e-05
-4	-4	3	-0.00013828721111415768954	-2.2192425767534496733e-05	0.00021603517690671169269	1.8200126026862436873e-05	0.00010366395439007199065	-5.3230663208960800963e-06
-4	-4	4	0.00042210115134280398741	-5.801129547879390919e-05	-0.00040735878206254246426	3.9798353014538954367e-05	1.4742369280261518068e-05	-1.8212942464254951435e-05
-4	-3	-4	2.0148430882187888085e-05	2.7706872989205552835e-06	-0.00012958687442368241739	-0.00014877836699833134663	7.7041724935573914794e-05	0.00010881308794982795215
-4	-3	-3	-2.9280172197178842841e-05	-9.7195320802759686043e-06	1.8639758772101531911e-05	3.0060632405976459941e-05	2.040047082413692521e-05	-1.7101256298941835135e-05
