# exact-gradient local quartic closure adversary; cutoff=12; objective=projective-palinstrophy-normalization-ratio; selection=double-triple-remainder; backend=direct; objective_value=8.57244e-06; constant_ratio=0; candidate_lemma_proved=false
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-12	-12	-12	1.602546173659187844e-21	-4.2090458796533841279e-21	-9.9263304382964983214e-22	2.8855165267021578767e-21	-6.0991312982953801188e-22	1.3235293529512264392e-21
-12	-12	-11	-1.4857268970663496865e-20	-4.8390001036466006794e-20	1.4741889608181345029e-20	7.2416410465399620151e-20	1.2586839543507660138e-22	-2.6210628467927579028e-20
-12	-12	-10	-3.873359221174581766e-20	9.9530466050257162512e-21	1.4967532562197735396e-21	-1.0909863384574872017e-19	4.4684206746631255578e-20	1.1897470468886758725e-19
-12	-12	-9	-2.9140427201345265307e-18	3.5486919736043877573e-18	2.1020020591733006849e-18	-4.4030291844403805355e-18	1.0827208812816343327e-18	1.1391162811146575512e-18
-12	-12	-8	-8.5639000880417376215e-18	-3.9360240456398545913e-18	1.0574727480414562919e-17	4.9932389834456051888e-18	-3.0162410885592364048e-18	-1.5858224067086258963e-18
-12	-12	-7	3.6686307783329900551e-16	-6.1586312327915440814e-16	-3.7754617215269495442e-16	6.2106744196339247536e-16	1.8313875976107340114e-17	-8.9216891729794610555e-18
-12	-12	-6	3.6074811877469956845e-16	-2.2995415660357052485e-16	-4.8768609379708765546e-16	3.2475872865673268701e-16	2.5387595004477612472e-16	-1.8960914410632425037e-16
-12	-12	-5	-1.8888073288556256225e-18	-8.8805099635898613553e-17	1.0782427772605895894e-17	1.0595686758648956041e-16	-2.1344689065000648036e-17	-4.1164243081418282324e-17
-12	-12	-4	2.1477135730136392604e-16	-1.0976458005704012503e-16	-2.2206575285190868338e-16	1.0485852263341516307e-16	2.1883186651634222717e-17	1.4718172270874888954e-17
-12	-12	-3	-1.2166221008337652616e-12	-3.274496860048373624e-12	1.0302763269096127107e-12	2.8533713032426977775e-12	7.4538309569661050623e-13	1.6845022272227039918e-12
-12	-12	-2	-4.6842976022150628271e-13	3.2458376464729651661e-13	4.715189867856254522e-13	-3.2154897445003736993e-13	-1.8535359384715250418e-14	-1.8208741183554940058e-14
-12	-12	-1	4.1883838900961157369e-13	-3.6706480652479370175e-13	-4.1890084182324431636e-13	3.6346643459127307254e-13	7.4943376359255662063e-16	4.318046320224719708e-14
-12	-12	0	-1.8910887636849761782e-13	-3.212094097971172377e-13	1.8910887636849761782e-13	3.212094097971172377e-13	-1.0915210088187364984e-14	-2.4893831302812194291e-14
-12	-12	1	-1.0307466128916806867e-13	2.572590640712892376e-11	1.8377678489977792806e-13	-2.5489410543896380923e-11	9.6842548332731826226e-13	2.8379503587905491814e-12
-12	-12	2	8.3027917756245082567e-12	-1.549806828745464748e-12	-8.0345240978764604804e-12	1.3509418600179799101e-12	1.6096060664882921105e-12	-1.193189812364909835e-12
-12	-12	3	-2.440009933366341982e-12	-7.454909505358312331e-12	2.1803347141121602255e-12	6.4723907194491084372e-12	-1.0387008770167256123e-12	-3.9300751436368163831e-12
-12	-12	4	-2.2352660618060773722e-15	4.1949634873246508099e-15	2.2812066196635871734e-15	-4.2935075687901164069e-15	1.3782167357253034032e-16	-2.956322443963969881e-16
-12	-12	5	-5.1125818339861729312e-15	-6.7357698659199485054e-15	4.9004231636948693546e-15	6.1313336069761876029e-15	-5.0918080869912988546e-16	-1.4506470214650264817e-15
-12	-12	6	-2.8723831990705472798e-15	2.0427428147980928104e-14	4.71679955006476758e-15	-2.7477703749216233652e-14	3.6888327019884413893e-15	-1.4100551202470614252e-14
-12	-12	7	-1.7344195547714507949e-15	-8.7457743452128771963e-16	1.9468809917594584158e-15	1.3190744751604841247e-16	3.642196062651556961e-16	-1.2731485491518386996e-15
-12	-12	8	-5.5827410274194761211e-15	2.0540998606383928018e-15	4.914480799555832647e-15	-1.2453088821496372101e-15	-1.0023903417954652112e-15	1.2131864677331331903e-15
-12	-12	9	1.6237711501225483049e-15	-1.9300011346981064783e-15	-1.6590551585575848614e-15	2.0415535300304693263e-15	-4.7045344580048789253e-17	1.4873652710981700729e-16
-12	-12	10	-1.6576671949481523996e-15	2.0035971962560562024e-16	8.638057890736332407e-16	-4.3252320940253267731e-17	-9.5263368704942314843e-16	1.885288784224228304e-16
-12	-12	11	5.6561568180965580806e-19	-3.7216105532170306148e-19	-3.7063748224547407692e-19	6.0214766997564823934e-19	2.1270349043365281073e-19	2.508944887133947351e-19
-12	-12	12	-4.388863771163892378e-19	-5.5392314700372368365e-18	3.8208688929880819713e-19	1.1346942561777203691e-17	-5.6799487817581016595e-20	5.8077110917399676245e-18
-12	-11	-12	2.9550927541312408872e-21	-2.81981031931096826e-21	-4.5761479381820880522e-21	1.382476385925391107e-21	1.2397095225356727218e-21	1.5525402988793598393e-21
-12	-11	-11	-8.5813074997899127554e-19	-5.3403472238675735513e-19	3.7874620514323813634e-19	2.4547642307675004024e-19	5.5739643119747959691e-19	3.3710691043607620913e-19
-12	-11	-10	3.8992232168738858717e-19	-6.9542029843751828701e-19	-3.7868944699941907118e-19	7.0905462760874611284e-19	-5.1348394325505326305e-20	5.4544267755401268435e-20
-12	-11	-9	-3.4336313414661155902e-18	3.8713156761805319371e-18	9.8707105853745235276e-18	-1.0193238070854963173e-17	-7.4860267046140423296e-18	7.2966478516931358267e-18
-12	-11	-8	-2.0405722694111287988e-18	1.5976851889479482106e-18	-1.7770575723700395007e-17	-7.6740982889063174229e-18	2.7495400024204735562e-17	8.1553573638242641406e-18
-12	-11	-7	1.2570453776608899355e-17	-1.3123480303123851967e-17	-2.4795453832415416613e-17	1.7383010929366321968e-17	1.7414935262466112925e-17	-4.8187652265061889536e-18
-12	-11	-6	-1.5176417217160818807e-16	9.0638656262005094782e-17	2.4888861949146386381e-16	-1.9478968355161091282e-16	-1.5276745805780069108e-16	1.7583710732060979262e-16
-12	-11	-5	2.2126648986794509579e-14	3.1088172138936969761e-14	-2.5966713954197319368e-14	-3.6515003038333751202e-14	4.0228131309272774113e-15	5.7213935508855182762e-15
-12	-11	-4	5.9889294781299698904e-15	-2.2796350611403503098e-15	-6.7084109992582761943e-15	2.539560317216510345e-15	4.8134181357034848244e-16	-1.4488568892435283996e-16
-12	-11	-3	1.5346442882213555159e-14	-1.7713516192777444196e-14	-1.7555974030478271027e-14	1.9748885446901800618e-14	2.9861332495661092226e-15	-1.5585152008634806456e-15
-12	-11	-2	6.3447648724497071595e-13	1.9473851353558699661e-13	-6.5829403177655783314e-13	-2.0041894063105243127e-13	-1.8624174869875651632e-13	-6.6126907742733607686e-14
-12	-11	-1	2.8280961506930074487e-13	-4.4912273027982652954e-14	-3.2007473645242056326e-13	5.0042578302118249543e-14	1.2710672014501703019e-13	-1.1521084987508923728e-14
-12	-11	0	1.4252570898376060623e-14	1.839844464379662818e-14	-1.554825916186479312e-14	-2.0071030520505414281e-14	-1.3211520398029133664e-15	1.3332978256441197087e-15
-12	-11	1	1.7742021529065049506e-13	-1.35625052584845199e-13	-1.9079522572931379658e-13	1.4497284814695540051e-13	3.0295100465354329775e-14	-3.2799301401632830901e-14
-12	-11	2	-1.9630594000422732662e-11	1.1340657945929994044e-10	2.0368558916273810784e-11	-1.1715651804074234703e-10	-5.7564899630304423104e-12	3.6078627531716824418e-11
