# completed local quartic closure restart checkpoint; cutoff=12; restart=0; seed=10822922891966284999; objective=projective-palinstrophy-normalization-ratio; selection=double-triple-remainder; optimized_objective=4.04739161250783781e-07; refined_objective=0; accepted_steps=1; candidate_lemma_proved=false
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-12	-12	-12	2.5905049595842628576e-08	-2.4091765983591055851e-08	2.4996168951009871936e-09	-1.5251346962152139463e-09	-2.8404666490943616183e-08	2.5616900679806268143e-08
-12	-12	-11	-3.365422485460427374e-08	4.8367681391791272433e-08	8.816771082223723494e-09	1.0265020679661409656e-09	2.7095404115324232421e-08	-5.3884563774280816347e-08
-12	-12	-10	2.2132054062393520505e-09	-1.2736484109049129079e-07	-1.487493440866576888e-08	2.165417613513757174e-08	1.5194074802911699865e-08	1.2685279794642446419e-07
-12	-12	-9	6.2045516372059463376e-08	1.7200137691815353284e-07	2.2724555953253989465e-08	-6.436450657212202732e-08	-1.1302676310041793712e-07	-1.4351582712804198089e-07
-12	-12	-8	-2.078873766181821428e-07	-2.2028932879520630343e-07	-3.8562977526417391329e-09	1.2454905323146445117e-07	3.1761551155623581918e-07	1.4361041334561275192e-07
-12	-12	-7	2.9273610578561889486e-07	2.6256105746048253929e-07	-1.038739763776900323e-07	-2.5556786748875897118e-07	-3.2376365041359235851e-07	-1.1988325665811848535e-08
-12	-12	-6	-4.3824113849080771988e-07	-1.7397748549821499484e-07	1.4962750173512540069e-07	2.9650458570760226868e-07	5.7722727351136469132e-07	-2.4505420041877449475e-07
-12	-12	-5	4.3191386140006073923e-07	1.0834379176173167717e-07	-2.2088469259584342427e-07	-2.9785615130631480999e-07	-5.0647000513012149237e-07	4.5482966290699953994e-07
-12	-12	-4	-5.0096533020527998876e-07	2.3999866020722121871e-08	3.9403157579431328347e-07	2.0450176710843444701e-07	3.2080126323290006294e-07	-6.8550489938746974303e-07
-12	-12	-3	5.2874270716372091501e-07	-1.2254823777923050691e-07	-5.195863659454950798e-07	-7.5592281868033970893e-08	-3.6625364872903407e-08	7.9256207858905785826e-07
-12	-12	-2	-4.871749378953872024e-07	1.8261564896506020473e-07	5.3744435809399451145e-07	-4.5342716820488714686e-08	-3.0161652119164390723e-07	-8.2363759286742890056e-07
-12	-12	-1	4.0000857544082936275e-07	-2.1960460104445450784e-07	-4.3972399256859442204e-07	1.6707630852987489249e-07	4.7658500553318081742e-07	6.3033951017495538415e-07
-12	-12	0	-3.6429722765166601477e-07	2.3682393076979980926e-07	3.6429722765166601477e-07	-2.3682393076979980926e-07	-5.4636423736869421903e-07	-3.7070813154633959807e-07
-12	-12	1	3.4368659794173987937e-07	-3.4474653963347291771e-07	-2.996573537641842886e-07	3.6178936955971741255e-07	5.2835093013066708923e-07	2.0451395911493399091e-07
-12	-12	2	-3.8553937224980647536e-07	3.9144494957280917639e-07	3.0519542423937228218e-07	-3.9925800040485606066e-07	-4.8206368806260515911e-07	-4.6878304992281378425e-08
-12	-12	3	1.7711286179129770735e-07	-4.2102824175243294994e-07	-1.0033000823824362199e-07	4.1258491129763920484e-07	3.0713141421221634142e-07	-3.3773321819174980399e-08
-12	-12	4	-1.0103963160346832713e-07	3.7186769467532809945e-07	3.4540726608633687979e-08	-3.5089405979587289269e-07	-1.9949671498450393069e-07	6.2920904638365554099e-08
-12	-12	5	-7.1941191684249192735e-09	-2.2954973497674566899e-07	6.6712677799179281075e-08	2.0329513838394141938e-07	1.4284454071381047229e-07	-6.3011031822730183177e-08
-12	-12	6	4.0427390843498868255e-08	1.9226490264210774835e-07	-6.5697989629498948483e-08	-1.4552121576223590544e-07	-5.0541197572000153839e-08	9.3487373759743712299e-08
-12	-12	7	-4.3347576198531667736e-08	-1.3043458351697423676e-07	3.8531227959996681284e-08	1.0072397077882315041e-07	-8.2565969803456920065e-09	-5.0932478979687547296e-08
-12	-12	8	5.1120587482603105448e-08	8.3799911439364119985e-08	-3.7448890277674504258e-08	-5.4503557287432561291e-08	2.0507545807392901785e-08	4.3944531227897331423e-08
-12	-12	9	-2.564697737042581226e-08	-3.6491800813887723397e-08	1.6327425921504879102e-08	2.4103466043667811315e-08	-1.2426068598561245314e-08	-1.6517779693626543929e-08
-12	-12	10	2.1940485322575380958e-08	2.3552608085244155027e-08	-6.2921168948989717836e-09	-1.2528513390074361672e-08	1.8778042113211688693e-08	1.3228913634203750702e-08
-12	-12	11	-6.5069554691283562785e-09	-8.4566401011737795252e-09	5.8811927453107928094e-10	3.7849968110495947095e-09	-6.4569122122879388812e-09	-5.0963381346809285891e-09
-12	-12	12	7.5413292463382925145e-09	5.1634809478850695027e-09	-1.8481186787571629254e-10	-1.3476144451894294399e-09	7.3565173784625769457e-09	3.8158665026956406832e-09
-12	-11	-12	5.4662978691353397689e-08	-4.4359782359142258983e-08	1.614867534556241701e-08	-3.4842522837091532035e-09	-6.9465931091452277191e-08	4.7553680285875645387e-08
-12	-11	-11	-6.7729444949290265053e-08	1.3264308130998555868e-07	-1.1016864759886010429e-09	1.9520006394532330341e-08	7.4988353693396158707e-08	-1.6422154964178929863e-07
-12	-11	-10	1.192814055096667831e-08	-2.4918867447090910932e-07	-3.2404711205863372412e-08	2.7101610875757559839e-08	2.1331413665289697005e-08	2.6921463740175762562e-07
-12	-11	-9	1.485617671766030399e-07	3.6842089828957270648e-07	5.6521714712472614611e-08	-7.2160456389916839259e-08	-2.6716445199515949238e-07	-4.0303175102064301556e-07
-12	-11	-8	-3.3067081439546980694e-07	-4.4294207174374168942e-07	-4.6952981707687941772e-08	2.2561723607870332066e-07	5.6056657144127562952e-07	3.5418940800739549137e-07
-12	-11	-7	5.6901631188920254323e-07	3.8418129237046724149e-07	-8.2022702568813309473e-09	-2.9258644692139431394e-07	-9.6256725283496241699e-07	-1.9881779890146699923e-07
-12	-11	-6	-7.0181516135621657244e-07	-2.2040992097717794558e-07	1.3011724687305802668e-07	3.5651063362787272846e-07	1.1650820367784935043e-06	-2.127829863634107865e-07
-12	-11	-5	8.8095719753382776311e-07	3.8831338396871014737e-08	-3.0652573869143906025e-07	-4.8644159051737101057e-07	-1.4399406489600206142e-06	9.7697628698572578259e-07
-12	-11	-4	-7.6448228451277537683e-07	1.0203511078586679442e-07	4.6035749628896073398e-07	3.7576097603534262627e-07	1.0274637387436839929e-06	-1.3394480164547926849e-06
-12	-11	-3	7.3977045206759583449e-07	-2.3353447719738010576e-07	-6.5130501360466282258e-07	-2.5073530315937961413e-07	-5.709634250532860042e-07	1.8535006870405789906e-06
-12	-11	-2	-7.0370241560390718155e-07	2.9840809473242177071e-07	7.5276267584523399595e-07	1.4285300142682152248e-08	8.2019776474656005734e-08	-1.8690177191792823855e-06
-12	-11	-1	5.9428062291676893634e-07	-4.1310695485079910703e-07	-6.833516471185032248e-07	2.7991549504990612024e-07	3.8550064330230918971e-07	1.8782130126606222264e-06
-12	-11	0	-6.3844922235410512758e-07	3.7334690008271083085e-07	6.9649006074993286645e-07	-4.0728752736295728927e-07	-7.0538320198728879055e-07	-1.5764049727320354042e-06
-12	-11	1	6.5774926216919138347e-07	-4.350589466326250533e-07	-6.3311034829875844775e-07	5.8560656869930177741e-07	9.2877731474395399405e-07	1.2209648961008184883e-06
-12	-11	2	-7.6934724396654140313e-07	4.5098907626892097029e-07	6.6504922013440127768e-07	-6.3393408543560898855e-07	-9.5831275306004128569e-07	-7.8070301228232393295e-07
-12	-11	3	4.51442651188979462e-07	-5.4397515972693891528e-07	-2.3104131909139774334e-07	7.0543656094615783596e-07	9.586191014207927979e-07	4.1070008456148975504e-07
-12	-11	4	-3.0333266356008050096e-07	5.0218696359642106462e-07	8.2718507561422568943e-08	-6.2503278195949886737e-07	-6.8252209488632947801e-07	-2.1227925959935861198e-07
-12	-11	5	1.7890903453029484496e-07	-4.849548690758894852e-07	7.7401862291225170086e-08	5.446375140058666232e-07	5.9966577991340307092e-07	3.4310845030771690083e-08
-12	-11	6	-1.1111272277725142944e-07	3.0521138714690581441e-07	-2.8845532382167487018e-08	-2.9522704254898412298e-07	-2.7510892158847659996e-07	6.9173196287340710236e-08
-12	-11	7	4.729680957970595296e-08	-2.0835049211517143467e-07	5.6207365832075671077e-08	1.6427957118352352333e-07	1.6940610558704339586e-07	-9.9018660337614050508e-08
-12	-11	8	-1.8535588337482743958e-08	1.4602802767784810282e-07	-2.7463267378803442229e-08	-9.1360623044617899469e-08	-6.5565375152078851896e-08	9.3421184830422517651e-08
-12	-11	9	-6.2882182992182697575e-10	-9.4080223972142222553e-08	2.6161118424841385055e-08	5.7177387212696965061e-08	3.1136271190465924969e-08	-5.5556825369560011253e-08
-12	-11	10	3.7566838117393673839e-09	4.7456253638017101521e-08	-1.3452614284013579153e-08	-2.7369212862638258606e-08	-1.0289855138327696539e-08	2.6841370216718432726e-08
-12	-11	11	-7.0528499734179782966e-09	-2.6263870317791380599e-08	7.0481079894356795131e-09	1.0051943663525414508e-08	-6.4591016338393259127e-10	-1.859955122861063916e-08
-12	-11	12	3.1494679580208408207e-09	1.1088243775420673582e-08	-7.7343770740839702854e-10	-3.7039975832791234499e-09	2.4404833928964769726e-09	7.6929126574148098679e-09
-12	-10	-12	1.9694831827853369527e-07	-1.0067248121672674769e-07	3.1623377015063073844e-08	-2.0745502732745868154e-08	-2.2330113245775293451e-07	1.1796040016068163451e-07
-12	-10	-11	-2.0838300664950482673e-07	2.6123037459110733945e-07	2.4812291199645461404e-08	2.8123254811753473771e-08	2.0477028798160028617e-07	-3.1054518574643845602e-07
-12	-10	-10	1.3409831004664705764e-07	-5.4614644074805572488e-07	-7.5479690228322176555e-08	-1.094736916919828273e-08	-8.5438281827654276736e-08	6.6632309806686521942e-07
-12	-10	-9	9.1053782973448279474e-08	7.462883993785205054e-07	1.4699249375023816319e-07	-7.0411603489781738426e-08	-2.8473003702041789905e-07	-9.1681608418271438607e-07
-12	-10	-8	-5.60809900273805847e-07	-9.6601832017840134914e-07	-1.9640980228247965752e-07	1.7712479885493047201e-07	1.0867271032638082696e-06	1.22762148169893898e-06
-12	-10	-7	1.0406976150534115408e-06	9.0921207669878628646e-07	1.2217873855754366245e-07	-4.5957180615131858977e-07	-1.9585941094594822273e-06	-9.0211812269603566367e-07
-12	-10	-6	-1.4079588073399381209e-06	-6.0784095606382525181e-07	2.0700287110192056223e-07	6.1015459484353219602e-07	2.470912829510008894e-06	1.987575873884301681e-07
-12	-10	-5	1.4645186177351263425e-06	1.7154620979835193564e-07	-2.055384184909495919e-07	-6.4428182278236668133e-07	-3.1037678455824041546e-06	8.7685274204868863241e-07
-12	-10	-4	-1.6974171717710422037e-06	2.4846196549857251018e-07	7.0173500543010111752e-07	8.2089167931887745431e-07	3.3379140017378738173e-06	-2.7976150947929109546e-06
-12	-10	-3	1.4289262803117541057e-06	-3.7641703468524713229e-07	-1.0062863092820770041e-06	-6.2011326074576394362e-07	-2.3614174236400927936e-06	3.5727123412268683412e-06
-12	-10	-2	-1.2040877420010997059e-06	7.2020247517212088847e-07	1.2078209422416132375e-06	8.920632885703387539e-08	1.1854217407985322595e-06	-4.767246495317894496e-06
-12	-10	-1	1.0062435247184208553e-06	-5.3586821634476181903e-07	-1.1980783921945880143e-06	1.7987297409731230364e-07	-9.4138374675169246646e-08	4.6316888551640185802e-06
-12	-10	0	-1.0874767632117822231e-06	4.522578449029650363e-07	1.3049721158541386677e-06	-5.4270941388355802238e-07	-1.0366214468420572955e-06	-4.466139090158149974e-06
-12	-10	1	9.9324400509537097484e-07	-2.4293543487616805887e-07	-1.0433608697753236369e-06	6.5075769063485788756e-07	1.4853193633912144824e-06	3.5923516878345619574e-06
-12	-10	2	-1.1409649049190800036e-06	2.8806496313111339832e-07	9.9137421189276393006e-07	-9.2603152209720868061e-07	-1.888918370050660795e-06	-2.901767831699363119e-06
-12	-10	3	9.4479392061213388669e-07	-2.6471782813192047126e-07	-6.6393930561961092216e-07	9.1822052055233097413e-07	1.5660446637164992807e-06	2.0018637559800880287e-06
-12	-10	4	-9.1833482811074149331e-07	3.6127862002713669889e-07	4.5506820669479832466e-07	-1.0163245422584106903e-06	-1.6173339675952287212e-06	-1.456975495564616629e-06
-12	-10	5	6.2272064297375501179e-07	-3.1923882312579117942e-07	-2.1874697738370903783e-07	8.5038789554418623727e-07	1.0570355883695940691e-06	9.3460261558647351687e-07
-12	-10	6	-4.5083471012627504334e-07	2.9178120013818045006e-07	1.1264196070068390247e-07	-5.6599966413380030024e-07	-7.1393281908474363108e-07	-3.5977037327997284537e-07
-12	-10	7	3.0540081748906577997e-07	-2.026274372405735587e-07	5.1019466070171562508e-09	3.3229559062053911132e-07	5.3083275370556582238e-07	1.2734666561692976135e-07
-12	-10	8	-2.043708089710603975e-07	1.3327026947161881093e-07	-2.399411489127834151e-08	-1.9606438179167763049e-07	-3.3654885707068851487e-07	-4.5175073032168821721e-08
-12	-10	9	1.1053937143490658244e-07	-7.2896558003704967373e-08	1.5899580393817157796e-08	8.7477819342384550472e-08	1.6505202901745008361e-07	2.1663754873218812401e-12
-12	-10	10	-7.1813093748019893565e-08	5.6915305555782784318e-08	-3.6213888382119798759e-09	-4.6024155514035134756e-08	-8.9797101335835847274e-08	2.2274211152904209735e-08
-12	-10	11	3.6188738084815066537e-08	-2.7540717368447123564e-08	6.3739386794145566427e-09	2.7538603397642801871e-08	4.5273113073811487415e-08	-5.0093249495397713401e-09
-12	-10	12	-2.0552773085996915118e-08	1.702685063689448165e-08	-4.7267456558371314084e-09	-1.032916786660216418e-08	-2.4491727799194525728e-08	8.4192107480593442816e-09
-12	-9	-12	4.0277284162804076629e-07	-8.6529954313710563239e-08	6.9528245610879990463e-08	-2.4410485855276646403e-08	-4.5491902583620072936e-07	1.0483781870516804804e-07
-12	-9	-11	-5.2724139756008067104e-07	3.8094270631182548249e-07	-2.3875351727272953769e-08	8.6949541923488811522e-08	5.9470681238785674302e-07	-4.867143957321186906e-07
-12	-9	-10	4.7870646393513984264e-07	-7.7327819549759582137e-07	-7.6186801121436756496e-08	-7.2814377985494813021e-08	-5.0587963571287470782e-07	9.9346677478406034781e-07
-12	-9	-9	-1.9546261892263976856e-07	1.2849806880959398388e-06	2.4350836863145776553e-07	9.9770890403536036955e-08	1.7108456598728610196e-08	-1.813078474531455897e-06
