# exact-gradient local quartic closure adversary; cutoff=12; objective=projective-palinstrophy-normalization-ratio; selection=double-triple-remainder-without-123; backend=direct; objective_value=3.16272e-07; constant_ratio=0; candidate_lemma_proved=false
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-12	-12	-12	-4.5046252539271607447e-14	-3.4933261780711362083e-14	-9.170485095650910176e-15	4.034404183979566568e-14	5.4216737634922514468e-14	-5.410780059084298864e-15
-12	-12	-11	2.7487560068042695848e-13	-5.1796742252738673035e-15	-7.7207271376651622034e-14	5.021328165868777152e-14	-2.1563817742230038768e-13	-4.9127571745542441824e-14
-12	-12	-10	-1.288911097801144599e-13	-2.4578311395075192723e-13	3.2442164309602548412e-14	-3.4017942260562099839e-13	1.1573873456461431398e-13	7.0315504386764753094e-13
-12	-12	-9	1.2151860460503534712e-12	3.1419283786216381443e-13	-3.3912208295308401382e-13	-4.4646243187670845135e-13	-1.1680852841296926099e-12	1.7635945868605953273e-13
-12	-12	-8	-4.6665910491542821514e-12	-1.2324357601552542917e-12	2.5620136804933302844e-12	1.5767426201070226129e-12	3.1568660529914273966e-12	-5.1646028992765258276e-13
-12	-12	-7	2.4076738726643697065e-12	6.4153648990831313208e-13	-1.4747380404150478023e-12	1.0365956236486655875e-13	-1.599318569570266381e-12	-1.2774789467540224353e-12
-12	-12	-6	-1.2517049731008437725e-11	-1.8270875456832653217e-12	1.3131799621751905719e-11	-3.2642124853314402077e-13	-1.229499781486933968e-12	4.3070175884328191897e-12
-12	-12	-5	3.7050695094818734148e-12	6.4083464262196372301e-12	-5.3224664969503898952e-12	-1.2005529867663219742e-12	3.88175276992443923e-12	-1.2498704254687957745e-11
-12	-12	-4	-1.1886677143288317868e-11	-1.7401077362090739969e-11	8.8603431904539980911e-12	6.9254590620700568431e-12	9.0790018585029593294e-12	3.1426854900062056648e-11
-12	-12	-3	-1.9630980679640103746e-10	-2.4993464018559950275e-10	2.1697970750750490543e-10	2.5363143426762003904e-10	-8.2679602844415458972e-11	-1.4787176328082093445e-11
-12	-12	-2	-2.7205685753186967726e-09	2.3058129299777731869e-09	2.7684912920714562735e-09	-2.3385968475988013865e-09	-2.8753630051655519603e-10	1.9670350572616945582e-10
-12	-12	-1	-1.1901244475408806436e-10	5.66841665068953287e-11	1.2312289166491450991e-10	-5.6469012371336451883e-11	-4.9325362929917275555e-11	-2.5818496267065484613e-12
-12	-12	0	-1.188304347743970642e-11	-1.0127254525566334735e-10	1.188304347743970642e-11	1.0127254525566334735e-10	1.6225858772067247082e-11	2.7032071252919331479e-11
-12	-12	1	-8.0190687786194923675e-11	-1.4814927182876044942e-10	7.2122220844666558837e-11	1.4609947484128320023e-10	-9.6821603298340429746e-11	-2.4597563849726945028e-11
-12	-12	2	-4.9000285835773358776e-10	-6.8450134397831133911e-10	4.4983952922788288253e-10	6.2989241129198856336e-10	-2.4097997477910443815e-10	-3.276535961179366028e-10
-12	-12	3	-3.7143043517407968764e-12	-4.2372443494616950852e-11	2.0801261902982464371e-11	3.9089454028370995167e-11	6.8347830204966660285e-11	-1.3131957864983819507e-11
-12	-12	4	-3.4301054070434974242e-12	2.0895533670909429125e-12	1.2022045637877221379e-11	1.0746132710486214182e-11	2.5775820692501173076e-11	3.8507058232731471686e-11
