# completed local quartic closure restart checkpoint; cutoff=8; restart=0; seed=12916328572993039690; objective=projective-palinstrophy-normalization-ratio; selection=double-triple-remainder; optimized_objective=3.71592435616689695e-07; refined_objective=0; accepted_steps=12; candidate_lemma_proved=false
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-8	-8	-8	1.7757062500931780836e-06	2.4307201681567713278e-05	-6.0960901261281907429e-06	3.9967314334926162638e-05	4.3203838760350126593e-06	-6.4274516016493872528e-05
-8	-8	-7	5.8100940258693295416e-05	6.6404160326057555184e-07	4.3636573412565070546e-05	-6.2369010598943753991e-06	-0.00011627144419572384875	6.3689822361529138691e-06
-8	-8	-6	4.4693652669668761823e-07	-4.9780622163194321986e-06	1.1426525302552029773e-07	-4.8691327995624982428e-06	-7.4826903962961062519e-07	1.3129593354509239459e-05
-8	-8	-5	2.1629480122942653508e-06	-1.8386646183134313579e-07	2.5024159511604436179e-06	4.9854461633697481012e-06	-7.4645823415275336724e-06	-7.6825275224614485376e-06
-8	-8	-4	-3.3742483384885932033e-06	3.0709293788258335695e-06	-5.095888949613024245e-06	-3.6126151271784929939e-06	1.6940274576203235744e-05	1.0833714967053194842e-06
-8	-8	-3	-6.1986458560251926038e-07	-6.716554888755562743e-06	7.1579012625263931024e-06	3.0353684598210792457e-06	-1.7434764471796995218e-05	9.8164971438252881966e-06
-8	-8	-2	7.7160159340084431156e-06	7.2843354435521831121e-06	-1.1328414341422224818e-05	-2.0008107413116198963e-06	1.444959362965512342e-05	-2.1134098808962254557e-05
-8	-8	-1	-1.3135186499916439126e-05	-3.9165401504218502125e-06	1.3510774295276141129e-05	9.0088196784564174123e-07	-3.0047023628776130576e-06	2.4125265460609664382e-05
-8	-8	0	1.565366689797161395e-05	-4.2052086722676938578e-07	-1.565366689797161395e-05	4.2052086722676938578e-07	-6.1801641740038230701e-06	-2.3091045965260822889e-05
-8	-8	1	-1.598170185073372488e-05	4.2186396563436544006e-06	1.7803590783691358685e-05	-2.0562441517596399701e-06	1.4575111463661082303e-05	1.7299164036672118832e-05
-8	-8	2	1.4118551915787426365e-05	-7.0821068619798313367e-06	-1.8528444799911146469e-05	4.5260625399370703426e-06	-1.7639571536494887192e-05	-1.0224177288171047365e-05
-8	-8	3	-9.834918173497633783e-06	4.3628913309201766514e-06	1.5558712161038452932e-05	-2.3770982930870700363e-06	1.526345063344217875e-05	5.2954481008882840247e-06
-8	-8	4	7.9561682263601320349e-06	-4.7848662616357465408e-06	-1.4434952823424992361e-05	3.9008796420369821459e-06	-1.2957569194129718958e-05	-1.7679732391975277311e-06
-8	-8	5	-4.4308300351630892054e-06	4.6880620813318438358e-06	1.0628506404246109562e-05	-6.0174838501413215755e-06	9.9162821905328322325e-06	-2.1270748300951644682e-06
-8	-8	6	2.3008420723995494648e-06	-3.3635902478660930493e-06	-1.1562573307637439619e-05	2.7987550364891892095e-06	-1.2348974980317185178e-05	-7.5311361516920508441e-07
-8	-8	7	-2.9753526930953241446e-05	-4.4743013917349689528e-05	4.5373288293525554675e-05	4.7903030890953815317e-05	1.7851155842939782191e-05	3.6114479698332874027e-06
-8	-8	8	5.8024131930467221072e-05	-1.1846072869854925721e-06	-5.5624594500383981344e-05	2.8210213687026433263e-05	2.3995374300832384569e-06	2.7025606400040939209e-05
-8	-7	-8	-2.6036802506635084854e-05	-3.6483891609707705503e-05	3.9728487358281159154e-06	-5.0921262460548217957e-05	2.2560559862785483216e-05	8.1039996262687399604e-05
-8	-7	-7	1.0144138519415838614e-05	9.9856201360220592136e-06	3.1085138164152292147e-06	4.1856739312283516033e-06	-1.4701814981461902763e-05	-1.5597811229539276177e-05
-8	-7	-6	-2.0080166898789927284e-06	-7.8929374826352193087e-06	3.4297085683446640767e-07	-5.2291979297577017338e-06	2.2772229201984463829e-06	1.662464756156427565e-05
-8	-7	-5	8.187418625761385069e-06	6.5468138834291536972e-06	2.7659306410472290102e-06	5.6770919818873024371e-06	-1.6972172698684335454e-05	-1.8422830988128867803e-05
-8	-7	-4	-1.2935442826998278288e-05	-8.7047929703121214592e-07	-4.556111450755226558e-06	-4.9156754853696808748e-06	3.3844080692818200723e-05	1.0343390693459364552e-05
-8	-7	-3	9.5293804352983674076e-06	-5.7274264620649361517e-06	3.5582050446875935652e-06	5.7863900445198335188e-06	-3.3714159598400029994e-05	1.7715604616268850021e-06
