# exact-gradient local quartic closure adversary; cutoff=8; objective=projective-palinstrophy-normalization-ratio; selection=double-triple-remainder-without-123; backend=direct; objective_value=3.15971e-07; constant_ratio=0; candidate_lemma_proved=false
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-8	-8	-8	7.279671868969468135e-06	-3.8076594748796163343e-06	-1.471758174552542436e-05	1.39873367413109679e-05	7.4379098765559570724e-06	-1.0179677266431351142e-05
-8	-8	-7	-6.2495524561180592038e-06	-2.6824591625241863701e-06	-1.893217157344204562e-06	9.9338329789762618631e-07	9.3060224153854440618e-06	1.9303724167160685999e-06
-8	-8	-6	-2.3746107540382718487e-07	-8.4698802763840394709e-07	4.9254268859814374913e-07	1.3885177500811527305e-07	-3.4010881759242213863e-07	9.4418167017371830264e-07
-8	-8	-5	-2.616214276024809905e-09	-7.2776314719727260408e-08	-5.551632117229751161e-08	-4.7596593371009032191e-08	9.3012056717315718395e-08	1.9259665294517806816e-07
-8	-8	-4	1.0930971361170325947e-09	2.4059695738318154048e-10	-2.5618859279157513522e-09	-8.561421818243890218e-10	2.937577583597437515e-09	1.2310904488824151694e-09
-8	-8	-3	-4.6844895815235178087e-09	1.2885346766111721989e-09	3.3423282868658486509e-09	-2.9920899496507384326e-09	3.5790967857537842828e-09	4.5428140614388432898e-09
-8	-8	-2	-5.7638563483756291001e-09	6.7781004654054040059e-10	7.8296506312210760173e-09	-1.0805127573932047061e-10	-8.2631771313817860145e-09	-2.279035083204879875e-09
-8	-8	-1	-6.2269328247714415114e-09	1.5307163975193454313e-08	6.3440370108016377535e-09	-1.8097435316309336154e-08	-9.3683348824157179845e-10	2.2322170728927071271e-08
-8	-8	0	-4.7183857598112282971e-09	9.0639638936561825159e-09	4.7183857598112282971e-09	-9.0639638936561825159e-09	2.792543672554558277e-08	-9.1427857489273569652e-10
-8	-8	1	5.927580219899177504e-09	9.5775644144245838861e-09	-8.8053651959000998527e-09	-7.7493588372209692821e-09	-2.3022279808007382099e-08	1.462564461762890856e-08
-8	-8	2	5.598478425933163543e-10	-1.2822738585730339808e-08	-4.5046855405710553725e-09	1.2750870564680901193e-08	-1.5779350791910955659e-08	-2.8747208419775079073e-10
-8	-8	3	3.4156037124981800137e-09	-2.4891621823759471731e-09	3.5527154299473009661e-09	-3.5701815725476144757e-09	1.8582184379854614843e-08	-1.6158250013129498833e-08
-8	-8	4	9.9427569937057002127e-09	-9.1882183714674596799e-09	-8.4665745425402038471e-09	1.611223228148458956e-08	2.9523649023309910768e-09	1.384802782003426307e-08
-8	-8	5	-2.2103886164603763739e-07	-2.0803518656523695353e-07	3.1127244487013844983e-07	-2.386382467348590322e-08	1.4437373315856128931e-07	-3.7103841798195660785e-07
-8	-8	6	-2.5612367533470026684e-06	1.5159014519475313263e-06	-1.821996564262468577e-07	-1.7435573542841295925e-06	-3.6579152130309990505e-06	-3.0354120311546424904e-07
-8	-8	7	8.3541998652595828061e-06	-9.3133733516374279232e-06	8.8450491504918148666e-07	-6.7715623527054669644e-06	1.055851974892430338e-05	-1.838278366210616607e-05
-8	-8	8	-1.8480987422289074629e-05	-4.9382492407664490923e-06	1.2992952466419401686e-05	-1.9423513125233187859e-05	-5.4880349558696737904e-06	-2.4361762365999636951e-05
-8	-7	-8	8.6319106271010501887e-07	3.3415028611392541284e-06	-1.6112011895808485025e-06	-3.7120263726884075474e-06	5.4660997817313742079e-07	-9.3479785036897577312e-08
-8	-7	-7	1.470141586516834719e-07	2.7102950605928772075e-07	-2.5237066551593608585e-07	-2.4687891044261737206e-08	8.4354484199726369641e-08	-2.8506011588063848294e-07
-8	-7	-6	-2.8724185386025629784e-08	-2.2622417438385226712e-08	4.0430211325100784021e-08	2.199436751771426601e-08	-8.8696660312500766329e-09	4.5031278138469902827e-09
-8	-7	-5	-1.9394365097451403167e-09	-1.3045073526449061408e-09	-1.7733823267929160954e-09	4.5586254824341279801e-10	5.5858336731023069162e-09	1.4490041966910719494e-09
