# exact-gradient local quartic closure adversary; cutoff=8; objective=projective-palinstrophy-normalization-ratio; selection=double-triple-remainder-without-123; backend=direct; objective_value=2.83003e-07; constant_ratio=0; candidate_lemma_proved=false
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-8	-8	-8	-5.0402372878593808736e-06	-2.2362182733992207515e-05	1.8517781198469930126e-07	2.1082988470762621338e-05	4.8550594758746817576e-06	1.2791942632295863885e-06
-8	-8	-7	-1.1860308462713882932e-05	-5.127727755789274658e-06	-3.6712105748773805766e-06	1.8711739024591792729e-06	1.7750307471532871613e-05	3.7217758323772520502e-06
-8	-8	-6	-1.004179242714299006e-06	-3.5942223624749007198e-06	2.0878313709560653792e-06	5.9299946722955212429e-07	-1.4448695043223551643e-06	4.0016305269937982685e-06
-8	-8	-5	-1.599806844654438255e-09	-5.9029991145078953814e-07	-4.6528750230571631662e-07	-3.8372380768571588326e-07	7.4701969464059320715e-07	1.5584379506184085895e-06
-8	-8	-4	-3.9288969282435453746e-09	-3.5957748611948276742e-09	-1.0272307648932206342e-08	-9.6747051211932466601e-09	2.8402409154351505088e-08	2.6540959964776147841e-08
-8	-8	-3	-2.4591163833537008997e-09	1.3107718548918290384e-08	5.3718814910363353837e-09	-6.5311233424254991862e-09	-7.7673736204870247394e-09	-1.753758721731410986e-08
-8	-8	-2	-2.3654122973106103311e-09	-9.3087775716014142892e-11	-2.1474883605449992472e-09	-1.7869695039918671147e-10	1.8051602631422438313e-08	1.0871389044608033658e-09
-8	-8	-1	4.2818793596832389457e-08	-6.9964624395199464798e-08	-4.4506740176152471616e-08	8.65799278867404075e-08	1.3503572634560682086e-08	-1.3292242793232751514e-07
-8	-8	0	1.4523461165331631527e-08	-1.1819263934684789425e-08	-1.4523461165331631527e-08	1.1819263934684789425e-08	1.7364545444538598083e-08	-1.2526106106236567805e-08
-8	-8	1	-2.4524551989154317872e-08	-1.6543916686167439808e-08	3.4357505334545297565e-08	1.1474121993426446845e-08	7.8663626763127837543e-08	-4.0558357541927937083e-08
