# exact-gradient local quartic closure adversary; cutoff=7; objective=projective-stretching-ratio; selection=double-triple-remainder; backend=direct; objective_value=4.70296; constant_ratio=0.000661741; candidate_lemma_proved=false
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-7	-7	-7	1.8365724009598900931e-05	-2.0815729605487631948e-05	1.9462566177747291676e-05	-2.8824482180297978626e-05	-3.7828290187346195995e-05	4.9640211785785610574e-05
-7	-7	-6	1.5958825921687411176e-05	-2.9723937667911906011e-05	2.7030827844785585182e-05	-3.8928928607441610154e-05	-5.015459606088516016e-05	8.0095010654579105016e-05
-7	-7	-5	6.9317549916993402142e-06	-2.8550778369847650516e-05	2.7794165953560872451e-05	-3.4752259921612752014e-05	-4.8616289323364301458e-05	8.862425360804455541e-05
-7	-7	-4	-8.8823416363066046575e-07	-1.7493496794237004379e-05	2.8117936558167819694e-05	-2.337256025159397039e-05	-4.7651979190440029973e-05	7.1515599830204205846e-05
-7	-7	-3	3.9585442474086463631e-06	-1.3814926100250672506e-05	1.902378721650440312e-05	-1.0041360309693914829e-05	-5.3625440082463779587e-05	5.5664668289870702087e-05
-7	-7	-2	2.5050773560232806742e-06	-8.461322051803784545e-06	1.2549025083632831104e-05	2.9653411431246904162e-07	-5.2689358538796386353e-05	2.8576757781219604924e-05
-7	-7	-1	3.7529638188449472774e-06	-3.1716952563316462233e-06	3.5195041694568685202e-06	-7.0859371161664306537e-08	-5.0907275918112711007e-05	2.2697882392453172425e-05
-7	-7	0	2.1843040551466324513e-07	5.7261927626853609519e-07	-2.1843040551466324513e-07	-5.7261927626853609519e-07	-3.9599585325557802855e-05	3.545965060125557544e-05
-7	-7	1	-1.0699608233761038056e-06	4.7870255461913678189e-06	2.4572189187263186509e-06	4.3818156734073336099e-06	9.7108066674515049763e-06	6.4181888537190914237e-05
-7	-7	2	5.2793579233149359056e-06	1.4689163092674073326e-05	3.2108515693955915006e-06	6.9112204242880059975e-06	2.9715733224486845922e-05	7.5601342309367276784e-05
-7	-7	3	1.1785507212001611454e-05	2.9842668971274015951e-05	1.0079144574342526464e-05	1.979627997648063348e-05	5.1017520834802989607e-05	0.00011582421421142752099
-7	-7	4	1.2413026612780633153e-05	3.2369311303694622351e-05	5.8245067569343038499e-06	1.8288319000688686261e-05	3.1915683397001140813e-05	8.8650853032670785835e-05
-7	-7	5	1.4321319070217337151e-05	3.3403837929406218462e-05	1.8775974490887139846e-05	2.739870555630556393e-05	4.6336210985546265762e-05	8.5123560879996504835e-05
-7	-7	6	7.6154693147911106066e-06	2.1755218913468072934e-05	2.2350653964308681275e-05	2.351852662115328852e-05	3.4960477158949753102e-05	5.2819369790391582716e-05
-7	-7	7	-2.9709322389075856985e-06	4.0261872276812855686e-06	1.4424937222961508896e-05	1.1547193924623011093e-05	1.1454004984053923197e-05	1.5573381152304296662e-05
-7	-6	-7	-3.2094456151593312495e-05	5.5982501344037072482e-05	-5.1363937900601227681e-05	3.992600439064400707e-05	7.6120688637822936221e-05	-9.0204790821731930845e-05
-7	-6	-6	-3.5217986214124706904e-05	6.0053122515977258166e-05	-6.1789117084873115544e-05	6.9644424711311908593e-05	0.00010287676766801859903	-0.00013970640097995203521
-7	-6	-5	-2.9474146456791694128e-05	4.0943950983997046123e-05	-5.6730571287377878312e-05	7.4816042096988570631e-05	0.00010934049058436182372	-0.00014710078189398214797
-7	-6	-4	-1.8833719292225784979e-05	1.171931600153764113e-05	-4.115624001446850877e-05	5.7890385593339216668e-05	9.4693368783097886868e-05	-0.00010734438139269969698
-7	-6	-3	-2.6815391440378540951e-05	-1.1814048791094673244e-05	-2.008262770151102706e-05	4.3538390781664916714e-05	0.00010273450209723864628	-5.9510667717442268737e-05
-7	-6	-2	-2.6041930752116733232e-05	-1.416228838961134734e-06	-6.8129851614400968178e-06	8.8552144994184991961e-06	0.00011158571311672885846	-2.1608842561891526972e-05
-7	-6	-1	-1.4915855307992950858e-05	-1.7238166717493831056e-05	2.2703439514325206176e-07	2.2067720314138689216e-05	0.00010304878078509114258	-1.1739154862375319595e-05
-7	-6	0	-3.0825766690115572343e-06	-3.1911849889197348509e-05	3.5963394471801497538e-06	3.7230491537396906594e-05	7.6019360521319373318e-05	-5.131021925504863462e-05
-7	-6	1	1.2455789736940152218e-06	3.8099647152035387966e-07	4.428841472929996692e-07	-1.831241205924058024e-05	1.1376357699616104673e-05	-0.00010720749705480101053
-7	-6	2	-9.7840006749169635162e-06	-1.9201340997692466195e-05	5.0323376791536857312e-06	-2.3790026470010012524e-05	-1.9146989324748313419e-05	-0.00013857477290195367942
-7	-6	3	-2.3879805878001229027e-05	-4.1689768007793015839e-05	-9.5210761675599411223e-06	-4.5121104169858622108e-05	-7.4761699383789418901e-05	-0.0001875183336912342744
-7	-6	4	-3.5566987269977492559e-05	-5.7182617076260331367e-05	-5.4335793883882681877e-06	-3.7534206102561473608e-05	-7.0392596805043020189e-05	-0.00015637088903729776828
-7	-6	5	-3.7729006475484181641e-05	-6.3500416070122147521e-05	-3.237597687774088404e-05	-6.068706030537177027e-05	-9.167178131896691921e-05	-0.00016172505486461712272
-7	-6	6	-2.9168406527708129467e-05	-5.0428539980714709294e-05	-4.3980609073766739018e-05	-4.1985813989765746821e-05	-7.8010416689426229607e-05	-0.00010081911063393290766
-7	-6	7	1.8201642504022964712e-06	-1.8372541586379855037e-05	-3.6928869903322067718e-05	-1.9293646416075272478e-05	-2.9833152809588046168e-05	-3.490995280015866389e-05
-7	-5	-7	6.5582348740271222414e-05	-0.00011289162274033915452	0.00012490570081239677305	-5.624269844113882191e-05	-0.00015480070646341177265	0.00015306497876972402538
-7	-5	-6	6.5971212254562351229e-05	-0.00012502937048326776058	0.00014127746898345947164	-0.0001010067388302716767	-0.00019469763844987228473	0.00023003988125570545126
-7	-5	-5	9.4896708115388558272e-05	-0.00012668328406842624552	0.00011326183298067358531	-0.00010686444745329032021	-0.00024611722434221756147	0.0002842210451490870802
-7	-5	-4	4.9087354965331446866e-05	-6.81926833874061046e-07	5.2398246662197925448e-05	-0.00011149354789806911596	-0.0001514006795170774473	0.0001405603068318660089
-7	-5	-3	5.8520754680405884219e-05	2.3752086776995086977e-05	1.7523415311342057282e-05	-6.7268520492320380043e-05	-0.0001657541197731838287	5.6692665007545421424e-05
