# exact-gradient local quartic closure adversary; cutoff=5; objective=projective-stretching-ratio; selection=double-triple-remainder; backend=direct; objective_value=1.8372; constant_ratio=0.000745098; candidate_lemma_proved=false
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-5	-5	-5	0.00014008628990496563424	1.0925057149028410443e-05	-7.830946890391515217e-05	-6.1484421569219443538e-05	-6.1776821001050482066e-05	5.0559364420191033095e-05
-5	-5	-4	0.0002025833140427074153	5.0315919792497865095e-05	-0.00010175730702937434515	-0.00010994188018757488083	-0.00012603250876666634447	7.4532450493846271367e-05
-5	-5	-3	4.8696992230479815985e-05	-1.8843956335562192728e-05	3.955224289674351396e-05	-3.3036876824667844192e-06	-0.00014708205854537220302	3.6912740030048296516e-05
-5	-5	-2	1.868074587642228627e-06	-2.4978636232696352717e-05	5.7844219398006663105e-05	1.0756889965599785935e-05	-0.00014928073496412222997	3.555436566774141272e-05
-5	-5	-1	7.2278125569785501041e-05	-4.6502466008871675074e-06	-4.9973405095440899635e-05	1.7737531583488782385e-06	-0.00011152360237172297315	1.4382467212691446557e-05
-5	-5	0	5.0339235001332677429e-05	1.6815520135345290509e-05	-5.0339235001332677429e-05	-1.6815520135345290509e-05	-0.00013267624726702448431	-7.4482553616138689963e-06
-5	-5	1	1.2562241302409940953e-05	6.2697742736938062174e-06	-1.4150895608276500842e-05	6.2517545346795157081e-06	-7.9432715293327960592e-06	6.2607644041866609627e-05
-5	-5	2	-2.2571985260636915781e-05	7.9111815077678604587e-05	1.1412982206856385749e-05	-2.0042409382389603071e-05	-2.7897507634451324232e-05	0.00014767351423822252751
-5	-5	3	-3.7503580819917535245e-05	0.00014497004951468812884	5.0835726332741670071e-05	-3.1889109956069307066e-06	2.2220242521373552398e-05	0.0002363018975318020127
-5	-5	4	-6.5697751504701761699e-05	0.00024098202069926748627	5.9680563636194179536e-05	-9.0638312500447267353e-05	-7.5214848356344819391e-06	0.0001879296352485252872
-5	-5	5	-2.5688568773622965741e-05	0.00011786297869339678256	-3.7741919581025787122e-06	8.2952132999106013596e-07	-2.9462760731725544876e-05	0.00011869250002338784249
-5	-4	-5	-0.00035635339165209932357	0.00010731647093558545054	0.00015122421378381184823	1.9053920620210997239e-05	0.00023537402062504987209	-0.00012255960743175425918
-5	-4	-4	-0.00049873746135805415575	3.8735364707674726267e-05	0.00022530573353332411426	0.0001916180381626058412	0.00039811609316424352622	-0.00024003724404719924395
-5	-4	-3	-0.00013735717701600149983	8.6456613189472614114e-05	-0.00013064925839690095144	3.7638262037759674571e-06	0.00040312763955587042593	-0.00014911279025415564341
-5	-4	-2	-1.0975780646474513262e-05	-1.9458361141667832413e-05	-0.00011480042615339174832	3.2753017712450514321e-05	0.0002570403039229697908	-1.6860132570731445914e-05
-5	-4	-1	-9.2513851728235534187e-05	-6.0901632155133796981e-06	8.4417589127179306382e-05	-2.8418582618143093039e-05	0.0001248989021324604454	0.00014412514655013925879
