# completed local quartic closure restart checkpoint; cutoff=6; restart=9; seed=16083790700188655066; objective=projective-stretching-ratio; selection=double-triple-remainder; optimized_objective=3.08141018151276036; refined_objective=0; accepted_steps=24; candidate_lemma_proved=false
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-6	-6	-6	0.00015943648365973029052	0.00011211153147995195161	-0.00013510677585028830192	-4.1151449818536754266e-05	-2.4329707809442005533e-05	-7.096008166141520412e-05
-6	-6	-5	5.3268862759914439961e-05	-7.6699216073901452413e-05	4.6974754504799195629e-05	1.0758830201012253164e-05	-0.00012029234071765636542	7.9128463047467047231e-05
-6	-6	-4	4.827099765706793739e-05	-2.825409744043709469e-05	6.6462602465277605254e-05	-1.5532586371273849094e-05	-0.0001721004001835183038	6.5680025717566417371e-05
-6	-6	-3	-1.8718088788904938631e-05	-1.2232634302785322058e-05	6.8270279088151794686e-05	-1.1420003545621643809e-05	-9.910438059849371211e-05	4.7305275696813931733e-05
-6	-6	-2	1.2732229896271112237e-06	-7.5748579287016803491e-06	3.4941885614394132577e-05	2.2728805623280061849e-06	-0.00010864532581206373055	1.5905932099121022493e-05
-6	-6	-1	-8.6775933811115721979e-06	-1.7948213412351502903e-05	1.9771252505224382306e-05	9.6195516213376010013e-06	-6.6561954744676860647e-05	4.9971970746083411411e-05
-6	-6	0	-2.7236482534482482236e-05	-2.6533981630536809717e-05	2.7236482534482482236e-05	2.6533981630536809717e-05	-5.134694690401083475e-05	5.786401422021839367e-05
-6	-6	1	7.6984210969155580543e-06	1.7966681860321562632e-05	-8.2214271150141462612e-06	-9.3234434871792478973e-07	-3.1380361085915292412e-06	0.0001022060250696218243
-6	-6	2	-1.1945173303394872183e-05	6.8789960898126348288e-05	2.5665430769250221223e-06	2.3307836569595639334e-05	-2.8135890679409550607e-05	0.00027629339240316594254
-6	-6	3	-9.1380011176501750093e-06	8.0815480741191041678e-05	1.1547801307139510962e-05	2.4043435040892070645e-05	4.8196003789786693642e-06	0.0002097178315641662111
-6	-6	4	2.3510482757899326713e-05	3.8165807976532350749e-05	1.6272442807525397813e-05	5.2544476460718485072e-05	5.9674388348137086789e-05	0.00013606542665587625712
-6	-6	5	4.4474879689082436984e-05	2.4874556496434531698e-05	-1.510341423887600939e-06	5.5450814115386622149e-05	5.1557445918233803424e-05	9.6390444734185381907e-05
