# exact-gradient local quartic closure adversary; cutoff=2; objective=remainder-absorption-ratio; selection=doubling-remainder; backend=direct; objective_value=0.123544; constant_ratio=0.0704556; candidate_lemma_proved=false
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-2	-2	-2	8.9873827139109695297e-06	2.6462297183501171121e-05	-1.280503320841833727e-05	-5.1135671264524635053e-05	3.8176504945073668935e-06	2.4673374081023463931e-05
-2	-2	-1	-3.4761752311229577392e-06	-1.768767130261239672e-06	6.9109020371263907173e-06	2.3977037300442245573e-06	-6.8694536120068659562e-06	-1.2578731995659699824e-06
-2	-2	0	5.9514061117365062986e-06	-4.1605399431575489384e-06	-5.9514061117365062986e-06	4.1605399431575489384e-06	1.0756491796850468242e-05	3.9822410018643824461e-06
-2	-2	1	4.6242630231582225166e-06	-4.2225350261465235906e-06	-5.9123060962724221075e-06	4.1931549634464754478e-06	-2.5760861462283991818e-06	-5.8760125400096914151e-08
-2	-2	2	-4.7414834504700819218e-05	4.1596305652714340073e-06	8.6096210856063864954e-06	-2.1427637195453071969e-05	-3.8805213419094434417e-05	-1.726800663018164135e-05
-2	-1	-2	-3.6826962827802752908e-07	1.647206816241113469e-06	3.2007511752251336728e-06	-1.3598105148568143878e-06	-1.2321059593345392014e-06	-9.6730155881270627509e-07
-2	-1	-1	9.5000654441947970477e-08	2.4670360417343693391e-07	-1.4120783212913726899e-07	5.1900281145749790817e-07	-4.8793476754758678581e-08	-1.012410019804371776e-06
-2	-1	0	-2.7096205119728154743e-05	-1.3260818283181335025e-05	5.4192410239456309485e-05	2.652163656636267005e-05	4.5499759195232815942e-05	-2.4202154602591430152e-05
-2	-1	1	4.4119088661599752078e-05	3.415788236290019837e-05	-3.2538524567529421121e-05	-2.6911192771408347043e-05	5.5699652755670089812e-05	4.1404571954392049697e-05
-2	-1	2	1.5713029323737515308e-06	-1.4493375595985929091e-06	2.0337424376420935353e-06	-2.0246151289715407445e-06	2.5881741511947980867e-06	-2.4616451240843632813e-06
-2	0	-2	-3.5097119698557979334e-08	-6.657263480260839099e-08	-1.6026951194474586546e-07	-4.6993911365479673854e-08	3.5097119698557979334e-08	6.657263480260839099e-08
-2	0	-1	3.2424652357915235659e-06	-1.363763091908304154e-06	1.9039675767538279995e-06	3.2000722398642148615e-07	-6.4849304715830471317e-06	2.7275261838166083081e-06
-2	0	0	0	-0	2.2709201740125727794e-06	-6.7691654735384731721e-06	-1.2109693564663807249e-05	3.7857903065612351557e-06
-2	0	1	1.7347556883137817466e-05	-6.4614152523094773973e-06	8.7400401879648249382e-05	-6.2155858733886561358e-05	3.4695113766275634932e-05	-1.2922830504618954795e-05
-2	0	2	-3.526096350402290778e-06	2.8461347718756175345e-07	1.2850964825613633929e-06	2.878240568726823321e-06	-3.526096350402290778e-06	2.8461347718756175345e-07
-2	1	-2	1.9534016757578014637e-06	-1.5353918588236961866e-06	4.3239641288345840185e-06	-5.5832776527857816759e-06	2.085803886594907308e-07	-1.2562469675691948631e-06
-2	1	-1	1.5173148887211840433e-06	9.0855124398741386359e-07	1.2911927714596025685e-06	9.1024173693595698153e-07	-1.7434370059827655181e-06	-9.0686075103887085153e-07
