# exact-gradient local quartic closure adversary; cutoff=5; objective=shape-power-ratio; selection=doubling-remainder; backend=direct; objective_value=4.04617e-05; constant_ratio=0.0975673; candidate_lemma_proved=false
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-5	-5	-5	2.7024850636568679618e-08	-7.2639750322413840521e-08	1.7445816173585410374e-08	1.2378852873001047118e-08	-4.4470666810154086683e-08	6.0260897449412781822e-08
-5	-5	-4	-7.7428319473186157424e-08	-9.7147611059532766907e-08	8.6730940986553929592e-08	-6.1590116813592451972e-08	-1.162827689170971521e-08	1.9842215984140652691e-07
-5	-5	-3	2.6963761318502560688e-07	-3.0281654783421323812e-07	-2.5973141227827186676e-07	2.8105845099544523519e-07	-1.6510334844589605477e-08	3.626349473127998283e-08
-5	-5	-2	6.3559255752559834353e-08	1.5865632040875933739e-08	-7.4052384219221864598e-08	-2.8929888909309773171e-08	2.6232821166655072304e-08	3.2660642171084596926e-08
-5	-5	-1	-4.7902999302992526353e-09	1.7948275666700997259e-08	3.7839191479128896592e-10	-1.4932511802560910145e-08	2.2059540077539817261e-08	-1.5078819320700428953e-08
-5	-5	0	4.5437575042801181377e-10	-3.1709190310915579452e-10	-4.5437575042801181377e-10	3.1709190310915579452e-10	-4.2692457873438096816e-11	-3.8799396368027464373e-10
-5	-5	1	1.8010413648978932365e-08	-5.3271321532493749818e-09	-1.8237825751231183036e-08	6.152566400375805185e-09	-1.1370605112612504609e-09	4.1271712356321510159e-09
-5	-5	2	2.6778815453874785975e-07	-2.6423824052150220832e-07	-2.8306258450263406054e-07	3.0627945960030480623e-07	-3.8186074909715396105e-08	1.0510304769700641536e-07
-5	-5	3	6.0033164083450056173e-07	-2.9792422922467696992e-07	-6.3723352854544346054e-07	9.1314419236186618218e-08	-6.1503146184904835769e-08	-3.4434968331415059499e-07
-5	-5	4	-2.9468041592736450536e-07	-1.264162936430800449e-06	-9.0788496874067358382e-09	-3.9380812554896383167e-07	-3.7969908201846404488e-07	-2.0724638274747054568e-06
-5	-5	5	2.194419977344270137e-07	4.378580995567402152e-07	-7.8625576709117139533e-07	-7.1505671259419579231e-08	-5.6681376935674432868e-07	3.663524282973206492e-07
-5	-4	-5	-4.3975285270003914034e-07	-4.9092337816588444393e-07	7.83769902582097398e-08	7.8311679692248204801e-08	3.7705126049347135909e-07	4.2827403441208590126e-07
-5	-4	-4	3.2451272942893880648e-08	-2.9543701392059979816e-08	-2.3787263300992053664e-08	2.5907347324454203335e-08	-1.67768278776252988e-08	1.1022279415620768953e-08
-5	-4	-3	-2.9706844217265586505e-11	7.8050645427268661234e-10	-3.6274140088025940916e-10	-7.4027674164417119396e-10	5.331666082024551811e-10	-3.1380843492891611253e-10
-5	-4	-2	4.760591648905913e-11	-1.7991161009870228073e-11	-4.9309392821043533532e-11	1.8938750070632739506e-11	-2.0396005580560764398e-11	7.1004023834100927855e-12
-5	-4	-1	-1.0734666479207032037e-10	-6.3272315255200822597e-11	1.2266868505079086544e-10	1.372707252907043349e-10	4.6058583757188172428e-11	-2.3272132488681321368e-10
-5	-4	0	1.6280043166028298408e-10	-2.3622650258292878089e-11	-2.0350053957535374948e-10	2.952831282286609842e-11	5.5634121886283533481e-11	1.3493289696518097414e-10
