# exact-gradient local quartic closure adversary; cutoff=7; objective=shape-power-ratio; selection=doubling-remainder; backend=direct; objective_value=4.05103e-05; constant_ratio=0.0978541; candidate_lemma_proved=false
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-7	-7	-7	-2.6428061487815967787e-09	-1.0968526524400035247e-09	5.9666089533174961608e-10	-9.1606802078482761183e-10	2.0461452534498470593e-09	2.0129206732248310331e-09
-7	-7	-6	1.0592133840337000462e-08	3.0269819394786212178e-08	-1.1071279124411636748e-08	-3.1892286899437450118e-08	5.5900283142040820791e-10	1.8928787554264406795e-09
-7	-7	-5	-5.4299582094093705241e-10	4.8675592661229546018e-11	1.2734593814291380325e-10	-5.346838843569943262e-11	5.8190983591723266256e-10	6.7099140842578401118e-12
-7	-7	-4	-2.7053722277355968369e-12	-3.1782030189321524552e-12	1.4235265474515691406e-12	2.0685815892833801601e-12	2.2432299404970485189e-12	1.9418375018853521224e-12
-7	-7	-3	-1.5057314170076361463e-11	1.2314911788802825521e-12	1.5840259871799505051e-11	-3.0296267648041548489e-12	-1.8268733040206629865e-12	4.1956497004890358305e-12
-7	-7	-2	-4.087524294685374655e-12	3.3090892808828571958e-12	4.2122884878313399098e-12	-3.3737153788102916168e-12	-4.3667467601087899777e-13	2.2619134274602039807e-13
-7	-7	-1	8.0233009348024948837e-11	9.9015411928014224706e-12	-7.8125472228880619685e-11	-1.8442143612559467419e-11	-1.4752759834010236212e-11	5.9784216938306321099e-11
-7	-7	0	-2.0381386506857274947e-09	7.9801532082422937479e-10	2.0381386506857274947e-09	-7.9801532082422937479e-10	-7.2852784972186463223e-11	-9.6430880802179234408e-11
-7	-7	1	-9.4334890530694256839e-11	-3.9064988205411107902e-11	9.3699042594818146492e-11	3.3884587943420047163e-11	-4.4509355511327691929e-12	-3.6262801833937438099e-11
-7	-7	2	-6.1427735938078504812e-12	2.3856783030043101062e-13	5.5387335294823780256e-12	7.0210694617677356196e-14	-2.1141402251391552102e-12	1.0807248372133793217e-12
-7	-7	3	9.8846451713251333361e-12	-5.636814477515051991e-13	-9.1164395929163786929e-12	-1.4512214251092568715e-12	1.792479682953761911e-12	-4.7014400366751113298e-12
-7	-7	4	-7.7792484091066125946e-12	6.5453438813623613347e-12	8.5332956944067641785e-12	-8.9674214829306775432e-12	1.3195827492752656757e-12	-4.2386358027445551823e-12
-7	-7	5	1.3643819668944731072e-09	-3.8907394857864996933e-10	-2.901285141605837031e-09	2.6482833081339462367e-10	-2.1516644445959097e-09	-1.7394386487135746324e-10
-7	-7	6	-3.5646260623727636883e-08	-1.315156857915535532e-08	2.7026102766253591579e-08	4.0144352800986289109e-08	-1.0056850833719720624e-08	3.1491581592136087215e-08
-7	-7	7	-1.8666989700897320753e-09	-8.8168677011157835826e-10	3.12760776206761804e-10	-4.7415821792955614825e-10	-1.5539381938829701679e-09	-1.3558449880411346099e-09
-7	-6	-7	3.4379343591476807082e-08	1.862608562466296401e-08	-3.9093787069611055612e-10	2.1882474260956641794e-09	-3.4044253988022999009e-08	-2.050172627560210698e-08
-7	-6	-6	-8.3626576631951092885e-12	2.2174250192564020772e-12	2.2863398189221212466e-11	6.9904061850141101715e-11	-1.3106964248826919912e-11	-7.2491057705940229327e-11
-7	-6	-5	-1.0374563367718579246e-14	-4.6378540524730200462e-15	1.7826465172810334743e-14	2.6227229600729749258e-14	-6.8673694925663920096e-15	-2.497967984741347073e-14
-7	-6	-4	2.233305138151151815e-12	2.2012440551674315515e-12	-3.1503473079781423236e-12	-3.80058412917230255e-12	8.1723697020269780917e-13	1.8486990972154482059e-12
-7	-6	-3	3.3181086273032209016e-12	-6.1698095618716667513e-12	-4.607297855207011421e-12	8.4935133176417996401e-12	1.4723422467065077414e-12	-2.5908043242497103284e-12
-7	-6	-2	3.9957190967455028618e-12	-7.2837513129607879562e-12	-5.1857182487732584765e-12	9.5102471831898887669e-12	1.5721379077105160194e-12	-3.0376119542069092617e-12
-7	-6	-1	-3.087940379091460928e-11	-1.9390727438364533642e-11	3.7645754299372617909e-11	2.3052643867054176568e-11	-9.7186992598334538023e-12	-2.5807711337733336084e-12
-7	-6	0	1.1139964202787613329e-11	-2.0648957942832488598e-11	-1.2996624903252214474e-11	2.4090450933304568954e-11	-3.19248097859988306e-12	6.4702722758891579233e-12
-7	-6	1	9.5463842204102092596e-11	-2.5993759676742234943e-11	-1.0818325299294109149e-10	2.9926110242894914906e-11	1.9147377471068170333e-11	-2.3996562798261309256e-12
-7	-6	2	2.2403575295429588673e-12	-2.4864817921911867677e-12	-2.9282086851604373227e-12	3.0544533861285669693e-12	-9.4337470208095613441e-13	4.6067388571654691819e-13
-7	-6	3	-1.1786447521774308138e-11	-4.079469705234910666e-12	1.5528698288958746421e-11	4.3932789215321299206e-12	3.5556856937774418647e-12	-7.3220480248386423842e-13
-7	-6	4	1.1267715921361916732e-11	1.0451863560251772666e-11	-1.6321124160415505472e-11	-1.473468488304710498e-11	-4.7631833782399071577e-12	-3.8112660941300573237e-12
-7	-6	5	1.1090042733036607867e-13	-1.5684528311186992292e-13	2.2873093052496988036e-12	9.0442540255168536478e-13	2.9000317645621510896e-12	8.6572708670540449012e-13
-7	-6	6	-7.0590776127894408384e-11	8.6632105633075892361e-11	-2.3338075136135592898e-09	-6.9082392847092813143e-10	-2.4161634190961029279e-09	-5.897531385656729366e-10
-7	-6	7	-4.2857294031035954523e-08	-2.077407406335212037e-08	1.0693162869983742262e-08	-3.6632034969170252769e-09	-3.3691725856764174496e-08	-2.3913962774995285956e-08
-7	-5	-7	-4.1800832355949720575e-11	-7.951945727512099657e-10	1.4063847011423759817e-10	3.5665010522155531875e-10	-5.8655217725648579528e-11	5.4044449759295615182e-10
-7	-5	-6	-6.855800033362333171e-14	1.2898820443454418694e-14	-2.743741455993911516e-14	-9.2912746819773208329e-15	1.0284884585584314595e-13	-7.3058949490490549749e-15
-7	-5	-5	-2.191190516157337282e-14	-3.6873971450448400817e-15	2.5931937615863696509e-15	-4.1156331529546929641e-14	2.8083473464616352218e-14	4.6318687532609709384e-14
-7	-5	-4	1.0121745199311385133e-13	4.5985902109228030724e-13	-7.7145279130297761162e-14	-3.397825667453453153e-13	-8.0698942075077041536e-14	-3.800250784798088683e-13
-7	-5	-3	-9.4139841036236799338e-14	2.1452877441016932758e-13	1.1725720470968264153e-13	-2.4160303507820629746e-13	2.4230954568414798006e-14	-9.7895415160051285416e-14
-7	-5	-2	2.1284055514796828044e-13	-4.3215789966997502719e-13	-3.7636875560840761655e-13	7.3027644714103142581e-13	1.9597994600313005983e-13	-3.1313846900766584312e-13
-7	-5	-1	2.999141244728036256e-12	3.7576558588331045475e-11	-2.499746846210315973e-12	-5.7197620270222311958e-11	-8.4952544820446735228e-12	2.295219123279423177e-11
-7	-5	0	-1.5542748153799479992e-11	-9.0305398627467174535e-12	2.1759847415319271988e-11	1.2642755807845404758e-11	9.1930728605891875025e-12	-8.7009666173283403711e-12
-7	-5	1	-2.5512111790457769921e-12	6.378289008168034647e-12	1.2105137026210170643e-11	-9.7518696443028390975e-12	4.2667206877730417097e-11	-4.1113251643379497271e-12
-7	-5	2	-1.086223302347851878e-12	-3.2502197117451594157e-13	1.8798717479890665236e-12	4.2031101713649968542e-13	8.9789781175518524096e-13	-8.6799356269556531483e-14
-7	-5	3	-1.064682388921498097e-13	9.8522474779212371096e-13	-6.2076038544798148382e-13	-5.7676316273286786798e-13	-1.2830265331616522141e-12	1.3375858069601757139e-12
-7	-5	4	-3.1265546556394977466e-14	-4.3804705856895475614e-13	1.7725421552934006301e-13	4.3599634485560743564e-13	1.6685306293798389659e-13	-2.2158692142616155394e-13
-7	-5	5	2.2559253067225816305e-13	-8.5864848184508227337e-14	-2.4096291114996987199e-12	-6.8764466904988422894e-12	-2.0937995685585373522e-12	-6.9966574779571540828e-12
-7	-5	6	3.2183970983275899814e-13	-5.4275673717591669086e-13	-1.7391339310361145696e-12	-1.2943703511041646124e-12	-1.0737986143918767024e-12	-1.7118581526253734005e-12
-7	-5	7	1.0789479033021840364e-09	-6.6706555695113584737e-10	1.2577800744919748222e-09	-8.3789599541273377821e-10	1.977362242225023136e-09	-1.2655626965316599747e-09
-7	-4	-7	2.5494072551829091107e-12	-2.1966141774510676782e-12	-2.8132700070161267577e-12	2.5712681692824900084e-12	-9.4182439403083653353e-13	7.2731808071821634584e-13
-7	-4	-6	-2.867748861049116646e-12	6.8015133217635095075e-13	-1.2851729271359684948e-12	5.1547997486288908462e-13	4.2024889559812812117e-12	-1.1371632041143355831e-12
-7	-4	-5	5.8909218869751005707e-14	3.1795159233794165236e-14	-1.9460741841625820977e-13	-4.403314609795546298e-14	7.3213028315355157301e-14	-9.2867060489474549506e-15
-7	-4	-4	-9.7661383066338917832e-14	-4.0344934796895254637e-14	-4.8473160854628371185e-14	-1.2883550535850517621e-13	2.1938058122072149948e-13	1.9943914125307185762e-13
