# exact-gradient local quartic closure adversary; cutoff=3; objective=shape-power-ratio; selection=remainder-without-123; backend=direct; objective_value=1.22251e-05; constant_ratio=0.0441372; candidate_lemma_proved=false
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-3	-3	-3	8.1111717351392276638e-06	-7.4253012751070892185e-05	9.889990914268238434e-06	3.2491936533253592348e-06	-1.8001162649407464404e-05	7.1003819097745533373e-05
-3	-3	-2	6.6202308084261295932e-05	3.505312776755644337e-06	-3.5692376188188953837e-05	-7.2312260538873168449e-06	-4.5764897844108519919e-05	5.5888699156975081266e-06
-3	-3	-1	1.5252059307845586988e-06	-1.1979689496260050824e-05	1.6684979453058634401e-06	1.1183316812266605881e-05	-9.5811116282712664168e-06	2.3891180519803356764e-06
-3	-3	0	-1.5558835313149089334e-06	-3.9906916099370862302e-06	1.5558835313149089334e-06	3.9906916099370862302e-06	1.8180879847963602597e-05	4.4280069476556887335e-06
-3	-3	1	2.7786727293112223899e-07	-2.5732337329919291089e-06	4.287197438711189647e-06	3.9041063283411599942e-06	1.3695194134926935129e-05	3.9926177860476943501e-06
-3	-3	2	-6.0390086744986508675e-05	2.293024279020862492e-05	1.5830559598823489535e-05	-2.1127349562629221959e-05	-6.6839290719244523627e-05	2.7043398413691031701e-06
-3	-3	3	3.8536880670280073823e-05	2.5592687653121299127e-05	-4.031235740098617601e-06	-1.8474498621211265132e-05	3.450564493018145961e-05	7.1181890319100331481e-06
-3	-2	-3	-6.3599277684971288632e-05	6.2544244212057927565e-05	0.00015073669993158141816	-3.9235365343696403172e-05	-3.6891855602749650032e-05	-3.6387333982926983083e-05
-3	-2	-2	-3.7957690235929913659e-06	2.9509025283940341461e-05	-1.7804810212892678247e-05	-4.248647821958530951e-05	2.3498463748282167625e-05	-1.7770597063251995045e-06
-3	-2	-1	2.951604854817310421e-05	-2.8353900633132584144e-05	-7.1201267492820711266e-05	4.7531472682637771246e-05	5.3854389341122109903e-05	-1.0001243465877793448e-05
-3	-2	0	-3.2724096281884487231e-06	8.2631348376517797625e-06	4.9086144422826730847e-06	-1.2394702256477670491e-05	8.4311454630968657426e-06	-6.8801192808850673182e-06
-3	-2	1	1.8696275983439615028e-05	-1.6875275162850600998e-05	-3.3754602101128438393e-05	1.5049389105436301628e-05	-1.1420376251938026621e-05	-2.0527047277679199736e-05
