# completed local quartic closure restart checkpoint; cutoff=1; restart=11; seed=10822922891966284999; objective=shape-power-ratio; selection=remainder-without-123; optimized_objective=3.87262033340486395e-47; refined_objective=0; accepted_steps=11; candidate_lemma_proved=false
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-1	-1	-1	-0.069744969887396660035	-0.052018304513299272462	0.034412129633258382866	0.057661058564295104845	0.035332840254138284108	-0.0056427540509958315149
-1	-1	0	9.5293910507873684089e-05	0.033851220307100256257	-9.5293910507873684089e-05	-0.033851220307100256257	0.077224039089055812601	-0.10771625837280278393
-1	-1	1	-0.067162691949502750788	0.027952516662426440258	0.10711398455270960961	-0.0067169436740121138754	0.039951292603206858822	0.02123557298841432725
-1	0	-1	0.073738536875299159901	0.0081131703765538291939	0.16418408176555965294	0.084631861134585512074	-0.073738536875299159901	-0.0081131703765538291939
-1	0	0	0	-0	-0.19971013800239303948	-0.20102462816682159508	-0.026533672963876889228	0.11022777347079286414
-1	0	1	0.0084043803947652512276	0.19178619379977160375	-0.074301618185844020559	-0.035675389387258261975	0.0084043803947652512276	0.19178619379977160375
-1	1	-1	-0.038630576086250013879	-0.013064278063801618851	0.044267963086027373176	0.037582351034969201098	0.082898539172277393994	0.050646629098770816479
-1	1	0	0.018393332129427380356	0.061979632402300324778	0.018393332129427380356	0.061979632402300324778	0.13953096561292191446	-0.070650729417499003038
-1	1	1	-0.025200649518151645168	-0.017961516341941232561	-0.042114508863870768474	0.0022417549466717009814	0.016913859345719126775	-0.020203271288612933976
0	-1	-1	-0.12575823171491731789	-0.025594188024975272205	-0.039721576148718247545	-0.040709433299706464238	0.039721576148718247545	0.040709433299706464238
0	-1	0	-0.033993633683415784563	-0.05700413881546661371	0	-0	-0.12820234516548131842	-0.16243649617105565541
0	-1	1	-0.098289156696155927095	-0.092662837424785107765	0.039020937327205337808	0.04418850897927505128	0.039020937327205337808	0.04418850897927505128
0	0	-1	-0.053309371635520491628	0.055604147848113502639	-0.27759779815592849905	-0.0083484990746898156411	0	-0
0	0	1	-0.053309371635520491628	-0.055604147848113502639	-0.27759779815592849905	0.0083484990746898156411	0	0
0	1	-1	-0.098289156696155927095	0.092662837424785107765	0.039020937327205337808	-0.04418850897927505128	0.039020937327205337808	-0.04418850897927505128
0	1	0	-0.033993633683415784563	0.05700413881546661371	0	0	-0.12820234516548131842	0.16243649617105565541
0	1	1	-0.12575823171491731789	0.025594188024975272205	-0.039721576148718247545	0.040709433299706464238	0.039721576148718247545	-0.040709433299706464238
1	-1	-1	-0.025200649518151645168	0.017961516341941232561	-0.042114508863870768474	-0.0022417549466717009814	0.016913859345719126775	0.020203271288612933976
1	-1	0	0.018393332129427380356	-0.061979632402300324778	0.018393332129427380356	-0.061979632402300324778	0.13953096561292191446	0.070650729417499003038
1	-1	1	-0.038630576086250013879	0.013064278063801618851	0.044267963086027373176	-0.037582351034969201098	0.082898539172277393994	-0.050646629098770816479
1	0	-1	0.0084043803947652512276	-0.19178619379977160375	-0.074301618185844020559	0.035675389387258261975	0.0084043803947652512276	-0.19178619379977160375
1	0	0	0	0	-0.19971013800239303948	0.20102462816682159508	-0.026533672963876889228	-0.11022777347079286414
1	0	1	0.073738536875299159901	-0.0081131703765538291939	0.16418408176555965294	-0.084631861134585512074	-0.073738536875299159901	0.0081131703765538291939
1	1	-1	-0.067162691949502750788	-0.027952516662426440258	0.10711398455270960961	0.0067169436740121138754	0.039951292603206858822	-0.02123557298841432725
1	1	0	9.5293910507873684089e-05	-0.033851220307100256257	-9.5293910507873684089e-05	0.033851220307100256257	0.077224039089055812601	0.10771625837280278393
1	1	1	-0.069744969887396660035	0.052018304513299272462	0.034412129633258382866	-0.057661058564295104845	0.035332840254138284108	0.0056427540509958315149
