# exact-gradient local quartic closure adversary; cutoff=4; objective=shape-power-ratio; selection=double-triple-remainder-without-123; backend=direct; objective_value=6.50086e-06; constant_ratio=0.0444595; candidate_lemma_proved=false
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-4	-4	-4	5.938025564466662689e-05	-5.4562022620611930342e-05	5.2663051359735949745e-05	2.4411225316768840886e-05	-0.00011204330700440258341	3.0150797303843089456e-05
-4	-4	-3	-1.3127991604158680571e-06	1.7354211873171308585e-06	2.3985028295422833925e-07	-9.5011510181438263674e-07	1.430598503282186361e-06	-1.0470747806703309624e-06
-4	-4	-2	-1.4061227635484005345e-06	-2.4911884740758419323e-06	1.6715264056014499007e-06	-1.6539181143322192562e-06	-5.3080728410609862659e-07	8.2902131768161215299e-06
-4	-4	-1	1.0909045714830893256e-06	-1.8015342044973021646e-06	1.2120735764351630462e-06	2.3444475094881321929e-06	-9.2119125916730103341e-06	-2.171653219963319266e-06
-4	-4	0	1.073655284961332406e-06	-1.0234452413371140483e-07	-1.073655284961332406e-06	1.0234452413371140483e-07	-1.9128184080803109992e-06	2.2000757787958081287e-06
-4	-4	1	3.1206204959073234253e-07	1.7306118294439640879e-06	2.592327379932454997e-06	1.229185301598254247e-06	1.1617557718092749782e-05	1.1839188524168874186e-05
-4	-4	2	2.2987187883155131856e-07	-5.5217971510177664376e-08	-1.9935170427158061989e-06	6.3078344180808756616e-07	-3.5272903277685094431e-06	1.1511309405958197903e-06
-4	-4	3	-1.7987053163213010309e-07	-8.1117313903631381953e-07	-1.8262561403775174196e-07	-6.8983090754614009829e-09	-4.8332819422650919731e-07	-1.0907619308157003194e-06
-4	-4	4	5.4229874410979484264e-06	-4.9501569994458099024e-05	-1.811705186251803965e-06	-1.7730996571551450313e-06	3.6112822548461442497e-06	-5.1274669651613244902e-05
-4	-3	-4	1.3710843875606781051e-06	1.5676820560030560549e-06	-3.341902948368155493e-06	-7.419306753578697663e-06	1.1353428237154385146e-06	3.9967980091809671923e-06
-4	-3	-3	8.8501617466563687161e-06	-5.652547158725760543e-06	-2.7681962892685746761e-06	-1.1038853331434869361e-06	-9.0320193729399156747e-06	8.6406148781111670248e-06
-4	-3	-2	-3.3633820564908318551e-06	1.6494622669047825574e-06	2.2524645212396302558e-06	-1.2189453051922011015e-06	3.34806733112221875e-06	-1.4705065760212633566e-06
-4	-3	-1	5.5663876165937681352e-07	8.7463652994084699206e-08	-5.451737987842044012e-07	6.4845260162758478784e-08	-5.9103365028489405048e-07	-5.4439039246461420671e-07
-4	-3	0	-2.0940877246686840014e-07	2.3482991050588239634e-06	2.7921169662249121783e-07	-3.1310654734117651433e-06	-6.9619323518011236918e-07	9.9630042021261197579e-07
-4	-3	1	4.2445946456630377384e-07	1.5619256938395976435e-06	-2.748576299695820871e-07	-1.4430014123481388305e-06	8.7326496835646878115e-07	1.9186985383139738708e-06
-4	-3	2	2.1024613988578861228e-06	-2.1591386008118362403e-06	-2.161218055529701488e-06	2.4906268667032416622e-06	9.6309571442122001357e-07	-5.8233690156881019909e-07
-4	-3	3	-2.5841233815301396741e-06	6.3303130322502262691e-07	7.8305053011807308825e-06	1.8976452701531625587e-06	4.3850074591405452151e-06	2.7416870077865259201e-06
-4	-3	4	1.3338603240278193859e-07	-9.0978323595214435612e-07	-5.4228925227900127793e-07	2.805958702530517233e-09	-2.7333090680646904633e-07	-9.0767876692524644358e-07
-4	-2	-4	2.3177720210902400386e-06	5.6784661746267749895e-06	3.4401314035017306373e-06	-2.4696189347102045846e-05	-4.0378377228411053572e-06	6.6696284989242479336e-06
-4	-2	-3	8.8100184646232999859e-07	2.9769000517061486119e-06	-7.9349176152960510266e-07	-1.9843968963058811447e-06	-6.4567462093003663164e-07	-2.6462688047376105783e-06
-4	-2	-2	1.8732904243582131093e-05	3.7077970360335282539e-06	-3.1933608420213289639e-06	-3.9756929254395054543e-06	-3.4272447645142931527e-05	-3.4399011466275510534e-06
-4	-2	-1	7.5389755073812930798e-06	-1.2639567344771899632e-05	-1.0090965066241193207e-05	2.1388154872759100166e-05	-9.9739718970427859051e-06	7.7819596335693931116e-06
-4	-2	0	-9.5804508256647377234e-06	-3.3842599949606174791e-05	1.9160901651329475447e-05	6.7685199899212349583e-05	2.502799282208545157e-05	1.1562295781540916166e-05
-4	-2	1	-1.0296618344621747876e-05	1.7434698850788533018e-06	2.0176142337779649349e-05	-9.9986658069181633112e-07	-8.3418870292769206708e-07	4.9741463789317809683e-06
-4	-2	2	-2.5423801676794802508e-06	1.2513795760865606493e-06	-7.9823050116686002373e-07	-7.5343522343196079463e-06	-5.8829908365258207372e-06	-5.0315930821464870712e-06
-4	-2	3	1.0640473715519657325e-06	-1.6720492681637880465e-06	4.5832721438740159e-07	-1.1441716087372091078e-06	1.7242813049942221778e-06	-2.9921800967098569417e-06
-4	-2	4	2.8196560577722972465e-07	-1.0892939192810340544e-06	-4.3115105926056689196e-07	-9.6790528855840794918e-07	6.6390076146946265434e-08	-1.573246563560238029e-06
-4	-1	-4	-1.4451183034538545973e-06	8.9705862926937241815e-06	3.9036812272348094107e-05	-5.7293634872231495874e-05	-8.3140847646331689295e-06	5.3528224253641506339e-06
-4	-1	-3	-8.572080255931348412e-07	-2.9140231524407388662e-06	-4.6220182034280546424e-08	2.7640959584259367483e-06	1.1583507614689400983e-06	2.9639988837790062388e-06
-4	-1	-2	-2.1966458204154776728e-05	-1.088820778454552698e-05	-5.0079918682900900366e-06	-8.2961237009131498683e-06	4.6436912342454595933e-05	2.5924477419547628895e-05
-4	-1	-1	-0.00011206013521665865148	2.5271786923855473752e-05	0.00021854926544879080762	-4.4235732665051254024e-05	0.00022969127541784382538	-5.6851415030370634209e-05
-4	-1	0	-9.6337565419133587975e-06	2.389410715450469608e-05	3.853502616765343519e-05	-9.5576428618018784318e-05	1.6189173819172031485e-05	2.9006522944978437647e-05
-4	-1	1	8.4696366076869261208e-05	8.2113233016020342812e-05	-0.00014025585761275247945	-0.00011530246049514113909	0.00019852960669472459248	0.00021315047156894023216
-4	-1	2	1.0030185921895706245e-07	2.9101142875064483482e-06	3.6932670975515097572e-06	9.1024265722481583331e-06	2.047237267213668977e-06	1.037144186113697671e-05
-4	-1	3	-1.9617539457918052516e-06	2.4804231526927303558e-06	1.9083579683351355844e-06	-2.8092498302775238381e-06	-1.979552604944028474e-06	2.3708142601644657205e-06
-4	-1	4	4.3065502949193711367e-06	-4.6485642675293480821e-06	-4.849175500791562186e-07	1.6196376016621329034e-06	4.1853209073995828232e-06	-4.2436548671138153856e-06
-4	0	-4	4.4693576218205288024e-07	1.1068159354925587961e-06	-6.7263049504013892613e-06	3.4310342376675443922e-06	-4.4693576218205288024e-07	-1.1068159354925587961e-06
-4	0	-3	-1.4432125369730752135e-06	1.8022590952533929161e-06	2.0787043984456373391e-06	-2.1368429054441532848e-06	1.9242833826307668102e-06	-2.403012127004523747e-06
-4	0	-2	2.413002768956277818e-05	2.2356543365605416616e-05	3.8447183455260792046e-06	-4.5129074408892297496e-05	-4.8260055379125556361e-05	-4.4713086731210833233e-05
-4	0	-1	2.4079108627931039604e-05	-4.4872759342806698248e-06	2.0521972081423079439e-05	-5.6725658461541059749e-05	-9.6316434511724158415e-05	1.7949103737122679299e-05
-4	0	0	0	-0	1.7068600691277040346e-05	-3.206257429237528112e-06	-9.2456913296011988736e-05	-0.00022697832496838609784
-4	0	1	-6.6500529612615973314e-05	-5.8134163665204879119e-05	1.4726499633627710065e-05	0.00010559742137918119416	-0.00026600211845046389325	-0.00023253665466081951648
-4	0	2	-3.4846497497656113136e-05	2.4713874541012631491e-05	-8.3182505527659776449e-06	4.3245410267059471296e-06	-6.9692994995312226273e-05	4.9427749082025262983e-05
-4	0	3	9.9263935934655461419e-07	1.4052975047409170458e-06	6.9183695714536112989e-07	5.2273768572733150142e-06	1.3235191457954060817e-06	1.8737300063212227984e-06
-4	0	4	-1.9809762235814923054e-07	5.8064448194186971307e-07	4.9882241808504348342e-07	-6.0613716147842223285e-07	-1.9809762235814923054e-07	5.8064448194186971307e-07
-4	1	-4	1.3689471181182245844e-06	-2.5683519709030670274e-06	1.5326360837783672812e-05	1.4850477782438180764e-06	2.4626430913276934068e-06	2.9396139154640215465e-06
-4	1	-3	1.057512986924317428e-06	2.8981727985304107106e-07	6.4790403366258145447e-07	1.3631357461471206128e-07	-1.1940493046782292779e-06	-3.4098518159915068804e-07
-4	1	-2	-4.3676184699287160285e-06	4.0431923719134395435e-06	8.830622837609217792e-06	-2.217981543060523308e-05	1.3150548358662040953e-05	-1.9176292459129495627e-05
-4	1	-1	-8.6437968719378448744e-05	7.0761830569132969874e-05	-0.00028107504704842379293	0.00017201224066595795269	6.4676827829089974945e-05	-0.00011103508161057395391
-4	1	0	-1.4815417511498938145e-05	2.8495183875690614333e-05	-5.9261670045995752578e-05	0.00011398073550276245733	-4.2956796612028796674e-06	0.00014936074138151411565
-4	1	1	9.1760947045154133295e-05	2.1924650659109923035e-05	0.00012325279711734244748	-2.1686239044214600626e-06	0.00024379099106327405859	8.9867226540861155589e-05
-4	1	2	1.0591832103516433502e-05	-7.5494274250713717847e-06	5.0882776151791583307e-06	-7.0895437218674237225e-06	1.8639525399443287415e-05	-1.1554082989209030861e-05
