# cutoff=6 energy=1 Q=D^4*Z=0.00035953907741135285531
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-6	-6	-6	2.6449566591709831217e-07	3.7819352313953737057e-08	-1.2440220035042569826e-07	1.0296968342077004516e-08	-1.4009346556667258744e-07	-4.8116320656030744882e-08
-6	-6	-5	2.9555330137528942815e-08	-4.3236629044789781575e-08	-2.3105611569849191077e-08	3.8454499552448068508e-08	-7.7396622812157010931e-09	5.7385553908100604774e-09
-6	-6	-4	5.8068954765427140122e-08	9.985384846777434863e-08	-5.4545929728256334169e-08	-8.9036665827085090623e-08	-5.284537555756210583e-09	-1.6225773961033887011e-08
-6	-6	-3	1.805761886038569253e-10	3.3214525759749047674e-10	-3.4483200174387689269e-11	-2.9607550994685362591e-10	-2.9218597685893845914e-10	-7.21394953012736629e-11
-6	-6	-2	-2.3689204964919459217e-09	5.2524994701447505321e-09	2.0839474222577155627e-09	-4.7693767877801904081e-09	8.5491922270269055997e-10	-1.4493680470936805787e-09
-6	-6	-1	-5.69348153066185387e-11	-7.9026273198524210937e-11	4.9106931824151035716e-11	6.905068924458399501e-11	4.696730089480501144e-11	5.9853503723641321414e-11
-6	-6	0	1.4443132429223274276e-11	-6.0873540099387860895e-12	-1.4443132429223274276e-11	6.0873540099387860895e-12	5.4205425718111441347e-12	2.9588400826247456916e-12
-6	-6	1	-5.4352984262789427727e-11	-1.3925329730391571553e-11	4.4645683454622870133e-11	1.2486302394246094491e-11	-5.8243804848999319717e-11	-8.6341640168728656004e-12
-6	-6	2	-2.6030161567679557746e-09	3.2628125343878756425e-09	2.4511985346454924772e-09	-3.1453539763758744583e-09	-4.5545286636739025435e-10	3.5237567403600339748e-10
-6	-6	3	-5.3291474968086683093e-10	-7.1821615731083053821e-10	5.6442542079673897215e-10	7.7524533406653100866e-10	6.3021342231744411677e-11	1.1405835351140082458e-10
-6	-6	4	-8.0915808352874229987e-08	-5.8056021993190440013e-09	8.1470959215018068512e-08	4.2193531334204042389e-09	8.3272629321575313352e-10	-2.37937359884795923e-09
-6	-6	5	-1.6747646626485458307e-08	2.4241835600749448955e-08	1.7239009686333170872e-08	-3.1931553952858805927e-08	5.8963567181725478861e-10	-9.227662022531228367e-09
-6	-6	6	-5.8711945579330840103e-08	-1.2273125516119321621e-07	1.1242532203588126121e-07	1.3410827785518841654e-07	5.371337645655042773e-08	1.1377022693995200322e-08
-6	-5	-6	-4.612416882403083839e-08	1.7634147675443671178e-08	1.5531465059018689424e-08	-9.5523754303261806445e-09	3.3181281274848597203e-08	-9.6738348168385184354e-09
-6	-5	-5	1.2120712656330469507e-08	-2.3588542836798246745e-07	6.0722333201330198787e-09	1.8065622351108463375e-07	-2.0617088507729581302e-08	1.0240629053049432983e-07
-6	-5	-4	4.3713362227151570373e-08	1.987609229969984932e-08	-9.9736875193940314639e-08	-4.1190075092881881895e-08	5.9101050651698041047e-08	2.1673455416552580042e-08
-6	-5	-3	1.5420648751191910299e-08	-1.0526614776647626092e-08	-1.3380573956382487412e-08	6.6715065536643571617e-09	-8.5403409084130093476e-09	9.9340519638546555353e-09
-6	-5	-2	3.7833855970053615644e-11	3.6370531985821779518e-10	-4.9470651512062086128e-11	-3.7737370029815435808e-10	1.017506086999436031e-11	-1.4768170882926759374e-10
-6	-5	-1	-2.2969395926286504961e-10	-5.6856072511330231235e-11	2.749595542298319659e-10	6.8550547338646228209e-11	3.3659844280304629024e-12	-1.6163016252497532297e-12
-6	-5	0	1.1064930833896085008e-12	-2.2243426941330827013e-12	-1.3277917000675302414e-12	2.6692112329596989185e-12	-2.4500282572055835553e-13	-1.4032643085062169929e-12
-6	-5	1	-1.0771751975590764182e-10	-1.3972614262430154019e-10	1.2207068197350167395e-10	1.7937128413545665569e-10	-3.5951708667937481177e-11	5.8499564931474127786e-11
-6	-5	2	-3.890511272274844019e-11	2.0462232508755722749e-10	5.8919515749599058245e-11	-2.229772310551355941e-10	3.0583451205752325043e-11	5.6423897624832671387e-11
-6	-5	3	1.0327548731907110709e-08	7.0949104189913393392e-09	-1.2471485245837475422e-09	-2.8504220111775906837e-09	1.857651658950797455e-08	9.4391174860200276768e-09
-6	-5	4	-3.7247126394929359552e-08	2.2668106840842124657e-08	9.4756564558049789594e-08	-6.142317608650231001e-08	6.2575016105168200973e-08	-4.2776809846864700527e-08
-6	-5	5	-4.8384816568048275032e-09	1.2928587817940741937e-07	-1.4562440107380637765e-08	-1.5886142595379834209e-07	-2.0368618095546430769e-08	-3.7183721385094179226e-09
-6	-5	6	8.3419585727164793781e-09	1.1091329630190124364e-08	-1.759310666105320675e-08	-6.5909590342436571687e-09	-6.3189636448278590284e-09	5.59886376832040923e-09
-6	-4	-6	-6.6021540928216071781e-08	8.4900372821979312794e-08	1.3069321173655450247e-09	-6.8419044628983400896e-09	6.5150252849972375235e-08	-8.0339103180047088825e-08
-6	-4	-5	-3.22183578560353084e-08	-6.0573311571326408655e-08	2.8041243729105904313e-08	3.9929143930931152707e-08	1.6229034443957648615e-08	4.0744658740846774838e-08
-6	-4	-4	-2.64476697615189835e-10	6.0640644420053651585e-10	5.0668755673770941703e-08	-2.5055668429536250306e-09	-5.0272040627348157545e-08	1.5959571766528202568e-09
-6	-4	-3	-2.5197650392633800581e-10	1.0185813907433040856e-09	6.051967659654535728e-10	-1.2446906616891754099e-09	-3.0297601343459543601e-10	-3.7757523256770748679e-10
-6	-4	-2	-4.0378966280511115694e-10	-4.9545867918985349333e-10	6.5135627194136719578e-10	8.7900614815976246148e-10	-9.1343555467401011197e-11	-2.7163625874996433959e-10
-6	-4	-1	8.4539078401529005369e-12	3.1087323520368958733e-13	-1.7117387187769233578e-12	-3.6236115004171880201e-12	-4.387649216580970979e-11	1.262920659044661496e-11
-6	-4	0	-6.1077508928615082715e-12	1.154932629092273805e-10	9.1616263392922624072e-12	-1.7323989436384107076e-10	-4.1046900524430387411e-12	2.8475820123114002152e-12
-6	-4	1	-6.5039348340699593764e-13	-2.6462045061794475416e-11	8.7276609352198016459e-12	4.0639487355385984027e-11	3.1008282840437236814e-11	3.785679050777075538e-12
-6	-4	2	-9.2878521294392475548e-10	-6.8202121975321805131e-10	4.8997860603316511577e-10	6.3186679943436658088e-10	-1.8063984267654439315e-09	-7.8233006039092109558e-10
-6	-4	3	-1.3398478179816984216e-09	1.2238341583721659652e-10	5.4346418280371525661e-10	1.7188398483462666414e-10	-1.9550767255584428921e-09	4.7394547812060204409e-10
-6	-4	4	5.3932068653650122889e-10	-3.0627677851615571823e-09	-1.6268126778349028431e-08	2.4787067149746409192e-08	-1.5459145748544276898e-08	2.0192915472004074245e-08
-6	-4	5	1.47752384828279719e-08	2.8412361912817151477e-08	-3.3991534922055788225e-08	-3.7546230047836891812e-08	-9.4629417582510659546e-09	4.0578502571110683222e-09
-6	-4	6	2.7081986460190961487e-08	9.5572022054366966051e-09	-1.5246927504656721647e-08	5.9640935175546309706e-09	1.6917368123753148159e-08	1.3533264550473116149e-08
-6	-3	-6	1.4302636846723482352e-10	1.6298241457485964078e-09	-4.5586504680258865723e-11	-9.520446173532567076e-11	-1.2023311612710539712e-10	-1.58222191488093365e-09
-6	-3	-5	-1.6394128350311805543e-08	-1.0115457343404327442e-08	8.8531390449871155041e-09	8.7352059686921332636e-09	1.4361070593381898011e-08	6.8974252308699134688e-09
-6	-3	-4	-1.2321583000227823519e-10	-1.2154016286369761638e-10	-4.9400791556573875486e-10	1.1278982398174650414e-09	5.5532968167772132846e-10	-6.6361343556755244697e-10
-6	-3	-3	2.478519539440670868e-10	-1.4756725349787564035e-10	-7.4391234113149948096e-10	-3.3683054881557324715e-09	2.4820843324336535906e-10	3.6634399951514840624e-09
-6	-3	-2	2.4621672634226897233e-10	4.3765116377152081965e-11	-3.7045527251853873392e-10	-5.86701923474927693e-11	-1.8296727024899876441e-10	-4.3290060610217091946e-11
-6	-3	-1	-2.1112404999944903517e-10	2.9313500003235929677e-10	1.3000715346139276686e-10	-1.8620344203806710748e-10	8.7672283961251591041e-10	-1.2001996740799542514e-09
-6	-3	0	-5.0375953873239477987e-11	-1.099925678365463925e-10	1.0075190774647895597e-10	2.19985135673092785e-10	-9.3503389756842541973e-12	5.3980790769637152911e-12
-6	-3	1	-3.8271216888504574819e-10	-2.5433735934940565766e-11	2.7161988579965606745e-10	4.7082139450250868007e-11	-1.4814133559113062351e-09	-1.1355997258890797037e-11
-6	-3	2	-7.541534838708419475e-11	2.0006440027627722481e-10	1.8790956387161989597e-10	-3.2817711739254761435e-10	5.5618300646177253236e-11	1.0792752474001022704e-10
-6	-3	3	-5.8705478083779917976e-10	3.8508008081343015409e-10	2.2397758048311866235e-09	-4.5408958242906412541e-10	1.065666243155588264e-09	3.1607057919779623448e-10
-6	-3	4	1.692167951193489562e-10	5.9363601347538087609e-10	-8.0186899216402089939e-10	-3.1002747650483860497e-09	-3.4757655144399222732e-10	-1.4347520535732182749e-09
-6	-3	5	5.2038638984631599028e-09	4.3060687401308984071e-09	9.736674784812817049e-09	-1.4386019735258355056e-09	1.2086641549043481451e-08	4.3041213040415761648e-09
