# cutoff=4 energy=1 Q=D^4*Z=0.00036102436882909128306
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-4	-4	-4	-4.5561893549000282217e-06	-3.7515010845916293367e-06	2.4537323766837377326e-06	1.2236933230140616517e-06	2.1024569782162909126e-06	2.5278077615775678968e-06
-4	-4	-3	-5.1222539150766012911e-07	2.4548618347435717199e-07	3.3561617998143494053e-07	-1.8771776855141936781e-07	2.3547894870163358476e-07	-7.702455323058372568e-08
-4	-4	-2	8.5500211983727328493e-09	1.190497040835013241e-07	-8.8488070200489926373e-08	-6.9924187316361624383e-07	1.5987609800423440359e-07	1.1603843381602299189e-06
-4	-4	-1	-8.7107646426027861323e-08	-4.88158751878415684e-08	7.9241305351485978884e-08	4.261187654058249995e-08	3.1465364298167516521e-08	2.4815994589036290345e-08
-4	-4	0	-1.8374719066323394972e-08	1.6473722826398930053e-08	1.8374719066323394972e-08	-1.6473722826398930053e-08	-1.4212479850000511271e-09	8.1156223889675495435e-11
-4	-4	1	-6.3985606154128419435e-08	1.0889868950706955523e-08	6.1625486502926487742e-08	-1.1175391093318808997e-08	-9.4404786048077383533e-09	-1.1420885704474178283e-09
-4	-4	2	-1.2501828924854591434e-07	-4.6892240214337595429e-08	7.0092469258707539165e-07	1.7929504634813612632e-07	1.1518128066770590605e-06	2.6480561226759704855e-07
-4	-4	3	-2.8715438450713016134e-07	-2.6584099417296233719e-07	2.7478085044048078575e-07	2.2500009302724482429e-07	-1.6498045422199222596e-08	-5.4454534860956703729e-08
-4	-4	4	2.9284901266417748088e-06	-7.0805637876979009931e-07	-3.4080521835672908985e-06	1.8106330677875353044e-06	-4.7956205692551587794e-07	1.1025766890177452051e-06
-4	-3	-4	4.8895148047472561349e-07	8.5280695897696806707e-08	-9.7834781604094571766e-10	3.4250971846635596953e-08	-4.8821771961269487447e-07	-1.1096892478267351269e-07
-4	-3	-3	-1.1735038733025358563e-06	2.3123683802825457852e-06	1.2566471008182636138e-06	-2.9849082981553770026e-06	3.0802473025178428277e-07	-9.8249542221350675735e-08
-4	-3	-2	7.4591426564343062517e-09	1.448536083147359981e-08	-1.5987514203005275413e-09	-2.0962224503674041602e-08	-1.2520158182417819227e-08	2.4726150925638615435e-09
-4	-3	-1	-2.1369898665299183109e-09	4.1533849905622540815e-10	-5.3708003948453204355e-09	1.2143833970806878638e-09	2.4660360650655637032e-08	-5.3045041874669648105e-09
-4	-3	0	2.9209746799594767718e-08	-1.1363068794077949298e-07	-3.8946329066126359163e-08	1.515075839210393328e-07	1.7929753580240801238e-09	-7.4413906329384739252e-10
-4	-3	1	-1.5773125644722851934e-09	-1.320792934882147536e-09	-3.9968136511349334695e-09	-3.8666523672856792933e-09	-1.8299691211293942837e-08	-1.6883128841385627197e-08
-4	-3	2	-2.7415202754181265076e-10	6.4956983296778603225e-09	-7.4500502468922319916e-09	5.6418542210327437769e-09	-1.1723379425421973703e-08	2.1454177990904836724e-08
-4	-3	3	-1.2902314480346528507e-06	-1.146949148812547023e-06	3.5573569144777763536e-06	6.8841131449944271718e-07	1.8370483170982392899e-06	-8.4085421725061990954e-07
-4	-3	4	-1.4179183704354302008e-07	1.0162811341305755049e-07	5.1278743309649172378e-08	-1.4244584126783990056e-07	-1.0333277956130615073e-07	-5.2062675378223633422e-09
-4	-2	-4	6.2505785400562150377e-07	-4.6583619855992982621e-07	-9.8287805127438493603e-07	7.3720183067308899225e-07	-1.3361882836842906223e-07	9.7235283223385343315e-08
-4	-2	-3	-5.3803064155493189183e-09	1.700952153093321917e-08	1.7527066560968927031e-08	5.8910708590972885655e-08	-4.5109691532468583601e-09	-6.195316776855954933e-08
-4	-2	-2	-3.3577462953516463243e-07	-1.0688069500082225197e-07	3.5380118862378245842e-07	1.1207536877222414967e-07	3.1774807044654680644e-07	1.0168602122942036751e-07
-4	-2	-1	1.1434983918239533663e-08	-9.1575732809317527629e-09	4.3530521705931124108e-09	-8.2726679588199786143e-09	-5.4446040014144361127e-08	5.317562904136696828e-08
-4	-2	0	3.7041274322217869129e-06	1.1574406325107366146e-05	-7.4082548644435738258e-06	-2.3148812650214732292e-05	-1.6297128782112766698e-11	-3.1969106784503663604e-10
-4	-2	1	1.3252881862488633108e-08	-2.1939850893437703343e-11	9.309487743847430585e-09	4.7032065341653812834e-09	7.1630502937649386985e-08	9.3186536647570115207e-09
-4	-2	2	2.0915144290022159355e-07	-2.817065568823153635e-07	-2.1196914592021893014e-07	2.9732360724248713614e-07	2.0633373988022425696e-07	-2.6608950652214359085e-07
-4	-2	3	-3.7402325586850039384e-09	1.2475782345439092813e-08	-4.2433170813990325772e-08	-5.1587401921576104358e-08	-3.327575728757355356e-08	-1.7757224820465279155e-08
-4	-2	4	-7.2804343702349571471e-07	2.2016353532610174817e-08	1.1774361862206255292e-06	-1.2370614387767656312e-08	-1.3932534391318297658e-07	1.5831046338726347488e-08
-4	-1	-4	-4.9861274521447452014e-08	6.2467579178961990027e-08	-4.9435996133146474305e-09	-1.21794438842319228e-09	5.1097174424776110976e-08	-6.2163093081856197334e-08
-4	-1	-3	4.9258154035726320638e-08	5.4624609179380361585e-08	-5.5865386291391577707e-08	-6.2413128326710936468e-08	-4.7055743283837903821e-08	-5.2028436130270167751e-08
-4	-1	-2	-9.4852394312540831891e-08	2.7231472661124513904e-08	1.1011900310244603354e-07	-2.5463724324758186121e-08	1.3464528707385863378e-07	-4.1731083159869933093e-08
-4	-1	-1	1.1363541168433453459e-07	-5.0417685008128431305e-07	-2.5474167089776951902e-07	1.1277838410016908511e-06	-1.9979997583956859287e-07	8.8892355932344650698e-07
-4	-1	0	2.1617544019408815985e-08	1.7523324941714129486e-08	-8.6470176077635263939e-08	-7.0093299766856517945e-08	7.485705838346621331e-09	-1.8881280156761346628e-09
