# cutoff=4 energy=1 Q=D^4*Z=0.00036102436882909128306
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-4	-4	-4	-4.5561893549000197513e-06	-3.7515010845916365365e-06	2.4537323766837373091e-06	1.2236933230140603811e-06	2.1024569782162820187e-06	2.5278077615775759436e-06
-4	-4	-3	-5.1222539150765907032e-07	2.4548618347435680142e-07	3.3561617998143419938e-07	-1.8771776855141897076e-07	2.3547894870163318772e-07	-7.702455323058372568e-08
-4	-4	-2	8.5500211983726749467e-09	1.1904970408350129763e-07	-8.8488070200489899903e-08	-6.9924187316361666735e-07	1.5987609800423445653e-07	1.1603843381602307659e-06
-4	-4	-1	-8.7107646426027914262e-08	-4.8815875187841581635e-08	7.9241305351486045058e-08	4.2611876540582513185e-08	3.1465364298167496669e-08	2.4815994589036263875e-08
-4	-4	0	-1.8374719066323474381e-08	1.6473722826398966449e-08	1.8374719066323474381e-08	-1.6473722826398966449e-08	-1.4212479849999504179e-09	8.1156223889668697045e-11
-4	-4	1	-6.3985606154128538549e-08	1.088986895070695056e-08	6.1625486502926620091e-08	-1.1175391093318785836e-08	-9.4404786048076969943e-09	-1.1420885704473367646e-09
-4	-4	2	-1.2501828924854604669e-07	-4.6892240214337681456e-08	7.0092469258707592104e-07	1.7929504634813633808e-07	1.1518128066770596958e-06	2.6480561226759731324e-07
-4	-4	3	-2.8715438450712952606e-07	-2.6584099417296170192e-07	2.7478085044047993872e-07	2.2500009302724421548e-07	-1.6498045422199424428e-08	-5.4454534860956657407e-08
-4	-4	4	2.928490126641779891e-06	-7.0805637876979338157e-07	-3.4080521835672908985e-06	1.8106330677875359397e-06	-4.7956205692551132513e-07	1.1025766890177424522e-06
-4	-3	-4	4.8895148047472423706e-07	8.5280695897696568479e-08	-9.7834781604048435767e-10	3.4250971846635517544e-08	-4.8821771961269392156e-07	-1.1096892478267320829e-07
-4	-3	-3	-1.1735038733025367033e-06	2.3123683802825474793e-06	1.2566471008182646726e-06	-2.9849082981553791202e-06	3.0802473025178422983e-07	-9.824954222135074191e-08
-4	-3	-2	7.4591426564342880537e-09	1.4485360831473606427e-08	-1.5987514203005523567e-09	-2.0962224503674087925e-08	-1.2520158182417746435e-08	2.472615092563916551e-09
-4	-3	-1	-2.1369898665298897731e-09	4.1533849905623791926e-10	-5.3708003948453617945e-09	1.214383397080680626e-09	2.4660360650655646958e-08	-5.3045041874669937619e-09
-4	-3	0	2.92097467995947611e-08	-1.1363068794077950622e-07	-3.8946329066126345928e-08	1.5150758392103935927e-07	1.7929753580240776423e-09	-7.4413906329391790967e-10
-4	-3	1	-1.5773125644722698906e-09	-1.3207929348821200323e-09	-3.9968136511349533219e-09	-3.8666523672857024544e-09	-1.8299691211293939528e-08	-1.6883128841385587492e-08
-4	-3	2	-2.7415202754178762855e-10	6.4956983296778644584e-09	-7.4500502468922022131e-09	5.6418542210327313692e-09	-1.172337942542187775e-08	2.1454177990904826798e-08
-4	-3	3	-1.2902314480346536977e-06	-1.1469491488125476583e-06	3.5573569144777784711e-06	6.8841131449944303482e-07	1.8370483170982403487e-06	-8.4085421725062054482e-07
-4	-3	4	-1.4179183704354264951e-07	1.0162811341305715345e-07	5.1278743309648914298e-08	-1.4244584126783950351e-07	-1.0333277956130596544e-07	-5.2062675378224692213e-09
-4	-2	-4	6.2505785400562182141e-07	-4.6583619855993014385e-07	-9.828780512743855713e-07	7.3720183067308930989e-07	-1.3361882836842911517e-07	9.7235283223385488899e-08
-4	-2	-3	-5.3803064155493247085e-09	1.7009521530933288653e-08	1.7527066560968927031e-08	5.8910708590972799628e-08	-4.5109691532468525699e-09	-6.1953167768559589035e-08
-4	-2	-2	-3.3577462953516468537e-07	-1.0688069500082226521e-07	3.538011886237825643e-07	1.120753687722241629e-07	3.1774807044654685938e-07	1.0168602122942038075e-07
-4	-2	-1	1.1434983918239551861e-08	-9.1575732809317858502e-09	4.3530521705931074477e-09	-8.2726679588199322922e-09	-5.4446040014144420684e-08	5.3175629041367007985e-08
-4	-2	0	3.7041274322217869129e-06	1.1574406325107366146e-05	-7.4082548644435738258e-06	-2.3148812650214732292e-05	-1.629712878210237201e-11	-3.1969106784500742622e-10
