# cutoff=6 energy=1 Q=D^4*Z=0.00035959872037419587758
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-6	-6	-6	-1.3372102730651579884e-06	-1.9085826860223136643e-07	6.2572426000388408487e-07	-5.2789329229169110948e-08	7.1148601306127379763e-07	2.4364759783140048399e-07
-6	-6	-5	-3.1652323513561123242e-08	4.7671990807408476428e-08	2.8840069187895777811e-08	-5.1785777185864012477e-08	3.3747051907984150959e-09	4.936543654146640612e-09
-6	-6	-4	2.673921771261726745e-08	4.5807397425713106657e-08	-2.5696910335016469036e-08	-4.185921568447511899e-08	-1.563461066401198447e-09	-5.9222726118569757109e-09
-6	-6	-3	1.5015451668572826083e-09	9.5607488155904550033e-11	-7.330016351201715545e-10	-1.4261309815501406433e-10	-1.5370870634742221075e-09	9.4011219998219028598e-11
-6	-6	-2	5.5906988288361918241e-11	-1.7731116961435378994e-10	-9.3760393515367392624e-11	2.2117286293248882919e-10	1.1356021568101643607e-10	-1.3158507995440511777e-10
-6	-6	-1	-4.2488429051701661971e-11	-5.1868402845557236991e-11	3.1305211246849055351e-11	3.7849084821304410341e-11	6.7099306829115652646e-11	8.4115908145516959897e-11
-6	-6	0	-1.7118652984966305065e-11	4.377564090516993575e-12	1.7118652984966305065e-11	-4.377564090516993575e-12	-6.632319511210555356e-12	-3.0567311416759820356e-12
-6	-6	1	-4.0411883561387746309e-11	-1.4759965377225276921e-11	2.7602333662250045724e-11	1.2321176789913385442e-11	-7.6857299394826197047e-11	-1.4632731523871355336e-11
-6	-6	2	1.178896673234822792e-10	-1.7261326902165892854e-10	-1.1609365747423441412e-10	1.5261747685003248732e-10	5.3880295477436025046e-12	-5.9987376514879297801e-11
-6	-6	3	1.4482177290243128701e-10	5.4331853782929283727e-10	9.2208650034835645303e-11	1.0660566748536222545e-12	4.7406084587453386463e-10	1.0887691890082930241e-09
-6	-6	4	-3.7445997182074972009e-08	-2.6368423669944869894e-09	3.8412110019778889775e-08	2.0185736709235810693e-09	1.4491692565558791294e-09	-9.2740304410635846663e-10
-6	-6	5	1.8998661688781141207e-08	-2.9184340072844136309e-08	-2.4847210630940407962e-08	4.9710087707028503639e-08	-7.0182587305911227532e-09	2.4630897161021235502e-08
-6	-6	6	2.9826394626828349082e-07	6.2182126756724661821e-07	-5.6840008042819781953e-07	-6.7727261221507979829e-07	-2.7013613415991432871e-07	-5.5451344647833113905e-08
-6	-5	-6	7.2923807854983926157e-08	-2.9713554479401845361e-08	-3.8794701038155517231e-08	2.0026343660007179418e-08	-4.0594890323187656284e-08	1.3024934762729195294e-08
-6	-5	-5	6.9169082746472183465e-09	-1.5652349379221434445e-07	6.9732366029135070873e-09	1.3323963578861339599e-07	-1.5273526532490170096e-08	5.4588556762043829266e-08
-6	-5	-4	-1.2407023175970141212e-09	-1.1695615018287603711e-09	-3.6837898423255916825e-09	2.0815816881443985977e-09	6.4657907793025109918e-09	-8.4763485743735769045e-10
-6	-5	-3	-1.4922831839846001487e-08	1.0363448921115448476e-08	1.3175141919962249888e-08	-6.8640430065439688585e-09	7.8870938130882537126e-09	-9.2868261646576146942e-09
-6	-5	-2	4.3086114082257737621e-11	1.2235841894290486937e-10	-3.2806563670430068254e-11	-8.0020285298076461185e-11	-4.7241933070698048691e-11	-1.6702454358352347455e-10
-6	-5	-1	3.5788801767410668194e-10	8.7783056244316401238e-11	-4.2145508467840622455e-10	-1.0338117401707706793e-10	-4.0052682652609014138e-11	-9.7924673805130435457e-12
-6	-5	0	3.597146893035567477e-12	-1.3231585810514061501e-12	-4.3165762716426811339e-12	1.5877902972616874608e-12	-7.278152850245480055e-12	1.0002568545832339169e-12
-6	-5	1	1.6231477088185415583e-10	2.3088826504660603473e-10	-1.7426777727296064443e-10	-3.0627680933205859089e-10	1.0254973892632171284e-10	-1.4605445638065659098e-10
-6	-5	2	3.7168421211972107267e-11	2.4555223190627287931e-10	-1.011799346376235743e-10	-2.7557359650289912893e-10	-1.4144457295814262042e-10	4.7722704461570899624e-11
-6	-5	3	-1.0573967723909836476e-08	-7.0965721042984521983e-09	2.0310870383636497136e-09	3.2142368113260725895e-09	-1.7762790383880259245e-08	-8.836082856386783552e-09
-6	-5	4	-4.7800310734259346613e-10	8.2958625838231235813e-10	1.2220570525945695617e-08	-1.1242826911130268924e-08	1.4558708496418229787e-08	-1.2809154251339368651e-08
-6	-5	5	-2.1579037644694946251e-09	8.9765239839436229892e-08	-1.359238616451477153e-08	-1.2666863361223072883e-07	-1.6181870681878165907e-08	-1.8950345804907257587e-08
-6	-5	6	-2.0693941940349879767e-08	-1.8890222599169732906e-08	2.9022563888514421338e-08	1.3400364255472767909e-08	3.4915279667454707966e-09	-7.7232523862757618545e-09
-6	-4	-6	-3.1096873681796294064e-08	4.0030159373862968329e-08	1.4052000862067815848e-09	-4.1008235709762090812e-09	3.0160073624325102481e-08	-3.7296276993212160069e-08
-6	-4	-5	-9.9018540751311835468e-09	-1.982796710933049974e-08	7.6939309162006950161e-10	4.7545523513144973308e-09	1.1266710416861364986e-08	1.9989918650145001823e-08
-6	-4	-4	6.1841994303356495755e-09	-1.2804238901284662869e-09	-7.5363717958935890861e-08	5.4165987649164529684e-09	6.6087418813432416498e-08	-3.4959629297237531244e-09
-6	-4	-3	5.8684269397716327896e-10	-2.0794789406098287449e-09	-4.414447962852639155e-10	3.4262844955985597528e-11	-5.8509232624064147512e-10	4.1132740879450104142e-09
-6	-4	-2	1.5567111969882360762e-09	1.8280548052832362692e-09	-1.9418666503422317125e-09	-2.7220333902498775765e-09	-7.8640029028024470011e-10	-4.0097635349953531797e-11
-6	-4	-1	1.3449032406658056752e-10	-6.46473020757989775e-11	-2.4878407235047882076e-10	1.1218916602056818114e-10	1.8819434500243169701e-10	-6.0872851627478833705e-11
-6	-4	0	-7.1784572175968092513e-14	-1.6175009571839304344e-10	1.0767685826395213877e-13	2.4262514357758957809e-10	2.0713289435344821064e-11	-1.377395709907076714e-11
-6	-4	1	1.4536589496244649127e-10	1.5744535889723800766e-10	-2.5306774736239771035e-10	-2.5038360150337788935e-10	-1.4007561967491204891e-10	-5.6862252630083576054e-11
-6	-4	2	2.535562120299004919e-09	2.2935661645489509734e-09	-1.5249850465272585922e-09	-1.8201693511299687644e-09	4.556716267842497159e-09	3.2403597913869153916e-09
-6	-4	3	2.4442909924553459674e-09	-1.458981199718065395e-10	1.499649730016130563e-09	-3.674482522556291119e-10	6.8881149582655332369e-09	-7.8172724295111857878e-10
-6	-4	4	-2.6152881146278195457e-09	8.0954040999943690169e-09	2.5726917587212885786e-08	-4.4090484435723934141e-08	2.1803985415271156881e-08	-3.1947378285732379788e-08
-6	-4	5	2.2277587243017038201e-09	7.3266410276484645679e-09	3.9037968656962677991e-09	2.4478395663907099394e-09	5.7963479617190593197e-09	1.0750240886290726426e-08
-6	-4	6	1.2889835240209383934e-08	4.4195762869268130621e-09	-7.0776400549164844449e-09	2.5687570666021613557e-09	8.1714085369317270862e-09	6.1320809979949209084e-09
-6	-3	-6	1.4041675669518743417e-10	2.6027064169731783005e-10	1.1804742816376791614e-10	-1.5162589381628971316e-09	-1.9944047077707139225e-10	4.9785882738413078744e-10
-6	-3	-5	1.4454417485914972679e-08	8.8073363114756606514e-09	-9.5957712685676382469e-09	-9.0516047957879817724e-09	-1.158783822195738592e-08	-5.1378406962980035527e-09
-6	-3	-4	8.9991180687283112681e-10	-3.6070842861715504581e-10	2.1881017371205427412e-09	-3.1017393945484453879e-09	-2.9909440131496538495e-09	2.8673671888370666614e-09
-6	-3	-3	-6.6145312383621342559e-10	9.0042497173443136856e-10	2.292505882747621673e-09	1.1057770624169848727e-08	-9.6959963507519482177e-10	-1.2858620567638711878e-08
-6	-3	-2	-7.5678166041069651655e-10	-1.3019246080581098625e-10	1.0319487350046429529e-09	1.6732432384663449638e-10	7.2242187872512491347e-10	1.3959089664748124004e-10
-6	-3	-1	-2.5925734968795642797e-09	3.5574519520466472415e-09	6.0758435174596029645e-09	-8.3342943041235614227e-09	-2.6720895711014244557e-09	3.6581712000907991645e-09
-6	-3	0	-7.4618848446292145914e-11	-1.1763974967840628337e-10	1.4923769689258429183e-10	2.3527949935681256675e-10	1.9687225895107498064e-11	-2.1275057721167571169e-11
-6	-3	1	-4.3342903642961782839e-09	7.258259064758714887e-12	1.0173460868044978153e-08	-1.2154603051258132091e-12	4.5146404183578664106e-09	3.9903173473174848483e-11
-6	-3	2	1.1856352966902599659e-10	-5.9567228666542881491e-10	-4.8153676160134640786e-10	8.9031734812790381235e-10	-3.6661455339494164787e-10	-4.5154083780443077791e-10
-6	-3	3	1.6394956268782248631e-09	-1.567550337078024909e-09	-7.2535248328148834236e-09	2.1483811527200927993e-09	-3.9745335790584332838e-09	-9.867195214359568119e-10
-6	-3	4	-2.7524801730878017522e-11	-5.6352036404135572482e-12	1.074781924179554993e-09	6.548159174373926024e-09	7.6479924053834921361e-10	4.9026665753198245565e-09
-6	-3	5	-5.004161435678268351e-09	-3.844161145292107793e-09	-9.275638025940581103e-09	1.7853654546811149742e-09	-1.1570376538378270021e-08	-3.5417741015418600361e-09
-6	-3	6	4.1771785831723288721e-10	-5.2831031509387038498e-10	-3.971960145391452293e-10	1.1011067882469875926e-10	2.1911985104766029841e-10	-4.7325497568152106351e-10
-6	-2	-6	1.1596962277798786115e-10	2.3046135591455178298e-10	9.9142930596999335936e-11	1.0307119863758565208e-10	-1.4901726631032097313e-10	-2.6481842212708032937e-10
-6	-2	-5	4.3342309420083979223e-10	5.7350268821345978388e-11	-1.0662362543259292744e-09	6.9585746161435775834e-11	-9.3613211310636007324e-11	-9.6654621050189489569e-11
-6	-2	-4	2.8338957827833189605e-09	-4.9770686886986184712e-09	-2.1707272162358331786e-09	3.2090922935188186696e-09	-3.1654800660570618514e-09	5.8610568862885179583e-09
-6	-2	-3	-3.2276892698584939047e-10	-2.2135971388304542592e-10	-3.6037974676688927484e-10	-2.2331859398497970568e-10	8.857910184829582975e-10	5.9159849042274398895e-10
-6	-2	-2	-5.0064311057764207873e-10	1.6840040904383328777e-10	1.6739749811896724731e-09	-8.1338793059942563564e-10	-1.72045649456746211e-10	3.0818670346792579818e-10
-6	-2	-1	2.0792731542616539085e-11	-9.9622216740804087039e-11	-2.061407674915024306e-10	1.8332288001814363975e-09	2.875251457273056073e-10	-3.0687242999180481695e-09
-6	-2	0	-5.651639392877827638e-09	-3.399472683739748063e-09	1.6954918178633483741e-08	1.0198418051219244189e-08	1.6252126107026823279e-11	3.7447688381652087751e-11
-6	-2	1	1.0473438402556678975e-10	-7.0520451546567061276e-11	-1.6499959424075976788e-09	1.0636760876943102942e-09	-2.6715855806617945674e-09	1.7042294661092179881e-09
-6	-2	2	-9.2897871139201885041e-11	-3.5635637399408595429e-10	1.805619644321254039e-09	4.8579145061013129593e-10	1.5269260309036484097e-09	-5.8327767137212651525e-10
