# exact-gradient local quartic closure adversary; cutoff=5; objective=block-ratio; selection=doubling-family; objective_value=0.00077293; constant_ratio=0.14842; candidate_lemma_proved=false
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-5	-5	-5	0	-0	0	-0	0	-0
-5	-5	-4	0	-0	0	-0	0	-0
-5	-5	-3	0	-0	0	-0	0	-0
-5	-5	-2	0	-0	0	-0	0	-0
-5	-5	-1	0	-0	0	-0	0	-0
-5	-5	0	0	-0	0	-0	0	-0
-5	-5	1	0	0	0	0	0	0
-5	-5	2	0	0	0	0	0	0
-5	-5	3	0	0	0	0	0	0
-5	-5	4	0	0	0	0	0	0
-5	-5	5	0	0	0	0	0	0
-5	-4	-5	0	-0	0	-0	0	-0
-5	-4	-4	0	-0	0	-0	0	-0
-5	-4	-3	0	-0	0	-0	0	-0
-5	-4	-2	0	-0	0	-0	0	-0
-5	-4	-1	0	-0	0	-0	0	-0
-5	-4	0	0	-0	0	-0	0	-0
-5	-4	1	0	0	0	0	0	0
-5	-4	2	0	0	0	0	0	0
-5	-4	3	0	0	0	0	0	0
-5	-4	4	0	0	0	0	0	0
-5	-4	5	0	0	0	0	0	0
-5	-3	-5	0	-0	0	-0	0	-0
-5	-3	-4	0	-0	0	-0	0	-0
-5	-3	-3	0	-0	0	-0	0	-0
-5	-3	-2	0	-0	0	-0	0	-0
-5	-3	-1	0	-0	0	-0	0	-0
-5	-3	0	0	-0	0	-0	0	-0
-5	-3	1	0	0	0	0	0	0
-5	-3	2	0	0	0	0	0	0
-5	-3	3	0	0	0	0	0	0
-5	-3	4	0	0	0	0	0	0
-5	-3	5	0	0	0	0	0	0
-5	-2	-5	0	-0	0	-0	0	-0
-5	-2	-4	0	-0	0	-0	0	-0
-5	-2	-3	0	-0	0	-0	0	-0
-5	-2	-2	0	-0	0	-0	0	-0
-5	-2	-1	0	-0	0	-0	0	-0
-5	-2	0	0	-0	0	-0	0	-0
-5	-2	1	0	0	0	0	0	0
-5	-2	2	0	0	0	0	0	0
-5	-2	3	0	0	0	0	0	0
-5	-2	4	0	0	0	0	0	0
-5	-2	5	0	0	0	0	0	0
-5	-1	-5	0	-0	0	-0	0	-0
-5	-1	-4	0	-0	0	-0	0	-0
-5	-1	-3	0	-0	0	-0	0	-0
-5	-1	-2	0	-0	0	-0	0	-0
-5	-1	-1	0	-0	0	-0	0	-0
-5	-1	0	0	-0	0	-0	0	-0
-5	-1	1	0	0	0	0	0	0
-5	-1	2	0	0	0	0	0	0
-5	-1	3	0	0	0	0	0	0
-5	-1	4	0	0	0	0	0	0
-5	-1	5	0	0	0	0	0	0
-5	0	-5	0	-0	0	-0	0	-0
