# exact-gradient local quartic closure adversary; cutoff=3; objective=block-ratio; selection=doubling-remainder; objective_value=0.000220581; constant_ratio=0.0466283; candidate_lemma_proved=false
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-3	-3	-3	6.2095795259975602032e-09	1.1802300435918316328e-06	2.159678386538412094e-07	-2.6446692032629004429e-06	-2.221774181798387787e-07	1.4644391596710688101e-06
-3	-3	-2	-1.9780955697744795642e-08	-9.2829799697229281877e-07	-1.7993705771675062448e-06	4.5559269308997829175e-07	2.7287272992978767641e-06	7.0905795582347184347e-07
-3	-3	-1	-5.0508556362445468862e-07	-8.5370584865757381826e-08	-1.0071221321589002965e-06	1.9708587261001468674e-07	4.5366230873500646377e-06	-3.3514586323277186181e-07
-3	-3	0	-3.7511978513481471773e-07	-9.4291725780395309435e-07	3.7511978513481471773e-07	9.4291725780395309435e-07	6.7583936566231827037e-06	-7.5358874313840519005e-07
-3	-3	1	-1.5603405108436832546e-06	1.5960749475375943644e-06	1.2606753817773543329e-06	-5.9650010923532290458e-07	-8.9899538719898676521e-07	2.9987245149068143793e-06
-3	-3	2	4.5961111760134159605e-06	-1.6358400335974268726e-06	4.5188438378926697382e-06	-3.7115957017334154801e-06	1.3672432520859128548e-05	-8.0211536029962636349e-06
-3	-3	3	1.6154021562661638099e-06	6.6587207233280780756e-06	-3.0715567120573115669e-06	-3.0310433025300220017e-06	-1.456154555791147757e-06	3.6276774207980560739e-06
-3	-2	-3	-2.4426416126599788349e-07	6.2945839634234455385e-06	-3.3683056799878967096e-07	-2.8841153254848078331e-06	4.6881787326519097982e-07	-4.3718404131002397517e-06
-3	-2	-2	2.9791431060246946876e-06	3.3806300840533712792e-06	-5.1238343452161496148e-06	-8.658052566329738325e-06	6.5511968617910811279e-07	3.5871074402496822532e-06
-3	-2	-1	1.3631851835011115365e-06	6.1935310077843637387e-07	-1.9944216606462316384e-06	-6.5630699421546435662e-07	-1.0071222921087158424e-07	-5.4544531390438040836e-07
-3	-2	0	-1.2431328528859299287e-06	-1.6425092893119570168e-06	1.8646992793288947871e-06	2.4637639339679358429e-06	-4.1274883486434921535e-06	-9.1021225723556706098e-06
-3	-2	1	1.399806367461244422e-06	-1.1801596658734859696e-05	-2.3701590303306765982e-06	1.9077437796183874729e-05	-5.4089895827761982448e-07	2.7500856161631712188e-06
-3	-2	2	-3.3849832052096048138e-06	-9.072996761206766458e-06	4.9505770375681957448e-06	2.3673853511808499788e-05	-1.2689777024621160829e-07	1.0064358369998348407e-05
-3	-2	3	5.3174922946270547998e-06	1.1276734975718249519e-05	4.0437043208781939453e-06	-1.3341931562177198486e-05	8.0132951752125171477e-06	2.3821139342667840023e-06
-3	-1	-3	-2.8306292578313878127e-07	1.0068812973724108139e-06	5.466208491705912025e-06	-1.5518950871978097072e-06	-1.5390065714521652624e-06	-4.8958293497314087617e-07
-3	-1	-2	4.5617541571484151346e-06	5.5069799612423670499e-06	7.8543990138134822318e-06	-1.1659128320711930053e-06	-1.0769830742629363818e-05	-7.6775135258279531193e-06
-3	-1	-1	1.8061165312197211642e-05	-3.9615969471798864458e-06	-2.6158322731777350405e-05	-3.2931878103403289578e-07	-2.8025173204814284522e-05	1.2214109622573692074e-05
-3	-1	0	1.7633210277599872877e-05	-5.0136769592086952792e-06	-5.2899630832799622018e-05	1.5041030877626087532e-05	-5.6249963466810764244e-05	4.6602837540223110831e-06
-3	-1	1	5.3872128670696989999e-06	-3.0518434738601918041e-06	-3.7743527176558219999e-05	1.0138485213841577249e-05	-2.1581888575349122999e-05	9.82954792261001625e-07
-3	-1	2	-1.1719235423832449395e-05	-4.7149760910212990136e-06	-1.5164048983516801393e-05	2.6382177963241291955e-06	-2.5160877627507074788e-05	-5.7533552383698843461e-06
-3	-1	3	1.7880483956588781054e-06	-1.3569656386946493508e-06	6.3922473527312861113e-06	3.4857895662490503395e-06	3.9187975132359734759e-06	-1.9503578327829922002e-07
-3	0	-3	4.5969850892536006367e-08	-1.5349715627877132593e-07	-4.3746093287454817098e-06	7.2324764117669509381e-06	-4.5969850892536006367e-08	1.5349715627877132593e-07
-3	0	-2	-2.4549881917898652554e-06	1.1972895765538838267e-05	5.5666924490551740083e-08	1.8841058427005410403e-06	3.6824822876847978831e-06	-1.7959343648308257401e-05
-3	0	-1	7.9347317197716580223e-06	-4.1752517180792764079e-06	-4.6000211465249011623e-05	-6.8450233531584759802e-05	-2.3804195159314975761e-05	1.2525755154237828377e-05
-3	0	0	0	-0	-3.7456217178622201649e-05	0.00014393313962831924785	-0.00020994121125044327351	0.00050562531063650414768
-3	0	1	-7.806104981859578209e-06	4.7073690095627048946e-06	-5.4550814265150570216e-05	-7.6579488702043025847e-05	-2.3418314945578732933e-05	1.4122107028688115531e-05
-3	0	2	1.3955042982418214966e-06	-1.2352110022434147592e-05	1.2497382869006203234e-06	-3.3128877454568048555e-07	2.0932564473627321391e-06	-1.8528165033651220541e-05
-3	0	3	-1.9091773714847395842e-07	5.7432251380183947194e-08	-2.8821354231258802849e-06	7.7210119791659835196e-06	-1.9091773714847395842e-07	5.7432251380183947194e-08
-3	1	-3	-2.3761672255373600514e-06	-8.4543941853163907646e-08	2.541582381768100362e-06	5.7208865269097931933e-06	3.223361352793393223e-06	1.9915061174897616167e-06
-3	1	-2	6.8413110307888363093e-06	9.8733316255644253085e-06	-1.506057631890488458e-05	-8.1677049947799732084e-06	-1.7792254705635697601e-05	-1.8893849935736625414e-05
-3	1	-1	-6.0660264748237371362e-06	-1.3230621971249236672e-06	-4.1500250362477459644e-05	-8.9622863630551404885e-06	-2.3302170938006250777e-05	-4.9930997716803696986e-06
-3	1	0	-1.7894501565858607659e-05	-5.1973570024091822188e-06	-5.368350469757581959e-05	-1.5592071007227549197e-05	-6.4348842818396197662e-05	-3.1214371152829725579e-05
-3	1	1	-2.0398260602404585316e-05	-4.7101558452321378969e-06	-2.5421850267394838246e-05	-1.5186833641177952697e-05	-3.5772931539818910926e-05	1.0563661054815396414e-06
-3	1	2	-1.9446731736113868772e-06	-7.0705339458366281018e-06	8.5250144651712844284e-06	1.6786127014218568432e-06	-7.1795169930027221065e-06	-1.1445107269465870574e-05
-3	1	3	4.2807518619890404838e-07	-9.0951305715029198851e-07	5.2978366149780879596e-06	-1.9357189012846613124e-07	-1.3378703521271254127e-06	-8.4498909377413664672e-07
-3	2	-3	1.0326292882885083297e-05	-9.5484178587906198235e-06	1.5901983453539754351e-05	-3.2189942815959540834e-06	2.7502941947475291938e-07	7.4024216710599834856e-06
