# exact-gradient local quartic closure adversary; cutoff=6; objective=block-ratio; selection=doubling-remainder; objective_value=0.000220683; constant_ratio=0.0465041; candidate_lemma_proved=false
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-6	-6	-6	2.3383883014542062056e-08	-2.0351258163561153119e-07	-7.4932122191723622687e-08	5.0370285678451766844e-08	5.1548239177181563939e-08	1.5314229595715977096e-07
-6	-6	-5	4.9357682506674684425e-10	3.6354841364637917958e-10	-5.7998596386994740881e-10	-6.7663667794532538812e-10	1.0369096656384069298e-10	3.7570591715873541924e-10
-6	-6	-4	-3.035902386108554376e-10	-1.34963835188340898e-09	-5.7615732821089415567e-10	-1.6002138510295443375e-09	1.3196213502326243382e-09	4.4247783043694297694e-09
-6	-6	-3	1.6778143135741126877e-11	1.3798847411508493209e-11	-1.5665665672502369094e-11	-1.5046406685523508077e-11	-2.2249549264775151613e-12	2.4951185480300285229e-12
-6	-6	-2	1.879572582276845688e-12	6.4447365814929783548e-12	-5.3490146184011944199e-12	-1.1116538421280101442e-11	1.0408326108373047811e-11	1.4015405519361371686e-11
-6	-6	-1	-1.0617581890975808047e-11	1.2085502402622812333e-11	1.1339985450098270741e-11	-8.9546512402975271789e-12	-4.3344213547347761665e-12	-1.8785106973951714157e-11
-6	-6	0	1.90486249617135642e-12	3.8184702127793909419e-11	-1.90486249617135642e-12	-3.8184702127793909419e-11	-5.3172263609454387148e-12	-3.7023075916301802738e-12
-6	-6	1	1.7949337505299945411e-11	3.7623680851822646004e-11	-2.0193219080816955132e-11	-4.4194225222272982688e-11	-1.3463289453102059941e-11	-3.9423266222701994251e-11
-6	-6	2	-8.4175934366330055111e-12	1.259580094195262301e-11	7.0257939812689384887e-12	-1.0028857944623194923e-11	-4.1753983660922026826e-12	7.7008289919882874919e-12
-6	-6	3	-3.143452460186477152e-11	-2.0427984380210486271e-11	7.459899458359177477e-11	5.7788806363445858749e-11	8.6328939963454019425e-11	7.4721643966470744957e-11
-6	-6	4	-3.053962550906645429e-09	-3.8662064547490160912e-09	-3.6520111242690672625e-09	-3.1835903750669907524e-09	-1.005896051276356883e-08	-1.0574695244724010472e-08
-6	-6	5	1.6217335866567450439e-09	7.5633151757250413935e-10	-2.2147753860439591061e-09	-1.1823477397734327688e-09	-7.116501592646570194e-10	-5.1121946664111445876e-10
-6	-6	6	4.7434302545369224655e-07	-6.3182617206925627031e-08	-7.882987893685992901e-07	1.9888085663077569462e-07	-3.1395576391490704355e-07	1.3569823942385006759e-07
-6	-5	-6	1.3917965712958348477e-10	-1.8699827008001428919e-11	-3.2584507310385631001e-10	2.6549270744102713538e-10	1.3235790379029679081e-10	-2.0254409585952117528e-10
-6	-5	-5	3.203176023046507591e-09	3.0420622703019818434e-09	-2.6507878432702080917e-09	-1.9793987010569349995e-09	-1.1930233843856012243e-09	-1.6710760233054435435e-09
-6	-5	-4	-2.7024676728384421231e-13	2.387185264903764788e-13	3.6145737333363356497e-12	-3.6692965002964393626e-13	-4.1128470157446531932e-12	1.0058427280149020213e-13
-6	-5	-3	-2.3589043837755812489e-11	-9.4848837452628602389e-13	3.2606817675112810055e-11	2.6163006802120893294e-12	-7.1666084496763855867e-12	-2.4635243846342433665e-12
-6	-5	-2	-5.9436804091678788095e-12	2.1738189825059018902e-13	5.9792532914915122573e-12	5.0198689490039371371e-14	2.882907998774856189e-12	-7.776424184768690302e-13
-6	-5	-1	1.4385031341598760424e-11	1.5277018089206506696e-11	-1.8430016842592448637e-11	-1.874033350351828993e-11	5.8398961633696766048e-12	2.0395589823524094748e-12
-6	-5	0	7.047403612171526524e-11	-1.1363397061148182657e-11	-8.4568843346058320873e-11	1.3636076473377819834e-11	-2.4287200778882087653e-12	-4.2111643545374112896e-12
-6	-5	1	6.5079638735536014768e-12	4.6444190524297422487e-13	-4.4651495048115876732e-13	-8.7113111391538872687e-12	3.6815208488915810632e-11	-4.0769904264311587965e-11
-6	-5	2	5.4400292510974442736e-12	1.02572334389655135e-11	-9.0659966897102852107e-12	-1.2160204907105971213e-11	-6.3449039709833826294e-12	3.7118804913161327396e-13
-6	-5	3	8.2578703414320934585e-11	1.3418538005714485122e-11	-1.1996362466608660988e-10	-2.2002175482702881632e-11	-3.4781967614835813967e-11	-9.8332164597424980642e-12
-6	-5	4	-3.3335064213184760083e-11	1.4092180250645133004e-11	1.0158914967550642454e-10	-4.2913282166593023282e-11	7.6983840774605887319e-11	-3.2503332332273581212e-11
-6	-5	5	-2.3247254763780561618e-08	4.5487239582514595526e-09	1.5686509826004721479e-08	-2.6478918144103459167e-09	-1.2210195890531952794e-08	2.810576935491405381e-09
