# exact-gradient local quartic closure adversary; cutoff=3; objective=mixed-ratio; selection=doubling-family; objective_value=0.000134905; constant_ratio=0.0222591; candidate_lemma_proved=false
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-3	-3	-3	6.3745314386489422497e-07	-5.8283532443617016798e-07	-2.7084757113404735455e-07	9.6025868217782459543e-07	-3.6660557273084687042e-07	-3.7742335774165442745e-07
-3	-3	-2	6.4316241900088068614e-07	-1.5803972959767238276e-06	1.3509565513337634902e-07	8.7945309622069211616e-07	-1.1673871112013856586e-06	1.0514162996340475143e-06
-3	-3	-1	9.3210989881582428355e-07	1.4200866624838409631e-06	-1.034606596658293901e-06	-5.3221386189829120135e-07	3.0749009352740858749e-07	-2.6636184017566493912e-06
-3	-3	0	-2.7404071276964779828e-08	-2.1242409770803450111e-07	2.7404071276964779828e-08	2.1242409770803450111e-07	1.309353340230351511e-06	5.6105109731587015753e-06
-3	-3	1	3.3088636924091764141e-07	1.3152903896042336021e-06	7.2578091969095836832e-07	-1.3867950640680752888e-06	3.1700018667956277115e-06	-2.1451402339152474238e-07
-3	-3	2	5.1928729712306743573e-06	-4.3553299219859235354e-06	-1.0773433085842437479e-06	-1.8809539382963051046e-06	6.1732944939696461259e-06	-9.3544257904233431717e-06
-3	-3	3	3.5595678746990536587e-06	-3.1017196850462692069e-06	-5.1479781774135600469e-06	3.7830707315483382777e-06	-1.5884103027145061765e-06	6.8135104650206896491e-07
-3	-2	-3	-1.1220069387009117002e-06	-1.568859338258438502e-07	-2.2795364308257213297e-08	1.1095804053356521582e-06	1.1372038482397497917e-06	-5.82834336397924317e-07
-3	-2	-2	-2.1005263523007601492e-06	-2.8146115180670877388e-06	2.3855183085213782061e-06	-4.4056228728988220985e-07	7.6527121992976222941e-07	4.6624795643905141886e-06
-3	-2	-1	2.7446076705266476343e-07	1.213888511795528339e-06	5.3568995880429133355e-06	-7.2077729272662999501e-06	-1.1537181477243820855e-05	1.0773880319146014671e-05
-3	-2	0	1.5517942846673816299e-06	-1.7693369182156097257e-06	-2.3276914270010724448e-06	2.6540053773234148003e-06	-1.161420904025024602e-05	-8.5624939119910440174e-06
-3	-2	1	2.7705695133774942551e-06	-1.9446610482797221364e-07	-2.0116404636965874727e-06	-4.3082760233558002746e-06	4.2884276127393082434e-06	-9.1999503611955179048e-06
-3	-2	2	-6.2979696080074407225e-06	-1.4671883945595645186e-06	7.8758031402267295474e-06	2.6867663954991294265e-06	-1.5711512717844319598e-06	4.8598380365978275449e-07
-3	-2	3	-7.7273410889620190235e-06	-5.099273809749123562e-07	1.0679141777642849081e-05	4.6369019661722762919e-07	-6.0791323720011967147e-07	-2.0080058323009390144e-07
-3	-1	-3	8.4769740991973275123e-08	-3.786224617066624539e-07	6.9278417384687660061e-07	1.3735793817306427056e-06	-3.1569779894093216846e-07	-7.9237332203551781287e-08
-3	-1	-2	-1.4569268312291646607e-07	8.2182796913129819224e-07	4.6173242374842186331e-06	-1.650420445636432291e-07	-2.0901230940577348557e-06	-1.1502209314151257929e-06
-3	-1	-1	2.1709691045407361311e-05	5.5141240356447601147e-06	-1.4957170165619250335e-05	3.204588305384032564e-05	-5.0171902970602835293e-05	-4.8588255160774605984e-05
-3	-1	0	-1.9074866406831062572e-05	2.0486267992757746135e-05	5.7224599220493184328e-05	-6.1458803978273231629e-05	-1.9676496425100031671e-05	-5.0772975006792982167e-05
