# exact-gradient local quartic closure adversary; cutoff=6; objective=mixed-ratio; selection=doubling-family; objective_value=0.000134936; constant_ratio=0.0224081; candidate_lemma_proved=false
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-6	-6	-6	-9.4880844652215188363e-08	-1.4105751785119522724e-07	3.9636954526327623541e-08	1.3118074943236450494e-07	5.5243890125887571439e-08	9.8767684188307140274e-09
-6	-6	-5	1.3424638588532065642e-08	-1.0206323328729720773e-07	-4.9038967705958841591e-08	9.8670469077524879153e-08	4.2737194940912133124e-08	4.0713170517267923124e-09
-6	-6	-4	1.2233160586234220468e-09	-1.0791884731535786063e-09	1.354321953849647631e-09	-3.3176337791383448097e-10	-3.8664570187096051371e-09	2.1164277766011197601e-09
-6	-6	-3	-2.5176720532844292771e-11	-6.139984390444924907e-12	-1.8904378044016717838e-11	-7.4546919066700919384e-12	8.8162197153722021217e-11	2.7189352594230033691e-11
-6	-6	-2	6.6021147234006013803e-11	1.8658514348244949242e-11	-7.7967425978474786646e-11	-2.9896556583266095058e-11	3.5838836233406312067e-11	3.3714126705063443911e-11
-6	-6	-1	-4.0466257830533545103e-11	1.6521984500672524351e-10	6.149407060727844285e-11	-9.9481343841843947942e-11	-1.2616687666046941233e-10	-3.9443100698928767001e-10
-6	-6	0	-4.7381801928822984245e-11	3.5745245649213747719e-10	4.7381801928822984245e-11	-3.5745245649213747719e-10	1.556434106983805608e-10	1.9972095219261889611e-10
-6	-6	1	4.9853490192587550086e-11	-4.6816991594235735087e-11	-2.307193061274887006e-11	2.3269024662055209077e-11	1.6068935747903205431e-10	-1.412878015930831496e-10
-6	-6	2	-5.997706386231179023e-10	3.4473653261236008019e-10	5.2688502630584903665e-10	-4.1846534768120891519e-10	-2.1865683695180664866e-10	-2.2118644520654653086e-10
-6	-6	3	-7.9089162781116206375e-11	1.511231754975606881e-10	1.0903174000820640075e-10	9.7464363017355525803e-11	5.9885154454180388748e-11	4.9717507702983237611e-10
-6	-6	4	-1.2126122447891889525e-08	-1.2406066657342372046e-08	3.4429354763436799505e-09	1.2844345066268246184e-08	-1.3024780457322314775e-08	6.574176133888117248e-10
