# exact-gradient local quartic closure adversary; cutoff=4; objective=sld-ratio; objective_value=0.000795365; constant_ratio=0.148345; candidate_lemma_proved=false
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-4	-4	-4	-3.2767334249144024935e-09	3.2449745416350674164e-09	2.3901166708260745345e-09	-2.1799482179959750912e-09	8.8661675408832785559e-10	-1.0650263236390923252e-09
-4	-4	-3	-6.181374449457649414e-09	-2.5643882521081164575e-09	6.0283397694500066779e-09	8.1773070959323158341e-09	2.0404624001019053875e-10	-7.4838917917655986173e-09
-4	-4	-2	-1.2762134027515141767e-07	2.616145874187899713e-08	1.5869324939263207108e-07	-3.1452661074680272737e-08	-6.2143818234961333293e-08	1.0582404665602554522e-08
-4	-4	-1	-2.7638880865414202651e-10	-3.8955333745214066662e-10	1.9228319029141079287e-10	3.8709914748886027013e-10	3.3642247345092498623e-10	9.8167598531216053304e-12
-4	-4	0	1.2148716637937854166e-09	-1.8874522914898550577e-09	-1.2148716637937854166e-09	1.8874522914898550577e-09	2.4792075918114577243e-12	-1.5664539323438877367e-11
-4	-4	1	1.0181522585300402167e-10	8.4147349818174825329e-12	-9.6114993564737114634e-11	-6.3169055659277750795e-11	2.2800929153067618463e-11	-2.1901728270984106659e-10
-4	-4	2	2.7597291533414600256e-08	1.2824790355289219684e-07	-3.4554429504380711313e-08	-1.5894616875538562344e-07	-1.3914275941932223768e-08	-6.1396530404986866433e-08
-4	-4	3	-8.3208305219148941044e-09	8.2377190690226143041e-09	5.2391801095888299935e-09	2.0609355061909575369e-09	-4.1088672164347515964e-09	1.3731539433618094685e-08
-4	-4	4	-3.9915178024072242164e-09	3.8484148152282038226e-09	5.0255137106996518332e-09	-7.2102557031961987469e-09	1.0339959082924276169e-09	-3.3618408879679949242e-09
-4	-3	-4	7.2680029102619524495e-09	8.5803220493344825652e-09	2.2377114422631768302e-09	-1.3156685108597322041e-08	-8.9462864919593344517e-09	1.2871917821135099996e-09
-4	-3	-3	-2.0045516063974678834e-08	5.1570558429861429102e-08	-4.442971306201290927e-08	1.1411839589291809187e-07	7.1157067813979152128e-08	-1.8287914046606665518e-07
-4	-3	-2	-1.4175923976525778175e-11	1.0495294321820759867e-11	1.3820072244470354338e-11	-1.0265032124332461558e-11	7.6217395863460232274e-12	-5.5930404571428290129e-12
-4	-3	-1	8.1692667005975015752e-12	1.8425092263137179381e-11	-8.1419891694120016201e-12	-1.8326936364000594267e-11	-8.2510992941540062872e-12	-1.8719559960546934723e-11
-4	-3	0	1.0550006998037728548e-12	1.1432207940359047031e-12	-1.4066675997383638738e-12	-1.5242943920478730048e-12	2.8535260205158389419e-13	-5.6568404030195030559e-13
-4	-3	1	-1.8867107872623067787e-11	-7.2134222506142598197e-12	1.8801694070437800403e-11	7.1859144669809260075e-12	-1.9063349279178863478e-11	-7.2959456015142628718e-12
-4	-3	2	-9.1241630490007164562e-12	-1.8632381509654221502e-11	8.2848058368183370736e-12	1.8465838588646090239e-11	-5.8211173427739289177e-12	-9.5660051363393108772e-12
-4	-3	3	-5.0412727442541335067e-08	2.2774334513065749631e-08	-1.1165968396267060998e-07	5.0574939857442318762e-08	-1.788766538860590435e-07	8.0940719208196658221e-08
-4	-3	4	3.1065915979704522052e-09	-1.3204279233646106992e-09	-1.1534868115155500314e-08	6.7789302052695366601e-09	-5.5445594883961726171e-09	3.7637697305875417958e-09
-4	-2	-4	-9.5776523223601347019e-08	-1.3184231700858050539e-07	3.5764337242205497902e-08	5.3851228406834434502e-08	7.789435460249859476e-08	1.0491670280516330468e-07
-4	-2	-3	-1.4200054494899755435e-11	5.6334593822303737708e-12	6.2630893243712790575e-12	-2.4237187459055005798e-12	1.475801311028548626e-11	-5.8954666790368318465e-12
-4	-2	-2	-3.7517966945403531778e-09	-5.8364936081723385713e-10	3.110457390690920996e-09	4.8414299458194648401e-10	4.3931359983897849459e-09	6.8315572705252112685e-10
-4	-2	-1	2.2723901671714179603e-12	-2.238152869340591559e-12	-4.3456979238938442089e-12	3.6886752203648312983e-12	-3.9816482089798407955e-13	1.5752610366327034377e-12
-4	-2	0	3.5752511764594538782e-07	-2.6265331282651308079e-07	-7.1505023529189077565e-07	5.2530662565302616157e-07	-2.8460378334076836824e-12	-4.0710947747084976981e-12
-4	-2	1	-2.1809638658011084271e-12	-3.2249106839695533933e-12	-3.471196230146094012e-14	4.4614031770609049142e-12	-8.7932793878073552729e-12	-3.9768363817564029369e-12
-4	-2	2	-5.539233566170609013e-10	3.7702498652789162053e-09	4.5752218737391209656e-10	-3.1281752224804032783e-09	-6.5032452586020980943e-10	4.4123245080774287186e-09
-4	-2	3	1.6561598555385949878e-11	-1.7176242536749176252e-12	-7.8875908842684723482e-12	9.1827216514735206479e-14	1.6823737484335618271e-11	-2.2289475272233999873e-12
-4	-2	4	9.6493126042305361315e-08	1.301250717671487952e-07	-3.7795001602381369404e-08	-4.9079788857029456726e-08	7.759562524111468323e-08	1.055851773386340536e-07
-4	-1	-4	1.6928275949141291128e-11	-1.8804038075371652185e-10	-1.2480041726403563769e-10	-4.637892543350712765e-11	1.4271828366867618293e-11	1.9963511211209330376e-10
-4	-1	-3	-1.0825117816188799191e-11	1.2165628363163199727e-11	1.4172224550939876872e-11	-1.5824876716524600859e-11	9.7094155712717732972e-12	-1.0945878912042734298e-11
-4	-1	-2	-4.2458435687376301068e-12	-9.7954575394598208279e-13	-1.705168206333697741e-11	-5.8060937420329252084e-12	1.7017528169143747303e-11	4.8621383789084267698e-12
-4	-1	-1	5.5017182813645321221e-09	9.0610072633153407602e-08	-1.134326595917566701e-08	-1.8683231607937283351e-07	-1.0663607166282461478e-08	-1.7560797445324082336e-07
-4	-1	0	-6.2928286789888869744e-11	-4.2552784331762561813e-12	2.5171314715955547898e-10	1.7021113732705024725e-11	-1.7447315249128213695e-10	1.8682688268030180811e-10
-4	-1	1	-6.8127810399877609132e-08	-5.9979544235414092209e-08	1.4044592642130564684e-07	1.2366623677426540507e-07	-1.3206531517820478969e-07	-1.1625194016739095053e-07
-4	-1	2	1.7782321477364261266e-12	-5.0266554208814153188e-12	4.1156247685777742844e-12	-1.7512093056307589119e-11	5.6142766797617393953e-12	-1.8809357369916625197e-11
-4	-1	3	-1.6392946104295900017e-11	1.0012416263719895237e-12	2.109641768132453346e-11	-1.3508671042734511428e-12	-1.4825122245286355536e-11	8.8469980040483568426e-13
-4	-1	4	-6.908416477369233589e-10	-1.0623981857853780604e-09	-9.3519925001034756979e-11	-1.4848896891906176179e-10	-7.1422162898718202876e-10	-1.0995204280151435137e-09
-4	0	-4	-6.2355186470358253388e-10	-2.1186320508462090601e-09	1.0063055732020098583e-11	-4.5860536406959366077e-12	6.2355186470358253388e-10	2.1186320508462090601e-09
-4	0	-3	-2.0394188151963155971e-13	-4.2979754598752420526e-13	1.0679985624584269761e-12	2.029332972781643666e-12	2.7192250869284206278e-13	5.7306339465003230734e-13
