# exact-gradient local quartic closure adversary; cutoff=7; objective=sld-ratio; objective_value=0.000795365; constant_ratio=0.148345; candidate_lemma_proved=false
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-7	-7	-7	1.8466030970881202349e-19	-3.7053477549300201524e-19	3.6440550029936556267e-19	6.1522564866984398936e-19	-5.4906581000817758616e-19	-2.4469087317684192597e-19
-7	-7	-6	-1.3289356441847659073e-12	4.7582835533761338593e-12	-1.2024666408590763656e-12	5.5753654842944745125e-12	2.9533026658844824498e-12	-1.2055923877282377107e-11
-7	-7	-5	2.2990878785011871958e-15	-2.039088103665735371e-15	-2.3102239837675057803e-15	2.0438731636665190322e-15	1.5590547372845641046e-17	-6.6990840010971831824e-18
-7	-7	-4	2.4251529111397252741e-16	3.9522057563340889798e-16	-2.3619048014503578555e-16	-3.8554198052628434999e-16	-1.106841919563925511e-17	-1.693754143746796206e-17
-7	-7	-3	1.5706048066952163381e-18	1.0314850840043677022e-17	-1.5631654857465874711e-18	-1.0306520264484508834e-17	-1.7358415546800393795e-20	-1.9438009638059997147e-20
-7	-7	-2	-4.7310779310343285172e-16	-1.0797014039545875169e-16	4.7049667806737879883e-16	1.0737512103902798592e-16	9.138902626189004847e-18	2.0825677475076794291e-18
-7	-7	-1	-1.5926909421547145755e-16	4.8249306189862862034e-17	1.5517471474946660596e-16	-5.0176454826960808884e-17	2.8660656262033881033e-17	1.3490040459685618702e-17
-7	-7	0	-7.1571682214446323348e-18	-8.7702759875036925502e-18	7.1571682214446323348e-18	8.7702759875036925502e-18	-1.9313723642220983773e-16	1.2564631175536540192e-16
-7	-7	1	-1.9898259559499269953e-16	5.3675406755340535557e-17	1.984314153638704678e-16	-5.0410514975953333642e-17	-3.8582616178556212836e-18	2.2854242455710416491e-17
-7	-7	2	1.1685299897226436349e-16	-4.6955764527833863657e-16	-1.1622173354239069469e-16	4.6698695129550226427e-16	2.2094290045578361508e-18	-8.9974289399273200063e-18
-7	-7	3	1.8274245459866745669e-18	-8.0699655206597864899e-18	-1.801580207974505438e-18	8.0422182402717343806e-18	6.0303455361728432973e-20	-6.4743654238789671382e-20
-7	-7	4	2.5919972444424719794e-16	3.9844739315900362445e-16	-2.5298287878466772034e-16	-3.8890361453027007072e-16	1.0879479904264068864e-17	1.6701612600283706687e-17
-7	-7	5	9.8926408230027923355e-16	9.2832311834093232812e-16	-9.8918340700093741371e-16	-9.3168875055460884417e-16	1.1294541907852775535e-19	-4.7118850991471354095e-18
-7	-7	6	4.7865425729911343183e-12	1.0181593067181549228e-12	5.6043486271020122067e-12	1.3024694134991175213e-12	1.2122706400108670138e-11	2.7074001735868177168e-12
-7	-7	7	2.5159679060122116484e-19	-1.5882211990167498475e-19	-3.8653663273051226213e-19	-7.646563374326931953e-20	-1.3493984212929107322e-19	-2.3528775364494430428e-19
-7	-6	-7	-4.03914974759138341e-12	-3.8747451775764433095e-12	8.5382357219417457928e-12	9.0126946049098430817e-12	-3.2793380140729704729e-12	-3.8504216266319936177e-12
-7	-6	-6	5.1952777636572771845e-20	-3.8927015953984068243e-20	-1.8977685890186321808e-19	6.365153679326071374e-19	1.291652849925283176e-19	-5.9110051598629236403e-19
-7	-6	-5	1.3466867993584188658e-17	3.2142908928374277718e-19	-7.0110291779498973884e-17	-2.1006937315174588104e-18	6.527873494438090947e-17	2.0708317528237107518e-18
-7	-6	-4	-7.5289321021646048667e-20	-3.8195408836171244898e-21	1.2243166875405309519e-19	7.0706889266622525725e-21	-5.1891191343199048596e-20	-3.9218368436634115658e-21
-7	-6	-3	-6.318184174281536917e-18	6.0677979303949731956e-18	5.9231753616218832471e-18	-5.6751851033390583944e-18	2.8960790167464864405e-18	-2.8078249642434881047e-18
-7	-6	-2	8.8798204263013666657e-19	-6.4523346137377357903e-18	-1.1871455986378973971e-18	8.4020704833520465421e-18	4.5349964670821405093e-19	-2.6230403019740659011e-18
-7	-6	-1	6.6140644800437604986e-16	1.9696614418031497386e-15	-7.4951272835978820472e-16	-2.3886552025598549417e-15	-1.3276876587190336716e-16	5.4430112273708236759e-16
-7	-6	0	1.2801437253996826402e-16	-1.9608862988858865417e-16	-1.4935010129662964958e-16	2.2877006820335341754e-16	4.1428653263900962348e-17	-2.298905968724464169e-18
-7	-6	1	7.3204408803649563682e-16	1.4863732990927572326e-15	-9.4820950473795733796e-16	-1.7827423772013792872e-15	-5.6494841217227437278e-16	-2.9184116955897499637e-16
-7	-6	2	5.265749497721626548e-18	5.6829214385422630633e-18	-6.8784385583130588058e-18	-7.3758612856828536902e-18	-2.2051924329134838848e-18	-2.2373588221506395787e-18
-7	-6	3	8.7662148803364543847e-18	9.2103335733242619401e-20	-8.2116524726003278493e-18	-8.2459593424442202068e-20	4.0311964422510714557e-18	4.9988596528681721844e-20
-7	-6	4	-9.5637193417839780636e-20	-2.0216718616898760592e-20	1.5191649743632598846e-19	2.4948630058079139584e-20	6.0509657673269381622e-20	2.0436875075458809729e-21
-7	-6	5	-9.498513527046328316e-18	9.3269285224586480947e-18	4.964110681595786767e-17	-4.8922985547651609187e-17	4.6271409241284579097e-17	-4.5649882725739822767e-17
-7	-6	6	-5.6716290337345376977e-19	-1.7413207972255955281e-19	-5.8003709457900772365e-19	-8.5219310683170047413e-20	-1.2417271485147038205e-18	-2.8837340369282285099e-19
-7	-6	7	1.3845386486168454721e-13	-5.8097197892162001309e-12	-4.6726112372415224936e-14	1.2405687329968075731e-11	9.8402911399614356216e-14	4.8237264936135784903e-12
-7	-5	-7	-8.9706368158288446584e-16	-7.579068256668941377e-16	1.5725108750728084311e-18	3.9706073656237390499e-18	8.959404595292610954e-16	7.5507067754859150161e-16
-7	-5	-6	-8.5077401270865059472e-18	1.2269363992814869437e-17	-3.0433713900788918446e-17	4.4486571242141747474e-17	3.5287125065591691288e-17	-5.1386400693402137752e-17
-7	-5	-5	-3.7247912769446253488e-22	2.0694737946291559034e-22	6.7957626856535815735e-22	-4.8884736938461839298e-22	-1.5810548979311064613e-22	1.991210381365365524e-22
-7	-5	-4	3.5062578194728823651e-20	1.4919912642120101409e-19	-1.5657441903497114143e-19	-7.0998018271002764815e-19	1.3435851195293849292e-19	6.2637675715043282766e-19
-7	-5	-3	1.9990584775689429187e-19	-1.6921840528719384646e-19	-1.408002851248118569e-19	1.6384152566683344482e-19	-2.3177983622473357818e-19	1.217737362253965269e-19
-7	-5	-2	7.2708390529694563743e-14	4.8633820508679805187e-14	-1.3299980963349826289e-13	-8.8983140140204910708e-14	7.802015722981470305e-14	5.2239478570132961773e-14
-7	-5	-1	-5.1930355100148096219e-17	3.2432588474796070379e-16	6.0680531037397570824e-17	-4.4244564241112477747e-16	6.010983051404885639e-17	-5.8052981180100952877e-17
